ID,X,Y,Z
0,-48.6288558,100.113468,-40.6555299
1,-56.8537046,-89.5007466,51.177387
2,38.0251231,-68.6591994,31.1163265
3,-55.7479163,18.544564,33.4151978
4,-42.5506885,-2.77621264,-98.7683184
5,-95.7896912,-17.2507097,-93.2619712
6,-53.3529131,-34.6494354,122.858765
7,41.507451,8.77519601,83.3173169
8,10.9625745,45.2934899,52.6503544
9,-15.8144709,-69.7105868,36.6744549
10,-9.98590539,-52.2743265,60.9205399
11,-14.9539356,-37.0203398,-52.4528646
12,-71.9254135,-9.02782059,-74.8987346
13,70.2857133,-104.469709,-13.6034775
14,-61.1882825,-99.7499868,-53.8800848
15,36.6209547,-49.1238883,-14.0022893
16,61.839222,-41.3546907,21.2341248
17,96.6302094,-59.2794927,13.0268132
18,-68.5455762,-20.5611848,-82.4025289
19,26.1518392,-80.1945988,-85.4092332
20,-16.5984385,-112.112149,17.7616293
21,-111.248527,-23.9390939,68.1170609
22,-49.0869636,-84.0519396,-86.5079001
23,120.32158,30.2459773,7.70292426
24,-90.9697647,-86.9390855,1.97291355
25,-137.673965,43.301741,-3.96181857
26,-85.7159205,34.1314722,-66.1305837
27,76.5824558,-2.68057982,-112.434993
28,-0.945238045,9.27425242,33.63741
29,-59.9332828,-46.0236701,-45.6876758
30,-79.3432248,-40.9804119,62.545855
31,-43.2840253,-35.3594565,40.9770684
32,-59.4871314,-5.85088389,-89.8901978
33,42.9044577,103.931407,12.0653482
34,16.2931673,135.707601,1.94211343
35,-100.990716,-38.6724331,-84.0838345
36,-68.1441511,-101.872579,-29.4743184
37,-40.8903329,37.6642554,-95.2550346
38,-53.292445,-58.0435403,-101.518
39,-109.655019,-11.1171915,0.563307021
40,-32.1700288,13.967408,41.8047356
41,-111.705777,-166.359996,-101.919238
42,-34.9717466,-13.3531119,-10.1270906
43,18.5512035,52.0870804,-12.9448309
44,-73.0879395,-44.2959906,-95.0713383
45,40.6531578,-0.393887409,107.196703
46,-36.8558458,-113.076993,-1.38796171
47,-39.6176761,21.7304555,-133.102692
48,46.5394229,17.881876,28.0541606
49,-39.9079705,-47.048587,-105.503884
50,-12.9965174,24.7857108,-31.9305729
51,-57.9847677,-59.5897761,-55.8663706
52,-89.2352777,-13.3558279,-110.860354
53,-40.2160645,-19.2243485,-112.424116
54,-50.419282,-9.95428291,-101.959931
55,-34.5243282,-90.2631433,42.1550006
56,124.701329,-86.9949569,-52.9382674
57,71.2750653,-117.517655,76.9101009
58,46.3595597,-84.30186,-56.5207555
59,-24.9023678,-33.012642,-60.7114614
60,-102.797027,-30.0408608,44.2164887
61,-116.728011,56.5166593,-54.061414
62,28.3281572,63.4931553,49.6707888
63,14.9443945,38.240958,14.5035272
64,-7.11840158,-76.9311239,30.1497061
65,-19.2814513,-15.2089496,-30.4181284
66,0.166321583,-35.7948064,-85.7907845
67,-16.843841,-40.1499171,-13.760101
68,-118.990531,17.7251647,52.5182995
69,-65.8510747,-62.40625,-49.0097043
70,-29.6892918,11.9457676,-131.010053
71,-83.1410319,53.9624017,-68.9484276
72,70.0039252,1.0935488,-96.5512292
73,-33.9034316,-23.4688846,-22.5419604
74,-74.6049287,-11.1839148,-125.695467
75,-127.56356,-32.8733869,-93.2837585
76,-8.62957048,62.2073632,-106.184081
77,-9.64139187,50.7416151,-22.6607761
78,-69.7559528,-18.3269459,-44.2700183
79,-30.1248726,4.95722807,-138.792283
80,130.48188,-30.1391951,-54.1200832
81,-43.2843921,-45.9521785,-104.751199
82,-51.5545403,-42.3897072,-117.099053
83,-90.9081593,98.6361875,44.8601779
84,-60.803066,-63.4254636,-91.7209929
85,-63.2443691,108.745668,-50.2925657
86,-52.6597206,78.2799639,-51.2958977
87,-68.7634555,-105.891887,-96.4798395
88,-68.5077939,-83.8479831,-72.6920763
89,-116.005971,-206.701734,-157.795671
90,-112.152054,-73.4291673,-35.4058469
91,-74.8568457,3.86326528,-100.254231
92,-9.70553439,-41.3458927,-15.328802
93,-28.17975,23.1580058,-95.9436595
94,11.0993522,52.6835069,-34.7996881
95,-18.0516401,57.3498581,-50.6832987
96,-28.1405632,-10.3358422,-93.7667519
97,-49.1423143,-35.5103506,-26.601449
98,-21.5281655,64.8171912,25.5416079
99,83.2366159,100.247263,-46.4785535
100,-44.2073138,-10.6695567,-131.636571
101,-113.706581,-18.3521563,-25.9654923
102,-67.4610151,-68.80067,-61.2768979
103,-51.213394,4.60080805,0.325299763
104,22.2621492,166.781432,36.9391459
105,-99.8692237,-41.4040791,-87.0668292
106,75.9017811,-41.7620033,58.9877747
107,49.8250166,-107.282765,52.1701984
108,-42.6793975,-41.1056848,-98.9149862
109,-112.705432,-7.01273191,-93.0333615
110,-62.5262125,1.65869962,-115.168092
111,-25.9409989,-10.6370236,-55.2456268
112,2.63374604,98.1220902,34.1392481
113,89.110856,111.870689,43.1805842
114,88.8803453,55.6019464,48.8884025
115,1.60310229,-145.576448,7.3035162
116,-33.8821341,-12.9712226,-95.6304748
117,-125.630482,86.2010389,16.4141783
118,50.2664502,41.0586948,79.4210576
119,-21.3404862,86.007894,65.2154609
120,88.5044799,99.2977442,64.977368
121,-49.0504341,-112.049588,29.3859431
122,80.9709628,26.752189,-53.959529
123,67.4861873,12.6946974,53.4630203
124,-23.132223,-347.579696,126.305596
125,-28.3749741,16.2992522,-61.2986973
126,-28.2496163,-23.9116622,60.6275679
127,74.9810624,-119.416448,23.9849128
128,-26.5458953,-17.632187,-89.0032409
129,-62.6193901,12.1459621,23.1092894
