ID,X,Y,Z
0,-46.8967565,-46.4770207,-49.8690297
1,-45.7273304,75.4744622,75.6883055
2,-26.2181782,55.0908432,77.9156956
3,8.8755426,-10.5341522,112.233283
4,-3.95860374,-92.447221,-6.92153452
5,-16.3034694,-70.7509304,-53.0907897
6,77.333984,66.7377632,113.035322
7,40.1179141,-78.3082238,-102.24113
8,-42.888216,-107.725476,-80.359426
9,-61.1245899,-46.810449,-47.1322509
10,-43.3617256,-19.3883137,-122.00877
11,-60.6293422,77.5821565,11.1850091
12,-28.3609727,35.4325529,-13.1235479
13,-24.5682479,-4.5326797,-82.3056425
14,-5.0947909,-15.5848079,-31.6568962
15,-80.765111,-27.6366734,-31.9762973
16,-62.2511059,-80.4927072,-59.7804386
17,-87.5494132,-70.6036892,9.28542968
18,22.6676197,-19.6632271,64.2036744
19,-96.4275791,-86.0555854,8.84488512
20,-49.6860256,-30.7060735,44.0753784
21,-69.0148709,90.5681918,-68.9671171
22,-209.484078,-322.272556,-229.287393
23,48.3651717,94.5624116,57.3397633
24,-32.6225497,47.9932257,-32.8610694
25,9.71388628,-43.8656382,-83.2125677
26,-72.8420991,-71.6783932,-55.760556
27,-48.4870989,2.80820853,-87.7035702
28,-122.513363,82.9638871,20.0614178
29,-62.7533523,-38.7582151,34.2447316
30,31.4654421,53.5300415,-47.8790755
31,20.6635816,-6.75168714,-116.850846
32,-85.7271479,-89.2969421,-8.04615621
33,-226.601966,-344.581473,-142.820341
34,-46.1330444,-11.0471111,-118.232611
35,-65.204717,88.4236366,81.1675496
36,-35.1717869,126.419892,11.617351
37,-16.8281663,-44.1071439,-70.1742593
38,-23.0906257,4.84534951,123.008867
39,-21.1271382,-71.9116676,103.185473
40,-45.5054967,24.820692,62.9058643
41,-28.6941904,-60.8545097,-88.2784944
42,-8.89044948,28.6355493,-14.6436011
43,-4.74511077,-15.5341599,-71.0826482
44,98.3562281,2.05748581,89.4253792
45,-17.5321318,-74.3595673,83.0196635
46,-27.371672,-5.9379191,40.3886997
47,-59.9199123,27.3010365,-24.1368026
48,-44.6536927,-39.6336485,-93.0301601
49,8.41775604,-45.9168509,-97.5869586
50,-38.7134621,-5.26562011,2.44912417
51,-41.8573766,27.7697146,38.3007691
52,5.23651108,-50.6811175,-46.3750193
53,-97.2632276,36.6739569,-24.0111714
54,-22.1303448,-59.2777969,-46.8579951
55,25.3643322,-117.07802,40.5984084
56,-50.1538335,-105.698216,79.249416
57,-29.7032333,-49.4516498,-38.3453556
58,-44.5325246,-8.65360329,-33.504427
59,-46.4939758,110.205055,93.2251977
60,96.59112,-16.2952434,-1.43243098
61,-34.1130594,-87.813178,-21.9042088
62,-60.1257474,-52.1744518,-117.908935
63,-36.8070628,-12.4084213,-82.5389847
64,-21.5185738,-76.3569781,-73.4118383
65,-38.4871293,-62.5856128,-141.971617
66,-22.6463953,-26.6160173,-69.0065025
67,-51.9313432,-40.6045964,52.577755
68,-20.5711516,0.013160659,-78.4876354
69,-131.586544,-12.5774678,-29.3275238
70,-99.8167856,23.7801554,6.4785569
71,-91.6160557,31.8217664,-4.06259029
72,-70.2426723,-118.94777,18.838746
73,-97.4891011,5.0962541,-26.5168579
74,-35.5583355,29.610147,-28.6611846
75,139.557401,31.1143212,50.7877163
76,-74.2547021,5.23575793,103.106117
77,-35.002425,177.702744,157.381803
78,42.4936045,-18.4772647,89.6173096
79,-0.221512519,-77.9507459,-87.4973206
80,-109.777913,63.0129555,-36.455127
81,54.5752578,8.15128278,-37.436834
82,-46.6623844,89.1242021,-4.64668524
83,45.2688754,-3.57213355,-71.1461376
84,-64.2253744,-41.8403913,-85.5118796
85,4.55568471,67.1678728,11.4489606
86,-56.5577733,48.1799159,-87.9599783
87,-11.5962775,-23.15382,-35.8896397
88,-128.702443,-30.7931931,38.1521387
89,-88.9675294,23.5802188,7.46600435
90,-33.7505998,6.61969931,-84.4281804
91,-94.5321201,23.0178059,64.8836182
92,-15.0290504,39.9056763,-116.941685
93,-6.04177503,58.3941917,59.1062818
94,36.6605705,58.1374844,38.0947991
95,-128.131876,1.50437938,-19.3796869
96,5.93692426,9.11386102,-48.7185299
97,-33.7202126,135.580058,-27.4482048
98,50.182335,93.0939829,-2.78206291
99,-36.8102208,-15.858599,-11.0757051
100,-34.6941137,-17.69304,-149.460886
101,-36.4924261,17.9716651,29.539606
102,-98.1765037,-49.0215036,52.7728802
103,-10.113873,17.5302955,-45.8660935
104,-11.349076,-101.314393,-15.8406674
105,-79.2538467,-90.8416931,-78.5900098
106,-1.05345876,56.7317958,5.4908361
107,-86.3141035,-39.1179945,-112.507552
108,-9.22584495,-31.5022616,74.277458
