ID,X,Y,Z
0,-8.10734299,-6.05041864,8.7081966
1,-4.14853565,6.34637619,12.6797934
2,-9.27196284,-10.2344363,-14.8101632
3,24.5482573,-33.9433371,-24.3140393
4,15.0872246,1.3172396,20.938599
5,-13.7393136,-11.8523064,-12.3505669
6,39.3647784,69.7836484,-69.0448985
7,-14.8961335,93.2169084,71.5850776
8,17.6383363,0.429064253,19.8319694
9,29.9463513,-28.4822037,3.53811437
10,-14.9735925,-0.71662252,9.98214762
11,-23.9440184,-62.517604,-40.7236601
12,4.39650855,-2.62238813,10.2627807
13,1.21044089,1.02395674,-1.46226759
14,11.686645,-11.4304661,4.11413117
15,-14.4711669,-0.302223635,-2.42683131
16,-2.95696103,-9.0855814,19.6525865
17,-4.14170001,-13.7231452,0.888605723
18,-16.244893,-1.94893859,5.8460565
19,10.7782125,7.61570635,1.94991056
20,-16.0436252,-3.742169,1.20088441
21,-13.7078901,-21.9704662,23.0235158
22,-9.86617416,-13.7447268,3.89970325
23,-11.3089992,21.5500522,22.9426371
24,-22.7239469,-21.4136797,54.3082112
25,14.8269781,13.4442283,15.101932
26,4.01614967,4.70141911,5.97571658
27,-47.7808461,-45.5824029,-88.1332455
28,-17.9474777,-4.1511234,-5.7151837
29,12.4766923,-20.1187879,79.1672738
30,-9.75362706,-6.3841967,6.60131684
31,-2.51314416,-1.73245594,-6.45228769
32,25.9478075,77.3332964,45.0946008
33,53.9206436,-26.2010065,11.7278254
34,-8.42595293,-8.60374599,12.7062729
35,9.74761155,-5.64944126,19.8417453
36,37.4917471,-55.2920305,21.8286963
37,-15.4935479,34.6784889,-9.89132798
38,-4.1376396,-2.41081101,5.59723672
39,-4.03767118,14.4660939,6.64566994
40,6.31863541,3.85976843,12.4110047
41,18.9141378,-8.01461473,-7.27626695
42,-2.41919257,-22.9768614,20.2373142
43,-2.50110192,-6.08229279,8.96730779
44,-46.2139919,20.5510351,5.45164365
45,7.43462213,10.7788711,19.1299017
46,-0.850517181,-20.0757181,5.90901083
47,-18.3969818,-10.863929,2.23610337
48,-7.24133438,-13.9684966,22.486928
49,-17.2729942,5.02971484,8.3278928
50,-3.12910699,-6.61827407,14.3005094
51,6.58471436,13.5819686,3.00814137
52,8.95611724,17.2469614,6.38875118
53,-13.0492543,-8.35262928,5.29489074
54,-9.73775771,-18.8201591,12.0799515
55,13.8969793,-11.5508031,10.2295884
56,-4.96955465,1.83475004,4.62599383
57,-12.2652229,17.4915328,11.7382059
58,-10.8825662,0.59902551,11.9743814
59,30.1631949,-28.5676987,3.46074506
60,-4.07907588,39.0046961,-23.2916684
61,-48.2634142,-47.9679038,79.1461446
62,-12.8925555,11.3972198,6.84198386
63,-5.63723914,3.54502615,-3.25489827
64,-3.38076016,8.61205059,-78.9402681
65,-11.81522,14.4509562,13.3008232
66,1.91429944,-38.0169378,16.2703245
67,46.9467841,5.656984,-6.76031916
68,-4.63739559,5.43533107,11.4167389
69,-25.453322,29.5139333,-15.7959519
70,-2.16178604,-7.76015454,-2.99741493
71,-37.216021,42.871297,65.407789
72,-5.09601753,6.20042785,2.89014779
73,-5.45236555,14.6095172,-13.1386958
74,-4.24247096,-7.72004227,-11.1503615
75,17.6818907,-55.0990398,26.6982155
76,-6.04157383,-0.636272769,-1.3767592
77,-1.58155691,5.57472384,-11.2261661
78,-42.639646,-32.5521829,59.3777045
79,-5.7216514,3.72073546,24.9113163
80,-11.9813511,-24.9829687,-13.2154027
81,5.26391644,-1.77317868,-6.8039964
82,-11.0532024,-9.34838929,-18.7960752
83,30.0794733,-8.58454893,11.9555844
84,-13.1856499,5.08425548,-0.954921902
85,-17.3936834,5.27362202,8.1905916
86,-12.0030297,-3.10258274,4.13286591
87,-9.382957,-2.48368988,19.6583698
88,-329.33693,-358.103061,-141.73458
89,-8.71122358,-15.3333709,9.98633277
90,-9.02421067,-45.1138583,-43.6466633
91,-8.66884928,-5.49433041,-8.68746509
92,-9.6364688,15.9404613,8.33206959
93,-5.88282168,-19.4541255,8.30144548
94,-9.41342454,-12.984453,5.71568485
95,-4.44216754,-17.4323345,5.0523542
96,11.7903177,6.64850008,-12.2247043
97,11.3382589,-2.31695431,18.9875331
98,-4.57473109,-21.9897855,8.18741507
99,-7.1888706,23.9460216,14.3562125
100,114.084402,53.8868626,95.1218964
101,-8.36261721,-7.1747323,-11.7786503
102,-8.74461639,1.7743768,-0.960893637
103,-22.0643289,6.98339123,-9.3554252
104,-1.09522286,-16.9278488,7.85977397
105,-14.1768844,-13.9066538,10.268699
106,0.974681526,-22.6139174,1.09872587
107,-16.5260909,-5.60358374,0.700024663
108,12.9131645,14.1588869,-7.6657784
109,-16.4790004,-1.80755379,15.8047328
110,4.63615856,2.51100472,-3.05906307
111,13.2160464,18.0681217,-43.7367699
112,-5.44672048,8.92241987,5.36533725
113,-8.47901338,-7.72911008,13.1504705
114,-13.1906878,1.40862721,-0.824937202
115,-23.1681332,4.69509682,2.87807712
116,-8.38737421,52.6766343,57.6118472
117,31.2245704,17.7181185,14.8373004
118,55.4276422,-53.8210122,16.7398613
119,8.50572143,13.9583452,11.4980456
120,3.89581695,-3.88601753,-0.405853902
