ID,X,Y,Z
0,18.56152,0.13404,63.11661
1,57.85193,0.42402,108.88979
2,59.03044,0.52629,-2.85223
3,130.82803,1.37167,20.62123
4,112.53923,2.13055,-63.08489
5,105.72001,2.38205,106.59583
6,78.56845,1.7887,56.20413
7,57.08265,1.33538,-87.7747
8,101.91631,2.52673,100.07419
9,91.85878,2.38565,108.05546
10,139.37305,4.30043,16.81378
11,136.16426,4.39048,-27.99706
12,74.15988,2.51874,-30.7486
13,22.07351,0.77139,-109.52702
14,104.16445,3.65064,63.59936
15,129.71771,4.54767,-75.03432
16,83.66049,3.28669,99.27925
17,101.76085,3.99936,54.71469
18,20.84145,0.84896,114.94517
19,63.02035,2.71523,-120.13133
20,95.57253,4.19495,100.42381
21,50.44602,2.29148,82.37144
22,86.00641,3.96968,111.46511
23,89.759,4.37255,105.39261
24,123.48891,6.2522,82.40092
25,79.44739,4.5218,94.5883
26,54.7441,3.15908,103.30791
27,96.49054,5.73941,104.35989
28,67.38461,4.04815,-76.79768
29,75.03477,4.60184,49.20503
30,85.39445,5.52378,-21.61765
31,100.58289,6.56221,41.30739
32,61.97783,4.0586,9.63558
33,111.96991,7.42521,57.87793
34,135.90616,9.47657,10.12684
35,132.73475,9.33398,18.97457
36,67.19876,4.80459,64.1449
37,126.82614,9.18372,-30.30235
38,97.11793,7.03758,27.62191
39,69.67284,5.08409,98.51878
40,111.47248,8.14564,83.09796
41,96.80514,7.09222,24.05128
42,60.43946,4.51589,48.5243
43,130.17057,9.79177,57.02442
44,96.87333,7.47299,96.2998
45,60.34989,4.66577,-108.30215
46,34.54457,2.76853,25.91166
47,109.52156,8.86483,53.92552
48,76.43273,6.24317,75.70323
49,76.52017,6.35054,93.79079
50,21.3133,1.94242,-0.3254
51,123.40167,11.33394,28.08973
52,83.09049,7.69128,60.35774
53,55.18608,5.20606,-126.30266
54,79.28841,7.50448,58.32677
55,150.86953,14.68488,-13.77345
56,65.12582,6.43387,-118.2317
57,116.2995,11.6238,66.00392
58,121.95263,12.81608,-7.44691
59,85.8411,9.43083,105.61402
60,117.17116,13.18065,49.91672
61,81.34079,9.33921,-103.44542
62,16.90162,1.94078,-16.24626
63,123.92463,14.95094,35.85252
64,108.00397,13.08217,-39.8871
65,95.87133,11.68792,101.97119
66,57.55905,7.12509,56.78527
67,59.30332,7.34495,-133.66338
68,127.0816,15.87192,81.39356
69,98.55376,12.91248,104.32157
70,48.84767,6.45743,28.16357
71,50.16701,6.68877,-22.30913
72,133.63691,17.88588,60.32958
73,81.97004,11.03216,-117.99055
74,112.57948,15.21442,32.65583
75,20.61146,2.79086,137.12778
76,103.91069,14.08245,92.84363
77,139.16662,18.9388,-24.97903
78,34.39456,4.74423,-39.66556
79,72.21493,9.99025,14.87504
80,23.75862,3.29212,-47.00435
81,59.74396,8.28416,-110.38201
82,100.40332,13.96738,-3.17441
83,130.04195,18.10535,8.62003
84,84.31635,11.93771,59.61432
85,20.859,2.99931,-41.41519
86,47.78488,7.0109,-142.40918
87,124.75273,18.35834,-1.33978
88,132.04962,19.53402,49.73288
89,88.89464,13.41371,-82.18093
90,70.8457,11.04833,117.82949
91,67.43424,10.52505,94.64404
92,123.78517,19.35617,-59.49133
93,59.169,9.39726,85.0814
94,45.23652,7.18803,-19.29396
95,117.09376,19.22557,24.00524
96,80.44121,13.47558,-99.77003
97,81.92614,13.86209,103.59707
98,37.72463,6.42765,-126.25386
99,96.09892,16.46299,-46.7047
100,79.46256,13.6999,99.6723
101,104.48855,18.44012,-85.75581
102,103.10729,18.32953,46.73504
103,81.68999,14.80501,128.68262
104,69.07845,12.55754,90.50753
105,126.6418,23.24288,59.0286
106,124.26257,22.89029,64.89804
107,35.49861,6.5427,-54.5389
108,38.92764,7.45297,-62.12566
109,35.78083,6.86896,39.10459
110,63.30557,12.2684,42.37489
111,66.82751,13.0624,-79.40492
112,133.11982,26.42487,-53.20232
113,48.04118,9.54553,-45.16028
114,60.27013,12.06688,88.50887
115,22.58874,4.56,85.93168
116,98.20814,20.18221,101.76444
117,133.66659,27.80093,-61.40536
118,110.11314,23.86328,72.95783
119,56.93775,12.52402,64.21355
120,47.3458,10.43424,104.36335
121,68.80389,15.27317,-66.6366
122,62.68076,13.98311,64.22656
123,23.5071,5.312,112.93057
124,64.41189,14.86166,78.83316
125,125.01892,29.13939,31.17174
126,99.14827,23.23474,103.41552
127,103.7389,24.48926,-33.91849
128,50.30007,12.02773,67.86354
129,88.54,21.25147,-42.54172
130,72.24579,17.51118,111.54747
131,103.3536,25.09315,37.01306
132,8.00582,1.95454,74.73498
133,138.57752,33.92391,55.00397
134,90.03967,22.08879,28.18513
135,43.47521,10.68799,94.05512
136,96.82733,23.82886,42.66374
137,81.99671,20.22376,45.96846
138,86.59924,21.36701,75.865
139,72.27366,18.01159,38.29506
140,31.70681,8.01593,26.01355
141,118.6968,30.04486,-58.04302
142,82.6802,21.09042,121.64577
143,27.47597,7.01511,127.60604
144,119.86792,30.79312,-42.61068
145,36.52572,9.42997,145.80134
146,54.4673,14.12733,-15.79844
147,98.71734,25.65614,104.14556
148,118.24809,30.75447,47.89369
149,44.76532,11.68482,105.65464
150,82.72583,21.94857,72.21276
151,100.53818,27.09406,74.79665
152,34.2653,9.26384,102.98714
153,113.18247,30.60433,90.91838
154,57.03502,15.93509,-36.36364
155,108.51692,30.3658,92.81019
156,76.14768,21.44165,69.60949
157,67.32824,18.99631,76.01402
158,137.78136,39.36877,16.99784
159,82.31607,23.7949,100.76992
160,65.29865,19.24386,26.7788
161,60.84974,17.93635,24.94481
162,138.93533,41.27238,-49.44922
163,30.48178,9.08384,61.78657
164,93.12213,27.75636,-106.39746
165,105.87193,31.71267,17.24493
166,94.30277,28.33627,14.98398
167,35.11474,10.55438,106.075
168,75.19761,22.69566,118.10985
169,62.64781,18.91884,-29.13158
170,43.48106,13.25141,-40.19716
171,44.21131,13.50659,17.50453
172,41.45493,12.67641,41.77801
173,43.76805,13.39452,-85.62069
174,57.02122,17.58659,-63.25131
175,112.58866,35.28329,-24.38802
176,33.61656,10.70489,90.85664
177,22.93101,7.35118,34.58282
178,117.0779,37.89467,90.75657
179,92.20502,29.90231,106.89535
180,14.22449,4.6407,82.12051
181,88.54123,28.90386,117.19763
182,55.07333,18.0955,-45.0576
183,45.59177,15.01136,60.56573
184,72.76276,24.12391,89.06142
185,42.57204,14.18866,5.96796
186,117.95141,39.91034,-38.64034
187,126.63644,43.35348,2.1318
188,86.93061,29.88813,-40.8761
189,113.57292,39.69415,63.92841
190,39.00532,13.63298,-94.56635
191,95.862,33.80812,-13.67043
192,63.45631,22.40867,4.25107
193,69.58993,24.63824,-94.84929
194,132.39559,47.05103,6.25925
195,75.99063,27.06761,-34.2631
196,104.6257,37.45297,84.9211
197,79.69521,28.79668,43.66944
198,113.65736,41.25834,-1.07418
199,28.48294,10.40057,-97.64992
200,104.00446,38.30969,-2.53574
201,29.37135,10.84824,66.11341
202,24.70197,9.177,95.54054
203,75.63348,28.10792,89.86448
