ID,Node1,Node2,Marker
0,8906,8909,0
1,8906,9096,0
2,9299,9096,0
3,9299,8909,0
4,9299,8906,0
5,9096,8909,0
6,11514,11710,0
7,11514,11603,0
8,11771,11603,0
9,11771,11710,0
10,11771,11514,0
11,11603,11710,0
12,7160,7207,0
13,7160,7312,0
14,7388,7312,0
15,7388,7207,0
16,7388,7160,0
17,7312,7207,0
18,5126,4856,0
19,5126,5029,0
20,5087,5029,0
21,5087,4856,0
22,5087,5126,0
23,5029,4856,0
24,5680,5023,0
25,5680,5129,0
26,5664,5129,0
27,5664,5023,0
28,5664,5680,0
29,5129,5023,0
30,4867,5061,0
31,4867,5411,0
32,5260,5411,0
33,5260,5061,0
34,5260,4867,0
35,5411,5061,0
36,4323,4220,0
37,4323,4454,0
38,4376,4454,0
39,4376,4220,0
40,4376,4323,0
41,4454,4220,0
42,8484,8273,0
43,8484,8170,0
44,8284,8170,0
45,8284,8273,0
46,8284,8484,0
47,8170,8273,0
48,7939,7731,0
49,7939,7849,0
50,7779,7849,0
51,7779,7731,0
52,7779,7939,0
53,7849,7731,0
54,7126,7150,0
55,7126,7206,0
56,7043,7206,0
57,7043,7150,0
58,7043,7126,0
59,7206,7150,0
60,1864,1955,0
61,1864,2005,0
62,2126,2005,0
63,2126,1955,0
64,2126,1864,0
65,2005,1955,0
66,4321,4420,0
67,4321,4438,0
68,4210,4438,0
69,4210,4420,0
70,4210,4321,0
71,4438,4420,0
72,8795,8522,0
73,8795,8621,0
74,8560,8621,0
75,8560,8522,0
76,8560,8795,0
77,8621,8522,0
78,7554,7539,0
79,7554,7673,0
80,7592,7673,0
81,7592,7539,0
82,7592,7554,0
83,7673,7539,0
84,4104,4258,0
85,4104,4342,0
86,4222,4342,0
87,4222,4258,0
88,4222,4104,0
89,4342,4258,0
90,5615,5861,0
91,5615,5833,0
92,5915,5833,0
93,5915,5861,0
94,5915,5615,0
95,5833,5861,0
96,776,1214,0
97,776,1076,0
98,895,1076,0
99,895,1214,0
100,895,776,0
101,1076,1214,0
102,9759,9325,0
103,9759,9431,0
104,9674,9431,0
105,9674,9325,0
106,9674,9759,0
107,9431,9325,0
108,11182,11358,0
109,11182,11370,0
110,11289,11370,0
111,11289,11358,0
112,11289,11182,0
113,11370,11358,0
114,6547,7047,0
115,6547,6880,0
116,6527,6880,0
117,6527,7047,0
118,6527,6547,0
119,6880,7047,0
120,6468,6464,0
121,6468,6562,0
122,6670,6562,0
123,6670,6464,0
124,6670,6468,0
125,6562,6464,0
126,4687,4629,0
127,4687,4675,0
128,4531,4675,0
129,4531,4629,0
130,4531,4687,0
131,4675,4629,0
132,7323,7346,0
133,7323,7338,0
134,7437,7338,0
135,7437,7346,0
136,7437,7323,0
137,7338,7346,0
138,7505,6143,0
139,7505,6649,0
140,8482,6649,0
