ID,X,Y,Z
0,0,0,0
1,52.95794,0.02084,19.31343
2,85.20962,0.09361,37.10201
3,94.28446,0.12514,-40.90366
4,52.09682,0.07216,-50.82198
5,77.77346,0.11601,-68.31981
6,7.95927,0.01542,-41.18425
7,66.40084,0.1496,112.99578
8,20.24168,0.04741,-63.05588
9,35.55067,0.08864,-47.34518
10,26.99964,0.07437,-62.64186
11,17.91077,0.05431,33.93651
12,87.72547,0.31709,65.58008
13,91.72447,0.35134,-20.88771
14,62.7822,0.26494,-13.14292
15,42.5219,0.18098,-3.66945
16,80.24461,0.41295,-51.62923
17,37.72667,0.22961,31.22279
18,86.55733,0.5615,51.4684
19,81.66092,0.55084,-13.56317
20,49.7495,0.37054,-0.18885
21,144.95258,1.26581,-13.22792
22,58.31894,0.53085,-88.16377
23,11.04175,0.1041,5.64682
24,65.23792,0.64773,-15.55167
25,148.63355,1.56202,-15.77812
26,93.82126,0.99162,17.85874
27,101.54359,1.14642,34.64166
28,129.27854,1.49409,-19.29428
29,79.85246,0.92944,100.29594
30,46.30375,0.56283,1.72259
31,110.88195,1.45571,-76.91112
32,60.16393,0.90092,22.69571
33,34.77932,0.55976,-18.80428
34,43.03198,0.73013,-23.2646
35,37.07178,0.63074,-58.94675
36,59.5557,1.02645,-55.91821
37,91.03931,1.64102,-44.19886
38,106.97944,1.96328,-19.13869
39,75.76136,1.41137,-36.81862
40,118.19259,2.22604,-44.35997
41,58.0323,1.10292,13.35441
42,100.34662,1.97178,-12.26176
43,13.28588,0.26537,-56.98485
44,130.03346,2.67377,39.93689
45,83.88135,1.74996,65.96044
46,103.5299,2.19026,99.89806
47,30.25602,0.64525,20.92343
48,23.51364,0.50636,10.11415
49,82.16848,1.77456,-26.98775
50,15.32175,0.33279,-42.59632
51,116.04005,2.54157,60.87189
52,40.88294,0.89945,-29.72704
53,114.50085,2.52721,2.07474
54,143.84423,3.17842,-1.26291
55,25.66624,0.57423,-33.03912
56,32.01959,0.7213,-62.4405
57,89.82649,2.02641,3.76157
58,147.81422,3.46462,9.31805
59,84.2934,1.97874,-55.80671
60,25.91404,0.6189,-47.20098
61,41.68663,0.99678,17.03781
62,97.89511,2.38641,-107.12542
63,24.96941,0.62041,40.46297
64,111.14173,2.76424,26.47826
65,109.98706,2.75257,-82.24209
66,17.41526,0.4446,87.48847
67,46.15518,1.17844,-117.51834
68,30.01122,0.76942,-26.79755
69,65.35222,1.73605,-39.97471
70,10.61349,0.28992,17.28321
71,16.79028,0.46247,-19.37355
72,90.50562,2.54098,83.70358
73,98.17224,2.90173,-24.0307
74,53.3162,1.60548,-3.37993
75,52.56785,1.60815,33.9849
76,136.47069,4.24912,-58.05811
77,51.90886,1.65454,19.90029
78,121.39334,3.88116,3.53064
79,75.34099,2.50996,63.58621
80,138.89883,4.73308,-27.33985
81,25.88021,0.88844,37.78684
82,86.2184,2.96758,-7.32748
83,124.35717,4.33526,-31.54805
84,96.0351,3.44565,-91.66128
85,26.70216,0.96428,-7.07182
86,100.87,3.65137,-15.66907
87,86.64097,3.16794,34.89546
88,39.46987,1.45216,4.58165
89,36.17155,1.34156,-83.30231
90,3.44773,0.13229,61.47961
91,75.59269,2.95112,17.19353
92,12.73574,0.49758,29.25201
93,42.17308,1.65573,-35.08595
94,84.97473,3.35313,27.97979
95,83.90006,3.31078,-115.57673
96,94.11966,3.71697,16.35456
97,61.12998,2.4169,-102.9556
98,46.98013,1.85809,40.64587
99,116.1873,4.64286,-91.79775
100,47.48867,1.91662,30.25104
101,40.93685,1.65503,19.3511
102,49.41639,2.01155,15.62633
103,63.37851,2.59756,-55.22633
104,68.40966,2.82725,23.7302
105,50.87588,2.11268,-34.48921
106,54.25613,2.32323,-47.029
107,79.10451,3.38841,-9.49898
108,69.54405,2.99387,10.34493
109,33.96841,1.46554,-40.90639
110,101.60059,4.41814,96.29895
111,126.5191,5.58607,-68.29767
112,71.64575,3.24802,-17.86053
113,129.80839,5.93645,31.42472
114,48.23416,2.23789,-56.10085
115,62.55735,2.90957,14.25134
116,97.96462,4.60406,-78.76479
117,40.54333,1.93537,45.25427
118,55.67247,2.74761,-35.92269
119,49.12359,2.44713,21.71156
120,31.01218,1.55939,-36.52294
121,30.33713,1.52968,-50.37386
122,47.81172,2.42717,8.72461
123,89.91766,4.62813,-58.9943
124,126.24794,6.50176,20.33898
125,57.77607,2.97796,-18.30498
126,94.77758,4.90392,-33.98678
127,77.68196,4.02024,-55.5801
128,30.29654,1.59923,-49.55643
129,87.69212,4.71283,-75.39097
130,58.94893,3.17422,-92.68648
131,48.31856,2.63163,17.83711
132,40.64217,2.22725,-24.32107
133,116.86644,6.47701,42.07369
134,110.09679,6.444,56.16312
135,125.78087,7.53718,42.49355
136,45.39487,2.73149,96.92808
137,11.53053,0.6992,-42.19172
138,56.51847,3.43945,-73.914
139,149.18002,9.13821,2.26629
140,100.93334,6.20423,-94.92427
141,41.33146,2.54069,-8.28278
142,43.74818,2.74033,-22.84872
143,21.93944,1.37603,38.60467
144,117.60207,7.41206,-60.4806
145,55.36313,3.54399,-46.21165
146,80.469,5.15235,17.48726
147,124.33243,7.97111,-32.92944
148,88.8118,5.8439,-59.0981
