ID,X,Y,Z
0,53.06535,0.0168,3.66089
1,45.36101,0.12006,14.71157
2,48.93537,0.2604,12.17822
3,30.4781,0.18569,20.777
4,30.51202,0.19007,-9.29827
5,126.52163,1.08197,-13.32964
6,5.87103,0.05482,-14.73908
7,30.21133,0.32286,-31.31807
8,30.26272,0.43802,2.48146
9,45.26537,0.77407,-41.57071
10,112.12209,2.12084,94.46576
11,8.01507,0.18081,8.24041
12,3.46535,0.08073,-2.64555
13,7.18804,0.19811,-16.02952
14,20.89095,0.77111,6.56108
15,39.33773,1.55346,20.62615
16,25.35717,1.22623,-2.57153
17,40.90082,1.97798,3.73287
18,37.49383,2.15376,13.9537
19,9.44866,0.54662,25.08348
20,3.16733,0.18859,19.30277
21,93.56129,5.96909,34.50628
22,142.59381,9.1215,-49.01164
23,4.9955,0.33751,-1.44822
24,16.07258,1.12629,-18.05848
25,18.79688,1.33389,6.80746
26,14.22351,1.03231,-17.15888
27,11.29069,0.84394,9.82423
28,20.4122,1.54653,11.43223
29,22.15082,1.69519,-38.40275
30,34.72871,2.68423,-5.31908
31,15.9082,1.27131,2.87228
32,2.55743,0.20511,2.47951
33,12.47918,1.16458,-12.8634
34,13.78085,1.30421,-14.38026
35,15.47248,1.48529,-9.48994
36,48.79009,4.78782,5.73138
37,46.27507,4.54952,51.25557
38,13.23843,1.35056,-16.37086
39,21.49326,2.27304,-40.96591
40,17.7619,1.96427,-32.93097
41,5.49508,0.64752,15.32076
42,109.59006,13.4602,-22.78269
43,142.03221,17.46918,46.20174
44,96.83208,12.07836,-81.63475
45,87.85105,11.7558,6.72517
46,59.25394,8.13096,2.05175
47,100.42192,14.06777,103.25103
48,11.53416,1.63362,-22.95306
49,3.87949,0.55294,9.33874
50,25.13329,3.65406,22.86893
51,34.16699,5.41179,-5.79769
52,13.88445,2.33941,18.23892
53,16.16411,2.84826,-15.99046
54,44.60357,8.16229,27.53621
55,58.63569,10.90409,-77.32851
56,19.02154,3.59424,13.83281
57,25.48226,4.83125,10.82785
58,38.00977,7.33491,17.14285
59,31.37093,6.18549,-10.97688
60,23.43534,4.71131,-30.1877
61,47.34332,10.02156,5.11356
62,13.52005,2.93701,-16.57301
63,9.44609,2.15773,15.68911
64,17.7208,4.24484,18.83294
65,107.93184,26.22379,90.48928
66,15.16609,3.74046,-19.87406
67,26.27094,6.5431,-29.18518
68,17.50184,4.46682,-22.77683
69,2.4656,0.68937,7.7325
70,27.17109,7.64677,30.3198
71,14.75737,4.17793,5.61199
72,28.92212,8.33443,-47.58621
73,16.62953,4.88934,-40.33114
74,20.42708,6.11801,5.82284
75,20.8709,6.3084,-43.53029
76,18.8132,5.86012,-9.05868
77,35.57669,11.15734,-4.69663
78,47.40547,14.8855,35.60015
79,3.378,1.1057,-1.08671
80,9.17891,3.09654,-13.3053
81,22.32727,7.82529,-5.57672
82,14.37219,5.08146,1.46124
83,20.31136,7.21908,-4.93629
84,22.56787,8.38014,10.88507
85,15.0356,5.60349,-17.03586
86,52.87533,21.01072,11.45395
87,15.24668,6.66206,37.30752
88,6.60281,2.88853,34.0897
89,13.00315,5.88069,-16.53087
90,25.04553,11.63849,-29.11281
91,32.28879,15.15459,-21.20154
92,61.20379,28.98932,-88.39936
93,22.73659,10.95719,-22.88793
94,10.10005,4.89019,0.84839
95,15.25038,7.54532,17.95187
96,17.22061,8.78026,7.50036
97,15.39826,8.17067,-3.32596
98,50.33502,26.83183,18.45765
99,59.86592,32.38525,-71.23119
100,82.756,45.35548,15.30104
101,37.91688,20.85168,5.42543
102,31.48376,17.38439,1.81154
103,37.8391,21.13248,24.83199
104,112.46462,63.45393,68.09583
105,86.34919,49.22188,100.91471
106,44.71582,25.55011,25.28383
107,25.83122,14.79425,1.83068
108,5.4437,3.1235,10.25044
109,7.69005,4.66953,-2.85639
110,32.41334,19.76637,3.78755
111,49.2423,31.20076,5.79607
112,106.16277,68.02421,12.87967
113,8.68469,5.65969,0.64856
114,24.17775,16.21035,3.82979
115,12.00896,8.21975,-20.02262
116,105.22164,73.2307,-6.66702
117,6.50073,4.64724,8.83761
118,13.77417,10.27276,59.96986
119,102.16215,76.51421,82.06725
120,17.40238,13.2055,13.78845
121,20.73444,15.75418,5.57736
122,100.4643,77.47029,-52.66659
123,28.17095,22.2229,4.93337
124,10.18918,8.24263,4.82722
125,35.15067,28.62755,9.8082
126,6.69744,5.57118,-14.04354
127,17.03562,14.38498,0.46631
128,30.71983,26.10552,4.22903
129,17.68444,15.35672,-3.63737
130,5.13825,4.47643,3.25398
131,24.84689,21.66679,6.38516
132,16.35506,14.56052,-9.33415
133,22.78991,20.53985,-6.38851
134,5.78119,5.3051,-10.46573
135,19.86742,18.48061,5.1002
136,3.72564,3.4848,-10.31345
137,28.56435,26.79766,2.24502
138,84.57743,81.53892,38.9254
139,25.52795,24.71054,-42.62962
140,13.15803,12.76899,26.61655
141,13.1559,12.76832,26.61793
142,47.11576,48.06252,4.81255
143,27.5126,28.29875,16.24336
144,53.65763,56.13721,62.52791
145,48.18454,50.50582,1.99387
146,10.14256,10.72937,0.50718
147,23.47478,25.02654,135.58563
148,21.85001,23.51916,-14.40536
149,3.48919,3.7768,20.688
150,7.2904,7.92264,11.04586
151,11.66643,12.7606,1.78981
152,36.13242,40.94597,8.77732
153,4.65254,5.36263,11.43626
154,19.80298,23.0595,15.03249
155,8.82576,10.34452,10.72106
156,26.08766,30.6124,6.54679
157,28.11315,33.087,7.90018
158,58.65013,69.54716,-1.69217
159,17.18188,20.37579,20.83374
160,47.38677,56.23183,-29.34965
161,1.52755,1.84223,13.52618
162,11.3878,14.07603,7.98003
163,23.41499,29.97929,15.38747
164,28.85545,37.28896,1.37361
165,12.9643,16.79342,-4.38485
166,14.01086,18.55684,5.93693
167,34.63848,46.4234,5.0248
168,20.90574,28.50967,24.39894
169,14.2522,20.57815,1.5801
170,12.06715,17.49554,30.60122
171,8.73867,12.92548,4.67143
172,9.2291,13.66655,4.93898
173,11.84974,17.65314,14.8728
174,82.19008,124.34265,-31.95856
175,9.76315,14.92495,-63.19134
176,9.44774,14.54438,0.84485
177,3.44195,5.30127,16.19232
178,22.46862,34.66351,5.1791
179,8.29076,13.08458,31.00829
180,17.54784,28.01138,32.99989
181,20.95517,34.28444,6.04733
182,7.96006,13.06516,-1.83169
183,19.11746,31.51165,8.16136
184,10.40604,17.45368,27.5228
185,33.45034,56.80375,-15.83629
186,34.87557,60.95584,-132.96992
187,16.09744,29.61841,7.14449
188,25.03183,46.90896,8.89199
189,5.32646,10.08303,7.58697
190,4.14862,7.90565,-12.01075
191,19.60386,37.43512,-11.08474
192,3.95555,7.82267,24.35014
193,1.90841,3.82452,34.40961
194,13.61821,27.78603,8.70159
195,6.1279,12.67244,33.01847
196,12.83821,26.62543,-25.51379
197,35.76251,75.70539,2.03668
198,12.08979,25.66158,-2.05763
199,7.85309,16.83954,13.74274
200,26.58619,58.19875,114.1853
201,15.90148,36.05344,11.20589
202,13.66221,31.68998,7.7686
203,13.82224,32.19012,16.8646
204,13.92542,33.07192,17.67286
205,50.99166,124.82578,36.39546
206,19.22901,47.11378,1.7395
207,15.45685,38.50202,3.00301
208,21.27883,54.40825,-104.54437
209,10.38483,27.32438,-55.15465
210,3.8228,10.18388,-2.12198
211,12.38363,33.5778,40.54847
212,35.47666,98.05875,-37.27828
213,6.76977,18.72395,-3.22326
214,24.42143,68.29843,-23.03605
215,5.77818,16.37803,27.48192
216,17.69786,50.48971,15.86229
217,2.93992,8.40955,3.06068
218,19.94937,65.33931,137.0564
219,3.51569,11.51623,1.36705
220,1.79416,6.01053,-9.25084
221,3.352,11.28522,-3.77336
222,11.55095,38.94934,-15.22139
223,16.36457,59.4072,78.37891
224,3.22982,11.79789,15.07547
225,2.81138,10.28396,12.63812
226,5.51327,20.40907,24.13164
227,6.94564,25.73286,0.83006
228,8.90322,33.63857,20.82314
229,7.90618,30.55982,5.55645
230,1.97201,7.69096,-3.08857
231,2.05644,8.1535,11.21264
232,22.41464,91.54205,-110.65224
233,1.97014,8.63306,-2.90601
234,24.61006,108.79596,13.50746
235,6.46381,29.33833,5.02886
236,28.22832,131.06183,-28.12835
237,11.04073,51.38667,9.38264
238,0.58078,2.70835,-2.77036
239,2.45818,11.7413,4.28689
240,7.32734,36.00345,-14.82492
241,4.60017,23.19614,-3.04856
242,1.68845,8.82782,9.30687
243,11.90541,64.51297,6.88929
244,1.19251,8.48635,1.4565
245,0.60054,4.31507,-30.13739
246,2.2264,16.60387,4.67031
247,1.84619,14.13421,-13.15207
248,0.70566,5.63517,-0.36448
249,1.52022,12.49205,2.17849
250,4.28105,36.85599,-5.96268
251,1.92137,16.70099,0.57113
252,1.87288,16.53125,20.70425
253,0.59829,7.40064,10.03075
254,1.62862,20.67095,5.68697
255,0.44003,5.6335,1.25201
256,0.39491,6.36494,12.11522
257,0.76084,13.71961,-15.54434
258,0.64956,12.05921,-8.88038
259,4.53184,115.86087,88.348
260,0.61019,19.98531,-2.0994
261,0.89592,37.78977,-6.25348
262,2.738,129.93909,16.89611
263,0.21655,16.19148,-17.324
264,0.01146,7.08214,11.59952
265,-0.38948,11.81804,36.72353
266,-1.17841,31.10258,5.19637
267,-0.05809,1.28847,9.3069
268,-0.24725,5.35301,-2.15016
269,-0.50477,10.59293,1.93113
270,-0.65699,11.07122,22.14245
271,-6.4167,98.7032,40.98431
272,-2.38255,31.26819,10.18271
273,-2.40636,29.96059,-7.42148
274,-6.56655,65.3273,27.21441
275,-0.52576,4.07838,-0.20201
276,-4.94061,37.84249,-4.27604
277,-3.37759,24.00242,16.67442
278,-3.36805,23.85731,-12.29352
279,-1.25332,8.42633,-13.91836
280,-1.51609,9.26131,2.97047
281,-6.23932,36.93452,12.51897
282,-1.81245,10.32256,-19.28527
283,-20.81706,112.48473,-18.46117
284,-21.78887,111.34193,97.32184
285,-1.35794,6.86356,21.3922
286,-6.17723,29.52756,-9.95269
287,-1.75538,7.92697,14.2541
288,-4.11421,17.92391,-17.68923
289,-11.95225,50.95609,-20.84689
290,-1.20984,5.03351,9.29113
291,-11.25296,46.03014,10.20967
292,-3.94653,15.51762,9.52857
293,-1.43309,5.56222,-5.60346
294,-9.06486,33.40286,-7.4237
295,-3.01738,11.04744,19.70297
296,-9.89445,34.75347,29.97405
297,-4.19085,14.54423,-2.80715
298,-1.5682,5.43109,14.19711
299,-6.02676,20.44273,11.08096
300,-7.71324,25.56562,1.60899
301,-4.64678,15.34731,-6.30261
302,-2.00045,6.55877,16.31344
303,-1.49674,4.74446,3.96176
304,-3.09712,9.62817,-23.96797
305,-7.70077,23.67195,-11.55077
306,-5.74811,17.61621,31.1654
307,-13.63356,41.02153,-42.68873
308,-30.00687,88.7802,43.47123
309,-40.26418,115.97585,-64.95012
310,-3.74003,10.5412,9.14671
311,-5.64783,15.61976,10.71678
312,-43.09486,115.34173,45.89843
313,-10.75342,28.56455,22.09378
314,-3.99524,10.51065,11.67973
315,-1.85226,4.79351,-29.7065
316,-8.25914,21.3565,-7.39233
317,-10.13269,25.85281,26.87007
318,-22.26177,55.74779,26.92306
319,-1.40787,3.51092,0.34656
320,-6.77927,16.8896,7.36937
321,-12.5546,30.74275,-14.88302
322,-5.08413,12.44935,-7.84123
323,-29.74503,71.35682,-107.98074
324,-9.59896,22.8719,-18.84737
325,-7.4176,17.67282,143.86679
326,-3.615,8.52069,6.7818
327,-3.59673,8.477,6.7445
328,-3.52,8.28875,23.00373
329,-2.09447,4.7902,10.23496
330,-3.04957,6.90073,10.71477
331,-10.43035,22.79968,17.19907
332,-4.22218,9.19258,-3.92843
333,-22.35586,48.3665,-30.18054
334,-6.24172,13.47968,0.56657
335,-3.38072,7.20739,152.93229
336,-18.53877,38.80118,-14.66359
337,-2.61083,5.31334,0.36764
338,-10.89342,22.08506,0.91927
339,-35.62916,70.95302,60.96114
340,-34.87181,69.18715,-14.72004
341,-12.72306,25.22833,-7.012
342,-6.02966,11.80102,4.92069
343,-15.98919,30.71649,-23.7961
344,-60.38129,113.41816,7.35811
345,-14.58916,27.15336,12.80356
346,-8.44444,15.52289,-8.35448
347,-3.02379,5.33318,5.38702
348,-15.80013,27.80579,-8.58119
349,-14.57043,24.44473,18.90456
350,-9.6516,16.17151,24.85221
351,-18.26149,30.38283,-25.07665
352,-9.42069,15.62041,17.59193
353,-11.83147,19.36397,15.3513
354,-34.8035,55.99722,-21.18673
355,-8.47551,13.53435,6.16387
356,-9.28825,14.72948,11.23095
357,-5.37153,8.43358,-13.25449
358,-15.05173,23.32393,30.38006
359,-11.528,17.55914,-5.2044
360,-30.44317,46.26566,-56.49526
361,-77.57365,116.85414,21.14587
362,-15.74974,23.42356,-13.77257
363,-20.59486,29.92294,-40.74319
364,-13.11672,18.57297,5.69949
365,-14.69764,20.32041,10.05612
366,-26.94049,36.07278,18.15084
367,-9.66086,12.77617,11.22282
368,-5.50795,7.18277,16.82982
369,-7.42498,9.53535,4.25459
370,-3.38381,4.16189,12.81967
371,-18.62078,22.86555,23.9119
372,-19.57394,23.32663,-3.45627
373,-11.91118,14.07467,-19.2551
374,-8.57705,9.97701,2.21547
375,-9.96398,11.57722,2.57105
376,-8.57814,9.83475,-12.81218
377,-17.20284,19.03311,2.90918
378,-24.20862,26.66364,19.94733
379,-23.39189,25.70788,25.74316
380,-18.5321,20.32785,-17.54489
381,-14.52763,15.33706,14.91488
382,-9.28491,9.73317,27.28749
383,-13.85535,14.45749,0.54151
