ID,X,Y,Z
0,43.04329,0.00285,-15.24144
1,50.05006,0.04641,-3.54701
2,22.3741,0.05279,-34.23726
3,10.24875,0.0301,-27.67017
4,30.07406,0.10531,9.18828
5,33.50702,0.12975,24.1242
6,46.76553,0.20552,24.74704
7,94.93783,0.64656,93.87049
8,15.15471,0.10563,-65.98685
9,25.05232,0.1984,57.08882
10,46.41547,0.36875,18.24869
11,39.21116,0.3276,19.12995
12,106.15825,0.89004,-80.66852
13,112.23823,0.98041,-87.38404
14,32.99341,0.33963,6.41739
15,29.98851,0.39973,45.71488
16,134.57626,1.83821,-60.33177
17,84.89861,1.60395,-25.19918
18,30.23988,0.58202,-32.51172
19,37.66745,0.77213,89.47919
20,6.03769,0.13959,-14.82196
21,39.19512,0.91269,-3.91866
22,8.18796,0.20265,8.42611
23,36.87725,0.95375,12.04043
24,87.85805,2.42944,76.13068
25,74.9949,2.13672,7.65426
26,11.97684,0.34546,6.64763
27,95.50192,3.07411,47.53794
28,105.44224,3.41551,-90.03842
29,29.72468,0.97814,-13.12899
30,51.98815,1.74323,-116.46225
31,83.1425,2.92469,-55.12613
32,94.63623,3.44982,-88.13438
33,115.96252,4.48919,55.26038
34,118.52001,4.64992,-46.02125
35,24.73005,1.0015,53.24893
36,29.95017,1.23028,-30.7674
37,35.57829,1.5108,-22.10082
38,48.61411,2.08756,-32.56038
39,23.64033,1.02591,-117.25341
40,10.04987,0.44044,-73.66576
41,72.27821,3.18344,57.37317
42,54.71941,2.46425,-5.03167
43,63.51319,2.97088,-14.18887
44,14.68444,0.7277,23.85172
45,29.33612,1.45679,17.26673
46,121.82153,6.16498,-41.05154
47,45.31395,2.29414,5.66867
48,19.55637,0.99018,-30.70402
49,90.93429,4.62021,-107.19692
50,26.53896,1.35425,-21.69571
51,92.86418,4.84057,-84.23575
52,133.1388,6.99032,57.89196
53,22.86487,1.20469,11.71635
54,101.01201,5.34418,110.35525
55,39.14252,2.13734,10.18453
56,60.40248,3.2983,-24.52296
57,58.07091,3.20748,-29.44643
58,62.55911,3.48406,5.45507
59,10.78441,0.60481,-17.22732
60,25.5922,1.45812,-25.79198
61,133.2116,7.65676,40.59466
62,33.33902,1.95239,11.54594
63,25.35615,1.49686,-21.58555
64,40.59444,2.48285,-7.8714
65,78.05661,4.90138,-43.23581
66,48.97501,3.26202,65.31148
67,107.59875,7.1804,-11.59708
68,30.0946,2.03191,62.60528
69,111.38911,7.8606,-68.28529
70,35.93445,2.54286,21.24746
71,31.3387,2.24706,-33.36436
72,38.96273,2.84736,14.88425
73,4.81967,0.35553,32.98113
74,127.78894,9.44937,55.06886
75,40.4977,3.07551,13.87337
76,96.82558,7.39168,-101.7435
77,27.96341,2.13956,-30.53439
78,19.77739,1.52243,-41.36105
79,30.94424,2.40606,-70.90365
80,100.76384,7.8392,2.97969
81,134.31491,10.74051,26.69531
82,84.8268,6.94001,-80.0233
83,20.37576,1.70142,-3.59209
84,27.67836,2.3343,-10.05954
85,87.44371,7.43048,-13.62316
86,38.5278,3.40201,-57.32911
87,72.24696,6.48738,43.54136
88,119.34693,10.75522,17.24702
89,55.20472,5.00976,-15.54688
90,67.69263,6.15829,-37.5195
91,80.0719,7.3824,-4.08699
92,50.85428,4.7026,19.18375
93,22.69308,2.10736,-3.31715
94,82.94518,7.81127,-46.14514
95,109.44226,10.3379,86.46605
96,34.14189,3.2368,-37.00633
97,55.48531,5.42904,-68.82769
98,19.89024,1.94948,-10.19703
99,26.4006,2.65188,-34.6106
100,137.31181,13.82689,-15.6335
101,18.51816,1.88642,-12.16574
102,58.55402,5.97326,0.16812
103,28.9265,2.95557,52.92492
104,4.34956,0.44789,19.22909
105,55.30741,5.80859,18.19915
106,43.359,4.62685,-20.19302
107,15.95063,1.70638,-8.18314
108,29.21237,3.20795,30.10344
109,127.68146,14.41189,-67.48884
110,56.57206,6.41526,6.51853
111,89.57034,10.29386,-74.71725
112,73.84219,8.4928,-127.64634
113,17.43506,2.00814,-15.97244
114,38.46012,4.49622,22.53662
115,12.4491,1.46509,-104.18039
116,44.06424,5.23248,-32.91464
117,136.25862,16.18178,-12.01388
118,115.68699,14.32538,-64.72309
119,35.76254,4.48225,-10.48886
120,73.50263,9.25828,-89.97542
121,55.5682,7.08238,-29.02671
122,8.91008,1.14488,56.16898
123,65.43383,8.49867,124.43278
124,57.59918,7.55776,97.66492
125,19.2484,2.53658,73.70535
126,140.64106,18.62512,-55.77501
127,23.01088,3.04754,32.49775
128,48.80899,6.49106,6.20208
129,106.34285,14.23062,-88.50144
130,31.14889,4.17205,13.19098
131,115.5294,15.56878,20.38825
132,63.76076,8.60429,22.23814
133,8.77338,1.19023,38.4094
134,45.50498,6.23415,-41.18405
135,118.23465,16.31532,79.2443
136,93.17376,12.93959,1.00821
137,72.16945,10.04221,96.13355
138,78.67993,10.94989,18.21404
139,43.08501,6.00535,-58.74641
140,46.08149,6.50402,-4.21781
141,18.86664,2.69147,-47.18747
142,73.16435,10.47472,27.33211
143,107.63893,15.44221,-51.54004
144,73.85164,10.71472,73.92533
145,65.56015,9.55602,94.25119
146,131.17022,19.41886,-75.19931
147,32.91186,5.03395,16.28633
148,21.36513,3.27424,-40.50773
149,117.98998,18.12006,28.37546
150,44.45198,6.83341,3.44627
