ID,X,Y,Z
0,-16.4001038,-98.0028056,80.7300058
1,-32.73416,-75.649514,-45.0885946
2,-36.4796794,12.695869,7.5321523
3,-4.43240861,-47.55157,10.1475391
4,-6.69866533,-1.98432576,-5.20253823
5,8.27903108,-23.7487663,-27.0846947
6,-47.7848069,-30.6763832,-15.167102
7,11.6049109,-127.206544,12.7775288
8,-44.392942,-19.3544556,10.8335111
9,-13.8484032,-15.8649114,-74.2910112
10,-61.0537331,-111.087517,-46.6501766
11,-2.08646112,-32.3561708,12.9314566
12,11.4504359,-50.6539465,121.47749
13,78.7871963,-9.33698988,119.231847
14,51.2871608,40.8857124,-41.6929282
15,-41.3948508,-3.48270934,-26.945345
16,-64.7710766,-28.29929,46.7432692
17,-22.254415,-109.48381,-7.75896912
18,-36.1098492,-6.51616087,5.20479475
19,-49.358351,-60.8187507,-3.72385654
20,-45.113498,19.4123413,-14.8539546
21,-106.53945,-65.5886342,65.7354065
22,130.920049,178.739036,-43.5684976
23,-63.3158586,59.262559,88.5299093
24,-75.2549991,87.3167781,17.3505044
25,-111.254971,-45.8742443,-56.8520112
26,7.49451863,73.9151226,109.561132
27,-21.4494629,15.2878517,50.0948108
28,-36.9314033,110.303589,38.77435
29,-9.94089709,-59.0706518,10.3914949
30,-44.3199104,39.3786741,-41.6225588
31,-53.7976601,-18.6233169,-23.6520491
32,-26.4607059,3.68444394,-10.4351002
33,-43.409219,-14.4577932,-2.94828558
34,-84.6733557,41.3727407,12.3684754
35,18.2212366,30.2774953,21.7227664
36,-26.5660736,1.47179477,16.7890417
37,95.7629027,-48.0109299,34.4096059
38,-31.3202974,-18.6588986,-10.8901061
39,49.5930712,-8.68770389,24.3877152
40,-27.7042561,25.3367022,15.8519048
41,54.1068144,51.6233415,15.9996781
42,114.947287,-53.8863375,-76.2775619
43,40.8447974,22.384751,-44.6215681
44,-58.0785757,22.9086774,-94.0277641
45,48.9865922,37.9402577,-131.733788
46,-70.979187,-59.9035729,-32.4345539
47,-4.31107037,15.6531251,12.3724849
48,0.641352163,0.473773518,4.29637369
49,116.599489,-28.5275588,2.32057599
50,-68.5503029,60.8225201,75.0421217
51,27.8778606,-48.0372053,15.4640419
52,-33.6502164,21.2723214,-35.0857716
53,-16.0598466,-98.2231802,84.5957518
54,-21.7227963,22.9496043,-10.7586199
55,35.1068685,120.677757,30.4003321
56,-192.542629,-85.7751791,-9.69494087
57,14.5976003,-6.98375337,129.477573
58,-62.5814026,51.8540591,93.797831
59,-24.4521474,143.644997,-28.1597055
60,9.72646527,-32.2191157,24.4840807
61,-61.038189,-13.0659802,-52.13691
62,7225.94772,-474.930888,9029.78786
63,-29.1790201,-4.84455717,-144.992586
64,-39.739797,10.6719821,-42.177791
65,-56.9067251,50.2643299,-0.936646512
66,11.1420544,-57.788505,32.5599121
67,69.5437738,6.04049304,153.166561
68,50.0533778,6.99474843,111.211252
69,39.0234926,-5.57462855,16.0077905
70,-107.498652,-101.419209,90.9805155
71,-94.7511373,-20.9524875,-28.6616936
72,-17.7570334,-27.8974275,19.57883
73,-79.7972305,-26.2180957,-3.43024275
74,-32.7508363,-2.26795786,-35.3818506
75,-55.0853817,-37.1073353,2.8160086
76,-28.0944911,-5.92846111,-74.8654885
77,-63.3668902,-51.9103019,114.439965
78,-124.792758,15.6990466,-63.3617769
79,106.715005,89.0051339,12.8931779
80,-19.738157,-115.986264,41.6774023
81,34.1491408,-34.5072001,3.61554829
82,26.2733766,-32.412623,-9.47530247
83,-40.1983843,26.7288664,-115.334341
84,56.7833387,6.47917537,-40.1775019
85,-167.689941,-147.388865,-37.0845506
86,-16.892091,-13.2439545,116.371574
87,84.8213417,-97.7077834,44.582488
88,-16.0750955,-32.7137844,-12.0732315
89,-6.18290491,-18.9770684,-8.68699559
90,-20.4641071,-116.453342,51.9589568
91,-42.7016743,-98.8926307,-95.2665805
92,-37.3728804,14.892622,53.3132615
93,43.0876404,65.3406242,-116.023496
94,125.535374,-33.6563576,24.6363872
95,-20.5011887,4.59354047,12.3629282
96,-54.0289805,-36.2268003,30.2401812
97,2.89132757,78.4094699,-111.24374
98,-77.739479,-42.6317495,94.3418269
99,-33.4976754,-45.4784061,-23.0463955
100,-17.4534545,-38.3444976,97.8795822
101,13.8102132,-35.6514819,-4.7314186
102,-20.8415381,16.6088212,-18.4587651
103,-82.6225924,-107.82334,22.3338261
104,37.6308086,64.4352926,52.7213261
105,11.7072561,-146.489094,1.88366303
106,-32.9630117,-81.8707955,99.6496382
107,-39.5637315,-43.0522082,-17.9860931
108,-70.1543974,112.696985,-6.8698332
109,79.2403744,-34.6973651,28.6190184
110,-48.9980265,56.3030563,-68.2228387
111,-49.4923471,67.1597532,-74.7485521
112,-49.5222684,-34.2077056,65.4767111
113,-33.6067674,30.1033672,-24.6085478
114,-3.6250201,-18.380021,89.0323921
115,-48.273393,0.960796898,14.435094
116,-47.7352944,-41.9005085,-13.4518364
117,-55.8541831,-68.1531474,10.9661589
118,-106.18739,-17.643247,-45.598926
119,25.9288122,150.121806,-61.4726762
120,52.7957297,25.4161544,41.5976477
121,-20.023512,-93.0141385,-94.1965592
122,-30.9176109,95.3268367,-79.2489744
123,-74.2373721,4.37378606,-118.498507
124,-89.3172125,-48.0782136,61.0337362
125,22.319529,-0.682995361,-6.25168714
126,7.39869472,27.0177547,7.94531403
127,-9.98665846,-59.8945659,109.898237
128,15.8503031,-5.81449142,-38.7897727
129,-11.9780647,-62.0412022,-53.1073953
130,34.508032,-11.9829019,-34.6097482
131,-38.6824087,-71.0582477,85.411382
132,-9.91875103,6.82347191,-69.6680945
133,-18.9266269,-37.9801648,76.5518002
134,1.67909763,-53.668011,-25.0497252
135,-77.2436374,20.5580555,112.445099
136,-37.9533292,-12.0493643,30.2611137
137,-60.5479271,-4.27003964,55.5576537
138,-7.01208954,-31.1305341,2.7958155
139,11.697336,-15.7883394,-27.3330764
140,-7.94000216,32.0794252,-22.6989261
141,14.2422096,-130.524141,24.7908954
142,0.0408225337,-89.0567578,-46.4358547
143,-18.5253057,-3.22917426,-21.3946882
144,4.2310878,85.8440088,-71.6826994
145,-86.7187315,-87.7170058,-77.4268186
146,34.8612479,-14.4311487,-20.6735197
147,-0.241352233,111.733816,-36.1934937
148,-4.0597104,-31.0768251,-31.134056
149,6.89078508,-20.3798417,18.3038067
150,-87.1851491,51.5711624,34.2810667
151,36.3912421,-25.1784308,-13.2196863
152,37.2479176,4.9093746,-48.954787
153,-54.0426024,29.6033861,37.347744
154,-97.298634,-48.5021808,-52.859468
155,-43.8436016,-50.9324214,62.5351122
156,-23.9262007,63.0923449,-17.1216982
157,-26.1540028,85.9296298,-50.1514454
158,-5.14170956,38.5774903,124.644384
159,33.7541568,29.20259,-32.3547779
160,-59.2946389,4.75744467,-18.2634525
161,11.2289199,-53.386138,-2.44741804
