ID,Node1,Node2,Marker
0,9122,9043,0
1,9122,8891,0
2,9208,8891,0
3,9208,9043,0
4,9208,9122,0
5,8891,9043,0
6,5019,4718,0
7,5019,4998,0
8,4553,4998,0
9,4553,4718,0
10,4553,5019,0
11,4998,4718,0
12,4837,4582,0
13,4837,4520,0
14,4639,4520,0
15,4639,4582,0
16,4639,4837,0
17,4520,4582,0
18,11865,11502,0
19,11865,10741,0
20,10953,10741,0
21,10953,11502,0
22,10953,11865,0
23,10741,11502,0
24,10988,10753,0
25,10988,10900,0
26,10790,10900,0
27,10790,10753,0
28,10790,10988,0
29,10900,10753,0
30,10134,10625,0
31,10134,10343,0
32,10578,10343,0
33,10578,10625,0
34,10578,10134,0
35,10343,10625,0
36,2167,2034,0
37,2167,2098,0
38,1342,2098,0
39,1342,2034,0
40,1342,2167,0
41,2098,2034,0
42,11817,12028,0
43,11817,11734,0
44,11693,11734,0
45,11693,12028,0
46,11693,11817,0
47,11734,12028,0
48,9882,9818,0
49,9882,9910,0
50,10259,9910,0
51,10259,9818,0
52,10259,9882,0
53,9910,9818,0
54,8473,8840,0
55,8473,8820,0
56,8648,8820,0
57,8648,8840,0
58,8648,8473,0
59,8820,8840,0
60,7847,7947,0
61,7847,8307,0
62,8027,8307,0
63,8027,7947,0
64,8027,7847,0
65,8307,7947,0
66,5025,4823,0
67,5025,4930,0
68,5119,4930,0
69,5119,4823,0
70,5119,5025,0
71,4930,4823,0
72,5164,5056,0
73,5164,4811,0
74,4818,4811,0
75,4818,5056,0
76,4818,5164,0
77,4811,5056,0
78,7074,8294,0
79,7074,6920,0
80,7561,6920,0
81,7561,8294,0
82,7561,7074,0
83,6920,8294,0
84,10005,10872,0
85,10005,9727,0
86,10127,9727,0
87,10127,10872,0
88,10127,10005,0
89,9727,10872,0
90,7919,7967,0
91,7919,7791,0
92,7755,7791,0
93,7755,7967,0
94,7755,7919,0
95,7791,7967,0
96,9342,9406,0
97,9342,9323,0
98,9483,9323,0
99,9483,9406,0
100,9483,9342,0
101,9323,9406,0
102,8717,8881,0
103,8717,8676,0
104,8716,8676,0
105,8716,8881,0
106,8716,8717,0
107,8676,8881,0
108,12532,12400,0
109,12532,12640,0
110,12753,12640,0
111,12753,12400,0
112,12753,12532,0
113,12640,12400,0
114,8717,8735,0
115,9048,8881,0
116,9048,8735,0
117,9048,8717,0
118,8881,8735,0
119,8600,8708,0
120,8600,8253,0
121,8448,8253,0
122,8448,8708,0
123,8448,8600,0
124,8253,8708,0
125,4797,5122,0
126,4797,5073,0
127,5003,5073,0
128,5003,5122,0
129,5003,4797,0
130,5073,5122,0
131,9926,9549,1
132,9926,9320,1
133,9244,9320,0
134,9244,9549,0
135,9244,9926,0
136,9320,9549,1
137,2575,2659,0
138,2575,2485,0
139,2930,2485,0
140,2930,2659,0
141,2930,2575,0
142,2485,2659,0
143,4755,4767,0
144,4755,4983,0
145,5103,4983,0
146,5103,4767,0
147,5103,4755,0
148,4983,4767,0
149,10984,11389,0
150,10984,11409,0
151,11455,11409,0
152,11455,11389,0
153,11455,10984,0
154,11409,11389,0
155,8842,8875,0
156,8842,8947,0
157,8970,8947,0
158,8970,8875,0
159,8970,8842,0
160,8947,8875,0
161,6699,6751,0
162,6699,7142,0
163,7003,7142,0
164,7003,6751,0
165,7003,6699,0
166,7142,6751,0
167,5721,5775,0
168,5721,5838,0
169,5545,5838,0
170,5545,5775,0
171,5545,5721,0
172,5838,5775,0
173,8406,8590,0
174,8406,8519,0
175,8421,8519,0
176,8421,8590,0
177,8421,8406,0
178,8519,8590,0
179,2187,2739,0
180,2187,2532,0
181,2803,2532,0
182,2803,2739,0
183,2803,2187,0
184,2532,2739,0
185,13926,13588,0
186,13926,13823,0
187,12960,13823,0
188,12960,13588,0
189,12960,13926,0
190,13823,13588,0
191,9149,8980,0
192,9149,9009,0
193,9150,9009,0
194,9150,8980,0
195,9150,9149,0
196,9009,8980,0
197,9856,9549,1
198,9856,9437,1
199,9320,9437,1
200,9320,9856,1
201,9437,9549,0
202,7847,7758,0
203,7847,7742,0
204,7724,7742,0
205,7724,7758,0
206,7724,7847,0
207,7742,7758,0
208,4928,5072,0
209,4928,4993,0
210,4790,4993,0
211,4790,5072,0
212,4790,4928,0
213,4993,5072,0
214,4383,4336,0
215,4383,4290,0
216,4168,4290,0
217,4168,4336,0
218,4168,4383,0
219,4290,4336,0
220,9964,9855,0
221,9964,10116,0
222,10129,10116,0
223,10129,9855,0
224,10129,9964,0
225,10116,9855,0
226,7073,7438,0
227,7073,5700,0
228,6441,5700,0
229,6441,7438,0
230,6441,7073,0
231,5700,7438,0
232,10555,10179,0
233,10555,10595,0
234,9994,10595,0
235,9994,10179,0
236,9994,10555,0
237,10595,10179,0
238,6087,5843,0
239,6087,5807,0
240,5833,5807,0
241,5833,5843,0
242,5833,6087,0
243,5807,5843,0
244,9640,10067,0
245,9640,9875,0
246,9877,9875,0
247,9877,10067,0
248,9877,9640,0
249,9875,10067,0
250,4464,4255,0
251,4464,4271,0
252,4554,4271,0
253,4554,4255,0
254,4554,4464,0
255,4271,4255,0
256,10868,10889,0
257,10868,9153,0
258,10416,9153,0
259,10416,10889,0
260,10416,10868,0
261,9153,10889,0
262,165,149,0
263,165,236,0
264,14225,236,0
265,14225,149,0
266,14225,165,0
267,236,149,0
268,10061,10590,0
269,10061,10367,0
270,10698,10367,0
271,10698,10590,0
272,10698,10061,0
273,10367,10590,0
274,7384,7136,0
275,7384,7137,0
276,7803,7137,0
277,7803,7136,0
278,7803,7384,0
279,7137,7136,0
280,5817,5930,0
281,5817,6177,0
282,6216,6177,0
283,6216,5930,0
284,6216,5817,0
285,6177,5930,0
286,8552,8576,0
287,8552,8692,0
288,8981,8692,0
289,8981,8576,0
290,8981,8552,0
291,8692,8576,0
292,11487,11081,0
293,11487,11500,0
294,11506,11500,0
295,11506,11081,0
296,11506,11487,0
297,11500,11081,0
298,7472,7621,0
299,7472,7335,0
300,6921,7335,0
301,6921,7621,0
302,6921,7472,0
303,7335,7621,0
304,5637,5568,0
305,5637,5648,0
306,5918,5648,0
307,5918,5568,0
308,5918,5637,0
309,5648,5568,0
310,11138,11228,0
311,11138,11302,0
312,11121,11302,0
313,11121,11228,0
314,11121,11138,0
315,11302,11228,0
316,6086,6151,0
317,6086,6298,0
318,6425,6298,0
319,6425,6151,0
320,6425,6086,0
321,6298,6151,0
322,10194,10051,0
323,10194,10178,0
324,10132,10178,0
325,10132,10051,0
326,10132,10194,0
327,10178,10051,0
328,11364,11437,0
329,11364,11462,0
330,11278,11462,0
331,11278,11437,0
332,11278,11364,0
333,11462,11437,0
334,9740,9693,0
335,9740,9992,0
336,9879,9992,0
337,9879,9693,0
338,9879,9740,0
339,9992,9693,0
340,9669,9559,0
341,9669,9636,0
342,9900,9636,0
343,9900,9559,0
344,9900,9669,0
345,9636,9559,0
346,7912,7257,0
347,7912,7727,0
348,7277,7727,0
349,7277,7257,0
350,7277,7912,0
351,7727,7257,0
352,4690,4346,0
353,4690,4348,0
354,4418,4348,0
355,4418,4346,0
356,4418,4690,0
357,4348,4346,0
358,13739,13991,0
359,13739,13693,0
360,13775,13693,0
361,13775,13991,0
362,13775,13739,0
363,13693,13991,0
364,10115,10122,0
365,10115,9986,0
366,10162,9986,0
367,10162,10122,0
368,10162,10115,0
369,9986,10122,0
370,8514,8984,0
371,8514,8456,0
372,9204,8456,0
373,9204,8984,0
374,9204,8514,0
375,8456,8984,0
376,7829,7561,0
377,7829,7719,0
378,7636,7719,0
379,7636,7561,0
380,7636,7829,0
381,7719,7561,0
382,10423,10108,0
383,10423,10358,0
384,10497,10358,0
385,10497,10108,0
386,10497,10423,0
387,10358,10108,0
388,8937,9883,0
389,8937,9309,1
390,9095,9309,0
391,9095,9883,0
392,9095,8937,0
393,9309,9883,0
394,9430,8987,0
395,9430,9313,0
396,9502,9313,0
397,9502,8987,0
398,9502,9430,0
399,9313,8987,0
400,8866,8600,0
401,8866,8438,0
402,8888,8438,0
403,8888,8600,0
404,8888,8866,0
405,8438,8600,0
406,6264,7074,0
407,6264,7415,0
408,6620,7415,0
409,6620,7074,0
410,6620,6264,0
411,7415,7074,0
412,7276,7406,0
413,7276,7403,0
414,7161,7403,0
415,7161,7406,0
416,7161,7276,0
417,7403,7406,0
418,6509,6490,0
419,6509,6570,0
420,6353,6570,0
421,6353,6490,0
422,6353,6509,0
423,6570,6490,0
424,6385,6113,0
425,6385,6268,0
426,6321,6268,0
427,6321,6113,0
428,6321,6385,0
429,6268,6113,0
430,9772,9835,0
431,9772,9479,0
432,9611,9479,0
433,9611,9835,0
434,9611,9772,0
435,9479,9835,0
436,6816,6940,0
437,6816,6965,0
438,6922,6965,0
439,6922,6940,0
440,6922,6816,0
441,6965,6940,0
442,5681,5703,0
443,5681,5256,0
444,5377,5256,0
445,5377,5703,0
446,5377,5681,0
447,5256,5703,0
448,358,478,0
449,358,702,0
450,575,702,0
451,575,478,0
452,575,358,0
453,702,478,0
454,6841,6615,0
455,6841,6967,0
456,6735,6967,0
457,6735,6615,0
458,6735,6841,0
459,6967,6615,0
460,4339,4320,0
461,4339,3935,1
462,4348,3935,1
463,4348,4320,1
464,4348,4339,1
465,3935,4320,1
466,13800,13430,0
467,13800,12924,0
468,13516,12924,0
469,13516,13430,0
470,13516,13800,0
471,12924,13430,0
472,10795,10729,0
473,10795,10808,0
474,10916,10808,0
475,10916,10729,0
476,10916,10795,0
477,10808,10729,0
478,5935,5928,0
479,5935,5942,0
480,5722,5942,0
481,5722,5928,0
482,5722,5935,0
483,5942,5928,0
484,38,37,0
485,38,281,0
486,506,281,0
487,506,37,0
488,506,38,0
489,281,37,0
490,4599,4643,0
491,4599,4610,0
492,4795,4610,0
493,4795,4643,0
494,4795,4599,0
495,4610,4643,0
496,14199,13957,0
497,14199,14042,0
498,13990,14042,0
499,13990,13957,0
500,13990,14199,0
501,14042,13957,0
502,8264,8614,0
503,8264,8653,0
504,8607,8653,0
505,8607,8614,0
506,8607,8264,0
507,8653,8614,0
508,3729,3489,0
509,3729,3521,0
510,3696,3521,0
511,3696,3489,0
512,3696,3729,0
513,3521,3489,0
514,5575,5310,0
515,5575,5203,0
516,5444,5203,0
517,5444,5310,0
518,5444,5575,0
519,5203,5310,0
520,9666,9598,0
521,9666,9300,0
522,10305,9300,0
523,10305,9598,0
524,10305,9666,0
525,9300,9598,0
526,7808,7615,0
527,7808,7672,0
528,7764,7672,0
529,7764,7615,0
530,7764,7808,0
531,7672,7615,0
532,6634,6506,0
533,6634,6570,0
534,6385,6570,0
