ID,Node1,Node2,X,Y,Z
0,0,9980,,,
1,0,9251,,,
2,0,10084,,,
3,0,9972,,,
4,1,15707,,,
5,1,15708,,,
6,1,16708,,,
7,1,16932,,,
8,2,4521,,,
9,2,20544,,,
10,2,20546,,,
11,2,20241,,,
12,3,12474,,,
13,3,12736,,,
14,3,12034,,,
15,3,6056,,,
16,4,685,,,
17,4,5527,,,
18,4,5434,,,
19,4,5501,,,
20,5,5599,,,
21,5,7547,,,
22,5,7481,,,
23,5,6807,,,
24,6,1791,,,
25,6,12041,,,
26,6,17639,,,
27,6,2015,,,
28,7,22186,,,
29,7,18199,,,
30,7,22070,,,
31,7,21963,,,
32,8,24520,,,
33,8,3037,,,
34,8,24462,,,
35,8,22559,,,
36,9,1603,,,
37,9,16544,,,
38,9,3916,,,
39,9,16089,,,
40,10,16067,,,
41,10,17501,,,
42,10,1847,,,
43,10,2399,,,
44,11,5309,,,
45,11,6036,,,
46,11,6107,,,
47,11,6095,,,
48,12,7922,,,
49,12,6933,,,
50,12,6871,,,
51,12,5590,,,
52,13,30882,,,
53,13,28888,,,
54,13,31256,,,
55,13,31018,,,
56,14,4179,,,
57,14,4194,,,
58,14,4246,,,
59,14,4056,,,
60,15,29466,,,
61,15,29493,,,
62,15,29637,,,
63,15,26307,,,
64,16,20579,,,
65,16,20239,,,
66,16,20502,,,
67,16,3505,,,
68,17,20667,,,
69,17,20664,,,
70,17,3437,,,
71,17,3476,,,
72,18,1090,,,
73,18,893,,,
74,18,5436,,,
75,18,198,,,
76,19,4974,,,
77,19,30784,,,
78,19,28986,,,
79,19,30590,,,
80,20,6245,,,
81,20,4542,,,
82,20,16520,,,
83,20,2266,,,
84,21,2013,,,
85,21,15368,,,
86,21,15090,,,
87,21,15282,,,
88,22,4709,,,
89,22,4840,,,
90,22,4751,,,
91,22,4875,,,
92,23,25978,,,
93,23,24211,,,
94,23,3381,,,
95,23,25648,,,
96,24,1696,,,
97,24,3861,,,
98,24,4158,,,
99,24,3821,,,
100,25,11801,,,
101,25,11881,,,
102,25,11969,,,
103,25,11730,,,
104,26,11545,,,
105,26,11531,,,
106,26,7032,,,
107,26,7462,,,
108,27,510,,,
109,27,28496,,,
110,27,30249,,,
111,27,28387,,,
112,28,24861,,,
113,28,23820,,,
114,28,24907,,,
115,28,24823,,,
116,29,6839,,,
117,29,6844,,,
118,29,6846,,,
119,29,4561,,,
120,30,4321,,,
121,30,15310,,,
122,30,15465,,,
123,30,15274,,,
124,31,15320,,,
125,31,16266,,,
126,31,15381,,,
127,31,6387,,,
128,32,581,,,
129,32,5824,,,
130,32,8126,,,
131,32,5565,,,
132,33,26818,,,
133,33,24134,,,
134,33,23235,,,
135,33,23804,,,
136,34,13618,,,
137,34,22477,,,
138,34,26828,,,
139,34,27162,,,
140,35,7608,,,
141,35,7004,,,
142,35,7598,,,
143,35,7551,,,
144,36,4293,,,
145,36,4267,,,
146,36,4362,,,
147,36,4263,,,
148,37,1026,,,
149,37,8587,,,
150,37,8539,,,
151,37,8507,,,
152,38,5242,,,
153,38,225,,,
154,38,5292,,,
155,38,4907,,,
156,39,7374,,,
157,39,15228,,,
158,39,15473,,,
159,39,11093,,,
160,40,12721,,,
161,40,12719,,,
162,40,12716,,,
163,40,12148,,,
164,41,3813,,,
165,41,4728,,,
166,41,-1,0.47311,0.761128,0.443678
167,41,4000,,,
168,42,6437,,,
169,42,6258,,,
170,42,6439,,,
171,42,16399,,,
