ID,X,Y,Z
0,125.13442,0.9959,-6.6184
1,66.69789,1.08839,-20.82279
2,149.24392,5.03889,-6.64698
3,25.99003,0.95143,14.4701
4,97.62926,4.27812,19.25363
5,98.41495,5.69,26.75313
6,104.68073,6.8191,-17.6856
7,32.55887,2.9417,-88.02192
8,19.28663,2.67132,-38.1445
9,62.48016,8.71762,88.5154
10,79.50972,11.31446,9.79754
11,101.91319,19.21747,-82.38616
12,96.32081,19.67547,97.83572
13,135.21906,28.75249,-55.07606
14,73.53764,15.91055,92.80722
15,88.45029,23.72464,90.66491
16,71.82281,19.6798,-49.68909
17,103.95528,29.22937,66.9657
18,103.0336,29.72019,7.92566
19,46.72963,14.37241,-70.46359
20,52.03826,16.7641,113.10797
21,44.69701,14.45601,100.82836
22,112.61901,36.86764,74.65536
23,97.63781,34.22906,85.23005
24,98.972,37.64594,78.39639
25,93.74851,36.17135,75.40078
26,87.70696,38.26201,72.7303
27,21.72509,9.8678,-37.07729
28,89.01806,40.81704,99.30577
29,58.44875,27.89665,45.76406
30,25.72178,12.39687,81.18359
31,74.92794,38.25255,25.64917
32,84.15263,44.8182,116.87266
33,52.76746,28.76818,121.44382
34,52.96411,31.51759,111.48668
35,68.97228,41.40122,73.27505
36,82.67656,49.91823,-54.18985
37,52.65617,33.83081,50.75399
38,24.46237,16.57914,-37.16712
39,51.15787,35.89256,130.06585
40,57.19341,40.40891,83.90621
41,42.60836,32.15396,7.93958
42,28.07935,22.2481,56.32842
43,95.94947,76.2159,-65.7925
44,41.93813,34.87076,105.18336
45,49.84957,41.65421,-134.8711
46,13.35596,11.16603,-43.67273
47,55.83707,48.13213,105.69748
48,75.91365,65.67262,52.71574
49,98.97281,86.12873,-32.36862
50,107.45562,93.86304,39.0641
51,79.63288,70.44743,91.16717
52,52.68123,47.04574,119.8132
53,32.0505,29.36453,22.3981
54,104.06132,96.60907,38.26519
55,72.02238,70.33772,62.74571
56,72.48152,72.2832,-4.40649
57,90.95544,90.72945,20.13498
58,95.31727,97.31367,10.36869
59,76.96013,80.70658,52.60799
60,14.64569,15.7288,18.65323
61,20.56634,22.59225,65.65067
62,67.67046,75.31234,52.16204
63,46.20006,51.74025,67.66062
64,79.26888,88.83265,-86.32207
65,61.09552,72.25008,113.14299
66,84.37212,101.65094,51.09975
67,54.64303,68.70663,89.64589
68,41.5268,52.75631,11.51588
69,70.50681,92.40069,-10.32234
70,51.05734,67.17874,44.35943
71,64.45733,86.0044,17.74189
72,50.2377,67.76084,-33.45344
73,81.23451,112.10762,-43.56417
74,66.77344,97.44329,42.2961
75,6.8765,10.0565,-146.98862
76,52.00411,77.68529,42.18959
77,57.67077,86.2089,46.42553
78,56.78016,85.10777,47.35916
79,57.71329,86.544,47.33429
80,24.76962,37.209,-134.82902
81,55.55657,83.79896,45.54011
82,59.58815,89.94918,49.29543
83,55.43355,84.01036,44.70426
84,74.90681,114.2407,62.3145
85,48.36584,73.95889,85.55775
86,56.24191,86.17987,46.04441
87,40.49265,62.0773,109.56032
88,51.72193,79.9092,41.2334
89,57.57939,89.65657,47.56007
90,58.55729,91.20074,48.56497
