ID,X,Y,Z
0,-0.129185766,-42.1888932,-71.3503575
1,119.651025,-15.2061548,34.9602126
2,-87.8777812,-76.7633539,-24.5543864
3,-73.5588998,19.7611998,-22.1974906
4,-20.7619548,4.78742305,86.5713435
5,-114.169697,26.0666328,-105.325578
6,-54.1125002,43.9202164,76.4003117
7,-19.3331897,-46.1227304,63.0272636
8,-60.2608264,-83.8113107,45.5693997
9,-110.969223,-78.3381162,30.0583911
10,37.860946,64.8587336,-64.5978172
11,-64.8614545,58.0176226,-5.73793462
12,-11.223952,-41.2935852,62.4453772
13,-38.6695457,-42.4208473,-130.974088
14,-88.9001581,84.7982919,34.4842723
15,-47.3935217,-3.1436106,-12.0881739
16,93.0027587,42.8458974,108.593567
17,27.0455697,-106.311132,64.8638103
18,120.058144,-41.8305826,-72.2311406
19,-38.8982773,-21.3541239,-3.18033161
20,-75.8934572,-32.9374021,-48.5994829
21,-50.35045,30.7861849,21.1602073
22,-95.2053801,-90.606958,22.5324911
23,-11.1176086,-8.5712872,102.324168
24,-12.343971,-48.8640693,7.7577681
25,-10.148493,-8.59801342,-43.3157677
26,-78.1060246,81.5650509,55.99542
27,109.103142,9.90506712,3.4756688
28,-46.0042637,-33.0281866,-8.36335267
29,-46.6383879,64.102246,-62.5185788
30,93.2797086,24.8756564,-46.5075453
31,81.6471073,-21.6612004,-35.6949692
32,-44.9119499,59.049323,-4.24715555
33,-12.4021091,-11.8621869,-12.1906677
34,65.1283463,99.3306432,-22.3045418
35,94.1451471,49.6786126,-56.8967363
36,-20.7808673,-33.4126787,69.9600225
37,-106.746698,35.4480247,36.2506588
38,-3.43183924,-11.8816859,-10.813315
39,55.2544102,-44.1374794,-73.171704
40,-6.74817544,-6.57806996,-16.2219797
41,-17.9018773,66.0459479,54.5423457
42,-8.68984905,47.9831471,99.8385529
43,47.3093858,-68.8385304,-93.1630076
44,11.9432685,-58.2821906,16.2265241
45,42.7427646,-42.9643881,83.2608882
46,-38.2589786,7.27288955,-8.90207719
