Name;Name_ru;Designation;Constell;Vmag;HIP;Bayer;RA;Dec;
Absolutno;Абсолютно;XO-5;Lyn;12.13;0;Lyn;116.716506;39.094572;
Acamar;Акамар;HR 897;Eri;2.88;13847;θ1 Eri;44.565311;-40.304672;
Achernar;Ахернар;HR 472;Eri;0.45;7588;α Eri;24.428523;-57.236753;
Achird;Ахирд;HR 219;Cas;3.46;3821;η Cas;12.276213;57.815187;
Acrab;Акраб;HR 5984;Sco;2.56;78820;β1 Sco;241.3593;-19.805453;
Acrux;Акрукс;HR 4730;Cru;1.33;60718;α Cru;186.649563;-63.099093;
Acubens;Акубенс;HR 3572;Cnc;4.26;44066;α Cnc;134.62174;11.857687;
Adhafera;Адхафера;HR 4031;Leo;3.43;50335;ζ Leo;154.172567;23.417312;
Adhara;Адара;HR 2618;CMa;1.5;33579;ε CMa;104.656453;-28.972086;
Adhil;Адхил;HR 390;And;4.87;6411;ξ And;20.58508;45.528778;
Ain;Аин;HR 1409;Tau;3.53;20889;ε Tau;67.154163;19.180435;
Ainalrami;Аинальрами;HR 7116;Sgr;4.86;92761;ν1 Sgr;283.542404;-22.74484;
Aladfar;Альадфар;HR 7298;Lyr;4.43;94481;η Lyr;288.439531;39.14597;
Alasia;Алясия;HD 168746;Ser;7.95;90004;_ Ser;275.457428;-11.922682;
Albaldah;Альбальдах;HR 7264;Sgr;2.88;94141;π Sgr;287.440971;-21.023615;
Albali;Альбали;HR 7950;Aqr;3.78;102618;ε Aqr;311.918969;-9.495775;
Albireo;Альбирео;HR 7417;Cyg;3.05;95947;α Cyg;292.680351;27.959692;
Alchiba;Альхиба;HR 4623;Crv;4.02;59199;α Crv;182.103402;-24.728875;
Alcor;Алькор;HR 5062;UMa;3.99;65477;80 UMa;201.306403;54.987954;
Alcyone;Альциона;HR 1165;Tau;2.85;17702;η Tau;56.871152;24.105136;
Aldebaran;Альдебаран;HR 1457;Tau;0.87;21421;α Tau;68.980163;16.509302;
Alderamin;Альдерамин;HR 8162;Cep;2.45;105199;α Cep;319.644885;62.585574;
