id;spkid;full_name;pdes;name;diameter;q;per;class;horizons;begin_time;end_time;;name_ru
a0000001;2000001;1Ceres;1;Ceres;939.4;2.558683596;1683.145701;MBA;DES=+2000001;1998-11-06-05-07-33;2000-01-01-00-00-00;;Церера
a0000002;2000002;2Pallas;2;Pallas;545;2.13386496;1686.155999;MBA;DES=+2000002;1998-11-05-11-03-51;2000-01-01-00-00-00;;Паллада
a0000003;2000003;3Juno;3;Juno;246.596;1.98333206;1592.787284;MBA;DES=+2000003;1998-11-28-19-16-35;2000-01-01-00-00-00;;Юнона
a0000004;2000004;4Vesta;4;Vesta;525.4;2.151909454;1325.432765;MBA;DES=+2000004;1999-02-03-15-24-12;2000-01-01-00-00-00;;Веста
a0000005;2000005;5Astraea;5;Astraea;106.699;2.08232405;1508.600458;MBA;DES=+2000005;1998-12-19-20-23-51;2000-01-01-00-00-00;;Астрея
a0000006;2000006;6Hebe;6;Hebe;185.18;1.93283528;1379.459706;MBA;DES=+2000006;1999-01-21-03-14-30;2000-01-01-00-00-00;;Геба
a0000007;2000007;7Iris;7;Iris;199.83;1.833830829;1345.619196;MBA;DES=+2000007;1999-01-29-14-17-05;2000-01-01-00-00-00;;Ирис
a0000008;2000008;8Flora;8;Flora;147.491;1.857189744;1193.313716;MBA;DES=+2000008;1999-03-08-16-07-03;2000-01-01-00-00-00;;Флора
a0000009;2000009;9Metis;9;Metis;190;2.091930644;1345.87536;MBA;DES=+2000009;1999-01-29-12-44-52;2000-01-01-00-00-00;;Метида
a0000010;2000010;10Hygiea;10;Hygiea;407.12;2.788239616;2033.818283;MBA;DES=+2000010;1998-08-10-13-05-26;2000-01-01-00-00-00;;Гигея
a0000011;2000011;11Parthenope;11;Parthenope;142.887;2.20663993;1403.375197;MBA;DES=+2000011;1999-01-15-03-44-55;2000-01-01-00-00-00;;Парфенопа
a0000012;2000012;12Victoria;12;Victoria;115.087;1.820365279;1302.679692;MBA;DES=+2000012;1999-02-09-07-55-18;2000-01-01-00-00-00;;Виктория
a0000013;2000013;13Egeria;13;Egeria;222.792;2.356709939;1510.123386;MBA;DES=+2000013;1998-12-19-11-15-35;2000-01-01-00-00-00;;Эгерия
a0000014;2000014;14Irene;14;Irene;152;2.154857532;1518.560846;MBA;DES=+2000014;1998-12-17-08-38-06;2000-01-01-00-00-00;;Ирина
a0000015;2000015;15Eunomia;15;Eunomia;231.689;2.152074588;1570.418187;MBA;DES=+2000015;1998-12-04-09-29-28;2000-01-01-00-00-00;;Eunomia
a0000016;2000016;16Psyche;16;Psyche;226;2.533284397;1826.093334;MBA;DES=+2000016;1998-10-01-11-26-24;2000-01-01-00-00-00;;Психея
a0000017;2000017;17Thetis;17;Thetis;84.899;2.141718882;1418.199189;MBA;DES=+2000017;1999-01-11-10-48-17;2000-01-01-00-00-00;;Фетида
a0000018;2000018;18Melpomene;18;Melpomene;139.594;1.796730894;1271.281263;MBA;DES=+2000018;1999-02-17-04-18-44;2000-01-01-00-00-00;;Мельпомена
a0000019;2000019;19Fortuna;19;Fortuna;200;2.056647962;1394.46134;MBA;DES=+2000019;1999-01-17-09-13-55;2000-01-01-00-00-00;;Фортуна
a0000020;2000020;20Massalia;20;Massalia;135.68;2.067432083;1366.359573;MBA;DES=+2000020;1999-01-24-09-50-33;2000-01-01-00-00-00;;Массалия
a0000021;2000021;21Lutetia;21;Lutetia;95.76;2.037192835;1387.828062;MBA;DES=+2000021;1999-01-19-01-01-53;2000-01-01-00-00-00;;Лютеция
a0000022;2000022;22Kalliope;22;Kalliope;167.536;2.630135726;1817.701376;MBA;DES=+2000022;1998-10-03-13-47-31;2000-01-01-00-00-00;;Каллиопа
a0000023;2000023;23Thalia;23;Thalia;107.53;2.008690054;1554.039208;MBA;DES=+2000023;1998-12-08-11-45-54;2000-01-01-00-00-00;;Талия
a0000024;2000024;24Themis;24;Themis;198;2.744956598;2028.607813;MBA;DES=+2000024;1998-08-11-20-21-12;2000-01-01-00-00-00;;Фемида
a0000025;2000025;25Phocaea;25;Phocaea;61.054;1.789046329;1358.184817;MBA;DES=+2000025;1999-01-26-10-53-27;2000-01-01-00-00-00;;Фокея
a0000026;2000026;26Proserpina;26;Proserpina;94.8;2.41505659;1579.541417;MBA;DES=+2000026;1998-12-02-02-45-06;2000-01-01-00-00-00;;Прозерпина
a0000027;2000027;27Euterpe;27;Euterpe;96;1.940161513;1313.030784;MBA;DES=+2000027;1999-02-06-17-48-55;2000-01-01-00-00-00;;Эвтерпа
a0000028;2000028;28Bellona;28;Bellona;120.9;2.354230893;1689.167391;MBA;DES=+2000028;1998-11-04-16-59-45;2000-01-01-00-00-00;;Беллона
a0000029;2000029;29Amphitrite;29;Amphitrite;189.559;2.368440903;1490.935077;MBA;DES=+2000029;1998-12-24-06-23-23;2000-01-01-00-00-00;;Амфитрита
a0000030;2000030;30Urania;30;Urania;92.787;2.063770115;1328.931882;MBA;DES=+2000030;1999-02-02-18-24-31;2000-01-01-00-00-00;;Урания
a0000031;2000031;31Euphrosyne;31;Euphrosyne;267.08;2.458509538;2047.295511;MBA;DES=+2000031;1998-08-07-04-13-37;2000-01-01-00-00-00;;Евфросина
a0000032;2000032;32Pomona;32;Pomona;80.76;2.379093949;1521.152076;MBA;DES=+2000032;1998-12-16-17-05-16;2000-01-01-00-00-00;;Помона
a0000033;2000033;33Polyhymnia;33;Polyhymnia;52.929;1.92134665;1779.119614;MBA;DES=+2000033;1998-10-13-05-16-57;2000-01-01-00-00-00;;Полигимния
a0000034;2000034;34Circe;34;Circe;132.992;2.402660387;1609.136459;MBA;DES=+2000034;1998-11-24-17-10-53;2000-01-01-00-00-00;;Цирцея
a0000035;2000035;35Leukothea;35;Leukothea;103.055;2.318644665;1892.307675;MBA;DES=+2000035;1998-09-14-22-09-15;2000-01-01-00-00-00;;Левкофея
a0000036;2000036;36Atalante;36;Atalante;115.204;1.909300761;1662.817861;MBA;DES=+2000036;1998-11-11-07-05-35;2000-01-01-00-00-00;;Аталанта
a0000037;2000037;37Fides;37;Fides;108.35;2.178284741;1568.799703;MBA;DES=+2000037;1998-12-04-19-12-07;2000-01-01-00-00-00;;Фидес
a0000038;2000038;38Leda;38;Leda;92.255;2.314887275;1656.130923;MBA;DES=+2000038;1998-11-12-23-12-53;2000-01-01-00-00-00;;Леда
a0000039;2000039;39Laetitia;39;Laetitia;179.484;2.46060758;1683.285987;MBA;DES=+2000039;1998-11-06-04-17-03;2000-01-01-00-00-00;;Летиция
a0000040;2000040;40Harmonia;40;Harmonia;111.251;2.160637577;1246.942831;MBA;DES=+2000040;1999-02-23-06-20-34;2000-01-01-00-00-00;;Гармония
a0000041;2000041;41Daphne;41;Daphne;205.495;2.00016549;1675.195855;MBA;DES=+2000041;1998-11-08-04-49-30;2000-01-01-00-00-00;;Дафна
a0000042;2000042;42Isis;42;Isis;110.997;1.897635441;1393.598983;MBA;DES=+2000042;1999-01-17-14-24-21;2000-01-01-00-00-00;;Изида
a0000043;2000043;43Ariadne;43;Ariadne;71.34;1.83258207;1194.704902;MBA;DES=+2000043;1999-03-08-07-46-14;2000-01-01-00-00-00;;Ариадна
