name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name_en;name_ru
Earth_moon;luna;301;1737.4;3474.8;2000-01-01-00-00-00;1998-12-31-19-12-01;Earth;1;Moon;Луна
Phobos;phobos;401;11.1;22.2;2000-01-01-00-00-00;1998-02-13-00-00-01;Mars;1;Phobos;Фобос
Deimos;deimos;402;;;2000-01-01-00-00-00;1998-02-13-00-00-01;Mars;2;Deimos;Деймос
Jupiter I (Io);io;501;1821.6;3643.2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;1;Io;Ио
Jupiter II (Europa);europa;502;1560.8;3121.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;2;Europa;Европа
Jupiter III (Ganymede);ganymede;ganymede;2631.2;5262.4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;3;Ganymede;Ганимед
Jupiter IV (Callisto);callisto;callisto;2410.3;4820.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;4;Callisto;Каллисто
Jupiter V (Amalthea);amalthea;amalthea;83.45;166.9;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;5;Amalthea;Амальтея
Jupiter VI (Himalia);himalia;himalia;85;170;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;6;Himalia;Гималия
Jupiter VII (Elara);elara;elara;43;86;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;7;Elara;Элара
Jupiter VIII (Pasiphae);pasiphae;pasiphae;30;60;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;8;Pasiphae;Пасифе
Jupiter IX (Sinope);sinope;sinope;19;38;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;9;Sinope;Синопе
Jupiter X (Lysithea);lysithea;lysithea;18;36;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;10;Lysithea;Лиситея
Jupiter XI (Carme);carme;carme;23;46;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;11;Carme;Карме
Jupiter XII (Ananke);ananke;ananke;14;28;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;12;Ananke;Ананке
Jupiter XIII (Leda);leda;leda;10;20;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;13;Leda;Леда
Jupiter XIV (Thebe);thebe;thebe;49.3;98.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;14;thebe;Фива
Jupiter XV (Adrastea);adrastea;adrastea;8.2;16.4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;15;adrastea;Адрастея
Jupiter XVI (Metis);metis;metis;21.5;43;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;16;metis;Метида
Jupiter XVII (Callirrhoe);callirrhoe;callirrhoe;4.3;8.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;17;callirrhoe;Каллирое
Jupiter XVIII (Themisto);themisto;themisto;4;8;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;18;themisto;themisto
Jupiter XIX (Megaclite);megaclite;megaclite;2.7;5.4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;19;megaclite;megaclite
Jupiter XX (Taygete);taygete;taygete;2.5;5;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;20;taygete;taygete
Jupiter XXI (Chaldene);chaldene;chaldene;1.9;3.8;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;21;chaldene;chaldene
Jupiter XXII (Harpalyke);harpalyke;harpalyke;2.2;4.4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;22;harpalyke;harpalyke
Jupiter XXIII (Kalyke);kalyke;kalyke;2.6;5.2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;23;kalyke;kalyke
Jupiter XXIV (Iocaste);iocaste;iocaste;2.6;5.2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;24;iocaste;iocaste
Jupiter XXV (Erinome);erinome;erinome;1.6;3.2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;25;erinome;erinome
Jupiter XXVI (Isonoe);isonoe;isonoe;1.9;3.8;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;26;isonoe;isonoe
Jupiter XXVII (Praxidike);praxidike;praxidike;3.4;6.8;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;27;praxidike;praxidike
Jupiter XXVIII (Autonoe);autonoe;autonoe;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;28;autonoe;autonoe
Jupiter XXIX (Thyone);thyone;thyone;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;29;thyone;thyone
Jupiter XXX (Hermippe);hermippe;hermippe;2;4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;30;hermippe;hermippe
Jupiter XXXI (Aitne);aitne;aitne;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;31;aitne;aitne
Jupiter XXXII (Eurydome);eurydome;eurydome;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;32;eurydome;eurydome
Jupiter XXXIII (Euanthe);euanthe;euanthe;1.5;3;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;33;euanthe;euanthe
