# StarID X Y Z
128 18.56152 0.13404 63.11661
131 57.85193 0.42402 108.88979
159 59.03044 0.52629 -2.85223
186 130.82803 1.37167 20.62123
345 112.53923 2.13055 -63.08489
424 105.72001 2.38205 106.59583
431 78.56845 1.7887 56.20413
444 57.08265 1.33538 -87.7747
473 101.91631 2.52673 100.07419
496 91.85878 2.38565 108.05546
580 139.37305 4.30043 16.81378
608 136.16426 4.39048 -27.99706
635 74.15988 2.51874 -30.7486
648 22.07351 0.77139 -109.52702
651 104.16445 3.65064 63.59936
652 129.71771 4.54767 -75.03432
725 83.66049 3.28669 99.27925
726 101.76085 3.99936 54.71469
758 20.84145 0.84896 114.94517
796 63.02035 2.71523 -120.13133
814 95.57253 4.19495 100.42381
846 50.44602 2.29148 82.37144
857 86.00641 3.96968 111.46511
903 89.759 4.37255 105.39261
932 123.48891 6.2522 82.40092
1041 79.44739 4.5218 94.5883
1061 54.7441 3.15908 103.30791
1088 96.49054 5.73941 104.35989
1099 67.38461 4.04815 -76.79768
1121 75.03477 4.60184 49.20503
1183 85.39445 5.52378 -21.61765
1191 100.58289 6.56221 41.30739
1195 61.97783 4.0586 9.63558
1213 111.96991 7.42521 57.87793
1270 135.90616 9.47657 10.12684
1284 132.73475 9.33398 18.97457
1300 67.19876 4.80459 64.1449
1316 126.82614 9.18372 -30.30235
1318 97.11793 7.03758 27.62191
1327 69.67284 5.08409 98.51878
1331 111.47248 8.14564 83.09796
1336 96.80514 7.09222 24.05128
1363 60.43946 4.51589 48.5243
1374 130.17057 9.79177 57.02442
1405 96.87333 7.47299 96.2998
1410 60.34989 4.66577 -108.30215
1470 34.54457 2.76853 25.91166
1485 109.52156 8.86483 53.92552
1493 76.43273 6.24317 75.70323
1521 76.52017 6.35054 93.79079
1659 21.3133 1.94242 -0.3254
1672 123.40167 11.33394 28.08973
1684 83.09049 7.69128 60.35774
1710 55.18608 5.20606 -126.30266
1717 79.28841 7.50448 58.32677
1751 150.86953 14.68488 -13.77345
1773 65.12582 6.43387 -118.2317
1795 116.2995 11.6238 66.00392
1896 121.95263 12.81608 -7.44691
1974 85.8411 9.43083 105.61402
2018 117.17116 13.18065 49.91672
2066 81.34079 9.33921 -103.44542
2069 16.90162 1.94078 -16.24626
2173 123.92463 14.95094 35.85252
2179 108.00397 13.08217 -39.8871
2192 95.87133 11.68792 101.97119
2220 57.55905 7.12509 56.78527
2222 59.30332 7.34495 -133.66338
2237 127.0816 15.87192 81.39356
2328 98.55376 12.91248 104.32157
2349 48.84767 6.45743 28.16357
2375 50.16701 6.68877 -22.30913
2389 133.63691 17.88588 60.32958
2400 81.97004 11.03216 -117.99055
2409 112.57948 15.21442 32.65583
2413 20.61146 2.79086 137.12778
2414 103.91069 14.08245 92.84363
2425 139.16662 18.9388 -24.97903
2466 34.39456 4.74423 -39.66556
2473 72.21493 9.99025 14.87504
2479 23.75862 3.29212 -47.00435
2482 59.74396 8.28416 -110.38201
2490 100.40332 13.96738 -3.17441
2494 130.04195 18.10535 8.62003
2533 84.31635 11.93771 59.61432
2572 20.859 2.99931 -41.41519
2623 47.78488 7.0109 -142.40918
2635 124.75273 18.35834 -1.33978
2651 132.04962 19.53402 49.73288
2695 88.89464 13.41371 -82.18093
2772 70.8457 11.04833 117.82949
2776 67.43424 10.52505 94.64404
2782 123.78517 19.35617 -59.49133
2844 59.169 9.39726 85.0814
2846 45.23652 7.18803 -19.29396
2930 117.09376 19.22557 24.00524
2987 80.44121 13.47558 -99.77003
3012 81.92614 13.86209 103.59707
3036 37.72463 6.42765 -126.25386
3058 96.09892 16.46299 -46.7047
3074 79.46256 13.6999 99.6723
3143 104.48855 18.44012 -85.75581
3156 103.10729 18.32953 46.73504
3221 81.68999 14.80501 128.68262
3233 69.07845 12.55754 90.50753
3262 126.6418 23.24288 59.0286
3268 124.26257 22.89029 64.89804
3271 35.49861 6.5427 -54.5389
3398 38.92764 7.45297 -62.12566
3407 35.78083 6.86896 39.10459
3431 63.30557 12.2684 42.37489
3452 66.82751 13.0624 -79.40492
3508 133.11982 26.42487 -53.20232
3513 48.04118 9.54553 -45.16028
3536 60.27013 12.06688 88.50887
3564 22.58874 4.56 85.93168
3613 98.20814 20.18221 101.76444
3664 133.66659 27.80093 -61.40536
3797 110.11314 23.86328 72.95783
3855 56.93775 12.52402 64.21355
3863 47.3458 10.43424 104.36335
3893 68.80389 15.27317 -66.6366
3909 62.68076 13.98311 64.22656
3954 23.5071 5.312 112.93057
4049 64.41189 14.86166 78.83316
4079 125.01892 29.13939 31.17174
4106 99.14827 23.23474 103.41552
4150 103.7389 24.48926 -33.91849
4202 50.30007 12.02773 67.86354
4223 88.54 21.25147 -42.54172
4254 72.24579 17.51118 111.54747
4257 103.3536 25.09315 37.01306
4273 8.00582 1.95454 74.73498
4286 138.57752 33.92391 55.00397
4293 90.03967 22.08879 28.18513
4308 43.47521 10.68799 94.05512
4312 96.82733 23.82886 42.66374
