# StarID X Y Z
145 125.13442 0.9959 -6.6184
300 66.69789 1.08839 -20.82279
634 149.24392 5.03889 -6.64698
676 25.99003 0.95143 14.4701
811 97.62926 4.27812 19.25363
1065 98.41495 5.69 26.75313
1189 104.68073 6.8191 -17.6856
1643 32.55887 2.9417 -88.02192
2478 19.28663 2.67132 -38.1445
2499 62.48016 8.71762 88.5154
2543 79.50972 11.31446 9.79754
3347 101.91319 19.21747 -82.38616
3596 96.32081 19.67547 97.83572
3733 135.21906 28.75249 -55.07606
3793 73.53764 15.91055 92.80722
4665 88.45029 23.72464 90.66491
4759 71.82281 19.6798 -49.68909
4879 103.95528 29.22937 66.9657
5013 103.0336 29.72019 7.92566
5337 46.72963 14.37241 -70.46359
5554 52.03826 16.7641 113.10797
5577 44.69701 14.45601 100.82836
5633 112.61901 36.86764 74.65536
5997 97.63781 34.22906 85.23005
6466 98.972 37.64594 78.39639
6554 93.74851 36.17135 75.40078
7307 87.70696 38.26201 72.7303
7574 21.72509 9.8678 -37.07729
7636 89.01806 40.81704 99.30577
7928 58.44875 27.89665 45.76406
8001 25.72178 12.39687 81.18359
8372 74.92794 38.25255 25.64917
8696 84.15263 44.8182 116.87266
8867 52.76746 28.76818 121.44382
9555 52.96411 31.51759 111.48668
9618 68.97228 41.40122 73.27505
9655 82.67656 49.91823 -54.18985
10153 52.65617 33.83081 50.75399
10578 24.46237 16.57914 -37.16712
10867 51.15787 35.89256 130.06585
10918 57.19341 40.40891 83.90621
11457 42.60836 32.15396 7.93958
11873 28.07935 22.2481 56.32842
11888 95.94947 76.2159 -65.7925
12314 41.93813 34.87076 105.18336
12356 49.84957 41.65421 -134.8711
12360 13.35596 11.16603 -43.67273
12659 55.83707 48.13213 105.69748
12686 75.91365 65.67262 52.71574
12737 98.97281 86.12873 -32.36862
12770 107.45562 93.86304 39.0641
12878 79.63288 70.44743 91.16717
12959 52.68123 47.04574 119.8132
13176 32.0505 29.36453 22.3981
13293 104.06132 96.60907 38.26519
13741 72.02238 70.33772 62.74571
13917 72.48152 72.2832 -4.40649
13920 90.95544 90.72945 20.13498
14109 95.31727 97.31367 10.36869
14340 76.96013 80.70658 52.60799
14540 14.64569 15.7288 18.65323
14741 20.56634 22.59225 65.65067
14857 67.67046 75.31234 52.16204
14932 46.20006 51.74025 67.66062
14935 79.26888 88.83265 -86.32207
15405 61.09552 72.25008 113.14299
15588 84.37212 101.65094 51.09975
15953 54.64303 68.70663 89.64589
16044 41.5268 52.75631 11.51588
16300 70.50681 92.40069 -10.32234
16345 51.05734 67.17874 44.35943
16470 64.45733 86.0044 17.74189
16570 50.2377 67.76084 -33.45344
16762 81.23451 112.10762 -43.56417
17267 66.77344 97.44329 42.2961
17286 6.8765 10.0565 -146.98862
17447 52.00411 77.68529 42.18959
17457 57.67077 86.2089 46.42553
17485 56.78016 85.10777 47.35916
17489 57.71329 86.544 47.33429
17501 24.76962 37.209 -134.82902
17532 55.55657 83.79896 45.54011
17537 59.58815 89.94918 49.29543
17566 55.43355 84.01036 44.70426
17622 74.90681 114.2407 62.3145
17639 48.36584 73.95889 85.55775
17661 56.24191 86.17987 46.04441
17665 40.49265 62.0773 109.56032
17734 51.72193 79.9092 41.2334
17805 57.57939 89.65657 47.56007
17809 58.55729 91.20074 48.56497
17820 61.28664 95.61262 51.47174
17850 49.16162 76.8986 37.86808
17858 57.44349 89.93019 46.86934
