ID Node1 Node2 Marker
0 1574 1607 0
1 1574 1548 0
2 1487 1548 0
3 1487 1607 0
4 1487 1574 0
5 1548 1607 0
6 3118 3220 0
7 3118 3201 0
8 3083 3201 0
9 3083 3220 0
10 3083 3118 0
11 3201 3220 0
12 4185 4189 0
13 4185 3926 0
14 3972 3926 0
15 3972 4189 0
16 3972 4185 0
17 3926 4189 0
18 2114 2241 0
19 2114 2170 0
20 2201 2170 0
21 2201 2241 0
22 2201 2114 0
23 2170 2241 0
24 2478 2499 0
25 2478 2432 0
26 2560 2432 0
27 2560 2499 0
28 2560 2478 0
29 2432 2499 0
30 2620 2610 0
31 2620 2536 0
32 2503 2536 0
33 2503 2610 0
34 2503 2620 0
35 2536 2610 0
36 2859 2749 0
37 2859 2844 0
38 2899 2844 0
39 2899 2749 0
40 2899 2859 0
41 2844 2749 0
42 176 224 0
43 176 21 0
44 135 21 0
45 135 224 0
46 135 176 0
47 21 224 0
48 894 966 0
49 894 1165 0
50 779 1165 0
51 779 966 0
52 779 894 0
53 1165 966 0
54 3467 3532 0
55 3467 3407 0
56 3537 3407 0
57 3537 3532 0
58 3537 3467 0
59 3407 3532 0
60 3367 3470 0
61 3367 3598 0
62 3326 3598 0
63 3326 3470 0
64 3326 3367 0
65 3598 3470 0
66 3396 3506 0
67 3396 3161 0
68 3180 3161 0
69 3180 3506 0
70 3180 3396 0
71 3161 3506 0
72 2442 2471 0
73 2442 2567 0
74 2502 2567 0
75 2502 2471 0
76 2502 2442 0
77 2567 2471 0
78 4069 4106 0
79 4069 4062 0
80 4134 4062 0
81 4134 4106 0
82 4134 4069 0
83 4062 4106 0
84 3182 3175 0
85 3182 3155 0
86 3178 3155 0
87 3178 3175 0
88 3178 3182 0
89 3155 3175 0
90 4278 3997 0
91 4278 4242 0
92 4204 4242 0
93 4204 3997 0
94 4204 4278 0
95 4242 3997 0
96 4414 4459 0
97 4414 4455 0
98 4451 4455 0
99 4451 4459 0
100 4451 4414 0
101 4455 4459 0
102 4487 4472 0
103 4487 4490 0
104 4400 4490 0
105 4400 4472 0
106 4400 4487 0
107 4490 4472 0
108 2697 2703 0
109 2697 2660 0
110 2681 2660 0
111 2681 2703 0
112 2681 2697 0
113 2660 2703 0
114 3848 3800 0
115 3848 3954 0
116 3864 3954 0
117 3864 3800 0
118 3864 3848 0
119 3954 3800 0
120 3447 3466 0
121 3447 3541 0
122 3545 3541 0
123 3545 3466 0
124 3545 3447 0
125 3541 3466 0
126 2678 2518 0
127 2678 2666 0
128 2664 2666 0
129 2664 2518 0
130 2664 2678 0
131 2666 2518 0
132 3153 3179 0
133 3153 3223 0
134 3203 3223 0
135 3203 3179 0
136 3203 3153 0
137 3223 3179 0
138 198 87 0
139 198 83 0
140 187 83 0
141 187 87 0
142 187 198 0
143 83 87 0
144 3017 2970 0
145 3017 2952 0
146 2929 2952 0
147 2929 2970 0
148 2929 3017 0
149 2952 2970 0
150 2197 2214 0
151 2197 2271 0
152 2277 2271 0
153 2277 2214 0
154 2277 2197 0
155 2271 2214 0
156 2162 2199 0
157 2162 2064 0
158 2156 2064 0
159 2156 2199 0
160 2156 2162 0
161 2064 2199 0
162 4732 73 0
163 4732 61 0
164 56 61 0
165 56 73 0
166 56 4732 0
167 61 73 0
168 914 297 0
169 914 1869 0
170 2460 1869 0
171 2460 297 0
172 2460 914 0
173 1869 297 0
174 2822 2989 0
175 2822 2958 0
176 2847 2958 0
177 2847 2989 0
178 2847 2822 0
179 2958 2989 0
180 2810 2799 0
181 2810 2755 0
182 2798 2755 0
183 2798 2799 0
184 2798 2810 0
185 2755 2799 0
186 2771 2911 0
187 2771 2931 0
188 2908 2931 0
189 2908 2911 0
190 2908 2771 0
191 2931 2911 0
192 2445 2559 0
193 2445 2461 0
194 2455 2461 0
195 2455 2559 0
196 2455 2445 0
197 2461 2559 0
198 817 757 0
199 817 792 0
200 831 792 0
201 831 757 0
202 831 817 0
203 792 757 0
204 1043 1062 0
205 1043 1103 0
206 1022 1103 0
207 1022 1062 0
208 1022 1043 0
209 1103 1062 0
210 2762 2631 0
211 2762 2632 0
212 2693 2632 0
213 2693 2631 0
