ID Node1 Node2 Node3 Node4
0 1548 1487 1607 1574
1 3201 3083 3220 3118
2 3926 3972 4189 4185
3 2170 2201 2241 2114
4 2432 2560 2499 2478
5 2536 2503 2610 2620
6 2844 2899 2749 2859
7 21 135 224 176
8 1165 779 966 894
9 3407 3537 3532 3467
10 3598 3326 3470 3367
11 3161 3180 3506 3396
12 2567 2502 2471 2442
13 4062 4134 4106 4069
14 3155 3178 3175 3182
15 4242 4204 3997 4278
16 4455 4451 4459 4414
17 4490 4400 4472 4487
18 2660 2681 2703 2697
19 3954 3864 3800 3848
20 3541 3545 3466 3447
21 2666 2664 2518 2678
22 3223 3203 3179 3153
23 83 187 87 198
24 2952 2929 2970 3017
25 2271 2277 2214 2197
26 2064 2156 2199 2162
27 61 56 73 4732
28 1869 2460 297 914
29 2958 2847 2989 2822
30 2755 2798 2799 2810
31 2931 2908 2911 2771
32 2461 2455 2559 2445
33 792 831 757 817
34 1103 1022 1062 1043
35 2632 2693 2631 2762
36 3070 3193 3107 3227
37 1903 1923 1896 1740
38 3084 3032 3116 2909
39 2483 2514 2558 2491
40 2025 2298 2129 2086
41 3237 3047 3157 3309
42 2572 2725 2935 2838
43 681 964 808 880
44 2893 2831 2784 2797
45 4761 4779 152 167
46 3325 3400 3307 3362
47 2121 1998 2149 2119
48 70 215 310 171
49 3149 2987 3116 2982
50 1433 1837 1468 1285
51 2984 2958 3004 3023
52 2487 2493 2606 2542
53 2785 2626 2886 2828
54 2626 2434 2575 2560
55 3316 3332 3461 3349
56 4478 4474 4362 4415
57 4154 3984 4085 4088
58 4011 4035 3883 4135
59 3081 3180 2967 3266
60 2692 2550 2670 2608
61 2109 2138 2120 2040
62 973 895 657 816
63 814 820 842 819
64 3557 3537 3628 3614
65 2932 3214 3041 3226
66 3704 3894 3560 3369
67 3328 3246 3279 3136
68 2352 2282 2354 2259
69 2984 2991 2933 2981
70 2121 2123 2248 2179
71 2012 2013 1940 2063
72 45 61 7 4731
73 2609 3096 2855 2636
74 2565 2629 2462 2542
75 2601 2632 2631 2680
76 1387 1352 1489 1152
77 1212 1455 1399 1463
78 2656 2548 2712 2628
79 2155 2497 2248 2179
80 4700 4749 4661 4627
81 3116 2987 2909 2982
82 2987 2809 2909 2828
83 1815 1776 1742 1718
84 2968 2934 2946 3032
85 1560 1615 1607 1664
86 1604 1625 1608 1697
87 3060 3047 3192 3219
88 3144 3052 3150 3006
89 3047 3309 3192 3219
90 2858 2882 2805 2819
91 2386 2464 2325 2408
92 3569 3328 3279 3271
93 2174 1671 1946 2073
94 909 1090 964 999
95 1537 1564 1448 1361
96 2779 2475 2586 2509
97 2717 2855 3025 2930
98 1334 1594 1369 1348
99 531 618 564 545
100 2674 2531 2701 2627
101 2470 2654 2607 2568
102 2990 2996 2971 3006
103 2381 2289 2230 2448
104 1105 1027 1188 1120
105 2736 2693 2762 2680
106 4473 4446 4554 4429
107 4051 3951 3918 3998
108 2909 3116 2982 2928
109 2480 2468 2536 2406
110 2505 2462 2528 2369
111 2766 2426 3045 2538
112 1072 1207 1127 1119
113 536 491 552 591
114 339 342 340 269
115 3612 3605 3659 3652
116 2720 2785 2561 2592
117 2051 2046 1929 1980
118 337 546 377 266
119 1465 1503 1339 1406
120 425 611 451 465
121 3332 3217 3251 3244
122 258 188 217 249
123 66 122 29 110
124 3510 3571 3723 3675
125 1926 2128 1934 1986
126 3111 2706 2748 3049
127 4033 4086 4043 4104
128 2586 2918 2673 2707
129 2201 2173 2382 2357
130 3285 3394 3552 3557
131 1519 1437 1442 1529
132 2785 2726 2720 2828
133 3038 2929 2938 3099
134 1279 1220 1257 1190
135 2149 2121 2368 2248
136 3180 3206 3045 3265
137 2163 2202 2126 2166
138 1954 1940 1930 1949
139 1386 1252 1296 1216
140 2307 2301 2229 2348
141 1241 1380 1528 1489
142 1213 1009 915 701
143 4392 4396 4143 4387
144 338 488 273 283
145 813 677 464 534
146 2028 1991 1910 1863
147 2661 2594 2608 2549
148 1655 1722 1616 1853
149 3980 4010 4072 3977
150 3824 3905 4045 3769
151 4271 4432 4430 4377
152 4124 4138 4089 3990
153 282 135 308 176
154 2300 2251 2368 2235
155 3073 3184 3186 3086
156 2649 2704 2642 2528
157 3974 4051 4089 4024
158 1831 2018 1719 1850
159 3162 3318 3190 3314
160 4803 4710 4762 4716
161 4323 4263 4276 4421
162 1840 1845 1990 1948
163 1460 1515 1465 1435
164 3415 3455 3429 3437
165 2218 2180 2294 2207
166 3225 3249 3167 3000
167 933 866 958 1102
168 1908 1932 1855 1815
169 2698 2724 2672 2686
170 3399 3440 3453 3374
171 3048 3252 3305 3349
172 2841 2726 2918 2928
173 1851 1733 1829 1883
174 1348 1353 1441 1421
175 4584 4544 4583 4548
176 4507 4585 4496 4497
177 1875 2171 2054 2181
178 2907 2847 2823 2773
179 4569 4553 4673 4570
180 4204 4177 4237 4281
181 2702 2715 2685 2801
182 734 506 452 566
183 3854 3755 3827 3739
184 3137 3157 3155 3178
185 3466 3432 3447 3379
186 1524 1534 1505 1421
187 161 276 255 311
188 2471 2677 2556 2610
189 1990 2142 2189 2141
190 3765 3995 3814 3977
191 4105 4009 3987 4037
192 2592 2779 2475 2586
193 2660 2681 2567 2553
194 541 367 539 911
195 4673 4462 4363 4570
196 3460 3351 3257 3327
197 3419 3472 3393 3416
198 2681 2660 2703 2553
199 783 859 757 760
200 144 186 141 230
201 2178 2180 2175 2243
202 3577 3511 3510 3571
203 4131 4021 4017 4075
204 3525 3445 3656 3833
205 451 421 488 338
206 3278 3230 3240 3262
207 3036 3038 3070 3005
208 4533 4590 4723 4526
209 3075 4691 80 4826
210 2927 3046 3132 2976
211 3391 3622 3610 3500
212 2602 2464 2687 2620
213 4310 4264 4350 4380
214 4750 4579 4513 4595
215 2894 3014 3055 2973
216 4647 4563 103 145
217 12 154 4832 4794
218 3623 3498 3472 3530
219 4175 4482 3872 4227
220 4179 4121 4208 4049
221 1586 1591 1890 1656
222 2667 2562 2481 2477
223 1734 1746 1798 1842
224 3311 3464 3164 3591
225 3149 3084 3116 2909
226 3998 4133 4043 4009
227 1786 1724 1689 1745
228 4289 4203 4025 4064
229 3075 3133 3045 2297
230 2999 3073 3099 3017
231 2798 2666 2787 2810
232 2451 2786 2714 2538
233 4500 4462 4309 4363
234 4507 4518 4526 4475
235 2131 2124 2136 2078
236 1522 1521 1608 1545
237 2645 2587 2638 2568
238 4589 4500 4502 4398
239 3278 3230 3263 3240
240 3180 3081 2825 3122
241 3405 3529 3450 3364
242 3183 3420 3363 3156
243 238 293 319 305
244 3079 2834 3029 2842
245 3187 3320 3205 3196
246 4510 4449 4516 4598
247 4691 2747 3075 1579
248 3881 3962 3873 3960
249 2384 3760 3106 3544
250 1205 1203 983 976
251 1498 1648 1555 1546
252 452 506 446 566
253 1053 1050 1124 1147
254 1491 1272 1483 1323
255 771 798 891 887
256 3648 3616 3658 3710
257 626 610 611 707
258 316 472 311 310
259 4240 4155 4153 4235
260 4096 4076 4106 4190
261 2475 2216 2158 2174
262 88 148 125 63
263 810 699 829 755
264 736 881 873 851
265 4675 4782 4779 4819
266 3229 3071 3125 3042
267 2045 2076 1844 1976
268 4536 4352 4324 4537
269 4635 4727 4754 4687
270 4097 4509 4596 4227
271 4592 4388 4431 4557
272 125 63 51 35
273 247 402 103 381
274 2505 2626 2649 2627
275 4601 4699 4654 4525
276 2434 2432 2458 2543
277 709 715 741 708
278 4781 4612 22 103
279 3868 3882 3748 3812
