ID Node1 Node2 Node3 Marker
0 1574 1607 1487 0
1 1574 1548 1607 0
2 1487 1548 1574 0
3 1487 1607 1548 0
4 3118 3220 3083 0
5 3118 3201 3220 0
6 3083 3201 3118 0
7 3083 3220 3201 0
8 4185 4189 3972 0
9 4185 3926 4189 0
10 3972 3926 4185 0
11 3972 4189 3926 0
12 2114 2241 2201 0
13 2114 2170 2241 0
14 2201 2170 2114 0
15 2201 2241 2170 0
16 2478 2499 2560 0
17 2478 2432 2499 0
18 2560 2432 2478 0
19 2560 2499 2432 0
20 2620 2610 2503 0
21 2620 2536 2610 0
22 2503 2536 2620 0
23 2503 2610 2536 0
24 2859 2749 2899 0
25 2859 2844 2749 0
26 2899 2844 2859 0
27 2899 2749 2844 0
28 176 224 135 0
29 176 21 224 0
30 135 21 176 0
31 135 224 21 0
32 894 966 779 0
33 894 1165 966 0
34 779 1165 894 0
35 779 966 1165 0
36 3467 3532 3537 0
37 3467 3407 3532 0
38 3537 3407 3467 0
39 3537 3532 3407 0
40 3367 3470 3326 0
41 3367 3598 3470 0
42 3326 3598 3367 0
43 3326 3470 3598 0
44 3396 3506 3180 0
45 3396 3161 3506 0
46 3180 3161 3396 0
47 3180 3506 3161 0
48 2442 2471 2502 0
49 2442 2567 2471 0
50 2502 2567 2442 0
51 2502 2471 2567 0
52 4069 4106 4134 0
53 4069 4062 4106 0
54 4134 4062 4069 0
55 4134 4106 4062 0
56 3182 3175 3178 0
57 3182 3155 3175 0
58 3178 3155 3182 0
59 3178 3175 3155 0
60 4278 3997 4204 0
61 4278 4242 3997 0
62 4204 4242 4278 0
63 4204 3997 4242 0
64 4414 4459 4451 0
65 4414 4455 4459 0
66 4451 4455 4414 0
67 4451 4459 4455 0
68 4487 4472 4400 0
69 4487 4490 4472 0
70 4400 4490 4487 0
71 4400 4472 4490 0
72 2697 2703 2681 0
73 2697 2660 2703 0
74 2681 2660 2697 0
75 2681 2703 2660 0
76 3848 3800 3864 0
77 3848 3954 3800 0
78 3864 3954 3848 0
79 3864 3800 3954 0
80 3447 3466 3545 0
81 3447 3541 3466 0
82 3545 3541 3447 0
83 3545 3466 3541 0
84 2678 2518 2664 0
85 2678 2666 2518 0
86 2664 2666 2678 0
87 2664 2518 2666 0
88 3153 3179 3203 0
89 3153 3223 3179 0
90 3203 3223 3153 0
91 3203 3179 3223 0
92 198 87 187 0
93 198 83 87 0
94 187 83 198 0
95 187 87 83 0
96 3017 2970 2929 0
97 3017 2952 2970 0
98 2929 2952 3017 0
99 2929 2970 2952 0
100 2197 2214 2277 0
101 2197 2271 2214 0
102 2277 2271 2197 0
103 2277 2214 2271 0
104 2162 2199 2156 0
105 2162 2064 2199 0
106 2156 2064 2162 0
107 2156 2199 2064 0
108 4732 73 56 0
109 4732 61 73 0
110 56 61 4732 0
111 56 73 61 0
112 914 297 2460 0
113 914 1869 297 0
114 2460 1869 914 0
115 2460 297 1869 0
116 2822 2989 2847 0
117 2822 2958 2989 0
118 2847 2958 2822 0
119 2847 2989 2958 0
120 2810 2799 2798 0
121 2810 2755 2799 0
122 2798 2755 2810 0
123 2798 2799 2755 0
124 2771 2911 2908 0
125 2771 2931 2911 0
126 2908 2931 2771 0
127 2908 2911 2931 0
128 2445 2559 2455 0
129 2445 2461 2559 0
130 2455 2461 2445 0
131 2455 2559 2461 0
132 817 757 831 0
133 817 792 757 0
134 831 792 817 0
135 831 757 792 0
136 1043 1062 1022 0
137 1043 1103 1062 0
138 1022 1103 1043 0
139 1022 1062 1103 0
140 2762 2631 2693 0
141 2762 2632 2631 0
142 2693 2632 2762 0
143 2693 2631 2632 0
144 3227 3107 3193 0
145 3227 3070 3107 0
146 3193 3070 3227 0
147 3193 3107 3070 0
148 1740 1896 1923 0
149 1740 1903 1896 0
150 1923 1903 1740 0
151 1923 1896 1903 0
152 2909 3116 3032 0
153 2909 3084 3116 0
154 3032 3084 2909 0
155 3032 3116 3084 0
156 2491 2558 2514 0
157 2491 2483 2558 0
158 2514 2483 2491 0
159 2514 2558 2483 0
160 2086 2129 2298 0
161 2086 2025 2129 0
162 2298 2025 2086 0
163 2298 2129 2025 0
164 3309 3157 3047 0
165 3309 3237 3157 0
166 3047 3237 3309 1
167 3047 3157 3237 0
168 2838 2935 2725 0
169 2838 2572 2935 0
170 2725 2572 2838 0
171 2725 2935 2572 0
172 880 808 964 0
173 880 681 808 0
174 964 681 880 0
175 964 808 681 0
176 2797 2784 2831 0
177 2797 2893 2784 0
178 2831 2893 2797 0
179 2831 2784 2893 0
180 167 152 4779 0
181 167 4761 152 0
182 4779 4761 167 0
183 4779 152 4761 0
184 3362 3307 3400 0
185 3362 3325 3307 0
186 3400 3325 3362 0
187 3400 3307 3325 0
188 2119 2149 1998 0
189 2119 2121 2149 0
190 1998 2121 2119 0
191 1998 2149 2121 0
192 171 310 215 0
193 171 70 310 0
194 215 70 171 0
195 215 310 70 0
196 2982 3116 2987 0
197 2982 3149 3116 0
198 2987 3149 2982 0
199 2987 3116 3149 0
200 1285 1468 1837 0
201 1285 1433 1468 0
202 1837 1433 1285 0
203 1837 1468 1433 0
204 3023 3004 2958 0
205 3023 2984 3004 0
206 2958 2984 3023 0
207 2958 3004 2984 0
208 2542 2606 2493 0
209 2542 2487 2606 0
210 2493 2487 2542 0
211 2493 2606 2487 0
212 2828 2886 2626 0
213 2828 2785 2886 0
214 2626 2785 2828 0
215 2626 2886 2785 0
216 2560 2575 2434 0
217 2560 2626 2575 0
218 2434 2626 2560 0
219 2434 2575 2626 0
220 3349 3461 3332 0
221 3349 3316 3461 0
222 3332 3316 3349 0
223 3332 3461 3316 0
224 4415 4362 4474 0
225 4415 4478 4362 0
226 4474 4478 4415 0
227 4474 4362 4478 0
228 4088 4085 3984 0
229 4088 4154 4085 0
230 3984 4154 4088 0
231 3984 4085 4154 0
232 4135 3883 4035 0
233 4135 4011 3883 0
234 4035 4011 4135 0
235 4035 3883 4011 0
236 3266 2967 3180 0
237 3266 3081 2967 0
238 3180 3081 3266 0
239 3180 2967 3081 0
240 2608 2670 2550 0
241 2608 2692 2670 0
242 2550 2692 2608 0
243 2550 2670 2692 0
244 2040 2120 2138 0
245 2040 2109 2120 0
246 2138 2109 2040 0
247 2138 2120 2109 0
248 816 657 895 0
249 816 973 657 0
250 895 973 816 0
251 895 657 973 0
252 819 842 820 0
253 819 814 842 0
254 820 814 819 0
255 820 842 814 0
256 3614 3628 3537 0
257 3614 3557 3628 0
258 3537 3557 3614 0
259 3537 3628 3557 0
260 3226 3041 3214 0
261 3226 2932 3041 0
262 3214 2932 3226 0
263 3214 3041 2932 0
264 3369 3560 3894 0
265 3369 3704 3560 0
266 3894 3704 3369 0
267 3894 3560 3704 0
268 3136 3279 3246 0
269 3136 3328 3279 0
270 3246 3328 3136 0
271 3246 3279 3328 0
272 2259 2354 2282 0
273 2259 2352 2354 0
274 2282 2352 2259 0
275 2282 2354 2352 0
276 2981 2933 2991 0
277 2981 2984 2933 0
278 2991 2984 2981 0
279 2991 2933 2984 0
280 2179 2248 2123 0
281 2179 2121 2248 0
282 2123 2121 2179 0
283 2123 2248 2121 0
284 2063 1940 2013 0
285 2063 2012 1940 0
286 2013 2012 2063 0
287 2013 1940 2012 0
288 4731 7 61 0
289 4731 45 7 0
290 61 45 4731 0
291 61 7 45 0
292 2636 2855 3096 0
293 2636 2609 2855 0
294 3096 2609 2636 0
295 3096 2855 2609 0
296 2542 2462 2629 0
297 2542 2565 2462 0
298 2629 2565 2542 0
299 2629 2462 2565 0
300 2680 2631 2632 0
301 2680 2601 2631 0
302 2632 2601 2680 0
303 2632 2631 2601 0
304 1152 1489 1352 0
305 1152 1387 1489 0
306 1352 1387 1152 0
307 1352 1489 1387 0
308 1463 1399 1455 0
309 1463 1212 1399 0
310 1455 1212 1463 0
311 1455 1399 1212 0
312 2628 2712 2548 0
313 2628 2656 2712 0
314 2548 2656 2628 0
315 2548 2712 2656 0
316 2179 2248 2497 0
317 2179 2155 2248 0
318 2497 2155 2179 0
319 2497 2248 2155 0
320 4627 4661 4749 0
321 4627 4700 4661 0
322 4749 4700 4627 0
323 4749 4661 4700 0
324 2982 2909 2987 0
325 2982 3116 2909 0
326 2987 2909 3116 0
327 2828 2909 2809 0
328 2828 2987 2909 0
329 2809 2987 2828 0
330 2809 2909 2987 0
331 1718 1742 1776 0
332 1718 1815 1742 0
333 1776 1815 1718 0
334 1776 1742 1815 0
335 3032 2946 2934 0
336 3032 2968 2946 0
337 2934 2968 3032 0
338 2934 2946 2968 0
339 1664 1607 1615 0
340 1664 1560 1607 0
341 1615 1560 1664 0
342 1615 1607 1560 0
343 1697 1608 1625 0
344 1697 1604 1608 0
345 1625 1604 1697 0
346 1625 1608 1604 0
347 3219 3192 3047 0
348 3219 3060 3192 0
349 3047 3060 3219 0
350 3047 3192 3060 0
351 3006 3150 3052 0
352 3006 3144 3150 0
353 3052 3144 3006 0
354 3052 3150 3144 0
355 3219 3192 3309 0
356 3309 3047 3219 0
357 3309 3192 3047 1
358 2819 2805 2882 0
359 2819 2858 2805 0
360 2882 2858 2819 0
361 2882 2805 2858 0
362 2408 2325 2464 0
363 2408 2386 2325 0
364 2464 2386 2408 0
365 2464 2325 2386 0
366 3271 3279 3328 0
367 3271 3569 3279 0
368 3328 3569 3271 0
369 3328 3279 3569 0
370 2073 1946 1671 0
371 2073 2174 1946 0
372 1671 2174 2073 0
373 1671 1946 2174 0
374 999 964 1090 0
375 999 909 964 0
376 1090 909 999 0
377 1090 964 909 0
378 1361 1448 1564 0
379 1361 1537 1448 0
380 1564 1537 1361 0
381 1564 1448 1537 0
382 2509 2586 2475 0
383 2509 2779 2586 0
384 2475 2779 2509 0
385 2475 2586 2779 0
386 2930 3025 2855 0
387 2930 2717 3025 0
388 2855 2717 2930 0
389 2855 3025 2717 0
390 1348 1369 1594 0
391 1348 1334 1369 0
392 1594 1334 1348 0
393 1594 1369 1334 0
394 545 564 618 0
395 545 531 564 0
