ID Node1 Node2 Marker
0 402 414 0
1 402 474 0
2 440 474 0
3 440 414 0
4 440 402 0
5 474 414 0
6 312 349 0
7 312 341 0
8 375 341 0
9 375 349 0
10 375 312 0
11 341 349 0
12 389 428 0
13 389 412 0
14 435 412 0
15 435 428 0
16 435 389 0
17 412 428 0
18 105 115 0
19 105 87 0
20 85 87 0
21 85 115 0
22 85 105 0
23 87 115 0
24 82 74 0
25 82 91 0
26 90 91 0
27 90 74 0
28 90 82 0
29 91 74 0
30 317 322 0
31 317 412 0
32 389 322 0
33 389 317 0
34 412 322 0
35 303 319 0
36 303 282 0
37 252 282 0
38 252 319 0
39 252 303 0
40 282 319 0
41 615 632 0
42 615 608 0
43 620 608 0
44 620 632 0
45 620 615 0
46 608 632 0
47 302 292 0
48 302 326 0
49 318 326 0
50 318 292 0
51 318 302 0
52 326 292 1
53 319 333 0
54 319 361 0
55 332 361 0
56 332 333 0
57 332 319 0
58 361 333 0
59 216 251 0
60 216 224 1
61 250 224 0
62 250 251 0
63 250 216 0
64 224 251 1
65 207 247 0
66 207 217 0
67 234 217 0
68 234 247 0
69 234 207 0
70 217 247 0
71 650 631 0
72 650 627 0
73 646 627 0
74 646 631 0
75 646 650 0
76 627 631 0
77 307 299 0
78 307 300 0
79 297 300 0
80 297 299 0
81 297 307 0
82 300 299 0
83 593 537 0
84 593 575 0
85 548 575 0
86 548 537 0
87 548 593 0
88 575 537 0
89 366 352 0
90 366 344 0
91 361 344 0
92 361 352 0
93 361 366 0
94 344 352 0
95 669 628 0
96 669 695 0
97 676 695 0
98 676 628 0
99 676 669 0
100 695 628 0
101 550 573 0
102 550 533 0
103 564 533 0
104 564 573 0
105 564 550 0
106 533 573 0
107 268 279 0
108 268 245 0
109 223 245 0
110 223 279 0
111 223 268 0
112 245 279 0
113 664 650 0
114 664 647 0
115 671 647 0
116 671 650 0
117 671 664 0
118 647 650 0
119 592 75 1
120 592 553 0
121 511 553 0
122 511 75 1
123 511 592 1
124 553 75 0
125 236 237 0
126 236 229 0
127 227 229 0
128 227 237 0
129 227 236 1
130 229 237 0
131 164 130 0
132 164 175 0
133 163 175 0
134 163 130 0
135 163 164 0
136 175 130 0
137 502 500 0
138 502 485 0
139 482 485 0
140 482 500 0
141 482 502 0
142 485 500 0
143 382 370 0
144 382 365 0
145 344 365 0
146 344 370 0
147 344 382 0
148 365 370 0
149 700 7 0
150 700 80 0
151 45 80 0
152 45 7 0
153 45 700 0
154 80 7 0
155 268 317 0
156 286 279 0
157 286 317 0
158 286 268 0
159 279 317 0
160 499 506 0
161 499 561 0
162 509 561 0
163 509 506 0
164 509 499 0
165 561 506 0
166 293 304 0
167 293 297 0
168 318 297 0
169 318 304 0
170 318 293 0
171 297 304 0
172 460 453 0
173 460 497 0
174 515 497 0
175 515 453 0
176 515 460 0
177 497 453 0
178 640 601 0
179 640 579 0
180 581 579 0
181 581 601 0
182 581 640 0
183 579 601 0
184 587 615 0
185 587 632 0
186 605 632 0
187 605 615 0
188 605 587 0
189 540 541 0
190 540 565 0
191 560 565 0
192 560 541 0
193 560 540 0
194 565 541 0
195 486 454 0
196 486 427 0
197 433 427 0
198 433 454 0
199 433 486 1
200 427 454 0
201 593 449 0
202 593 483 0
203 588 483 0
204 588 449 0
205 588 593 0
206 483 449 0
207 453 468 0
208 453 463 0
209 446 463 0
210 446 468 0
211 446 453 0
212 463 468 0
213 192 205 0
214 192 213 0
215 223 213 0
216 223 205 0
217 223 192 0
218 213 205 0
219 422 411 0
220 422 414 0
221 404 414 0
222 404 411 0
223 404 422 0
224 414 411 0
225 216 266 1
226 210 251 0
227 210 266 1
228 210 216 1
229 251 266 1
230 515 543 0
231 515 538 0
232 501 538 0
233 501 543 0
234 501 515 0
235 538 543 0
236 267 294 0
237 267 292 0
238 290 292 1
239 290 294 0
240 290 267 0
241 292 294 0
242 474 457 0
243 464 440 0
244 464 457 0
245 464 474 0
246 440 457 0
247 261 247 0
248 261 262 0
249 269 262 0
250 269 247 0
251 269 261 0
252 262 247 0
253 28 12 0
254 28 32 0
255 22 32 1
256 22 12 0
257 22 28 0
258 32 12 0
259 375 343 0
260 375 275 0
261 324 275 0
262 324 343 0
263 324 375 0
264 275 343 0
265 279 273 0
266 279 213 0
267 244 213 0
268 244 273 0
269 244 279 0
270 213 273 0
271 169 99 0
272 169 184 0
273 170 184 0
274 170 99 0
275 170 169 0
276 184 99 0
277 405 411 0
278 405 404 0
279 414 405 0
280 480 486 0
281 480 496 0
282 487 496 0
283 487 486 0
284 487 480 0
285 496 486 0
286 522 488 1
287 522 526 0
288 523 526 0
289 523 488 1
290 523 522 1
291 526 488 0
292 277 259 0
293 277 287 0
294 273 287 0
295 273 259 0
296 273 277 0
297 287 259 0
298 279 238 0
299 220 213 0
300 220 238 0
301 220 279 0
302 213 238 0
303 557 510 0
304 557 509 0
305 518 509 0
306 518 510 0
307 518 557 0
308 509 510 0
309 288 285 0
310 288 286 0
311 258 286 0
312 258 285 0
313 258 288 0
314 286 285 0
315 403 274 0
316 403 206 0
317 219 206 0
318 219 274 0
319 219 403 1
320 206 274 0
321 309 323 0
322 309 291 0
323 315 291 0
324 315 323 0
325 315 309 0
