ID Node1 Node2 Node3 Node4
0 474 440 414 402
1 341 375 349 312
2 412 435 428 389
3 87 85 115 105
4 91 90 74 82
5 412 389 322 317
6 282 252 319 303
7 608 620 632 615
8 326 318 292 302
9 361 332 333 319
10 224 250 251 216
11 217 234 247 207
12 627 646 631 650
13 300 297 299 307
14 575 548 537 593
15 344 361 352 366
16 695 676 628 669
17 533 564 573 550
18 245 223 279 268
19 647 671 650 664
20 553 511 75 592
21 229 227 237 236
22 175 163 130 164
23 485 482 500 502
24 365 344 370 382
25 80 45 7 700
26 279 286 317 268
27 561 509 506 499
28 297 318 304 293
29 497 515 453 460
30 579 581 601 640
31 632 605 615 587
32 565 560 541 540
33 427 433 454 486
34 483 588 449 593
35 463 446 468 453
36 213 223 205 192
37 414 404 411 422
38 251 210 266 216
39 538 501 543 515
40 292 290 294 267
41 440 464 457 474
42 262 269 247 261
43 32 22 12 28
44 275 324 343 375
45 213 244 273 279
46 184 170 99 169
47 404 414 411 405
48 496 487 486 480
49 526 523 488 522
50 287 273 259 277
51 213 220 238 279
52 509 518 510 557
53 286 258 285 288
54 206 219 274 403
55 291 315 323 309
56 486 463 446 480
57 365 351 378 386
58 552 508 539 538
59 446 484 480 477
60 475 537 465 507
61 331 325 354 323
62 252 343 441 177
63 580 578 556 598
64 288 322 317 376
65 238 233 258 237
66 287 289 322 285
67 454 427 446 453
68 538 556 546 545
69 446 427 452 453
70 552 561 578 563
71 539 548 534 562
72 515 501 497 453
73 532 561 552 528
74 401 349 367 346
75 508 505 538 527
76 363 413 393 373
77 522 545 524 515
78 446 482 479 478
79 433 454 486 488
80 487 514 517 508
81 527 538 546 545
82 527 538 543 515
83 501 468 497 453
84 254 257 266 248
85 494 454 453 448
86 429 424 410 376
87 463 487 486 508
88 581 601 640 649
89 668 659 651 666
90 386 393 405 408
91 475 465 449 435
92 291 315 309 290
93 95 68 70 116
94 257 269 251 253
95 534 531 500 502
96 226 244 225 215
97 372 388 344 361
98 683 687 10 696
99 318 304 308 307
100 493 550 559 584
101 546 569 577 595
102 249 257 247 246
103 663 403 649 39
104 209 185 193 199
105 567 566 574 599
106 493 550 544 504
107 571 563 568 577
108 369 382 321 327
109 668 673 664 670
110 395 396 371 370
111 339 381 360 384
112 388 457 393 382
113 436 420 431 417
114 238 288 317 376
115 556 508 538 527
116 110 141 126 137
117 344 361 345 352
118 0 686 688 697
119 351 362 335 337
120 122 121 84 104
121 472 548 564 507
122 303 252 208 241
123 467 493 441 356
124 131 139 143 150
125 409 406 408 418
126 532 496 521 523
127 344 369 382 321
128 238 221 242 222
129 446 461 452 445
130 514 496 523 512
131 326 320 318 308
132 221 212 219 222
133 627 594 622 616
134 435 401 407 389
135 644 570 678 635
136 538 527 543 545
137 433 427 454 453
138 420 431 415 423
139 269 270 261 272
140 239 230 227 255
141 424 473 530 535
142 412 449 451 530
143 231 197 226 209
144 601 641 628 669
145 286 322 279 317
146 412 341 449 389
147 486 487 517 508
148 359 343 441 356
149 103 69 106 73
150 440 438 458 431
151 323 320 294 313
152 429 424 376 456
153 665 619 620 625
154 413 440 457 393
155 441 303 208 685
156 1 41 38 696
157 270 265 261 272
158 233 244 211 205
159 365 363 340 321
160 163 135 159 116
161 318 391 292 302
162 331 354 353 323
163 325 348 350 354
164 274 403 383 638
165 369 333 385 284
166 391 369 385 318
167 382 361 467 356
168 402 404 384 405
169 354 338 353 323
170 487 508 482 477
171 244 258 273 279
172 457 388 393 395
173 446 482 461 479
174 472 468 452 453
175 432 413 464 457
176 257 262 269 247
177 628 695 3 701
178 457 432 393 382
179 275 252 184 177
180 394 402 384 405
181 542 554 567 466
182 325 331 315 309
183 679 671 664 659
184 238 221 229 242
185 520 432 511 464
186 335 363 320 321
187 275 252 280 260
188 575 580 557 568
189 338 351 335 337
190 470 473 428 455
191 220 213 223 268
192 349 401 389 346
193 212 202 219 222
194 470 542 525 535
195 369 284 306 321
196 301 298 294 306
197 390 325 368 331
198 320 318 294 327
199 360 338 354 337
200 313 316 280 272
201 142 213 151 148
202 36 16 19 11
203 426 459 435 428
204 578 561 571 563
205 10 683 1 684
206 301 284 306 307
207 297 318 284 307
208 381 362 351 337
209 339 347 379 371
210 325 342 390 350
211 217 214 225 240
212 352 361 364 380
213 392 413 408 418
214 174 169 168 132
215 262 224 247 251
216 252 314 260 282
217 270 265 267 249
218 167 161 175 154
219 32 51 65 84
220 354 353 351 377
221 223 245 194 268
222 227 230 237 256
223 239 233 211 230
224 270 267 269 249
225 193 239 230 227
226 344 321 313 311
227 388 395 396 371
228 332 282 319 303
229 446 459 476 465
230 548 539 497 551
231 207 200 209 195
232 342 346 305 410
233 474 493 404 422
234 413 432 391 382
235 367 417 409 415
236 331 325 315 290
237 506 509 521 528
238 264 263 255 256
239 542 535 582 554
240 210 203 214 217
241 570 343 504 375
242 87 44 101 47
243 489 495 490 478
244 131 122 103 125
245 420 414 419 422
246 663 656 662 649
247 548 472 461 507
248 263 264 236 256
249 13 6 36 16
250 181 176 180 175
251 238 188 317 268
252 436 446 461 476
253 13 49 73 43
254 214 210 217 200
255 238 221 181 229
256 200 197 209 195
257 170 152 99 169
258 203 210 214 200
259 290 270 294 267
260 645 637 659 651
261 359 324 364 374
262 286 258 279 285
263 365 362 351 386
264 436 426 465 407
265 508 487 512 477
266 525 575 535 549
267 41 1 16 56
268 547 455 554 549
269 647 639 634 633
270 434 462 481 492
271 95 88 76 71
272 491 485 500 502
273 542 525 535 549
274 435 407 428 389
275 560 519 565 541
276 494 501 515 453
