ID Node1 Node2 Node3 Marker
0 402 414 440 0
1 402 474 414 0
2 440 474 402 0
3 440 414 474 0
4 312 349 375 0
5 312 341 349 0
6 375 341 312 0
7 375 349 341 0
8 389 428 435 0
9 389 412 428 0
10 435 412 389 0
11 435 428 412 0
12 105 115 85 0
13 105 87 115 0
14 85 87 105 0
15 85 115 87 0
16 82 74 90 0
17 82 91 74 0
18 90 91 82 0
19 90 74 91 0
20 317 322 389 0
21 317 412 322 0
22 389 412 317 0
23 389 322 412 0
24 303 319 252 0
25 303 282 319 0
26 252 282 303 0
27 252 319 282 0
28 615 632 620 0
29 615 608 632 0
30 620 608 615 0
31 620 632 608 0
32 302 292 318 0
33 302 326 292 0
34 318 326 302 0
35 318 292 326 0
36 319 333 332 0
37 319 361 333 0
38 332 361 319 0
39 332 333 361 0
40 216 251 250 0
41 216 224 251 0
42 250 224 216 0
43 250 251 224 0
44 207 247 234 0
45 207 217 247 0
46 234 217 207 0
47 234 247 217 0
48 650 631 646 0
49 650 627 631 0
50 646 627 650 0
51 646 631 627 0
52 307 299 297 0
53 307 300 299 0
54 297 300 307 0
55 297 299 300 0
56 593 537 548 0
57 593 575 537 0
58 548 575 593 0
59 548 537 575 0
60 366 352 361 0
61 366 344 352 0
62 361 344 366 0
63 361 352 344 0
64 669 628 676 0
65 669 695 628 0
66 676 695 669 0
67 676 628 695 0
68 550 573 564 0
69 550 533 573 0
70 564 533 550 0
71 564 573 533 0
72 268 279 223 0
73 268 245 279 0
74 223 245 268 0
75 223 279 245 0
76 664 650 671 0
77 664 647 650 0
78 671 647 664 0
79 671 650 647 0
80 592 75 511 1
81 592 553 75 0
82 511 553 592 0
83 511 75 553 0
84 236 237 227 0
85 236 229 237 0
86 227 229 236 0
87 227 237 229 0
88 164 130 163 0
89 164 175 130 0
90 163 175 164 0
91 163 130 175 0
92 502 500 482 0
93 502 485 500 0
94 482 485 502 0
95 482 500 485 0
96 382 370 344 0
97 382 365 370 0
98 344 365 382 0
99 344 370 365 0
100 700 7 45 0
101 700 80 7 0
102 45 80 700 0
103 45 7 80 0
104 268 317 286 0
105 268 279 317 0
106 286 279 268 0
107 286 317 279 0
108 499 506 509 0
109 499 561 506 0
110 509 561 499 0
111 509 506 561 0
112 293 304 318 0
113 293 297 304 0
114 318 297 293 0
115 318 304 297 0
116 460 453 515 0
117 460 497 453 0
118 515 497 460 0
119 515 453 497 0
120 640 601 581 0
121 640 579 601 0
122 581 579 640 0
123 581 601 579 0
124 587 615 605 0
125 587 632 615 0
126 605 632 587 0
127 605 615 632 0
128 540 541 560 0
129 540 565 541 0
130 560 565 540 0
131 560 541 565 0
132 486 454 433 0
133 486 427 454 0
134 433 427 486 0
135 433 454 427 0
136 593 449 588 0
137 593 483 449 0
138 588 483 593 0
139 588 449 483 0
140 453 468 446 0
141 453 463 468 0
142 446 463 453 0
143 446 468 463 0
144 192 205 223 0
145 192 213 205 0
146 223 213 192 0
147 223 205 213 0
148 422 411 404 0
149 422 414 411 0
150 404 414 422 0
151 404 411 414 0
152 216 266 210 1
153 216 251 266 0
154 210 251 216 0
155 210 266 251 0
156 515 543 501 0
157 515 538 543 0
158 501 538 515 0
159 501 543 538 0
160 267 294 290 0
161 267 292 294 0
162 290 292 267 0
163 290 294 292 0
164 474 457 464 0
165 474 440 457 0
166 464 440 474 0
167 464 457 440 0
168 261 247 269 0
169 261 262 247 0
170 269 262 261 0
171 269 247 262 0
172 28 12 22 0
173 28 32 12 0
174 22 32 28 0
175 22 12 32 0
176 375 343 324 0
177 375 275 343 0
178 324 275 375 0
179 324 343 275 0
180 279 273 244 0
181 279 213 273 0
182 244 213 279 0
183 244 273 213 0
184 169 99 170 0
185 169 184 99 0
186 170 184 169 0
187 170 99 184 0
188 405 411 414 0
189 405 404 411 0
190 414 404 405 0
191 480 486 487 0
192 480 496 486 0
193 487 496 480 0
194 487 486 496 0
195 522 488 523 1
196 522 526 488 0
197 523 526 522 0
198 523 488 526 0
199 277 259 273 0
200 277 287 259 0
201 273 287 277 0
202 273 259 287 0
203 279 238 220 0
204 279 213 238 0
205 220 213 279 0
206 220 238 213 0
207 557 510 518 0
208 557 509 510 0
209 518 509 557 0
210 518 510 509 0
211 288 285 258 0
212 288 286 285 0
213 258 286 288 0
214 258 285 286 0
215 403 274 219 0
216 403 206 274 0
217 219 206 403 0
218 219 274 206 0
219 309 323 315 0
220 309 291 323 0
221 315 291 309 0
222 315 323 291 0
223 480 446 463 0
224 480 486 446 0
225 463 486 480 0
226 463 446 486 0
227 386 378 351 0
228 386 365 378 0
229 351 365 386 0
230 351 378 365 0
231 538 539 508 0
232 538 552 539 0
233 508 552 538 0
234 508 539 552 0
235 477 480 484 0
236 477 446 480 0
237 484 446 477 0
238 484 480 446 0
239 507 465 537 0
240 507 475 465 0
241 537 475 507 0
242 537 465 475 0
243 323 354 325 0
244 323 331 354 0
245 325 331 323 0
246 325 354 331 0
247 177 441 343 0
248 177 252 441 0
249 343 252 177 0
250 343 441 252 0
251 598 556 578 0
252 598 580 556 0
253 578 580 598 0
254 578 556 580 0
255 376 317 322 0
256 376 288 317 0
257 322 288 376 0
258 322 317 288 0
259 237 258 233 0
260 237 238 258 0
261 233 238 237 0
262 233 258 238 0
263 285 322 289 0
264 285 287 322 0
265 289 287 285 0
266 289 322 287 0
267 453 446 427 0
268 453 454 446 0
269 427 454 453 0
270 427 446 454 0
271 545 546 556 0
272 545 538 546 0
273 556 538 545 0
274 556 546 538 0
275 453 452 427 0
276 453 446 452 0
277 427 452 446 0
278 563 578 561 0
279 563 552 578 0
280 561 552 563 0
281 561 578 552 0
282 562 534 548 0
283 562 539 534 0
284 548 539 562 0
285 548 534 539 0
286 453 497 501 0
287 501 515 453 0
288 501 497 515 0
289 528 552 561 0
290 528 532 552 0
291 561 532 528 0
292 561 552 532 0
293 346 367 349 0
294 346 401 367 0
295 349 401 346 0
296 349 367 401 0
297 527 538 505 0
298 527 508 538 0
299 505 508 527 0
300 505 538 508 0
301 373 393 413 0
302 373 363 393 0
303 413 363 373 0
304 413 393 363 0
305 515 524 545 0
306 515 522 524 0
307 545 522 515 0
308 545 524 522 0
309 478 479 482 0
310 478 446 479 0
311 482 446 478 0
312 482 479 446 0
313 488 486 454 0
314 488 433 486 1
315 454 433 488 0
316 508 517 514 0
317 508 487 517 0
318 514 487 508 0
319 514 517 487 0
320 545 527 546 0
321 538 527 545 0
322 538 546 527 0
323 515 527 543 0
324 538 527 515 0
325 538 543 527 0
326 453 497 468 0
327 468 501 453 0
328 468 497 501 0
329 248 266 257 0
330 248 254 266 0
331 257 254 248 0
332 257 266 254 0
333 448 453 454 0
334 448 494 453 0
335 454 494 448 0
336 454 453 494 0
337 376 410 424 0
338 376 429 410 0
339 424 429 376 0
340 424 410 429 0
341 508 486 487 0
342 508 463 486 0
343 487 463 508 0
344 487 486 463 0
345 649 640 601 0
346 649 581 640 0
347 601 581 649 0
348 666 651 659 0
349 666 668 651 0
350 659 668 666 0
351 659 651 668 0
352 408 405 393 0
353 408 386 405 0
354 393 386 408 0
355 393 405 386 0
356 435 449 465 0
357 435 475 449 0
358 465 475 435 0
359 465 449 475 0
360 290 309 315 0
361 290 291 309 0
362 315 291 290 0
363 116 70 68 0
364 116 95 70 0
365 68 95 116 0
366 68 70 95 0
367 253 251 269 0
368 253 257 251 0
369 269 257 253 0
370 269 251 257 0
371 502 500 531 0
372 502 534 500 0
373 531 534 502 0
374 531 500 534 0
375 215 225 244 0
376 215 226 225 0
377 244 226 215 0
378 244 225 226 0
379 361 344 388 0
380 361 372 344 0
381 388 372 361 0
382 388 344 372 0
383 696 10 687 0
384 696 683 10 0
385 687 683 696 0
386 687 10 683 0
387 307 308 304 0
388 307 318 308 0
389 304 318 307 0
390 304 308 318 0
391 584 559 550 0
392 584 493 559 0
393 550 493 584 0
394 550 559 493 0
395 595 577 569 0
396 595 546 577 0
397 569 546 595 1
398 569 577 546 0
399 246 247 257 0
400 246 249 247 0
401 257 249 246 0
402 257 247 249 0
403 39 649 403 1
404 39 663 649 0
405 403 663 39 0
406 403 649 663 0
407 199 193 185 0
408 199 209 193 0
409 185 209 199 0
410 185 193 209 0
411 599 574 566 0
412 599 567 574 0
413 566 567 599 0
414 566 574 567 0
415 504 544 550 0
416 504 493 544 0
417 550 493 504 0
418 550 544 493 0
419 577 568 563 0
420 577 571 568 0
421 563 571 577 0
422 563 568 571 0
423 327 321 382 0
424 327 369 321 0
425 382 369 327 0
426 382 321 369 0
427 670 664 673 0
428 670 668 664 0
429 673 668 670 0
430 673 664 668 0
431 370 371 396 0
432 370 395 371 0
433 396 395 370 0
434 396 371 395 0
435 384 360 381 0
436 384 339 360 0
437 381 339 384 0
438 381 360 339 0
439 382 393 457 0
440 382 388 393 0
441 457 388 382 0
442 457 393 388 0
443 417 431 420 0
444 417 436 431 0
445 420 436 417 0
446 420 431 436 0
447 376 238 317 0
448 288 238 376 0
449 288 317 238 0
450 527 556 538 0
451 508 556 527 0
452 508 538 556 0
453 137 126 141 0
454 137 110 126 0
455 141 110 137 0
456 141 126 110 0
457 352 345 361 0
458 352 344 345 0
459 361 345 344 0
460 697 688 686 0
461 697 0 688 0
462 686 0 697 0
463 686 688 0 0
464 337 335 362 0
465 337 351 335 0
466 362 351 337 0
467 362 335 351 0
468 104 84 121 0
469 104 122 84 1
470 121 122 104 0
471 121 84 122 0
472 507 564 548 0
473 507 472 564 0
474 548 472 507 0
475 548 564 472 0
476 241 208 252 0
477 241 303 208 0
478 252 303 241 0
479 252 208 303 0
480 356 441 493 0
481 356 467 441 0
482 493 467 356 0
483 493 441 467 0
484 150 143 139 0
485 150 131 143 0
486 139 131 150 0
487 139 143 131 0
488 418 408 406 0
489 418 409 408 0
490 406 409 418 0
491 406 408 409 0
492 523 521 496 0
493 523 532 521 0
494 496 532 523 0
495 496 521 532 0
496 321 344 382 0
497 369 344 321 0
498 369 382 344 0
499 222 242 221 0
500 222 238 242 0
501 221 238 222 0
502 221 242 238 0
503 445 452 461 0
504 445 446 452 0
505 461 446 445 0
506 461 452 446 0
507 512 523 496 0
508 512 514 523 0
509 496 514 512 0
510 496 523 514 0
511 308 318 320 0
512 308 326 318 0
513 320 326 308 0
514 320 318 326 0
515 222 219 212 0
516 222 221 219 0
517 212 221 222 0
518 212 219 221 0
519 616 622 594 0
520 616 627 622 0
521 594 627 616 0
522 594 622 627 0
523 389 407 401 0
524 389 435 407 0
525 401 435 389 0
526 401 407 435 0
527 635 678 570 0
528 635 644 678 0
529 570 644 635 0
530 570 678 644 0
531 545 543 527 0
532 545 538 543 0
533 453 433 454 0
534 427 433 453 0
535 423 415 431 0
536 423 420 415 0
537 431 420 423 0
538 431 415 420 0
539 272 261 270 0
540 272 269 261 0
541 270 269 272 0
542 270 261 269 0
543 255 227 230 0
544 255 239 227 0
545 230 239 255 0
546 230 227 239 0
547 535 530 473 0
548 535 424 530 0
549 473 424 535 0
550 473 530 424 0
551 530 451 449 0
552 530 412 451 0
553 449 412 530 0
554 449 451 412 0
555 209 226 197 0
556 209 231 226 0
557 197 231 209 0
558 197 226 231 0
559 669 628 641 0
560 669 601 628 0
561 641 601 669 0
562 641 628 601 0
563 317 279 322 0
564 322 286 317 0
565 322 279 286 0
566 389 449 341 0
567 389 412 449 0
568 341 412 389 0
569 341 449 412 0
570 508 486 517 0
571 487 517 486 0
572 356 441 343 0
573 356 359 441 0
574 343 359 356 0
575 343 441 359 0
576 73 106 69 0
577 73 103 106 0
578 69 103 73 0
579 69 106 103 0
580 431 458 438 0
581 431 440 458 0
582 438 440 431 0
583 438 458 440 0
584 313 294 320 0
585 313 323 294 0
586 320 323 313 0
587 320 294 323 0
588 456 376 424 0
589 456 429 376 0
590 424 429 456 0
591 625 620 619 0
592 625 665 620 0
593 619 665 625 0
594 619 620 665 0
595 393 457 440 0
596 393 413 457 0
597 440 413 393 0
598 440 457 413 0
599 685 208 303 0
600 685 441 208 0
601 303 441 685 0
602 303 208 441 0
603 696 38 41 0
604 696 1 38 0
605 41 1 696 0
606 41 38 1 0
607 272 261 265 0
608 265 270 272 0
609 265 261 270 0
610 205 211 244 0
611 205 233 211 0
612 244 233 205 0
613 244 211 233 0
614 321 340 363 0
615 321 365 340 0
616 363 365 321 0
617 363 340 365 0
618 116 159 135 0
619 116 163 159 0
620 135 163 116 0
621 135 159 163 0
622 302 292 391 0
623 391 318 302 0
624 391 292 318 0
625 323 353 354 0
626 323 331 353 0
627 354 353 331 0
628 354 350 348 0
629 354 325 350 0
630 348 325 354 0
631 348 350 325 0
632 638 383 403 0
633 638 274 383 0
634 403 274 638 0
635 403 383 274 0
636 284 385 333 0
637 284 369 385 0
638 333 369 284 0
639 333 385 369 0
640 318 385 369 0
641 318 391 385 0
642 369 391 318 0
643 369 385 391 0
644 356 467 361 0
645 356 382 467 0
646 361 382 356 0
647 361 467 382 0
648 405 384 404 0
649 405 402 384 0
650 404 402 405 0
651 404 384 402 0
652 323 353 338 0
653 338 354 323 0
654 338 353 354 0
655 477 482 508 0
656 477 487 482 0
657 508 487 477 0
658 508 482 487 0
659 279 273 258 0
660 258 244 279 0
661 258 273 244 0
662 395 393 388 0
663 395 457 393 0
664 388 457 395 0
665 479 461 482 0
666 479 446 461 0
667 482 461 446 0
668 453 452 468 0
669 453 472 452 0
670 468 472 453 0
671 468 452 472 0
672 457 464 413 0
673 457 432 464 0
674 413 432 457 0
675 413 464 432 0
676 247 257 269 0
677 262 257 247 0
678 262 269 257 0
679 701 3 695 0
680 701 628 3 0
681 695 628 701 0
682 695 3 628 0
683 382 393 432 0
684 432 457 382 0
685 432 393 457 0
686 177 184 252 0
687 177 275 184 0
688 252 275 177 0
689 252 184 275 0
690 405 394 384 0
691 402 394 405 0
692 402 384 394 0
693 466 567 554 0
694 466 542 567 0
695 554 542 466 0
696 554 567 542 0
697 309 315 331 0
698 309 325 315 0
699 331 325 309 0
700 331 315 325 0
701 659 664 671 0
702 659 679 664 0
703 671 679 659 0
704 671 664 679 0
705 242 229 221 0
706 242 238 229 0
707 221 229 238 0
708 464 511 432 0
709 464 520 511 0
710 432 520 464 0
711 432 511 520 0
712 321 320 363 0
713 321 335 320 0
714 363 335 321 0
715 363 320 335 0
716 260 280 252 0
717 260 275 280 0
718 252 275 260 0
719 252 280 275 0
720 568 557 580 0
721 568 575 557 0
722 580 575 568 0
723 580 557 575 0
724 337 338 335 0
725 351 338 337 0
726 351 335 338 0
727 455 428 473 0
728 455 470 428 0
729 473 470 455 0
730 473 428 470 0
731 268 223 213 0
732 268 220 223 0
733 213 220 268 0
734 213 223 220 0
735 346 389 401 0
736 346 349 389 0
737 401 389 349 0
738 222 219 202 0
739 202 212 222 0
740 202 219 212 0
741 535 525 542 0
742 535 470 525 0
743 542 470 535 0
744 542 525 470 0
745 321 306 284 0
746 321 369 306 0
747 284 369 321 0
748 284 306 369 0
749 306 294 298 0
750 306 301 294 0
751 298 301 306 0
752 298 294 301 0
753 331 368 325 0
754 331 390 368 0
755 325 390 331 1
756 325 368 390 0
757 327 294 318 0
758 327 320 294 0
759 318 320 327 0
760 318 294 320 0
761 337 354 338 0
762 337 360 354 0
763 338 360 337 0
764 338 354 360 0
765 272 280 316 0
766 272 313 280 0
767 316 313 272 0
768 316 280 313 0
769 148 151 213 0
770 148 142 151 0
771 213 142 148 0
772 213 151 142 0
773 11 19 16 0
774 11 36 19 0
775 16 36 11 0
776 16 19 36 0
777 428 435 459 0
778 428 426 435 0
779 459 426 428 0
780 459 435 426 0
781 563 571 561 0
782 563 578 571 0
783 561 571 578 0
784 684 1 683 0
785 684 10 1 0
786 683 10 684 0
787 683 1 10 0
788 307 306 284 0
789 307 301 306 0
790 284 301 307 0
791 284 306 301 0
792 307 284 318 0
793 307 297 284 0
794 318 297 307 0
795 318 284 297 0
796 337 381 351 0
797 362 381 337 0
798 362 351 381 0
799 371 379 347 0
800 371 339 379 0
801 347 339 371 0
802 347 379 339 0
803 350 390 342 0
804 350 325 390 0
805 342 325 350 0
806 342 390 325 0
807 240 225 214 0
808 240 217 225 0
809 214 217 240 0
810 214 225 217 0
811 380 364 361 0
812 380 352 364 0
813 361 352 380 0
814 361 364 352 0
815 418 408 413 0
816 418 392 408 0
817 413 392 418 0
818 413 408 392 0
819 132 168 169 0
820 132 174 168 0
821 169 174 132 0
822 169 168 174 0
823 251 247 224 0
824 251 262 247 0
825 224 262 251 0
826 224 247 262 0
827 282 260 314 0
