ID Node1 Node2 Node3 Node4
0 8891 9208 9043 9122
1 4998 4553 4718 5019
2 4520 4639 4582 4837
3 10741 10953 11502 11865
4 10900 10790 10753 10988
5 10343 10578 10625 10134
6 2098 1342 2034 2167
7 11734 11693 12028 11817
8 9910 10259 9818 9882
9 8820 8648 8840 8473
10 8307 8027 7947 7847
11 4930 5119 4823 5025
12 4811 4818 5056 5164
13 6920 7561 8294 7074
14 9727 10127 10872 10005
15 7791 7755 7967 7919
16 9323 9483 9406 9342
17 8676 8716 8881 8717
18 12640 12753 12400 12532
19 8881 9048 8735 8717
20 8253 8448 8708 8600
21 5073 5003 5122 4797
22 9320 9244 9549 9926
23 2485 2930 2659 2575
24 4983 5103 4767 4755
25 11409 11455 11389 10984
26 8947 8970 8875 8842
27 7142 7003 6751 6699
28 5838 5545 5775 5721
29 8519 8421 8590 8406
30 2532 2803 2739 2187
31 13823 12960 13588 13926
32 9009 9150 8980 9149
33 9437 9320 9549 9856
34 7742 7724 7758 7847
35 4993 4790 5072 4928
36 4290 4168 4336 4383
37 10116 10129 9855 9964
38 5700 6441 7438 7073
39 10595 9994 10179 10555
40 5807 5833 5843 6087
41 9875 9877 10067 9640
42 4271 4554 4255 4464
43 9153 10416 10889 10868
44 236 14225 149 165
45 10367 10698 10590 10061
46 7137 7803 7136 7384
47 6177 6216 5930 5817
48 8692 8981 8576 8552
49 11500 11506 11081 11487
50 7335 6921 7621 7472
51 5648 5918 5568 5637
52 11302 11121 11228 11138
53 6298 6425 6151 6086
54 10178 10132 10051 10194
55 11462 11278 11437 11364
56 9992 9879 9693 9740
57 9636 9900 9559 9669
58 7727 7277 7257 7912
59 4348 4418 4346 4690
60 13693 13775 13991 13739
61 9986 10162 10122 10115
62 8456 9204 8984 8514
63 7719 7636 7561 7829
64 10358 10497 10108 10423
65 9309 9095 9883 8937
66 9313 9502 8987 9430
67 8438 8888 8600 8866
68 7415 6620 7074 6264
69 7403 7161 7406 7276
70 6570 6353 6490 6509
71 6268 6321 6113 6385
72 9479 9611 9835 9772
73 6965 6922 6940 6816
74 5256 5377 5703 5681
75 702 575 478 358
76 6967 6735 6615 6841
77 3935 4348 4320 4339
78 12924 13516 13430 13800
79 10808 10916 10729 10795
80 5942 5722 5928 5935
81 281 506 37 38
82 4610 4795 4643 4599
83 14042 13990 13957 14199
84 8653 8607 8614 8264
85 3521 3696 3489 3729
86 5203 5444 5310 5575
87 9300 10305 9598 9666
88 7672 7764 7615 7808
89 6570 6385 6506 6634
90 6920 6737 6827 6326
91 6287 6446 6429 6286
92 4296 4059 4692 4405
93 3859 4136 4315 3955
94 2281 2365 2705 2442
95 7069 7111 6905 6941
96 2007 3544 2430 2787
97 4465 4073 4195 4303
98 2613 2654 2599 2608
99 8340 7832 8063 8300
100 9010 7286 8289 8359
101 6224 5791 5995 5868
102 8077 8048 8147 8333
103 4764 5146 4731 4402
104 10598 10622 10711 10710
105 9152 9061 9394 9350
106 4078 3586 3729 3735
107 7802 7926 8379 8402
108 10858 10716 9891 10348
109 13159 13036 13098 12750
110 11056 10849 11088 11152
111 6354 6303 6378 6417
112 2807 2578 2813 2688
113 10658 10505 10650 10654
114 7477 7348 7193 6984
115 6361 6390 6322 6514
116 4265 4083 4161 4267
117 12484 12814 12528 12573
118 9128 9229 9145 9368
119 6131 6103 6250 6145
120 6156 6227 5686 6189
121 1969 1832 2054 1669
122 9004 9419 9320 9471
123 5906 5918 6080 5637
124 8092 8378 8114 8012
125 526 199 399 259
126 5871 5911 5762 5805
127 11511 11731 11526 11758
128 2767 2470 3214 2830
129 6374 6044 6042 6190
130 5057 5273 5319 5352
131 9438 9576 9326 9334
132 10243 10261 10357 10288
133 9117 8970 8697 8842
134 13347 13020 12920 13008
135 4125 4043 4122 3886
136 12411 12385 12667 12489
137 3400 3461 3525 3192
138 9322 9131 9295 9044
139 9151 9004 9320 9471
140 8124 7780 7976 7776
141 4382 4367 4261 4284
142 5930 6216 6148 5798
143 9477 9336 9325 9417
144 6953 6931 6918 6651
145 5307 5728 5399 5806
146 9203 9130 9280 9260
147 8588 7681 8577 7908
148 11125 10838 10888 11080
149 8889 8469 8489 8688
150 6031 6419 6101 6167
151 9107 8966 9066 9075
152 7277 7774 7257 7912
153 11793 11995 11946 12009
154 7634 7893 7827 7789
155 5906 6085 6365 6271
156 9526 9470 9530 9846
157 9309 10018 9757 10200
158 7412 7832 7692 7475
159 11976 12568 12885 12340
160 8792 8382 8276 8481
161 8417 8339 8210 8346
162 4490 4591 4473 4399
163 2856 2894 2891 3036
164 9154 9021 9013 9072
165 7538 7938 7791 7864
166 6206 6332 6193 6255
167 2170 2308 2313 2347
168 9159 8913 8899 8968
169 9385 9348 9387 9177
170 938 818 993 1023
171 14280 7217 6817 6752
172 5142 5034 5245 5398
173 995 792 1088 1474
174 7027 6908 6614 6869
175 4924 4877 5102 4759
176 3297 3311 3372 3361
177 10427 10654 10462 10463
178 2344 2736 2605 2752
179 432 337 359 424
180 5013 5245 5139 4672
181 9721 9733 9896 9960
182 7379 7584 7534 7444
183 9396 9483 9406 9330
184 9882 9678 9788 9591
185 7190 6904 7131 7153
186 9419 9004 9420 9507
187 8826 9004 9151 8990
188 8899 9004 9187 9217
189 11815 11830 11583 11832
190 9279 9261 9524 9342
191 9266 9003 9043 9199
192 2349 2331 2516 2506
193 1839 1648 1517 1397
194 4403 4253 4435 4231
195 10212 10196 10254 10308
196 8265 8381 8218 8195
197 8948 9682 9030 9088
198 13294 13114 13280 13339
199 9437 9217 9419 9320
200 9333 9255 8960 9177
201 9440 9485 9605 9350
202 11828 11166 11525 11098
203 1520 1610 1404 1312
204 10441 10903 10560 10552
205 6200 6374 6190 6477
206 9309 9757 10203 10200
207 12481 12229 12569 11981
208 8294 9694 7992 8452
209 10028 10323 10264 10150
210 13287 13319 13219 13255
211 9897 9974 10198 10001
212 11406 10923 11352 11146
213 11105 10838 10727 11247
214 5922 5688 5694 5826
215 10356 10170 10225 10200
216 6898 6419 6560 6586
217 4284 4176 4459 4352
218 11276 11338 11035 11108
219 1475 926 905 1376
220 11254 11335 11465 11344
221 4649 4422 4173 4185
222 3745 4098 3708 3406
223 11600 11975 11772 11620
224 10486 10597 10662 10664
225 3895 4770 4103 4789
226 10829 10698 10933 10911
227 3948 3942 4181 4223
228 10740 10918 10915 11029
229 5173 5374 5222 5272
230 2581 2429 2632 2688
231 6683 6414 6498 6331
232 5061 5084 5316 5320
233 10681 10617 10713 10884
234 3780 4101 4065 3776
235 6651 6373 6594 6791
236 6172 6268 6158 6353
237 9894 9969 9944 9527
238 6991 6971 6861 6823
239 10725 10760 10664 10971
240 3013 2829 2216 2850
241 9164 8577 8542 9546
242 9849 9765 9686 9418
243 12019 12440 12125 12437
244 9981 9544 9970 9641
245 12930 13448 12222 12568
246 5026 5106 4877 4924
247 9776 9672 9697 9621
248 7157 7254 6891 7132
249 3987 3979 4164 4009
250 715 850 1193 679
251 12678 12640 12753 12400
252 9905 9769 9917 9829
253 9047 9061 9107 9394
254 9003 8959 8820 9199
255 6699 6798 6292 6326
256 3897 2679 3031 3111
257 10049 10309 9948 9698
258 10567 10591 10651 10650
259 148 14227 182 73
260 8612 8770 8429 8408
261 5139 4624 4849 4407
262 153 26 266 91
263 10880 10970 11121 11138
264 5756 5436 5591 5484
265 1323 1453 1484 1465
266 10566 10444 11067 11066
267 8677 8535 8944 8658
268 10808 10729 10777 10795
269 9010 7303 8239 8859
270 4593 4621 4392 4754
271 9617 9577 9559 9266
272 9080 8979 9229 8971
273 8200 8159 8352 8181
274 10243 10107 9968 10153
275 4763 4757 4862 4785
276 5488 5455 4564 4731
277 10569 10631 10652 10417
278 10549 10439 10502 10221
279 9528 9307 9302 9361
280 9107 9343 9325 9075
281 4330 4156 4404 4301
282 3158 2786 3450 3128
283 3849 4077 3968 4000
284 4367 4526 4184 4284
285 9545 9609 9351 9475
286 9157 9404 9738 9410
287 9691 9595 9647 9458
288 6633 6660 6560 6718
289 9635 9853 9797 9570
290 8572 8398 8562 8209
291 10504 10560 10067 10169
292 11510 11849 11764 11756
293 5347 5825 4933 5396
294 5705 5698 5449 5803
295 7755 7722 7919 7683
296 5495 5306 5416 5370
297 3910 3994 3800 3757
298 1735 1746 1337 1596
299 4457 4475 4195 4303
300 4087 4289 4454 4264
301 9610 9689 9532 9573
