ID Node1 Node2 Node3 Marker
0 9122 9043 9208 0
1 9122 8891 9043 0
2 9208 8891 9122 0
3 9208 9043 8891 0
4 5019 4718 4553 0
5 5019 4998 4718 0
6 4553 4998 5019 0
7 4553 4718 4998 0
8 4837 4582 4639 0
9 4837 4520 4582 0
10 4639 4520 4837 0
11 4639 4582 4520 0
12 11865 11502 10953 0
13 11865 10741 11502 0
14 10953 10741 11865 0
15 10953 11502 10741 0
16 10988 10753 10790 0
17 10988 10900 10753 0
18 10790 10900 10988 0
19 10790 10753 10900 0
20 10134 10625 10578 0
21 10134 10343 10625 0
22 10578 10343 10134 0
23 10578 10625 10343 0
24 2167 2034 1342 0
25 2167 2098 2034 0
26 1342 2098 2167 0
27 1342 2034 2098 0
28 11817 12028 11693 0
29 11817 11734 12028 0
30 11693 11734 11817 0
31 11693 12028 11734 0
32 9882 9818 10259 0
33 9882 9910 9818 0
34 10259 9910 9882 0
35 10259 9818 9910 0
36 8473 8840 8648 0
37 8473 8820 8840 0
38 8648 8820 8473 0
39 8648 8840 8820 0
40 7847 7947 8027 0
41 7847 8307 7947 0
42 8027 8307 7847 0
43 8027 7947 8307 0
44 5025 4823 5119 0
45 5025 4930 4823 0
46 5119 4930 5025 0
47 5119 4823 4930 0
48 5164 5056 4818 0
49 5164 4811 5056 0
50 4818 4811 5164 0
51 4818 5056 4811 0
52 7074 8294 7561 0
53 7074 6920 8294 0
54 7561 6920 7074 0
55 7561 8294 6920 0
56 10005 10872 10127 0
57 10005 9727 10872 0
58 10127 9727 10005 0
59 10127 10872 9727 0
60 7919 7967 7755 0
61 7919 7791 7967 0
62 7755 7791 7919 0
63 7755 7967 7791 0
64 9342 9406 9483 0
65 9342 9323 9406 0
66 9483 9323 9342 0
67 9483 9406 9323 0
68 8717 8881 8716 0
69 8717 8676 8881 0
70 8716 8676 8717 0
71 8716 8881 8676 0
72 12532 12400 12753 0
73 12532 12640 12400 0
74 12753 12640 12532 0
75 12753 12400 12640 0
76 8717 8735 9048 0
77 8717 8881 8735 0
78 9048 8881 8717 0
79 9048 8735 8881 0
80 8600 8708 8448 0
81 8600 8253 8708 0
82 8448 8253 8600 0
83 8448 8708 8253 0
84 4797 5122 5003 0
85 4797 5073 5122 0
86 5003 5073 4797 0
87 5003 5122 5073 0
88 9926 9549 9244 0
89 9926 9320 9549 1
90 9244 9320 9926 0
91 9244 9549 9320 0
92 2575 2659 2930 0
93 2575 2485 2659 0
94 2930 2485 2575 0
95 2930 2659 2485 0
96 4755 4767 5103 0
97 4755 4983 4767 0
98 5103 4983 4755 0
99 5103 4767 4983 0
100 10984 11389 11455 0
101 10984 11409 11389 0
102 11455 11409 10984 0
103 11455 11389 11409 0
104 8842 8875 8970 0
105 8842 8947 8875 0
106 8970 8947 8842 0
107 8970 8875 8947 0
108 6699 6751 7003 0
109 6699 7142 6751 0
110 7003 7142 6699 0
111 7003 6751 7142 0
112 5721 5775 5545 0
113 5721 5838 5775 0
114 5545 5838 5721 0
115 5545 5775 5838 0
116 8406 8590 8421 0
117 8406 8519 8590 0
118 8421 8519 8406 0
119 8421 8590 8519 0
120 2187 2739 2803 0
121 2187 2532 2739 0
122 2803 2532 2187 0
123 2803 2739 2532 0
124 13926 13588 12960 0
125 13926 13823 13588 0
126 12960 13823 13926 0
127 12960 13588 13823 0
128 9149 8980 9150 0
129 9149 9009 8980 0
130 9150 9009 9149 0
131 9150 8980 9009 0
132 9856 9549 9320 1
133 9856 9437 9549 0
134 9320 9437 9856 1
135 9320 9549 9437 0
136 7847 7758 7724 0
137 7847 7742 7758 0
138 7724 7742 7847 0
139 7724 7758 7742 0
140 4928 5072 4790 0
141 4928 4993 5072 0
142 4790 4993 4928 0
143 4790 5072 4993 0
144 4383 4336 4168 0
145 4383 4290 4336 0
146 4168 4290 4383 0
147 4168 4336 4290 0
148 9964 9855 10129 0
149 9964 10116 9855 0
150 10129 10116 9964 0
151 10129 9855 10116 0
152 7073 7438 6441 0
153 7073 5700 7438 0
154 6441 5700 7073 0
155 6441 7438 5700 0
156 10555 10179 9994 0
157 10555 10595 10179 0
158 9994 10595 10555 0
159 9994 10179 10595 0
160 6087 5843 5833 0
161 6087 5807 5843 0
162 5833 5807 6087 0
163 5833 5843 5807 0
164 9640 10067 9877 0
165 9640 9875 10067 0
166 9877 9875 9640 0
167 9877 10067 9875 0
168 4464 4255 4554 0
169 4464 4271 4255 0
170 4554 4271 4464 0
171 4554 4255 4271 0
172 10868 10889 10416 0
173 10868 9153 10889 0
174 10416 9153 10868 0
175 10416 10889 9153 0
176 165 149 14225 0
177 165 236 149 0
178 14225 236 165 0
179 14225 149 236 0
180 10061 10590 10698 0
181 10061 10367 10590 0
182 10698 10367 10061 0
183 10698 10590 10367 0
184 7384 7136 7803 0
185 7384 7137 7136 0
186 7803 7137 7384 0
187 7803 7136 7137 0
188 5817 5930 6216 0
189 5817 6177 5930 0
190 6216 6177 5817 0
191 6216 5930 6177 0
192 8552 8576 8981 0
193 8552 8692 8576 0
194 8981 8692 8552 0
195 8981 8576 8692 0
196 11487 11081 11506 0
197 11487 11500 11081 0
198 11506 11500 11487 0
199 11506 11081 11500 0
200 7472 7621 6921 0
201 7472 7335 7621 0
202 6921 7335 7472 0
203 6921 7621 7335 0
204 5637 5568 5918 0
205 5637 5648 5568 0
206 5918 5648 5637 0
207 5918 5568 5648 0
208 11138 11228 11121 0
209 11138 11302 11228 0
210 11121 11302 11138 0
211 11121 11228 11302 0
212 6086 6151 6425 0
213 6086 6298 6151 0
214 6425 6298 6086 0
215 6425 6151 6298 0
216 10194 10051 10132 0
217 10194 10178 10051 0
218 10132 10178 10194 0
219 10132 10051 10178 0
220 11364 11437 11278 0
221 11364 11462 11437 0
222 11278 11462 11364 0
223 11278 11437 11462 0
224 9740 9693 9879 0
225 9740 9992 9693 0
226 9879 9992 9740 0
227 9879 9693 9992 0
228 9669 9559 9900 0
229 9669 9636 9559 0
230 9900 9636 9669 0
231 9900 9559 9636 0
232 7912 7257 7277 0
233 7912 7727 7257 0
234 7277 7727 7912 0
235 7277 7257 7727 0
236 4690 4346 4418 0
237 4690 4348 4346 0
238 4418 4348 4690 0
239 4418 4346 4348 0
240 13739 13991 13775 0
241 13739 13693 13991 0
242 13775 13693 13739 0
243 13775 13991 13693 0
244 10115 10122 10162 0
245 10115 9986 10122 0
246 10162 9986 10115 0
247 10162 10122 9986 0
248 8514 8984 9204 0
249 8514 8456 8984 0
250 9204 8456 8514 0
251 9204 8984 8456 0
252 7829 7561 7636 0
253 7829 7719 7561 0
254 7636 7719 7829 0
255 7636 7561 7719 0
256 10423 10108 10497 0
257 10423 10358 10108 0
258 10497 10358 10423 0
259 10497 10108 10358 0
260 8937 9883 9095 0
261 8937 9309 9883 0
262 9095 9309 8937 0
263 9095 9883 9309 0
264 9430 8987 9502 0
265 9430 9313 8987 0
266 9502 9313 9430 0
267 9502 8987 9313 0
268 8866 8600 8888 0
269 8866 8438 8600 0
270 8888 8438 8866 0
271 8888 8600 8438 0
272 6264 7074 6620 0
273 6264 7415 7074 0
274 6620 7415 6264 0
275 6620 7074 7415 0
276 7276 7406 7161 0
277 7276 7403 7406 0
278 7161 7403 7276 0
279 7161 7406 7403 0
280 6509 6490 6353 0
281 6509 6570 6490 0
282 6353 6570 6509 0
283 6353 6490 6570 0
284 6385 6113 6321 0
285 6385 6268 6113 0
286 6321 6268 6385 0
287 6321 6113 6268 0
288 9772 9835 9611 0
289 9772 9479 9835 0
290 9611 9479 9772 0
291 9611 9835 9479 0
292 6816 6940 6922 0
293 6816 6965 6940 0
294 6922 6965 6816 0
295 6922 6940 6965 0
296 5681 5703 5377 0
297 5681 5256 5703 0
298 5377 5256 5681 0
299 5377 5703 5256 0
300 358 478 575 0
301 358 702 478 0
302 575 702 358 0
303 575 478 702 0
304 6841 6615 6735 0
305 6841 6967 6615 0
306 6735 6967 6841 0
307 6735 6615 6967 0
308 4339 4320 4348 0
309 4339 3935 4320 0
310 4348 3935 4339 1
311 4348 4320 3935 1
312 13800 13430 13516 0
313 13800 12924 13430 0
314 13516 12924 13800 0
315 13516 13430 12924 0
316 10795 10729 10916 0
317 10795 10808 10729 0
318 10916 10808 10795 0
319 10916 10729 10808 0
320 5935 5928 5722 0
321 5935 5942 5928 0
322 5722 5942 5935 0
323 5722 5928 5942 0
324 38 37 506 0
325 38 281 37 0
326 506 281 38 0
327 506 37 281 0
328 4599 4643 4795 0
329 4599 4610 4643 0
330 4795 4610 4599 0
331 4795 4643 4610 0
332 14199 13957 13990 0
333 14199 14042 13957 0
334 13990 14042 14199 0
335 13990 13957 14042 0
336 8264 8614 8607 0
337 8264 8653 8614 0
338 8607 8653 8264 0
339 8607 8614 8653 0
340 3729 3489 3696 0
341 3729 3521 3489 0
342 3696 3521 3729 0
343 3696 3489 3521 0
344 5575 5310 5444 0
345 5575 5203 5310 0
346 5444 5203 5575 0
347 5444 5310 5203 0
348 9666 9598 10305 0
349 9666 9300 9598 0
350 10305 9300 9666 0
351 10305 9598 9300 0
352 7808 7615 7764 0
353 7808 7672 7615 0
354 7764 7672 7808 0
355 7764 7615 7672 0
356 6634 6506 6385 0
357 6634 6570 6506 0
358 6385 6570 6634 0
359 6385 6506 6570 0
360 6326 6827 6737 0
361 6326 6920 6827 0
362 6737 6920 6326 0
363 6737 6827 6920 0
364 6286 6429 6446 0
365 6286 6287 6429 0
366 6446 6287 6286 0
367 6446 6429 6287 0
368 4405 4692 4059 0
369 4405 4296 4692 0
370 4059 4296 4405 0
371 4059 4692 4296 0
372 3955 4315 4136 0
373 3955 3859 4315 0
374 4136 3859 3955 0
375 4136 4315 3859 0
376 2442 2705 2365 0
377 2442 2281 2705 0
378 2365 2281 2442 0
379 2365 2705 2281 0
380 6941 6905 7111 0
381 6941 7069 6905 0
382 7111 7069 6941 0
383 7111 6905 7069 0
384 2787 2430 3544 0
385 2787 2007 2430 0
386 3544 2007 2787 0
387 3544 2430 2007 0
388 4303 4195 4073 0
389 4303 4465 4195 0
390 4073 4465 4303 0
391 4073 4195 4465 0
392 2608 2599 2654 0
393 2608 2613 2599 0
394 2654 2613 2608 0
395 2654 2599 2613 0
396 8300 8063 7832 0
397 8300 8340 8063 0
398 7832 8340 8300 0
399 7832 8063 8340 0
400 8359 8289 7286 0
401 8359 9010 8289 0
402 7286 9010 8359 0
403 7286 8289 9010 0
404 5868 5995 5791 0
405 5868 6224 5995 0
406 5791 6224 5868 0
407 5791 5995 6224 0
408 8333 8147 8048 0
409 8333 8077 8147 0
410 8048 8077 8333 0
411 8048 8147 8077 0
412 4402 4731 5146 0
413 4402 4764 4731 0
414 5146 4764 4402 0
415 5146 4731 4764 0
416 10710 10711 10622 0
417 10710 10598 10711 0
418 10622 10598 10710 0
419 10622 10711 10598 0
420 9350 9394 9061 0
421 9350 9152 9394 0
422 9061 9152 9350 0
423 9061 9394 9152 0
424 3735 3729 3586 0
425 3735 4078 3729 0
426 3586 4078 3735 0
427 3586 3729 4078 0
428 8402 8379 7926 0
429 8402 7802 8379 0
430 7926 7802 8402 0
431 7926 8379 7802 0
432 10348 9891 10716 0
433 10348 10858 9891 0
434 10716 10858 10348 0
435 10716 9891 10858 0
436 12750 13098 13036 0
437 12750 13159 13098 0
438 13036 13159 12750 0
439 13036 13098 13159 0
440 11152 11088 10849 0
441 11152 11056 11088 0
442 10849 11056 11152 0
443 10849 11088 11056 0
444 6417 6378 6303 0
445 6417 6354 6378 0
446 6303 6354 6417 0
447 6303 6378 6354 0
448 2688 2813 2578 0
449 2688 2807 2813 0
450 2578 2807 2688 0
451 2578 2813 2807 0
452 10654 10650 10505 0
453 10654 10658 10650 0
454 10505 10658 10654 0
455 10505 10650 10658 0
456 6984 7193 7348 0
457 6984 7477 7193 0
458 7348 7477 6984 0
459 7348 7193 7477 0
460 6514 6322 6390 0
461 6514 6361 6322 0
462 6390 6361 6514 0
463 6390 6322 6361 0
464 4267 4161 4083 0
465 4267 4265 4161 0
466 4083 4265 4267 0
467 4083 4161 4265 0
468 12573 12528 12814 0
469 12573 12484 12528 0
470 12814 12484 12573 0
471 12814 12528 12484 0
472 9368 9145 9229 0
473 9368 9128 9145 0
474 9229 9128 9368 0
475 9229 9145 9128 0
476 6145 6250 6103 0
477 6145 6131 6250 0
478 6103 6131 6145 0
479 6103 6250 6131 0
480 6189 5686 6227 0
481 6189 6156 5686 0
482 6227 6156 6189 0
483 6227 5686 6156 0
484 1669 2054 1832 0
485 1669 1969 2054 0
486 1832 1969 1669 0
487 1832 2054 1969 0
488 9471 9320 9419 0
489 9471 9004 9320 0
490 9419 9004 9471 0
491 9419 9320 9004 0
492 5637 6080 5918 0
493 5637 5906 6080 0
494 5918 5906 5637 0
495 5918 6080 5906 0
496 8012 8114 8378 0
497 8012 8092 8114 0
498 8378 8092 8012 0
499 8378 8114 8092 0
500 259 399 199 0
501 259 526 399 0
502 199 526 259 0
503 199 399 526 0
504 5805 5762 5911 0
505 5805 5871 5762 0
506 5911 5871 5805 0
507 5911 5762 5871 0
508 11758 11526 11731 0
509 11758 11511 11526 0
510 11731 11511 11758 0
511 11731 11526 11511 0
512 2830 3214 2470 0
513 2830 2767 3214 0
514 2470 2767 2830 0
515 2470 3214 2767 0
516 6190 6042 6044 0
517 6190 6374 6042 0
518 6044 6374 6190 0
519 6044 6042 6374 0
520 5352 5319 5273 0
521 5352 5057 5319 0
522 5273 5057 5352 0
523 5273 5319 5057 0
524 9334 9326 9576 0
525 9334 9438 9326 0
526 9576 9438 9334 0
527 9576 9326 9438 0
528 10288 10357 10261 0
529 10288 10243 10357 0
530 10261 10243 10288 0
531 10261 10357 10243 0
532 8842 8697 8970 0
