ID Node1 Node2 Node3 Node4
0 9096 9299 8909 8906
1 11603 11771 11710 11514
2 7312 7388 7207 7160
3 5029 5087 4856 5126
4 5129 5664 5023 5680
5 5411 5260 5061 4867
6 4454 4376 4220 4323
7 8170 8284 8273 8484
8 7849 7779 7731 7939
9 7206 7043 7150 7126
10 2005 2126 1955 1864
11 4438 4210 4420 4321
12 8621 8560 8522 8795
13 7673 7592 7539 7554
14 4342 4222 4258 4104
15 5833 5915 5861 5615
16 1076 895 1214 776
17 9431 9674 9325 9759
18 11370 11289 11358 11182
19 6880 6527 7047 6547
20 6562 6670 6464 6468
21 4675 4531 4629 4687
22 7338 7437 7346 7323
23 6649 8482 6143 7505
24 8655 8474 8762 8801
25 7562 6436 6692 7385
26 3966 4058 4078 4104
27 259 307 233 253
28 6869 7247 7209 6847
29 4051 3873 4033 3992
30 536 424 700 567
31 11198 11227 11447 11388
32 3918 4024 3864 3958
33 7578 6748 8164 7421
34 2084 1898 1921 1905
35 951 830 1152 998
36 8170 8267 8033 7685
37 4987 4827 4924 5049
38 8278 8979 8225 7922
39 10552 10711 10580 10736
40 7643 8429 7543 7258
41 3269 3521 3316 3466
42 3420 3117 3384 3050
43 10025 10267 10206 10134
44 9418 9278 9395 9553
45 10636 10211 10437 10151
46 5298 5421 5024 5055
47 3980 3993 4526 4222
48 8148 7802 7661 7866
49 6943 7078 7194 6977
50 4807 4563 4932 5246
51 1927 2017 1952 1843
52 8065 7959 7780 8057
53 3178 3006 3139 2990
54 3242 3317 3067 3379
55 9070 9394 9411 9362
56 5356 5034 5278 5074
57 6617 6225 6503 6551
58 8582 8469 8390 8641
59 8435 8597 8719 8705
60 3397 3095 3303 3291
61 2977 2714 2750 2815
62 594 561 255 558
63 3153 3195 2422 2424
64 10188 10165 10330 10468
65 4115 4166 4330 4162
66 9689 9835 9234 9382
67 7110 6889 7124 6776
68 657 779 537 597
69 7901 7862 7918 7691
70 8059 8470 8328 8153
71 8444 8453 8627 8483
72 3295 3209 3157 3242
73 176 11889 11797 11597
74 6960 6919 6704 6823
75 4980 5059 4850 5037
76 11511 11480 11046 11092
77 3889 3800 3803 3708
78 1990 2041 1767 1542
79 1985 2337 2207 2334
80 10055 10065 10241 10332
81 9978 9831 9900 9921
82 2461 2367 2581 2589
83 10104 10264 10120 10163
84 704 702 789 707
85 7590 7403 7603 7341
86 6205 6464 6363 6468
87 8670 8686 8759 8814
88 4842 4838 5012 4865
89 5433 5454 5559 5587
90 11531 11605 11418 11572
91 10291 10257 10258 10166
92 8998 9244 8904 8822
93 10831 10854 10857 11024
94 8319 8432 8549 8380
95 5061 5302 5080 5019
96 5628 5947 5472 5543
97 5976 6052 5808 5867
98 424 435 700 567
99 8066 7903 7995 8032
100 7943 8133 8098 7921
101 7953 7943 8098 7854
102 11390 11123 11371 11365
103 5023 5664 5665 5680
104 3549 3647 3578 3124
105 10357 10703 10431 10067
106 2550 2378 2065 2693
107 2476 2309 2306 1609
108 1533 1709 1573 1484
109 3155 3129 3149 2842
110 6294 6129 6521 6439
111 9879 9738 9959 9975
112 10318 10240 10236 10067
113 7960 7971 7719 7811
114 6974 7268 6935 7134
115 10871 10513 11089 11057
116 5886 6135 6492 6601
117 11108 11460 10994 11403
118 7683 7884 7739 7891
119 3657 3767 3835 3795
120 3460 3058 3270 3092
121 4780 4795 4691 4907
122 3301 3049 3356 3098
123 8532 8613 8430 8534
124 3311 3122 3039 3277
125 8004 7589 8120 6906
126 8399 8519 8442 8310
127 1834 1702 1724 1494
128 5851 6102 5771 5843
129 8898 9037 8931 8953
130 5692 5923 5897 5790
131 266 186 220 240
132 6554 6899 6796 6968
133 8095 8180 7853 8396
134 8246 8064 8189 8475
135 6667 6693 6685 6405
136 11459 11199 11426 11503
137 7507 7404 7724 7618
138 11657 11776 333 117
139 11272 11066 11215 10978
140 8555 7497 8849 7427
141 5441 5171 5168 5372
142 5982 5837 5654 5824
143 322 392 289 166
144 11593 11274 11602 11436
145 7984 8006 8132 7894
146 11378 11685 11347 11409
147 6879 6859 6657 7351
148 8841 8999 9061 9103
149 2068 1960 1777 1949
150 3017 2925 3086 2784
151 8440 8210 8459 8341
152 8900 8607 8768 9526
153 7558 8028 8158 7833
154 8580 8692 8717 8739
155 7540 7559 8163 8257
156 8804 9096 8789 8626
157 326 445 430 522
158 5572 5337 5334 5225
159 3537 3430 3813 3717
160 5927 5941 5861 6275
161 6561 5886 6492 6601
162 7298 7441 7740 7452
163 8190 7984 8114 8315
164 7952 7765 7761 8202
165 10417 10582 10454 10480
166 4672 4858 5263 5074
167 7769 7637 7590 7603
168 8193 8354 8057 8570
169 8080 8186 8527 8742
170 7885 8157 7787 7933
171 8705 8597 8689 8619
172 7268 7282 6974 7030
173 8600 8784 8975 8647
174 128 285 538 60
175 8513 8895 8723 9303
176 7268 7484 7282 7030
177 7218 7381 6889 7110
178 7090 6833 6722 6710
179 5079 4975 5197 4851
180 9810 10645 10464 10169
181 7827 7825 7871 7620
182 9420 9078 9254 9190
183 8548 8403 8149 8876
184 7545 7492 6986 7169
185 5947 5976 6052 5808
186 7898 7072 7012 7559
187 5558 5678 5151 5447
188 5931 6218 5726 5872
189 11701 56 195 35
190 902 838 846 950
191 305 427 571 278
192 3929 3757 3743 3996
193 9174 9184 9235 9152
194 7569 7763 7568 7957
195 4134 4200 4155 4000
196 3852 3748 3614 3694
197 2238 2188 2268 2294
198 5140 5091 4981 5043
199 4932 4807 5354 4930
200 8771 8693 8589 8383
201 3065 3532 3882 4011
202 8733 8737 8544 8673
203 10296 10352 10184 10444
204 3814 3983 3780 3763
205 559 583 391 968
206 3170 3446 3232 2956
207 7497 8849 7427 8507
208 8932 8803 8792 8836
209 643 620 592 423
210 8178 8433 8430 8005
211 1280 1094 1195 1262
212 5450 5271 5499 5138
213 3552 3363 3749 3230
214 3593 3489 3289 3180
215 6710 6620 6603 6973
216 7344 7149 6923 6807
217 8884 8890 8756 8862
218 11042 10743 10883 10930
219 626 459 877 545
220 5950 5738 5673 5888
221 7358 7252 7216 7700
222 6180 6430 6152 6602
223 5525 5518 5589 5465
224 7742 7699 7535 7618
225 8594 11930 8781 8120
226 729 280 452 580
227 7917 7997 8002 8005
228 10341 10319 10258 10337
229 7891 8116 8031 7995
230 4041 4580 4027 4595
231 5968 5842 6108 5992
232 2216 2325 2367 2157
233 8272 8375 8425 8362
234 4020 3634 3864 3978
235 3801 4051 3695 3702
236 9083 8869 8967 9038
237 8403 8191 7963 8149
238 7338 7437 7651 7565
239 6684 6682 6489 6286
240 9323 9322 9418 9359
241 5151 5183 5212 4701
242 5766 5816 5838 5520
243 7125 6743 6625 6581
244 4362 4432 4685 4854
245 6553 6052 5867 6282
246 8775 9034 8977 9013
247 8510 8409 8423 8358
248 8061 8051 7789 8037
249 4426 4414 4180 4141
250 4800 4623 3964 4568
251 6982 7391 7378 7173
252 7060 6828 6674 6826
253 9001 8685 8906 8952
254 6355 6127 6382 6223
255 8038 8071 7745 7972
256 7154 6850 7600 7478
257 4325 4231 4271 4468
258 8211 8169 8005 8247
259 7884 7804 8165 7930
260 5536 5047 5172 5146
261 8940 8904 9047 9093
262 56 10 195 768
263 7955 8103 7873 7839
264 6937 6905 7164 6762
265 7404 7279 7296 7656
266 5468 5398 5510 5247
267 4649 5044 5185 5077
268 11003 11354 11617 66
269 6063 5651 6047 5719
270 4701 4410 4790 11918
271 6212 5894 5924 6239
272 5153 5112 5109 4962
273 10271 9988 10130 10083
274 8133 8122 8315 8291
275 8589 8297 8447 8309
276 9244 9047 9294 9163
277 7207 7447 7536 7439
278 2535 2656 2700 2910
279 2378 2274 2550 2065
280 6219 6041 6496 6239
281 8103 8162 7887 7828
282 7838 7740 7810 7752
283 7209 7308 6901 6891
284 8973 9090 8885 9070
285 8734 9022 8970 8861
286 9871 10101 10033 10032
287 7689 7338 7249 7416
288 6710 6375 6785 6940
289 6212 5894 5898 5924
290 9792 9674 9642 10068
291 5937 6457 6581 5865
292 6378 5969 5968 6112
293 3412 3402 3096 3347
294 8201 8294 7952 8286
295 8369 8317 8124 8345
296 7400 7412 7820 7767
297 7097 7301 7029 6891
298 3938 3960 3843 3923
299 6273 6006 6171 6075
300 511 472 465 253
301 3545 3381 3601 3310
302 2857 2862 2988 2833
303 6859 6347 6452 6541
304 7019 7317 7180 7158
305 6277 6231 6189 5922
306 326 84 140 116
307 559 756 839 955
308 3195 6086 4317 5437
309 8793 8951 8984 8516
310 3246 3313 3414 3382
311 4191 4824 4588 4350
312 11123 11303 11206 10943
313 2698 2542 2486 2536
314 4845 5239 4299 4569
315 2655 2472 2956 2191
316 8709 8907 9029 8776
317 3360 3292 3143 3260
318 3389 3598 3461 3306
319 5506 5329 5315 5478
320 3258 3381 3149 3252
321 3726 3542 3535 3580
322 8865 8787 9148 9399
323 8653 9139 8654 11928
324 334 393 487 398
325 4147 4141 3935 4135
326 8472 8525 8512 8204
327 11372 11688 11560 11329
328 2792 2748 2286 2586
329 123 274 151 11879
330 3170 3151 3323 3288
331 1204 1482 1166 1540
332 7221 7675 7518 7781
333 3730 3635 3829 3849
334 470 445 416 508
335 11459 11387 11473 11513
336 1616 1530 1469 1648
337 8069 8185 8085 8376
338 5772 5561 5779 5572
339 4029 4034 4179 3961
340 10262 9977 10171 10260
341 6839 6678 6651 6779
342 7600 7717 8045 8334
343 227 381 306 361
344 7656 7742 7699 7535
345 7366 7403 6960 7341
346 3623 3964 3329 3920
347 11325 11455 11348 11162
348 4189 4149 4346 4516
349 5689 5671 5401 5580
350 6501 6355 6223 6519
351 5626 5856 5816 5653
352 6930 7315 6819 6405
353 3228 3470 3611 3340
354 2434 2372 2022 2187
355 5839 5745 5780 5707
356 7844 7800 7645 7750
357 3681 3805 3613 3968
358 5943 6407 6010 6215
359 7312 7447 7207 7439
360 9427 9355 9653 9484
361 77 11843 119 131
362 5751 4561 4974 4752
363 6100 5750 5724 5675
364 545 459 61 131
365 4038 4039 4036 3816
366 1765 1925 1627 1929
367 6254 6390 6389 6250
368 10402 10085 10033 10360
369 8516 7978 8856 9124
370 393 703 335 487
371 441 845 10876 11308
372 3764 4025 3710 3822
373 4583 4384 4398 4662
374 8919 8824 8965 8890
375 4010 3888 3810 3836
376 6445 6436 7149 6992
377 4731 4832 4956 5030
378 7029 6793 6551 6891
379 2132 2048 1910 1947
380 5334 4674 5447 5212
381 7178 7202 7445 7284
382 5573 5692 5917 5897
383 7630 7657 7555 7235
384 7530 7476 7952 7765
385 4260 4378 4081 4254
386 3251 3361 3131 3367
387 3805 4231 3841 3968
388 5652 5609 5930 5854
389 4226 3358 4221 3778
390 9418 9553 9752 9359
391 10674 11408 11122 573
392 11708 172 247 94
393 5486 5241 5268 5463
394 1007 1041 1134 1252
395 9006 8987 8974 8788
396 4491 4402 4250 4412
397 2803 2476 2323 2519
398 4120 4123 4229 4266
399 3728 3760 3618 3717
400 10396 10612 10238 10194
401 3841 3838 3937 4297
402 3049 3169 3166 2854
403 856 531 708 528
404 7808 8245 8557 8566
405 3639 3787 3493 3613
406 8205 8045 8449 8034
407 3379 3530 3631 3454
408 4263 5186 4773 5330
409 9091 9129 9200 9225
410 1724 1389 1494 1247
411 8557 8566 8858 8171
412 7373 7053 7200 7270
413 1556 1636 1698 1449
414 6101 6226 6279 6073
415 6191 6087 6328 6067
416 6364 6660 6252 6563
417 5228 5359 5496 5280
418 6406 5878 6283 6260
419 4586 4420 4700 4601
420 10771 10572 10796 10661
421 8028 8072 7776 8030
422 6869 6880 7195 6847
423 7973 8040 7849 7936
424 5973 5344 5680 6517
425 5177 5214 5312 5130
426 4062 3835 4031 3901
427 9203 9018 9327 9284
428 4073 4145 4069 4131
429 1786 1893 1935 1917
430 9924 10111 9922 9880
431 8591 8378 8606 8880
432 7375 7135 7359 7266
433 10719 10807 10890 11065
434 5797 5632 5440 5776
435 4285 4232 4280 4143
436 10129 9817 9944 9976
437 4815 4696 4515 4965
438 2141 2007 1969 1965
439 6152 6654 6544 6602
440 7631 7827 7818 7548
441 4844 4821 5145 4975
442 2220 2308 2270 2315
443 5125 5279 5149 5156
444 4420 4486 4700 4643
445 11304 10953 11255 11468
446 10244 10269 10289 10200
447 10430 10467 10272 10575
448 8101 8177 7764 7895
449 6030 6220 6106 6337
450 7620 7571 7548 7415
451 4672 4858 4570 4335
452 7239 7016 7064 7139
453 4463 4520 4544 4529
454 11204 11282 10972 11252
455 11925 8600 8256 8073
456 5193 5023 4567 4369
457 4054 4160 3996 4036
458 2482 2206 2501 2335
459 10603 10414 10673 10766
460 10918 11295 11344 11107
461 5269 5228 5266 5150
462 8151 7855 8050 8258
463 5724 5940 5599 5907
464 3853 3577 3701 3903
465 3500 3603 3512 3413
466 633 1219 771 1074
467 11468 11304 10844 10912
468 8993 9133 9352 9120
469 9829 10171 10117 10070
470 6469 6126 6139 6105
471 3115 3285 3402 3399
472 4891 5146 4935 5126
473 4389 4244 4160 4407
474 6218 6180 6208 6401
475 6996 7137 7552 7089
476 4054 4244 4160 4036
477 50 519 217 149
478 10319 10257 10162 10006
479 8504 8587 8660 8412
480 10986 10988 11119 10942
481 7544 6222 7759 6561
482 7779 7720 7731 7939
