ID Node1 Node2 Node3 Marker
0 8906 8909 9299 0
1 8906 9096 8909 0
2 9299 9096 8906 0
3 9299 8909 9096 0
4 11514 11710 11771 0
5 11514 11603 11710 0
6 11771 11603 11514 0
7 11771 11710 11603 0
8 7160 7207 7388 0
9 7160 7312 7207 0
10 7388 7312 7160 0
11 7388 7207 7312 0
12 5126 4856 5087 0
13 5126 5029 4856 0
14 5087 5029 5126 0
15 5087 4856 5029 0
16 5680 5023 5664 0
17 5680 5129 5023 0
18 5664 5129 5680 0
19 5664 5023 5129 0
20 4867 5061 5260 0
21 4867 5411 5061 0
22 5260 5411 4867 0
23 5260 5061 5411 0
24 4323 4220 4376 0
25 4323 4454 4220 0
26 4376 4454 4323 0
27 4376 4220 4454 0
28 8484 8273 8284 0
29 8484 8170 8273 0
30 8284 8170 8484 0
31 8284 8273 8170 0
32 7939 7731 7779 0
33 7939 7849 7731 0
34 7779 7849 7939 0
35 7779 7731 7849 0
36 7126 7150 7043 0
37 7126 7206 7150 0
38 7043 7206 7126 0
39 7043 7150 7206 0
40 1864 1955 2126 0
41 1864 2005 1955 0
42 2126 2005 1864 0
43 2126 1955 2005 0
44 4321 4420 4210 0
45 4321 4438 4420 0
46 4210 4438 4321 0
47 4210 4420 4438 0
48 8795 8522 8560 0
49 8795 8621 8522 0
50 8560 8621 8795 0
51 8560 8522 8621 0
52 7554 7539 7592 0
53 7554 7673 7539 0
54 7592 7673 7554 0
55 7592 7539 7673 0
56 4104 4258 4222 0
57 4104 4342 4258 0
58 4222 4342 4104 0
59 4222 4258 4342 0
60 5615 5861 5915 0
61 5615 5833 5861 0
62 5915 5833 5615 0
63 5915 5861 5833 0
64 776 1214 895 0
65 776 1076 1214 0
66 895 1076 776 0
67 895 1214 1076 0
68 9759 9325 9674 0
69 9759 9431 9325 0
70 9674 9431 9759 0
71 9674 9325 9431 0
72 11182 11358 11289 0
73 11182 11370 11358 0
74 11289 11370 11182 0
75 11289 11358 11370 0
76 6547 7047 6527 0
77 6547 6880 7047 0
78 6527 6880 6547 0
79 6527 7047 6880 0
80 6468 6464 6670 0
81 6468 6562 6464 0
82 6670 6562 6468 0
83 6670 6464 6562 0
84 4687 4629 4531 0
85 4687 4675 4629 0
86 4531 4675 4687 0
87 4531 4629 4675 0
88 7323 7346 7437 0
89 7323 7338 7346 0
90 7437 7338 7323 0
91 7437 7346 7338 0
92 7505 6143 8482 0
93 7505 6649 6143 0
94 8482 6649 7505 0
95 8482 6143 6649 0
96 8801 8762 8474 0
97 8801 8655 8762 0
98 8474 8655 8801 0
99 8474 8762 8655 0
100 7385 6692 6436 0
101 7385 7562 6692 0
102 6436 7562 7385 0
103 6436 6692 7562 0
104 4104 4078 4058 0
105 4104 3966 4078 0
106 4058 3966 4104 0
107 4058 4078 3966 0
108 253 233 307 0
109 253 259 233 0
110 307 259 253 0
111 307 233 259 0
112 6847 7209 7247 0
113 6847 6869 7209 0
114 7247 6869 6847 0
115 7247 7209 6869 0
116 3992 4033 3873 0
117 3992 4051 4033 0
118 3873 4051 3992 0
119 3873 4033 4051 0
120 567 700 424 0
121 567 536 700 0
122 424 536 567 0
123 424 700 536 0
124 11388 11447 11227 0
125 11388 11198 11447 0
126 11227 11198 11388 0
127 11227 11447 11198 0
128 3958 3864 4024 0
129 3958 3918 3864 0
