ID Node1 Node2 Node3 Node4
0 4611 4782 4730 4776
1 4308 4455 4396 4213
2 2540 2543 2737 2597
3 4707 4634 4852 4856
4 6647 2994 2876 6638
5 5049 5157 5079 5080
6 3534 3828 3723 3570
7 5013 4904 4895 4903
8 3475 3618 3598 3537
9 4101 3808 4096 3455
10 4219 4354 4281 4177
11 4701 4620 4790 4937
12 5033 4775 5244 5390
13 6376 6467 6525 6247
14 772 569 787 758
15 3106 3222 3046 3249
16 3373 3588 3578 3581
17 4736 4542 4648 4554
18 3148 3245 3288 3436
19 4051 4088 4128 4049
20 2716 2607 2517 2611
21 3638 3678 3801 3617
22 884 923 1060 1016
23 2415 2057 2119 2128
24 2126 2140 2054 2155
25 3628 3619 3478 3338
26 1335 1594 1658 1662
27 2365 2234 2423 2040
28 1954 1821 1750 1755
29 4540 4707 4557 4604
30 2194 2226 2188 2258
31 3342 3536 3570 3239
32 2878 2753 2995 2992
33 3327 3476 3253 3299
34 2475 2442 2614 2481
35 1132 1118 1065 933
36 2798 3152 2883 3144
37 6014 5907 6066 6030
38 3557 3795 3562 3674
39 6167 6320 6500 6211
40 2322 2315 2150 2112
41 779 919 935 716
42 6093 6101 5995 5958
43 317 406 476 643
44 2744 2472 2500 2370
45 817 698 827 688
46 3926 3881 3859 3778
47 1868 1743 6595 1762
48 5042 5264 5041 6550
49 6140 6115 6294 6103
50 2383 2147 2359 2338
51 5472 5251 5346 5281
52 2368 2297 2544 2464
53 4522 4730 4755 4776
54 2074 2149 2183 2125
55 1244 1274 1412 1397
56 3483 3430 3486 3393
57 5588 6201 6064 6224
58 2387 2373 2128 2439
59 1679 1655 1636 1748
60 5360 5284 5279 5201
61 3479 3441 3071 3181
62 6525 6160 54 246
63 3658 3791 3028 2713
64 2879 2544 2539 2776
65 2259 2134 2366 2409
66 5143 4882 5061 5147
67 246 6376 427 192
68 124 6402 240 450
69 11 6320 6522 6518
70 3783 3801 3974 3861
71 3359 3316 3442 3323
72 4303 4268 4052 6662
73 3448 3504 3219 3346
74 3102 3233 3057 2974
75 3810 3666 3751 3749
76 3103 3564 2756 2977
77 3952 3730 3726 3671
78 2775 2984 2802 2809
79 746 792 674 711
80 4555 4748 4602 4645
