ID Node1 Node2 Node3 Marker
0 4776 4730 4782 0
1 4776 4611 4730 0
2 4782 4611 4776 0
3 4782 4730 4611 0
4 4213 4396 4455 0
5 4213 4308 4396 0
6 4455 4308 4213 0
7 4455 4396 4308 0
8 2597 2737 2543 0
9 2597 2540 2737 0
10 2543 2540 2597 0
11 2543 2737 2540 0
12 4856 4852 4634 0
13 4856 4707 4852 0
14 4634 4707 4856 0
15 4634 4852 4707 0
16 6638 2876 2994 0
17 6638 6647 2876 0
18 2994 6647 6638 0
19 2994 2876 6647 0
20 5080 5079 5157 0
21 5080 5049 5079 0
22 5157 5049 5080 0
23 5157 5079 5049 0
24 3570 3723 3828 0
25 3570 3534 3723 0
26 3828 3534 3570 0
27 3828 3723 3534 0
28 4903 4895 4904 0
29 4903 5013 4895 0
30 4904 5013 4903 0
31 4904 4895 5013 0
32 3537 3598 3618 0
33 3537 3475 3598 0
34 3618 3475 3537 0
35 3618 3598 3475 0
36 3455 4096 3808 0
37 3455 4101 4096 0
38 3808 4101 3455 0
39 3808 4096 4101 0
40 4177 4281 4354 0
41 4177 4219 4281 0
42 4354 4219 4177 0
43 4354 4281 4219 0
44 4937 4790 4620 0
45 4937 4701 4790 0
46 4620 4701 4937 0
47 4620 4790 4701 0
48 5390 5244 4775 0
49 5390 5033 5244 0
50 4775 5033 5390 0
51 4775 5244 5033 0
52 6247 6525 6467 0
53 6247 6376 6525 0
54 6467 6376 6247 0
55 6467 6525 6376 0
56 758 787 569 0
57 758 772 787 0
58 569 772 758 0
59 569 787 772 0
60 3249 3046 3222 0
61 3249 3106 3046 0
62 3222 3106 3249 0
63 3222 3046 3106 0
64 3581 3578 3588 0
65 3581 3373 3578 0
66 3588 3373 3581 0
67 3588 3578 3373 0
68 4554 4648 4542 0
69 4554 4736 4648 0
70 4542 4736 4554 0
71 4542 4648 4736 0
72 3436 3288 3245 0
73 3436 3148 3288 0
74 3245 3148 3436 0
75 3245 3288 3148 0
76 4049 4128 4088 0
77 4049 4051 4128 0
78 4088 4051 4049 0
79 4088 4128 4051 0
80 2611 2517 2607 0
81 2611 2716 2517 0
82 2607 2716 2611 0
83 2607 2517 2716 0
84 3617 3801 3678 0
85 3617 3638 3801 0
86 3678 3638 3617 0
87 3678 3801 3638 0
88 1016 1060 923 0
89 1016 884 1060 0
90 923 884 1016 0
91 923 1060 884 0
92 2128 2119 2057 0
93 2128 2415 2119 0
94 2057 2415 2128 0
95 2057 2119 2415 0
96 2155 2054 2140 0
97 2155 2126 2054 0
98 2140 2126 2155 0
99 2140 2054 2126 0
100 3338 3478 3619 0
101 3338 3628 3478 0
102 3619 3628 3338 0
103 3619 3478 3628 0
104 1662 1658 1594 0
105 1662 1335 1658 0
106 1594 1335 1662 0
107 1594 1658 1335 0
108 2040 2423 2234 0
109 2040 2365 2423 0
110 2234 2365 2040 0
111 2234 2423 2365 0
112 1755 1750 1821 0
113 1755 1954 1750 0
114 1821 1954 1755 0
115 1821 1750 1954 0
116 4604 4557 4707 0
117 4604 4540 4557 0
118 4707 4540 4604 0
119 4707 4557 4540 0
120 2258 2188 2226 0
121 2258 2194 2188 0
122 2226 2194 2258 0
123 2226 2188 2194 0
124 3239 3570 3536 0
125 3239 3342 3570 0
126 3536 3342 3239 0
127 3536 3570 3342 0
128 2992 2995 2753 0
129 2992 2878 2995 0
130 2753 2878 2992 0
131 2753 2995 2878 0
132 3299 3253 3476 0
133 3299 3327 3253 0
134 3476 3327 3299 0
135 3476 3253 3327 0
136 2481 2614 2442 0
137 2481 2475 2614 0
138 2442 2475 2481 0
139 2442 2614 2475 0
140 933 1065 1118 0
141 933 1132 1065 0
142 1118 1132 933 0
143 1118 1065 1132 0
144 3144 2883 3152 0
145 3144 2798 2883 0
146 3152 2798 3144 0
147 3152 2883 2798 0
148 6030 6066 5907 0
149 6030 6014 6066 0
150 5907 6014 6030 0
151 5907 6066 6014 0
152 3674 3562 3795 0
153 3674 3557 3562 0
154 3795 3557 3674 0
155 3795 3562 3557 0
156 6211 6500 6320 0
157 6211 6167 6500 0
158 6320 6167 6211 0
159 6320 6500 6167 0
160 2112 2150 2315 0
161 2112 2322 2150 0
162 2315 2322 2112 0
163 2315 2150 2322 0
164 716 935 919 0
165 716 779 935 0
166 919 779 716 0
167 919 935 779 0
168 5958 5995 6101 0
169 5958 6093 5995 0
170 6101 6093 5958 0
171 6101 5995 6093 0
172 643 476 406 0
173 643 317 476 0
174 406 317 643 0
175 406 476 317 0
176 2370 2500 2472 0
177 2370 2744 2500 0
178 2472 2744 2370 0
179 2472 2500 2744 0
180 688 827 698 0
181 688 817 827 0
182 698 817 688 0
183 698 827 817 0
184 3778 3859 3881 0
185 3778 3926 3859 0
186 3881 3926 3778 0
187 3881 3859 3926 0
188 1762 6595 1743 0
189 1762 1868 6595 0
190 1743 1868 1762 0
191 1743 6595 1868 0
192 6550 5041 5264 0
193 6550 5042 5041 0
194 5264 5042 6550 0
195 5264 5041 5042 0
196 6103 6294 6115 0
197 6103 6140 6294 0
198 6115 6140 6103 0
199 6115 6294 6140 0
200 2338 2359 2147 0
201 2338 2383 2359 0
202 2147 2383 2338 0
203 2147 2359 2383 0
204 5281 5346 5251 0
205 5281 5472 5346 0
206 5251 5472 5281 0
207 5251 5346 5472 0
208 2464 2544 2297 0
209 2464 2368 2544 0
210 2297 2368 2464 0
211 2297 2544 2368 0
212 4776 4755 4730 0
213 4776 4522 4755 0
214 4730 4522 4776 0
215 4730 4755 4522 0
216 2125 2183 2149 0
217 2125 2074 2183 0
218 2149 2074 2125 0
219 2149 2183 2074 0
220 1397 1412 1274 0
221 1397 1244 1412 0
222 1274 1244 1397 0
223 1274 1412 1244 0
224 3393 3486 3430 1
225 3393 3483 3486 0
226 3430 3483 3393 0
227 3430 3486 3483 0
228 6224 6064 6201 0
229 6224 5588 6064 0
230 6201 5588 6224 0
231 6201 6064 5588 0
232 2439 2128 2373 0
233 2439 2387 2128 0
234 2373 2387 2439 0
235 2373 2128 2387 0
236 1748 1636 1655 0
237 1748 1679 1636 0
238 1655 1679 1748 0
239 1655 1636 1679 0
240 5201 5279 5284 0
241 5201 5360 5279 0
242 5284 5360 5201 0
243 5284 5279 5360 0
244 3181 3071 3441 0
245 3181 3479 3071 0
246 3441 3479 3181 0
247 3441 3071 3479 0
248 246 54 6160 1
249 246 6525 54 0
250 6160 6525 246 0
251 6160 54 6525 0
252 2713 3028 3791 0
253 2713 3658 3028 0
254 3791 3658 2713 0
255 3791 3028 3658 0
256 2776 2539 2544 0
257 2776 2879 2539 0
258 2544 2879 2776 0
259 2544 2539 2879 0
260 2409 2366 2134 0
261 2409 2259 2366 0
262 2134 2259 2409 0
263 2134 2366 2259 0
264 5147 5061 4882 0
265 5147 5143 5061 0
266 4882 5143 5147 0
267 4882 5061 5143 0
268 192 427 6376 0
269 192 246 427 0
270 6376 246 192 0
271 6376 427 246 0
272 450 240 6402 0
273 450 124 240 0
274 6402 124 450 0
275 6402 240 124 0
276 6518 6522 6320 0
277 6518 11 6522 0
278 6320 11 6518 0
279 6320 6522 11 0
280 3861 3974 3801 0
281 3861 3783 3974 0
282 3801 3783 3861 0
283 3801 3974 3783 0
284 3323 3442 3316 0
285 3323 3359 3442 0
286 3316 3359 3323 0
287 3316 3442 3359 0
288 6662 4052 4268 0
289 6662 4303 4052 0
290 4268 4303 6662 0
291 4268 4052 4303 0
292 3346 3219 3504 0
293 3346 3448 3219 0
294 3504 3448 3346 0
295 3504 3219 3448 0
296 2974 3057 3233 0
297 2974 3102 3057 0
298 3233 3102 2974 0
299 3233 3057 3102 0
300 3749 3751 3666 0
301 3749 3810 3751 0
302 3666 3810 3749 0
303 3666 3751 3810 0
304 2977 2756 3564 0
305 2977 3103 2756 0
306 3564 3103 2977 0
307 3564 2756 3103 0
308 3671 3726 3730 0
309 3671 3952 3726 0
310 3730 3952 3671 0
311 3730 3726 3952 0
312 2809 2802 2984 0
313 2809 2775 2802 0
314 2984 2775 2809 0
315 2984 2802 2775 0
316 711 674 792 0
317 711 746 674 0
318 792 746 711 0
319 792 674 746 0
320 4645 4602 4748 0
321 4645 4555 4602 0
322 4748 4555 4645 0
323 4748 4602 4555 0
324 5719 5705 5645 0
325 5719 5608 5705 0
326 5645 5608 5719 0
327 5645 5705 5608 0
328 5431 5622 5704 0
329 5431 5713 5622 0
330 5704 5713 5431 0
331 5704 5622 5713 0
332 2158 2151 2603 0
333 2158 2510 2151 0
334 2603 2510 2158 0
335 2603 2151 2510 0
336 302 90 121 0
337 302 268 90 0
338 121 268 302 0
339 121 90 268 0
340 3848 3797 3679 0
341 3848 4082 3797 0
342 3679 4082 3848 1
343 3679 3797 4082 0
344 3603 4407 3296 0
345 3603 3792 4407 0
346 3296 3792 3603 0
347 3296 4407 3792 0
348 5663 5557 5463 0
349 5663 5628 5557 0
350 5463 5628 5663 0
351 5463 5557 5628 0
352 4361 4294 4265 0
353 4361 4434 4294 0
354 4265 4434 4361 0
355 4265 4294 4434 0
356 4378 4375 4519 0
357 4378 4590 4375 0
358 4519 4590 4378 0
359 4519 4375 4590 0
360 4737 4645 4660 0
361 4737 4595 4645 0
362 4660 4595 4737 0
363 4660 4645 4595 0
364 4395 4346 4370 0
365 4395 4442 4346 0
366 4370 4442 4395 0
367 4370 4346 4442 0
368 2501 2787 2841 0
369 2501 2817 2787 0
370 2841 2817 2501 0
371 2841 2787 2817 0
372 962 985 986 0
373 962 1158 985 0
374 986 1158 962 0
375 986 985 1158 0
376 6087 6287 6318 0
377 6087 6163 6287 0
378 6318 6163 6087 0
379 6318 6287 6163 0
380 2703 2936 2788 0
381 2703 2754 2936 0
382 2788 2754 2703 0
383 2788 2936 2754 0
384 3685 3725 3613 0
385 3685 3900 3725 0
386 3613 3900 3685 0
387 3613 3725 3900 0
388 1392 1620 1668 0
389 1392 1645 1620 0
390 1668 1645 1392 0
391 1668 1620 1645 0
392 3724 3690 3543 0
393 3724 3576 3690 0
394 3543 3576 3724 0
395 3543 3690 3576 0
396 4004 4178 4151 0
397 4004 4001 4178 0
398 4151 4001 4004 0
399 4151 4178 4001 0
400 4330 4119 4632 0
401 4330 4414 4119 0
402 4632 4414 4330 0
403 4632 4119 4414 0
404 5218 5391 6690 0
405 5218 5117 5391 0
406 6690 5117 5218 0
407 6690 5391 5117 0
408 2339 2428 2163 0
409 2339 2287 2428 0
410 2163 2287 2339 0
411 2163 2428 2287 0
412 4014 4163 4208 0
413 4014 4059 4163 0
414 4208 4059 4014 0
415 4208 4163 4059 0
416 1248 1327 1141 0
417 1248 1162 1327 0
418 1141 1162 1248 0
419 1141 1327 1162 0
420 4936 5028 4808 0
421 4936 4904 5028 0
422 4808 4904 4936 0
423 4808 5028 4904 0
424 4193 4533 4262 0
425 4193 4522 4533 0
426 4262 4522 4193 0
427 4262 4533 4522 0
428 3979 4069 4001 0
429 3979 3966 4069 0
430 4001 3966 3979 0
431 4001 4069 3966 0
432 1962 1948 1996 0
433 1962 2016 1948 0
434 1996 2016 1962 0
435 1996 1948 2016 0
436 6214 6152 5996 0
437 6214 6109 6152 0
438 5996 6109 6214 0
439 5996 6152 6109 0
440 2242 2028 2213 0
441 2242 2206 2028 0
442 2213 2206 2242 0
443 2213 2028 2206 0
444 2206 1979 1957 0
445 2206 2212 1979 0
446 1957 2212 2206 0
447 1957 1979 2212 0
448 3645 3532 3554 0
449 3645 3693 3532 0
450 3554 3693 3645 0
451 3554 3532 3693 0
452 2121 2199 2372 0
453 2121 2337 2199 0
454 2372 2337 2121 0
455 2372 2199 2337 0
456 4967 4727 4024 0
457 4967 4671 4727 0
458 4024 4671 4967 0
459 4024 4727 4671 0
460 3051 2825 2932 0
461 3051 2983 2825 0
462 2932 2983 3051 0
463 2932 2825 2983 0
464 4048 3788 3723 0
465 4048 3707 3788 0
466 3723 3707 4048 0
467 3723 3788 3707 0
468 3892 3970 4227 0
469 3892 4234 3970 0
470 4227 4234 3892 0
471 4227 3970 4234 0
472 3185 3316 3313 0
473 3185 3250 3316 0
474 3313 3250 3185 0
