ID Node1 Node2 Node3 Node4
0 664 599 1700 1714
1 330 370 1446 1466
2 1765 1661 1731 669
3 863 856 921 875
4 1122 1066 1124 52
5 1720 1686 1665 669
6 212 160 208 99
7 339 284 271 308
8 64 1064 1066 2036
9 929 881 970 865
10 1563 1583 1594 1578
11 686 794 735 665
12 1054 2025 2062 1914
13 1035 640 79 1262
14 1931 1960 1909 1925
15 1580 1602 1588 1552
16 1716 712 1823 777
17 1784 1788 759 1768
18 574 556 552 1573
19 1238 1226 124 1176
20 552 556 1633 1595
21 707 662 681 690
22 1706 1723 1754 1703
23 331 349 350 317
24 579 670 684 604
25 1233 1202 1213 1217
26 1301 130 1198 1222
27 620 652 530 533
28 1608 1645 1582 1580
29 1032 670 674 118
30 637 1636 581 1700
31 679 737 1487 786
32 271 274 144 223
33 944 1017 981 1015
34 1722 691 1678 631
35 1957 1998 1991 1985
36 847 900 930 865
37 294 336 321 348
38 1643 720 1693 1679
39 1399 1379 292 1392
40 1188 108 1211 1246
41 969 1994 2000 1025
42 773 753 803 805
43 1761 1705 711 710
44 462 491 472 436
45 1239 1297 1248 1282
46 1802 1806 1819 1829
47 615 1676 595 1655
48 707 661 713 1783
49 1553 1547 1538 1513
50 705 1772 666 769
51 1298 1302 171 1290
52 1266 1291 1268 1290
53 636 637 1663 1657
54 1737 1755 1744 708
55 1971 1959 1939 1944
56 396 466 469 1571
57 353 356 365 1402
58 527 1545 539 1578
59 910 929 970 865
60 240 289 343 321
61 674 630 723 730
62 1481 388 1480 1469
63 1427 416 441 1488
64 1010 575 175 980
65 1462 356 392 381
66 768 773 803 833
67 17 30 61 36
68 330 1490 370 1486
69 336 395 380 362
70 740 1826 687 1794
71 339 445 398 389
72 1454 1384 1492 1455
73 346 1408 376 1403
74 1800 742 1725 1763
75 847 768 891 865
76 1587 545 1524 1605
77 220 399 279 1330
78 535 630 629 674
79 448 1437 1557 464
80 1729 727 738 745
81 2011 2026 1091 1983
82 1731 1661 1641 669
83 1006 998 1048 1009
84 449 1540 440 444
85 1547 442 1538 1513
86 570 1636 594 1631
87 1601 542 487 586
88 667 652 746 601
89 1744 1749 1745 1736
90 794 686 735 800
91 1637 1725 1625 627
92 1434 356 320 1416
93 1806 1755 1777 1779
94 1721 1724 1754 1703
95 1782 1795 736 1785
96 1240 1221 80 89
97 1998 1038 2036 2064
98 1777 774 1779 1787
99 277 331 1388 1391
100 65 105 119 104
101 1625 1725 1661 627
102 451 441 1587 1591
103 1535 1577 485 428
104 1797 1806 1820 1818
105 1692 648 1707 1685
106 790 1807 817 787
107 1658 1620 1633 1650
108 1231 1210 1273 132
109 529 1579 526 1610
110 12 79 23 1113
111 75 139 1311 73
112 1448 369 326 327
113 1710 1695 1678 631
114 1570 1569 1540 1552
115 486 1526 483 475
116 339 296 274 211
117 143 123 110 131
118 866 930 944 981
119 199 1266 155 1265
120 1016 840 934 931
121 1987 1979 1954 1926
122 900 1030 1017 1005
123 994 946 10 47
124 833 828 867 837
125 1924 836 1891 1875
126 1620 1614 1650 1628
127 1813 738 764 789
128 304 315 245 1372
129 1996 1959 2002 979
130 639 1694 1663 635
131 1365 1351 246 1339
132 492 533 410 385
133 1164 1210 1166 1151
134 1535 438 1532 456
135 1820 819 1824 1817
136 555 627 476 1558
137 1181 1205 1209 1185
138 1046 910 1015 1027
139 774 1806 1809 1818
140 277 331 1391 1381
141 607 725 741 672
142 716 1758 1739 1747
143 861 800 980 897
144 1780 1807 780 1785
145 1790 722 1742 1766
146 1975 1049 953 1957
147 955 919 942 1964
148 1756 1769 1792 760
149 608 561 1682 545
150 1114 1150 1103 25
151 1636 639 1666 1700
152 273 240 261 250
153 591 645 1591 1605
154 1542 505 469 1571
155 203 1335 1260 159
156 649 651 1707 1685
157 1212 130 1152 1198
158 1618 544 525 520
159 1739 1743 1734 1721
160 731 715 1740 1760
161 912 1968 1980 1943
162 1010 502 554 447
163 1172 57 1167 1158
164 709 728 783 727
165 374 369 1443 417
166 247 322 258 1337
167 1099 13 1137 1192
168 2041 1021 985 999
169 1991 1997 892 958
170 424 470 413 443
171 1775 687 679 1794
172 1040 42 5 1013
173 1464 383 1459 1500
174 390 374 1443 407
175 1643 720 1542 1571
176 454 739 186 859
177 1801 1873 811 1864
178 243 340 289 291
179 40 29 1008 962
180 488 535 674 613
181 26 1065 2054 1045
182 1425 362 1444 428
183 2065 2056 2049 2038
184 1750 1709 1742 1720
185 288 247 322 257
186 657 629 684 700
187 759 1789 1768 732
188 1490 418 419 329
189 1864 1902 1899 1869
190 1780 757 736 1785
191 1230 1227 1215 1214
192 346 362 305 1444
193 1748 676 1753 1750
194 687 1726 1725 1759
195 1703 648 1692 636
196 430 457 1504 425
197 715 728 731 682
198 1484 1470 1462 1471
199 1658 600 1633 1659
200 393 413 361 443
201 718 1764 722 1742
202 661 707 1701 712
203 1437 464 382 1461
204 1379 1399 292 320
205 435 459 474 1493
206 639 1706 1694 635
207 578 563 495 571
208 1490 1439 330 329
209 637 1636 585 581
210 369 1492 1485 417
211 612 507 502 503
212 203 1309 1335 194
213 471 1561 1587 545
214 299 1391 311 1377
215 830 832 1815 775
216 1751 776 1781 1757
217 718 1726 1759 1752
218 1419 338 1431 1425
219 1577 521 428 1504
220 651 649 1670 1685
221 776 661 1716 777
222 89 80 62 33
223 369 1448 1492 347
224 1831 1825 813 1843
225 449 444 426 1488
226 619 1699 1658 1663
227 599 581 597 1700
228 2035 2051 1097 1053
229 959 923 1978 1947
230 596 606 1618 523
231 1985 1932 1988 958
232 1969 966 939 1029
233 1738 744 1746 1773
234 619 1676 615 1655
235 80 134 1127 1199
236 1724 1706 1754 1703
237 1643 607 591 1623
238 282 1468 1453 1328
239 561 608 1597 545
240 652 620 739 533
241 809 1933 895 834
242 530 533 612 503
243 888 1923 1869 849
244 2054 34 33 2072
245 11 1198 1109 1097
246 402 496 358 306
247 1146 1101 1141 1114
248 619 1675 1692 1649
249 336 289 294 321
250 695 662 617 661
251 971 9 1046 987
252 210 1314 1242 244
253 1682 591 645 545
254 619 1655 1684 1681
255 1758 1724 673 1746
256 576 609 618 596
257 1491 1532 1499 1500
258 268 1380 248 1314
259 1689 1677 1690 1712
260 1794 785 786 784
261 1784 1770 1788 1768
262 1544 1527 497 498
263 1597 1570 1560 1552
264 966 874 1969 939
265 576 1616 609 596
266 1777 1780 736 1785
267 1649 574 1626 1630
268 1640 1646 1644 1632
269 459 527 1534 1545
270 546 512 517 540
271 1630 1649 583 1622
272 1715 608 1637 1654
273 1609 1604 1583 1573
274 513 483 1569 1562
275 574 552 1604 1573
276 1646 1675 1676 615
277 574 1609 1622 1573
278 1738 1761 1767 744
279 1942 1941 1936 1940
280 410 323 385 360
281 105 47 147 1088
282 1992 921 927 914
283 1790 1801 1813 745
284 1010 575 678 502
285 1634 1638 1645 1665
286 803 845 838 805
287 736 1760 1749 1754
288 737 1474 1487 786
289 561 570 1631 591
290 1917 936 1997 1919
291 915 998 1006 1009
292 678 644 554 447
293 496 397 306 265
294 1868 1838 815 1817
295 851 810 1907 1869
296 328 295 350 270
297 1721 1703 1692 636
298 342 1415 334 1400
299 323 309 360 232
300 1267 1047 1928 1872
301 1483 1526 478 475
302 1096 1127 2045 2073
303 1134 93 1132 1130
304 1311 40 245 73
305 542 1565 1601 487
306 508 578 563 495
307 859 44 987 870
308 728 709 701 1708
309 16 30 1085 4
310 1460 1464 414 386
311 1723 1740 1755 1749
312 1764 742 1801 1776
313 1699 619 1658 1684
314 505 396 469 1571
315 1424 355 1423 1410
316 508 455 479 450
317 765 743 837 1833
318 718 1709 1717 1742
319 336 333 289 343
320 728 765 743 731
321 647 650 649 618
322 1564 1557 1612 1671
323 1554 481 465 528
324 1739 716 1747 1727
325 535 402 488 674
326 704 748 755 689
327 1797 716 1743 1804
328 491 460 472 436
329 676 1740 693 1704
330 562 565 605 589
331 1077 2071 1090 2039
332 1366 1385 1365 260
333 1629 1887 554 245
334 550 373 1453 447
335 300 281 294 345
336 652 667 703 665
337 1749 1755 1744 1745
338 300 273 1385 316
339 287 330 370 1446
340 1607 679 557 1522
341 1407 1424 364 1419
342 630 657 626 629
343 593 650 632 638
344 1030 900 1022 1005
345 1360 1347 1357 199
346 1424 1434 364 1460
347 905 926 1975 956
348 1005 1076 1 1031
349 292 1379 320 1393
350 346 278 305 316
351 457 430 1586 425
352 1761 664 719 1738
353 994 967 147 1088
354 1539 483 1533 1532
355 1098 41 1271 20
356 1989 937 1981 974
357 1562 1569 1532 482
358 299 1391 1377 1360
359 390 403 1475 1436
360 321 324 286 305
361 1588 1560 1551 1552
362 652 703 746 739
363 1142 1124 63 1187
364 1623 559 466 461
365 1576 498 466 1492
366 452 1511 1543 1548
367 1526 453 486 1523
368 718 1750 696 1712
369 1774 1783 1805 712
370 545 1587 1591 1605
371 1384 1411 1380 1401
372 1989 1959 1976 940
373 182 1298 1275 176
374 735 801 800 843
375 22 44 859 870
376 634 577 550 1629
377 1676 595 1655 1681
378 1663 619 1640 1655
379 478 1483 475 485
380 431 433 432 406
381 1551 1588 1552 1555
382 1475 1459 388 384
383 1216 1124 1142 1187
384 1728 1721 1747 1727
385 1456 1448 326 327
386 1088 1012 37 21
387 35 1125 33 2073
388 364 1438 1433 383
389 1419 1407 1433 1431
390 895 1826 834 934
391 431 1529 433 465
392 1038 938 1066 1073
393 1351 254 246 1339
394 2011 737 868 786
395 1380 1314 233 244
396 1636 637 1657 594
397 1768 1724 1762 1754
398 1677 1666 655 1682
399 1580 1562 1570 1552
400 395 458 460 450
401 1642 1621 1597 1588
402 1460 1491 1495 1500
403 423 415 1477 436
404 318 274 1361 291
405 706 721 738 756
406 122 212 232 99
407 1554 1579 494 484
408 715 758 722 747
409 386 1469 1465 1420
410 1587 1591 1524 461
411 550 425 446 1453
412 192 1297 1261 1346
413 569 535 499 589
414 1387 1378 1392 310
415 321 294 348 286
416 1631 655 591 1679
417 1901 733 818 1842
418 1522 640 1035 1262
419 182 1275 1270 1249
420 1629 1887 245 1394
421 466 1455 347 396
422 315 554 1311 245
423 1450 1432 1441 1414
424 1886 1910 1930 849
425 1572 552 483 1569
426 486 478 516 517
427 384 375 1440 1443
428 1526 438 1523 1533
429 1576 449 441 1591
430 1365 1366 260 1348
431 1634 1625 1661 553
432 758 727 722 745
433 1384 369 347 327
434 247 288 1337 263
435 1423 355 375 1440
436 466 1454 1455 1507
437 440 449 426 407
438 1715 1726 696 1712
439 1101 2058 1089 2027
440 492 508 522 450
441 1194 1172 96 74
442 314 1399 1392 310
443 1385 297 1374 1375
444 1528 446 1426 1629
445 1048 57 1081 1080
446 1292 134 136 1267
447 1289 1324 1296 1287
448 818 1883 1842 827
449 423 462 453 436
450 288 346 376 1403
451 421 416 557 1487
452 1252 1220 1268 166
453 627 733 1528 1798
454 1715 668 641 1712
455 258 1317 1300 1337
456 7 29 67 72
457 861 1010 575 678
458 441 471 1488 493
459 380 423 1483 372
460 530 620 533 454
461 1882 1860 1893 1873
462 1676 619 1697 1681
463 324 343 362 321
464 1013 960 971 886
465 1460 414 1480 386
466 1581 1562 1552 1555
467 1844 752 1815 781
468 629 535 674 684
469 1599 1468 1549 1558
470 1631 570 1594 498
471 1883 1901 824 909
472 1658 619 1663 1655
473 983 1901 909 961
474 1411 1412 1400 332
475 1698 1676 1673 1672
476 483 1525 1539 1523
477 1910 1924 919 1925
478 1407 1385 359 1425
479 655 1738 1746 1679
480 1490 1458 1439 329
481 1770 740 767 749
482 471 444 1467 434
483 1562 1540 1552 1532
484 1583 1609 534 1592
485 1660 1614 1608 1606
486 1698 1672 609 618
487 1573 556 1566 1594
488 1588 471 1587 545
489 1621 1645 1608 1580
490 379 391 371 358
491 109 1254 1234 1242
492 126 1096 134 136
493 304 1453 447 315
494 915 1934 926 940
495 509 531 485 473
496 1490 330 1435 329
497 577 724 644 554
498 648 619 1692 636
499 1552 1562 456 1555
500 493 416 1607 557
501 611 667 665 592
502 1464 1459 1460 1500
503 1422 295 302 1395
504 1813 738 745 764
505 1676 1697 1698 1673
