# StarID X Y Z
4 79.62896 0.01164 -101.53103
10 58.65441 0.03711 -72.08957
23 79.69934 0.10353 18.85807
26 105.85439 0.15582 -25.20501
33 109.99693 0.1904 -20.31221
34 70.15358 0.12179 35.61908
39 87.23461 0.17031 -26.16659
66 37.13055 0.12218 -116.47411
67 122.56525 0.42591 53.39053
90 79.62023 0.3891 -71.40847
93 59.73632 0.30467 -0.07915
95 124.61967 0.65694 -26.40726
101 91.39998 0.51009 -100.77989
103 40.28292 0.22649 -101.59456
104 104.03938 0.5933 -64.7589
116 100.24577 0.6568 -67.09165
129 150.84551 1.09419 14.18709
140 41.52541 0.32808 -103.326
153 98.89049 0.83639 -87.84464
178 98.65734 0.97771 -50.56444
185 83.66968 0.86183 15.93996
188 94.74188 0.99631 10.51564
194 37.27834 0.406 5.56202
195 83.73027 0.91446 91.13468
201 94.15947 1.05068 31.84273
205 112.65183 1.26961 -10.22629
219 92.24366 1.11129 9.75199
221 21.97689 0.2659 128.33999
225 133.56437 1.63202 -35.89243
228 92.4247 1.14561 49.66933
230 100.11676 1.25064 58.59371
238 58.12741 0.75004 -21.21136
248 109.58038 1.46461 15.93045
249 64.13669 0.86668 39.87879
255 76.79339 1.06496 -35.14315
261 111.59092 1.59814 -48.79347
267 85.52979 1.24717 -6.20013
277 50.90539 0.76349 -37.33122
290 56.1084 0.88545 -33.84299
293 41.26031 0.65962 -63.94446
294 115.59074 1.85046 7.89539
299 45.97371 0.74931 -92.62842
308 69.67855 1.19621 17.86571
313 62.8442 1.08718 -70.11347
315 48.11365 0.83328 -141.9926
323 116.61255 2.12209 36.63223
325 53.57017 0.97587 43.57378
332 125.35373 2.32119 -85.89331
340 48.24647 0.90433 -46.58026
357 26.9258 0.52978 -87.52552
378 84.28273 1.72414 22.53356
392 82.62459 1.75456 47.87949
405 48.07825 1.04035 49.23435
409 39.32304 0.85534 -111.02441
415 117.74127 2.59749 19.24341
426 129.95487 2.93035 76.05411
434 63.61982 1.45881 -73.5735
460 74.97897 1.79456 50.78992
461 49.75567 1.19829 -8.43343
491 36.18379 0.93392 11.92535
493 27.81484 0.7185 -71.77807
509 89.0069 2.38269 15.24361
514 135.378 3.67464 -4.46196
523 135.04307 3.73201 -28.75763
528 141.22992 3.95478 -46.01069
540 67.2874 1.9365 -73.68021
555 109.76684 3.24931 -8.35304
559 35.9266 1.07157 -15.33631
564 150.45531 4.51276 4.89082
577 109.6581 3.36627 46.218
583 121.86496 3.79045 -34.61613
595 19.24586 0.60663 -81.65292
598 43.30963 1.37186 -38.86481
605 43.78062 1.40903 -20.75843
611 74.39801 2.425 -110.40615
616 84.07809 2.76953 52.58424
617 55.30486 1.82942 -98.37145
621 85.90044 2.85841 -86.30664
623 61.06079 2.03192 82.64463
629 81.0362 2.71483 65.74048
633 110.74149 3.73092 84.06081
647 92.93977 3.24723 -12.31715
655 60.41859 2.13018 82.59193
686 120.03378 4.43318 -53.71459
687 64.40619 2.38223 45.01886
689 42.31488 1.57048 54.85876
691 98.99029 3.68215 36.57881
695 67.62976 2.53555 90.64442
697 26.50217 1.00464 19.71609
705 116.72413 4.47415 -87.20726
707 79.33808 3.05023 -85.32346
708 85.2268 3.27869 12.01972
738 107.60655 4.2616 39.03595
744 8.55533 0.34242 14.33485
756 95.98121 3.90478 -86.14918
759 60.55675 2.472 -32.209
764 131.81482 5.41521 0.16599
775 113.87474 4.76629 -44.62449
784 115.16022 4.87369 -87.8542
813 46.61883 2.0444 -92.7669
816 96.36799 4.23055 -15.23333
817 17.09356 0.75181 -88.03886
820 13.16837 0.57996 128.69283
829 76.88555 3.4089 -88.98214
842 93.35926 4.22128 -104.31642
845 96.34613 4.36826 -20.12354
854 74.65987 3.42082 20.35065
863 19.14426 0.88929 -63.57521
867 110.88151 5.16964 26.08227
868 54.8501 2.5576 1.97074
877 30.07181 1.41533 -101.68149
878 90.08558 4.2406 69.1363
881 69.09985 3.2557 -108.52803
893 68.96151 3.31956 39.14212
894 103.54417 5.0012 25.36761
902 118.48695 5.76947 -15.35689
908 18.1832 0.89448 -5.03756
920 81.69101 4.0983 -27.69662
929 100.63388 5.09145 -5.41829
935 120.86682 6.12623 -52.95463
939 37.95874 1.9264 -118.91775
945 143.08366 7.29801 -24.49667
948 17.81337 0.91263 -12.5514
950 81.18791 4.17069 42.33798
954 68.66949 3.54969 37.2151
962 84.21767 4.38151 -35.48021
969 80.4329 4.22386 43.92614
974 93.7536 4.95094 -11.67504
979 62.87173 3.33187 85.47149
983 90.05609 4.80451 -47.51765
984 73.37695 3.91961 61.44355
1014 71.76289 3.96833 -122.05365
1024 38.33765 2.1433 39.89456
1036 131.62738 7.47473 28.82028
1049 84.34007 4.8257 31.06579
1051 11.2843 0.64772 108.34447
1056 49.54974 2.84972 -46.38789
1069 82.18476 4.77268 -36.1931
1070 87.81647 5.10368 -33.09671
1071 92.68895 5.39408 14.58887
1084 26.35593 1.55608 22.97968
1101 75.53583 4.54077 10.89578
1106 111.37131 6.71924 33.22052
1112 37.62236 2.28177 -58.03934
1131 95.62986 5.91171 47.2679
1132 45.71658 2.83016 -5.78556
1135 60.51916 3.75928 43.12038
1138 26.43271 1.64507 -37.92081
1145 51.15559 3.20665 -19.87717
1150 100.66908 6.33078 96.88403
1154 87.48529 5.52374 26.20058
1159 79.41802 5.02015 -20.47838
1164 102.91479 6.56194 -62.01988
1167 84.48038 5.3925 1.9164
1182 55.34732 3.57819 105.17852
1185 62.52834 4.05165 -34.7147
1186 128.78565 8.3469 56.90269
1188 124.0597 8.07153 -78.14647
