# StarID X Y Z
0 0.0 0.0 0.0
7 52.95794 0.02084 19.31343
20 85.20962 0.09361 37.10201
24 94.28446 0.12514 -40.90366
25 52.09682 0.07216 -50.82198
27 77.77346 0.11601 -68.31981
38 7.95927 0.01542 -41.18425
43 66.40084 0.1496 112.99578
45 20.24168 0.04741 -63.05588
50 35.55067 0.08864 -47.34518
55 26.99964 0.07437 -62.64186
58 17.91077 0.05431 33.93651
71 87.72547 0.31709 65.58008
72 91.72447 0.35134 -20.88771
80 62.7822 0.26494 -13.14292
81 42.5219 0.18098 -3.66945
94 80.24461 0.41295 -51.62923
110 37.72667 0.22961 31.22279
114 86.55733 0.5615 51.4684
118 81.66092 0.55084 -13.56317
135 49.7495 0.37054 -0.18885
157 144.95258 1.26581 -13.22792
166 58.31894 0.53085 -88.16377
171 11.04175 0.1041 5.64682
179 65.23792 0.64773 -15.55167
187 148.63355 1.56202 -15.77812
190 93.82126 0.99162 17.85874
206 101.54359 1.14642 34.64166
210 129.27854 1.49409 -19.29428
213 79.85246 0.92944 100.29594
224 46.30375 0.56283 1.72259
242 110.88195 1.45571 -76.91112
276 60.16393 0.90092 22.69571
296 34.77932 0.55976 -18.80428
305 43.03198 0.73013 -23.2646
306 37.07178 0.63074 -58.94675
310 59.5557 1.02645 -55.91821
321 91.03931 1.64102 -44.19886
329 106.97944 1.96328 -19.13869
337 75.76136 1.41137 -36.81862
342 118.19259 2.22604 -44.35997
348 58.0323 1.10292 13.35441
356 100.34662 1.97178 -12.26176
359 13.28588 0.26537 -56.98485
380 130.03346 2.67377 39.93689
385 83.88135 1.74996 65.96044
391 103.5299 2.19026 99.89806
394 30.25602 0.64525 20.92343
400 23.51364 0.50636 10.11415
403 82.16848 1.77456 -26.98775
407 15.32175 0.33279 -42.59632
410 116.04005 2.54157 60.87189
413 40.88294 0.89945 -29.72704
416 114.50085 2.52721 2.07474
417 143.84423 3.17842 -1.26291
420 25.66624 0.57423 -33.03912
423 32.01959 0.7213 -62.4405
427 89.82649 2.02641 3.76157
447 147.81422 3.46462 9.31805
448 84.2934 1.97874 -55.80671
458 25.91404 0.6189 -47.20098
459 41.68663 0.99678 17.03781
466 97.89511 2.38641 -107.12542
474 24.96941 0.62041 40.46297
475 111.14173 2.76424 26.47826
480 109.98706 2.75257 -82.24209
486 17.41526 0.4446 87.48847
487 46.15518 1.17844 -117.51834
489 30.01122 0.76942 -26.79755
508 65.35222 1.73605 -39.97471
517 10.61349 0.28992 17.28321
521 16.79028 0.46247 -19.37355
529 90.50562 2.54098 83.70358
553 98.17224 2.90173 -24.0307
568 53.3162 1.60548 -3.37993
576 52.56785 1.60815 33.9849
585 136.47069 4.24912 -58.05811
600 51.90886 1.65454 19.90029
603 121.39334 3.88116 3.53064
625 75.34099 2.50996 63.58621
638 138.89883 4.73308 -27.33985
640 25.88021 0.88844 37.78684
641 86.2184 2.96758 -7.32748
644 124.35717 4.33526 -31.54805
664 96.0351 3.44565 -91.66128
668 26.70216 0.96428 -7.07182
670 100.87 3.65137 -15.66907
674 86.64097 3.16794 34.89546
680 39.46987 1.45216 4.58165
688 36.17155 1.34156 -83.30231
706 3.44773 0.13229 61.47961
720 75.59269 2.95112 17.19353
721 12.73574 0.49758 29.25201
724 42.17308 1.65573 -35.08595
727 84.97473 3.35313 27.97979
728 83.90006 3.31078 -115.57673
731 94.11966 3.71697 16.35456
734 61.12998 2.4169 -102.9556
735 46.98013 1.85809 40.64587
743 116.1873 4.64286 -91.79775
751 47.48867 1.91662 30.25104
752 40.93685 1.65503 19.3511
757 49.41639 2.01155 15.62633
760 63.37851 2.59756 -55.22633
766 68.40966 2.82725 23.7302
770 50.87588 2.11268 -34.48921
788 54.25613 2.32323 -47.029
790 79.10451 3.38841 -9.49898
794 69.54405 2.99387 10.34493
799 33.96841 1.46554 -40.90639
806 101.60059 4.41814 96.29895
825 126.5191 5.58607 -68.29767
844 71.64575 3.24802 -17.86053
852 129.80839 5.93645 31.42472
860 48.23416 2.23789 -56.10085
865 62.55735 2.90957 14.25134
873 97.96462 4.60406 -78.76479
887 40.54333 1.93537 45.25427
912 55.67247 2.74761 -35.92269
918 49.12359 2.44713 21.71156
922 31.01218 1.55939 -36.52294
927 30.33713 1.52968 -50.37386
941 47.81172 2.42717 8.72461
951 89.91766 4.62813 -58.9943
952 126.24794 6.50176 20.33898
953 57.77607 2.97796 -18.30498
958 94.77758 4.90392 -33.98678
959 77.68196 4.02024 -55.5801
973 30.29654 1.59923 -49.55643
