# StarID X Y Z
2 43.04329 0.00285 -15.24144
18 50.05006 0.04641 -3.54701
47 22.3741 0.05279 -34.23726
57 10.24875 0.0301 -27.67017
68 30.07406 0.10531 9.18828
74 33.50702 0.12975 24.1242
84 46.76553 0.20552 24.74704
119 94.93783 0.64656 93.87049
122 15.15471 0.10563 -65.98685
142 25.05232 0.1984 57.08882
144 46.41547 0.36875 18.24869
148 39.21116 0.3276 19.12995
150 106.15825 0.89004 -80.66852
158 112.23823 0.98041 -87.38404
184 32.99341 0.33963 6.41739
246 29.98851 0.39973 45.71488
253 134.57626 1.83821 -60.33177
343 84.89861 1.60395 -25.19918
351 30.23988 0.58202 -32.51172
379 37.66745 0.77213 89.47919
435 6.03769 0.13959 -14.82196
441 39.19512 0.91269 -3.91866
472 8.18796 0.20265 8.42611
494 36.87725 0.95375 12.04043
524 87.85805 2.42944 76.13068
537 74.9949 2.13672 7.65426
543 11.97684 0.34546 6.64763
606 95.50192 3.07411 47.53794
609 105.44224 3.41551 -90.03842
615 29.72468 0.97814 -13.12899
630 51.98815 1.74323 -116.46225
654 83.1425 2.92469 -55.12613
672 94.63623 3.44982 -88.13438
714 115.96252 4.48919 55.26038
722 118.52001 4.64992 -46.02125
753 24.73005 1.0015 53.24893
763 29.95017 1.23028 -30.7674
785 35.57829 1.5108 -22.10082
792 48.61411 2.08756 -32.56038
802 23.64033 1.02591 -117.25341
812 10.04987 0.44044 -73.66576
821 72.27821 3.18344 57.37317
838 54.71941 2.46425 -5.03167
871 63.51319 2.97088 -14.18887
914 14.68444 0.7277 23.85172
917 29.33612 1.45679 17.26673
930 121.82153 6.16498 -41.05154
931 45.31395 2.29414 5.66867
933 19.55637 0.99018 -30.70402
942 90.93429 4.62021 -107.19692
946 26.53896 1.35425 -21.69571
964 92.86418 4.84057 -84.23575
967 133.1388 6.99032 57.89196
972 22.86487 1.20469 11.71635
978 101.01201 5.34418 110.35525
997 39.14252 2.13734 10.18453
998 60.40248 3.2983 -24.52296
1011 58.07091 3.20748 -29.44643
1020 62.55911 3.48406 5.45507
1029 10.78441 0.60481 -17.22732
1042 25.5922 1.45812 -25.79198
1054 133.2116 7.65676 40.59466
1076 33.33902 1.95239 11.54594
1083 25.35615 1.49686 -21.58555
1117 40.59444 2.48285 -7.8714
1148 78.05661 4.90138 -43.23581
1222 48.97501 3.26202 65.31148
1228 107.59875 7.1804 -11.59708
1238 30.0946 2.03191 62.60528
1286 111.38911 7.8606 -68.28529
1292 35.93445 2.54286 21.24746
1306 31.3387 2.24706 -33.36436
1332 38.96273 2.84736 14.88425
1344 4.81967 0.35553 32.98113
1350 127.78894 9.44937 55.06886
1386 40.4977 3.07551 13.87337
1392 96.82558 7.39168 -101.7435
1395 27.96341 2.13956 -30.53439
1404 19.77739 1.52243 -41.36105
1417 30.94424 2.40606 -70.90365
1418 100.76384 7.8392 2.97969
1462 134.31491 10.74051 26.69531
1499 84.8268 6.94001 -80.0233
1529 20.37576 1.70142 -3.59209
1543 27.67836 2.3343 -10.05954
1559 87.44371 7.43048 -13.62316
1609 38.5278 3.40201 -57.32911
1636 72.24696 6.48738 43.54136
1641 119.34693 10.75522 17.24702
1650 55.20472 5.00976 -15.54688
1655 67.69263 6.15829 -37.5195
1680 80.0719 7.3824 -4.08699
1683 50.85428 4.7026 19.18375
1688 22.69308 2.10736 -3.31715
1704 82.94518 7.81127 -46.14514
1711 109.44226 10.3379 86.46605
1719 34.14189 3.2368 -37.00633
1762 55.48531 5.42904 -68.82769
1764 19.89024 1.94948 -10.19703
1803 26.4006 2.65188 -34.6106
1808 137.31181 13.82689 -15.6335
1833 18.51816 1.88642 -12.16574
1837 58.55402 5.97326 0.16812
1842 28.9265 2.95557 52.92492
1856 4.34956 0.44789 19.22909
1893 55.30741 5.80859 18.19915
1928 43.359 4.62685 -20.19302
1931 15.95063 1.70638 -8.18314
1973 29.21237 3.20795 30.10344
2027 127.68146 14.41189 -67.48884
2034 56.57206 6.41526 6.51853
2071 89.57034 10.29386 -74.71725
2073 73.84219 8.4928 -127.64634
2076 17.43506 2.00814 -15.97244
2097 38.46012 4.49622 22.53662
2110 12.4491 1.46509 -104.18039
2131 44.06424 5.23248 -32.91464
2132 136.25862 16.18178 -12.01388
2221 115.68699 14.32538 -64.72309
2241 35.76254 4.48225 -10.48886
2250 73.50263 9.25828 -89.97542
2267 55.5682 7.08238 -29.02671
2287 8.91008 1.14488 56.16898
2314 65.43383 8.49867 124.43278
2333 57.59918 7.55776 97.66492
2346 19.2484 2.53658 73.70535
2357 140.64106 18.62512 -55.77501
2358 23.01088 3.04754 32.49775
2367 48.80899 6.49106 6.20208
2386 106.34285 14.23062 -88.50144
2391 31.14889 4.17205 13.19098
2404 115.5294 15.56878 20.38825
2406 63.76076 8.60429 22.23814
2416 8.77338 1.19023 38.4094
2446 45.50498 6.23415 -41.18405
2469 118.23465 16.31532 79.2443
2486 93.17376 12.93959 1.00821
2491 72.16945 10.04221 96.13355
2492 78.67993 10.94989 18.21404
2498 43.08501 6.00535 -58.74641
2527 46.08149 6.50402 -4.21781
2550 18.86664 2.69147 -47.18747
2562 73.16435 10.47472 27.33211
2566 107.63893 15.44221 -51.54004
2594 73.85164 10.71472 73.92533
2605 65.56015 9.55602 94.25119
2655 131.17022 19.41886 -75.19931
2719 32.91186 5.03395 16.28633
2723 21.36513 3.27424 -40.50773
2728 117.98998 18.12006 28.37546
2730 44.45198 6.83341 3.44627
2736 21.04322 3.24042 19.64353
2738 12.86726 1.98204 -26.33486
2746 47.33553 7.31703 35.87702
2780 50.14502 7.83985 -1.83107
2783 44.19277 6.91156 -63.4599
2791 8.8604 1.38881 47.28008
2840 135.7211 21.52844 -36.75135
2843 27.8452 4.41868 -32.57954
2920 92.46042 15.10784 41.73987
2931 83.87091 13.77306 -118.69165
2935 13.91734 2.28714 -6.50718
2959 136.96061 22.72171 53.57041
2961 136.5724 22.70462 -58.69753
3022 40.12151 6.81357 -8.77842
3053 98.65861 16.87831 -47.95715
3056 46.31651 7.92827 30.56064
3086 26.2754 4.5535 15.93539
3087 10.19974 1.76951 4.02599
3115 31.71869 5.54971 6.05774
3130 65.01465 11.42442 -65.54314
3154 51.58923 9.14913 7.16641
3172 38.03802 6.79383 58.46152
3198 12.98513 2.33736 11.14522
3218 139.81195 25.27383 54.59689
3225 45.80384 8.30907 16.26068
3236 26.20536 4.7686 -34.48397
3243 31.85377 5.81806 -7.57833
3273 48.74803 8.99376 16.41945
3275 30.9037 5.70674 -43.19678
3310 29.30659 5.46768 -45.68934
3322 38.26136 7.1705 -38.13733
3334 18.69041 3.51322 -26.28875
3345 35.50199 6.69116 -63.2417
3364 135.82837 25.71384 41.3761
3392 103.02492 19.69555 -105.55674
3393 64.57397 12.34827 -45.80667
3399 61.07029 11.69973 -10.2002
3411 16.93507 3.25735 11.56466
3412 16.46534 3.16958 142.69639
3413 27.43768 5.28206 -9.07156
3429 51.18711 9.91148 -11.093
3438 46.45976 9.0414 136.09669
3448 62.07792 12.12016 -11.84751
3449 87.77751 17.14116 -70.94159
3523 51.81162 10.31187 -7.32565
3527 21.57689 4.29994 0.68638
3543 46.60598 9.34689 14.51845
3571 18.46742 3.73345 -46.34131
3580 11.68715 2.3672 -10.7026
3610 59.58571 12.23281 36.46681
3611 73.36173 15.06616 -119.51735
3625 44.11784 9.08927 11.5031
3628 101.86905 21.01333 -60.51541
3661 45.09717 9.36883 43.93479
3685 49.62504 10.39881 22.85847
3709 114.69665 24.23311 -38.22889
3719 139.38709 29.54323 -14.95722
3742 19.88073 4.23919 65.16233
3759 7.26388 1.55643 0.68697
3773 15.95282 3.43348 -60.57583
3778 90.64277 19.54864 12.34802
3818 87.62204 19.07005 -72.96351
3825 50.37283 10.99033 -23.10239
3841 94.77062 20.76121 -23.40127
3850 22.09922 4.85562 55.86946
3851 145.06419 31.87938 -28.76657
3866 7.03223 1.55141 20.27854
3869 15.73711 3.4747 -22.67206
3910 72.66844 16.21648 -51.15268
3965 145.33989 32.95664 -34.20781
3982 133.88531 30.48262 8.12215
3988 20.19919 4.60416 7.02849
3993 11.33951 2.58679 -57.91031
4000 33.88259 7.73608 -33.08548
4004 57.73277 13.18854 6.00607
4012 13.64395 3.12241 -5.91513
4014 35.4956 8.12544 -9.68215
4045 13.33685 3.07456 97.46894
4048 92.02196 21.22445 63.4358
4056 64.55989 14.94314 -15.57968
4057 26.61964 6.16467 3.25968
4110 41.01664 9.61704 7.27965
4139 11.82808 2.78579 -7.11711
4175 88.61267 21.05751 69.68231
4188 116.30976 27.71763 67.61852
4231 63.93253 15.39352 -21.40709
4243 41.63602 10.04366 53.14988
4278 34.64148 8.47143 15.60155
4281 12.87628 3.15032 -47.16826
4282 62.42789 15.27693 106.84821
4300 45.89158 11.27157 -14.42139
4302 42.1992 10.36548 0.70762
4336 147.19199 36.49909 -19.55335
4340 104.47884 25.9379 77.46644
4343 25.73071 6.39351 -15.10834
4373 78.36989 19.61808 129.27082
4384 19.73927 4.95088 -44.54286
4407 54.83361 13.8249 -25.22244
4438 26.07523 6.61294 -34.27762
4444 8.36248 2.1259 22.52968
4463 8.73393 2.23062 -17.13035
4468 46.3783 11.85173 -1.51735
4476 107.17911 27.46733 43.55266
4490 90.93516 23.37381 96.68325
4507 106.11495 27.39165 62.05925
4538 126.76466 32.90589 -63.52757
4542 46.70611 12.13047 32.48892
4582 87.23621 22.87069 -9.292
4608 60.43705 16.00223 -101.64327
4633 44.97572 11.96952 -11.58588
4663 30.36585 8.13644 -39.30054
4681 28.65044 7.71755 -14.22559
4686 84.68455 22.83087 27.19452
4689 39.16655 10.56366 -9.81337
4710 79.96071 21.65651 -41.55196
4732 64.93928 17.67285 50.08523
4754 41.19316 11.27322 -43.15698
4784 57.04191 15.70398 -46.58193
4791 78.6955 21.69236 -23.81685
4814 29.61263 8.20571 -5.35434
4824 76.97134 21.39198 119.91814
4835 20.49596 5.71794 -3.91435
4839 20.58357 5.74763 1.89261
4845 28.56127 7.98246 -11.74784
4862 4.49441 1.25977 8.90745
4864 39.49374 11.07517 -19.39607
4896 55.62481 15.67321 8.00892
4904 120.62606 34.04473 -10.60503
4954 69.4198 19.79158 -74.19909
5017 22.2218 6.41429 -11.08367
5031 25.0802 7.25532 12.80182
5050 124.30048 36.06956 5.22961
5085 88.9889 26.06615 -8.42487
5091 139.94416 41.04881 36.65445
5100 24.60193 7.2289 7.05842
5105 76.95087 22.62607 30.98326
5111 89.29885 26.28843 -16.37914
5123 137.64294 40.57469 10.53447
5148 39.69975 11.76563 -17.11127
5160 94.07425 27.92359 -43.67507
5180 46.40695 13.8422 -12.34055
5201 122.74321 36.73239 73.06782
5213 17.74359 5.32189 -22.86728
5229 50.91981 15.32542 81.68171
5234 51.66894 15.56909 -0.55761
5236 6.32873 1.90781 13.51698
