# StarID X Y Z
6 53.06535 0.0168 3.66089
54 45.36101 0.12006 14.71157
96 48.93537 0.2604 12.17822
111 30.4781 0.18569 20.777
112 30.51202 0.19007 -9.29827
154 126.52163 1.08197 -13.32964
169 5.87103 0.05482 -14.73908
191 30.21133 0.32286 -31.31807
263 30.26272 0.43802 2.48146
307 45.26537 0.77407 -41.57071
344 112.12209 2.12084 94.46576
428 8.01507 0.18081 8.24041
442 3.46535 0.08073 -2.64555
522 7.18804 0.19811 -16.02952
685 20.89095 0.77111 6.56108
730 39.33773 1.55346 20.62615
895 25.35717 1.22623 -2.57153
896 40.90082 1.97798 3.73287
1053 37.49383 2.15376 13.9537
1066 9.44866 0.54662 25.08348
1090 3.16733 0.18859 19.30277
1166 93.56129 5.96909 34.50628
1169 142.59381 9.1215 -49.01164
1240 4.9955 0.33751 -1.44822
1276 16.07258 1.12629 -18.05848
1294 18.79688 1.33389 6.80746
1320 14.22351 1.03231 -17.15888
1365 11.29069 0.84394 9.82423
1383 20.4122 1.54653 11.43223
1396 22.15082 1.69519 -38.40275
1409 34.72871 2.68423 -5.31908
1459 15.9082 1.27131 2.87228
1472 2.55743 0.20511 2.47951
1692 12.47918 1.16458 -12.8634
1716 13.78085 1.30421 -14.38026
1730 15.47248 1.48529 -9.48994
1767 48.79009 4.78782 5.73138
1770 46.27507 4.54952 51.25557
1838 13.23843 1.35056 -16.37086
1905 21.49326 2.27304 -40.96591
1988 17.7619 1.96427 -32.93097
2114 5.49508 0.64752 15.32076
2209 109.59006 13.4602 -22.78269
2213 142.03221 17.46918 46.20174
2234 96.83208 12.07836 -81.63475
2385 87.85105 11.7558 6.72517
2452 59.25394 8.13096 2.05175
2510 100.42192 14.06777 103.25103
2534 11.53416 1.63362 -22.95306
2547 3.87949 0.55294 9.33874
2598 25.13329 3.65406 22.86893
2833 34.16699 5.41179 -5.79769
3002 13.88445 2.33941 18.23892
3137 16.16411 2.84826 -15.99046
3249 44.60357 8.16229 27.53621
3299 58.63569 10.90409 -77.32851
3355 19.02154 3.59424 13.83281
3371 25.48226 4.83125 10.82785
3421 38.00977 7.33491 17.14285
3485 31.37093 6.18549 -10.97688
3548 23.43534 4.71131 -30.1877
3716 47.34332 10.02156 5.11356
3805 13.52005 2.93701 -16.57301
4002 9.44609 2.15773 15.68911
4213 17.7208 4.24484 18.83294
4258 107.93184 26.22379 90.48928
4318 15.16609 3.74046 -19.87406
4355 26.27094 6.5431 -29.18518
4458 17.50184 4.46682 -22.77683
4847 2.4656 0.68937 7.7325
4889 27.17109 7.64677 30.3198
4918 14.75737 4.17793 5.61199
5008 28.92212 8.33443 -47.58621
5104 16.62953 4.88934 -40.33114
5204 20.42708 6.11801 5.82284
5255 20.8709 6.3084 -43.53029
5400 18.8132 5.86012 -9.05868
5432 35.57669 11.15734 -4.69663
5436 47.40547 14.8855 35.60015
5632 3.378 1.1057 -1.08671
5799 9.17891 3.09654 -13.3053
5995 22.32727 7.82529 -5.57672
6056 14.37219 5.08146 1.46124
6084 20.31136 7.21908 -4.93629
6328 22.56787 8.38014 10.88507
6351 15.0356 5.60349 -17.03586
6716 52.87533 21.01072 11.45395
7319 15.24668 6.66206 37.30752
7324 6.60281 2.88853 34.0897
7540 13.00315 5.88069 -16.53087
7728 25.04553 11.63849 -29.11281
7802 32.28879 15.15459 -21.20154
7866 61.20379 28.98932 -88.39936
7999 22.73659 10.95719 -22.88793
8036 10.10005 4.89019 0.84839
8175 15.25038 7.54532 17.95187
8367 17.22061 8.78026 7.50036
8674 15.39826 8.17067 -3.32596
8708 50.33502 26.83183 18.45765
8818 59.86592 32.38525 -71.23119
8905 82.756 45.35548 15.30104
8927 37.91688 20.85168 5.42543
8953 31.48376 17.38439 1.81154
9048 37.8391 21.13248 24.83199
