ID X Y Z
0 -4.86288558e+01 1.00113468e+02 -4.06555299e+01
1 -5.68537046e+01 -8.95007466e+01 5.11773870e+01
2 3.80251231e+01 -6.86591994e+01 3.11163265e+01
3 -5.57479163e+01 1.85445640e+01 3.34151978e+01
4 -4.25506885e+01 -2.77621264e+00 -9.87683184e+01
5 -9.57896912e+01 -1.72507097e+01 -9.32619712e+01
6 -5.33529131e+01 -3.46494354e+01 1.22858765e+02
7 4.15074510e+01 8.77519601e+00 8.33173169e+01
8 1.09625745e+01 4.52934899e+01 5.26503544e+01
9 -1.58144709e+01 -6.97105868e+01 3.66744549e+01
10 -9.98590539e+00 -5.22743265e+01 6.09205399e+01
11 -1.49539356e+01 -3.70203398e+01 -5.24528646e+01
12 -7.19254135e+01 -9.02782059e+00 -7.48987346e+01
13 7.02857133e+01 -1.04469709e+02 -1.36034775e+01
14 -6.11882825e+01 -9.97499868e+01 -5.38800848e+01
15 3.66209547e+01 -4.91238883e+01 -1.40022893e+01
16 6.18392220e+01 -4.13546907e+01 2.12341248e+01
17 9.66302094e+01 -5.92794927e+01 1.30268132e+01
18 -6.85455762e+01 -2.05611848e+01 -8.24025289e+01
19 2.61518392e+01 -8.01945988e+01 -8.54092332e+01
20 -1.65984385e+01 -1.12112149e+02 1.77616293e+01
21 -1.11248527e+02 -2.39390939e+01 6.81170609e+01
22 -4.90869636e+01 -8.40519396e+01 -8.65079001e+01
23 1.20321580e+02 3.02459773e+01 7.70292426e+00
24 -9.09697647e+01 -8.69390855e+01 1.97291355e+00
25 -1.37673965e+02 4.33017410e+01 -3.96181857e+00
26 -8.57159205e+01 3.41314722e+01 -6.61305837e+01
27 7.65824558e+01 -2.68057982e+00 -1.12434993e+02
28 -9.45238045e-01 9.27425242e+00 3.36374100e+01
29 -5.99332828e+01 -4.60236701e+01 -4.56876758e+01
30 -7.93432248e+01 -4.09804119e+01 6.25458550e+01
31 -4.32840253e+01 -3.53594565e+01 4.09770684e+01
32 -5.94871314e+01 -5.85088389e+00 -8.98901978e+01
33 4.29044577e+01 1.03931407e+02 1.20653482e+01
34 1.62931673e+01 1.35707601e+02 1.94211343e+00
35 -1.00990716e+02 -3.86724331e+01 -8.40838345e+01
36 -6.81441511e+01 -1.01872579e+02 -2.94743184e+01
37 -4.08903329e+01 3.76642554e+01 -9.52550346e+01
38 -5.32924450e+01 -5.80435403e+01 -1.01518000e+02
39 -1.09655019e+02 -1.11171915e+01 5.63307021e-01
40 -3.21700288e+01 1.39674080e+01 4.18047356e+01
41 -1.11705777e+02 -1.66359996e+02 -1.01919238e+02
42 -3.49717466e+01 -1.33531119e+01 -1.01270906e+01
43 1.85512035e+01 5.20870804e+01 -1.29448309e+01
44 -7.30879395e+01 -4.42959906e+01 -9.50713383e+01
45 4.06531578e+01 -3.93887409e-01 1.07196703e+02
46 -3.68558458e+01 -1.13076993e+02 -1.38796171e+00
47 -3.96176761e+01 2.17304555e+01 -1.33102692e+02
48 4.65394229e+01 1.78818760e+01 2.80541606e+01
49 -3.99079705e+01 -4.70485870e+01 -1.05503884e+02
50 -1.29965174e+01 2.47857108e+01 -3.19305729e+01
51 -5.79847677e+01 -5.95897761e+01 -5.58663706e+01
52 -8.92352777e+01 -1.33558279e+01 -1.10860354e+02
53 -4.02160645e+01 -1.92243485e+01 -1.12424116e+02
54 -5.04192820e+01 -9.95428291e+00 -1.01959931e+02
55 -3.45243282e+01 -9.02631433e+01 4.21550006e+01
56 1.24701329e+02 -8.69949569e+01 -5.29382674e+01
57 7.12750653e+01 -1.17517655e+02 7.69101009e+01
58 4.63595597e+01 -8.43018600e+01 -5.65207555e+01
59 -2.49023678e+01 -3.30126420e+01 -6.07114614e+01
60 -1.02797027e+02 -3.00408608e+01 4.42164887e+01
61 -1.16728011e+02 5.65166593e+01 -5.40614140e+01
62 2.83281572e+01 6.34931553e+01 4.96707888e+01
63 1.49443945e+01 3.82409580e+01 1.45035272e+01
64 -7.11840158e+00 -7.69311239e+01 3.01497061e+01
65 -1.92814513e+01 -1.52089496e+01 -3.04181284e+01
66 1.66321583e-01 -3.57948064e+01 -8.57907845e+01
67 -1.68438410e+01 -4.01499171e+01 -1.37601010e+01
68 -1.18990531e+02 1.77251647e+01 5.25182995e+01
69 -6.58510747e+01 -6.24062500e+01 -4.90097043e+01
70 -2.96892918e+01 1.19457676e+01 -1.31010053e+02
71 -8.31410319e+01 5.39624017e+01 -6.89484276e+01
72 7.00039252e+01 1.09354880e+00 -9.65512292e+01
73 -3.39034316e+01 -2.34688846e+01 -2.25419604e+01
74 -7.46049287e+01 -1.11839148e+01 -1.25695467e+02
75 -1.27563560e+02 -3.28733869e+01 -9.32837585e+01
76 -8.62957048e+00 6.22073632e+01 -1.06184081e+02
77 -9.64139187e+00 5.07416151e+01 -2.26607761e+01
