ID X Y Z
0 -5.19440950e+01 -4.80447066e+01 -9.26524432e+01
1 -6.32511275e+01 -6.39182360e+00 -4.15013268e+01
2 -8.53547031e+01 -5.07175766e+01 -1.27575962e+01
3 3.23317916e+01 6.79070210e+01 9.35359123e+01
4 6.41598073e+01 9.32322199e+01 4.63039718e+01
5 -9.57919426e+01 -1.56498601e+01 1.87081826e+01
6 -2.42599200e+01 1.18860298e+01 -1.00144112e+02
7 2.36952537e+01 -6.85944442e+01 -3.38117216e+01
8 -7.45949973e+01 1.34917115e+01 -1.41363637e+02
9 -3.56005014e+01 -1.89550534e+00 -1.08773746e+02
10 -4.41720509e+01 7.66105032e+01 -1.20127791e+02
11 -4.42364086e+01 8.36963403e+01 -8.86668381e+01
12 5.13199507e+01 -7.55808770e+01 5.29304570e+01
13 -5.18454493e+01 1.64362077e+01 -1.27967907e+02
14 -1.18030916e+01 -8.28046732e+01 -2.84626293e+01
15 -4.69995975e+01 -7.93972951e+00 -9.37204621e+01
16 2.35749490e+01 -1.53965123e+01 5.95920081e+01
17 -2.38667623e+01 -7.94802913e+01 -7.97546464e+01
18 -4.36483960e+01 3.59048776e+01 -2.22064287e+01
19 7.69753933e+01 -6.06652474e+01 2.94650701e+01
20 1.45280089e+01 -5.01898176e+01 -2.37175252e+02
21 -6.05735427e+01 1.19794754e+02 2.79134364e+01
22 1.54110219e+01 9.97374981e+01 2.45154193e+01
23 -5.25578073e+01 -9.88534209e+01 -5.54219816e+01
24 -5.48223346e+01 -1.12526784e+01 -1.08337480e+02
25 3.84533207e+01 3.32764979e+01 -1.03389977e+02
26 -5.63765356e+01 4.15516451e+01 7.82785046e+00
27 -4.32132170e+01 -1.21791404e+02 -3.40154829e+01
28 -5.56022383e+01 1.46947603e+01 -1.34292588e+02
29 -5.41263903e+01 -8.30382956e+01 -8.41480379e+01
30 1.87486577e+01 -7.47176832e+01 1.37877749e+02
31 2.42456879e+01 -8.42567911e+01 -2.91759357e+01
32 -2.34719349e+01 -8.41071235e+01 8.62187829e+01
33 -1.05573857e+02 -1.11412573e+02 -7.60659047e+01
34 -1.27043454e+01 -5.09026747e+01 -1.43276965e+01
35 -6.98646430e+01 -8.26045424e+01 -6.37756172e+01
36 -2.45578486e+01 8.26899188e+01 -3.09935744e+01
37 -5.01009319e+01 -4.28269605e+01 -8.52248935e+01
38 -4.70931371e+01 8.56579468e+01 -1.65559552e+02
39 -4.35762571e+01 -9.67398742e+01 -7.93866226e+01
40 -7.85143301e+01 4.33238366e+01 -1.20133762e+02
41 -4.91763168e+01 -5.64030979e+01 -1.00051892e+02
42 -6.32846534e+01 6.40915795e+01 -8.32537144e+01
43 1.38410719e+02 4.44115864e+01 1.22080025e+02
44 -2.83530795e+01 2.19628044e+00 -6.84882280e+01
45 -5.74071554e+01 7.17270198e+01 -6.14179621e+00
46 2.67072229e+01 4.76303338e+01 -6.61051854e+01
47 -6.43637962e+01 -3.47330031e+01 -8.07210252e+01
48 -6.55149306e+01 -1.14084313e+02 -5.84209681e+01
49 -7.47126720e+01 -1.50577642e+02 -1.02067334e+02
50 -9.34395585e+01 5.43423818e+01 -5.39257009e+01
51 -5.13708489e+01 5.66435400e+01 1.22416507e+00
52 -4.18986920e+01 -1.16728794e+02 -3.76503037e+01
53 -7.61850671e+01 6.90637392e+01 9.39893320e+00
54 -1.65128889e+01 9.71267206e+01 3.16596053e+02
55 -9.10747728e+01 2.29049850e+01 -9.50674928e+01
56 -9.09088723e+01 -1.05471769e+02 -5.99926937e+01
57 -7.18084580e+01 -1.68451397e+01 -9.55878215e+01
58 -4.51514141e+01 -1.15577130e+02 -7.41628765e+01
59 -7.75994454e+01 -1.01739951e+02 -5.17612730e+01
60 -3.41184513e+01 -6.21948909e+01 -2.41300498e+01
61 -1.05158582e+02 5.84836055e+00 -8.82544107e+01
62 -4.49921596e+00 4.29977766e+00 -8.85139555e+01
63 -1.92105280e+00 -1.56955865e+02 -8.31089293e+01
64 -1.07508162e+02 3.33200646e+00 3.13539131e+01
65 -6.91233212e+01 8.35950572e+01 1.06573550e+01
66 -1.04868748e+02 3.22709193e+01 -4.31711685e+01
67 -7.45440845e+01 -8.17830368e+01 -6.60383616e+01
68 -3.38743103e+01 -1.12421873e+02 -8.68322920e+01
69 -7.35388555e+01 -7.84844089e+01 -6.48114252e+01
70 -2.72783582e+01 -1.44958554e+02 -6.28569713e+01
71 -2.92990767e+01 -1.05643616e+02 -5.60108618e+01
72 -5.54471494e+01 -8.56314998e+01 -8.40140928e+01
73 -3.94426303e+01 -1.26245029e+02 -4.74263249e+01
74 -8.58296682e+01 -1.96477803e+01 -4.40234962e+01
75 -5.05253975e+01 -1.10115582e+02 -7.73824120e+01
76 -6.93484060e+01 -2.07567411e+01 -1.28827998e+02
77 -4.36312106e+01 -9.40687650e+01 -9.72440010e+01
78 -6.54902414e+01 -8.77810443e+01 -5.62899881e+01
79 -9.55838103e+01 -1.19282091e+02 -9.23548978e+01
80 -6.19266238e+01 -1.14636531e+02 -6.36467665e+01
81 -3.71078027e+01 -1.11619069e+02 -8.75811022e+01
82 -4.31235465e+01 -9.80478883e+01 -8.39998357e+01
83 -5.70204126e+01 -8.74925214e+01 -7.68711880e+01
84 -5.08163154e+01 5.52060204e+01 -1.23154729e+02
85 -6.41494692e+01 -8.98197664e+01 -8.77360452e+01
86 -9.09200904e+01 -4.71451042e+01 5.51277860e+01
87 -6.95944591e+01 -1.09616060e+02 -7.67459641e+01
88 2.00066780e+01 -7.53750823e+01 1.36704794e+02
89 1.34859591e+02 -9.15844450e+01 7.22791121e+01
