ID X Y Z
0 -4.68967565e+01 -4.64770207e+01 -4.98690297e+01
1 -4.57273304e+01 7.54744622e+01 7.56883055e+01
2 -2.62181782e+01 5.50908432e+01 7.79156956e+01
3 8.87554260e+00 -1.05341522e+01 1.12233283e+02
4 -3.95860374e+00 -9.24472210e+01 -6.92153452e+00
5 -1.63034694e+01 -7.07509304e+01 -5.30907897e+01
6 7.73339840e+01 6.67377632e+01 1.13035322e+02
7 4.01179141e+01 -7.83082238e+01 -1.02241130e+02
8 -4.28882160e+01 -1.07725476e+02 -8.03594260e+01
9 -6.11245899e+01 -4.68104490e+01 -4.71322509e+01
10 -4.33617256e+01 -1.93883137e+01 -1.22008770e+02
11 -6.06293422e+01 7.75821565e+01 1.11850091e+01
12 -2.83609727e+01 3.54325529e+01 -1.31235479e+01
13 -2.45682479e+01 -4.53267970e+00 -8.23056425e+01
14 -5.09479090e+00 -1.55848079e+01 -3.16568962e+01
15 -8.07651110e+01 -2.76366734e+01 -3.19762973e+01
16 -6.22511059e+01 -8.04927072e+01 -5.97804386e+01
17 -8.75494132e+01 -7.06036892e+01 9.28542968e+00
18 2.26676197e+01 -1.96632271e+01 6.42036744e+01
19 -9.64275791e+01 -8.60555854e+01 8.84488512e+00
20 -4.96860256e+01 -3.07060735e+01 4.40753784e+01
21 -6.90148709e+01 9.05681918e+01 -6.89671171e+01
22 -2.09484078e+02 -3.22272556e+02 -2.29287393e+02
23 4.83651717e+01 9.45624116e+01 5.73397633e+01
24 -3.26225497e+01 4.79932257e+01 -3.28610694e+01
25 9.71388628e+00 -4.38656382e+01 -8.32125677e+01
26 -7.28420991e+01 -7.16783932e+01 -5.57605560e+01
27 -4.84870989e+01 2.80820853e+00 -8.77035702e+01
28 -1.22513363e+02 8.29638871e+01 2.00614178e+01
29 -6.27533523e+01 -3.87582151e+01 3.42447316e+01
30 3.14654421e+01 5.35300415e+01 -4.78790755e+01
31 2.06635816e+01 -6.75168714e+00 -1.16850846e+02
32 -8.57271479e+01 -8.92969421e+01 -8.04615621e+00
33 -2.26601966e+02 -3.44581473e+02 -1.42820341e+02
34 -4.61330444e+01 -1.10471111e+01 -1.18232611e+02
35 -6.52047170e+01 8.84236366e+01 8.11675496e+01
36 -3.51717869e+01 1.26419892e+02 1.16173510e+01
37 -1.68281663e+01 -4.41071439e+01 -7.01742593e+01
38 -2.30906257e+01 4.84534951e+00 1.23008867e+02
39 -2.11271382e+01 -7.19116676e+01 1.03185473e+02
40 -4.55054967e+01 2.48206920e+01 6.29058643e+01
41 -2.86941904e+01 -6.08545097e+01 -8.82784944e+01
42 -8.89044948e+00 2.86355493e+01 -1.46436011e+01
43 -4.74511077e+00 -1.55341599e+01 -7.10826482e+01
44 9.83562281e+01 2.05748581e+00 8.94253792e+01
45 -1.75321318e+01 -7.43595673e+01 8.30196635e+01
46 -2.73716720e+01 -5.93791910e+00 4.03886997e+01
47 -5.99199123e+01 2.73010365e+01 -2.41368026e+01
48 -4.46536927e+01 -3.96336485e+01 -9.30301601e+01
49 8.41775604e+00 -4.59168509e+01 -9.75869586e+01
50 -3.87134621e+01 -5.26562011e+00 2.44912417e+00
51 -4.18573766e+01 2.77697146e+01 3.83007691e+01
52 5.23651108e+00 -5.06811175e+01 -4.63750193e+01
53 -9.72632276e+01 3.66739569e+01 -2.40111714e+01
54 -2.21303448e+01 -5.92777969e+01 -4.68579951e+01
55 2.53643322e+01 -1.17078020e+02 4.05984084e+01
56 -5.01538335e+01 -1.05698216e+02 7.92494160e+01
57 -2.97032333e+01 -4.94516498e+01 -3.83453556e+01
58 -4.45325246e+01 -8.65360329e+00 -3.35044270e+01
59 -4.64939758e+01 1.10205055e+02 9.32251977e+01
60 9.65911200e+01 -1.62952434e+01 -1.43243098e+00
61 -3.41130594e+01 -8.78131780e+01 -2.19042088e+01
62 -6.01257474e+01 -5.21744518e+01 -1.17908935e+02
63 -3.68070628e+01 -1.24084213e+01 -8.25389847e+01
64 -2.15185738e+01 -7.63569781e+01 -7.34118383e+01
65 -3.84871293e+01 -6.25856128e+01 -1.41971617e+02
66 -2.26463953e+01 -2.66160173e+01 -6.90065025e+01
67 -5.19313432e+01 -4.06045964e+01 5.25777550e+01
68 -2.05711516e+01 1.31606590e-02 -7.84876354e+01
69 -1.31586544e+02 -1.25774678e+01 -2.93275238e+01
70 -9.98167856e+01 2.37801554e+01 6.47855690e+00
71 -9.16160557e+01 3.18217664e+01 -4.06259029e+00
72 -7.02426723e+01 -1.18947770e+02 1.88387460e+01
73 -9.74891011e+01 5.09625410e+00 -2.65168579e+01
74 -3.55583355e+01 2.96101470e+01 -2.86611846e+01
75 1.39557401e+02 3.11143212e+01 5.07877163e+01
76 -7.42547021e+01 5.23575793e+00 1.03106117e+02
77 -3.50024250e+01 1.77702744e+02 1.57381803e+02
78 4.24936045e+01 -1.84772647e+01 8.96173096e+01
79 -2.21512519e-01 -7.79507459e+01 -8.74973206e+01
80 -1.09777913e+02 6.30129555e+01 -3.64551270e+01
81 5.45752578e+01 8.15128278e+00 -3.74368340e+01
82 -4.66623844e+01 8.91242021e+01 -4.64668524e+00
83 4.52688754e+01 -3.57213355e+00 -7.11461376e+01
84 -6.42253744e+01 -4.18403913e+01 -8.55118796e+01
85 4.55568471e+00 6.71678728e+01 1.14489606e+01
86 -5.65577733e+01 4.81799159e+01 -8.79599783e+01
87 -1.15962775e+01 -2.31538200e+01 -3.58896397e+01
88 -1.28702443e+02 -3.07931931e+01 3.81521387e+01
89 -8.89675294e+01 2.35802188e+01 7.46600435e+00
90 -3.37505998e+01 6.61969931e+00 -8.44281804e+01
91 -9.45321201e+01 2.30178059e+01 6.48836182e+01
92 -1.50290504e+01 3.99056763e+01 -1.16941685e+02
93 -6.04177503e+00 5.83941917e+01 5.91062818e+01
94 3.66605705e+01 5.81374844e+01 3.80947991e+01
95 -1.28131876e+02 1.50437938e+00 -1.93796869e+01
96 5.93692426e+00 9.11386102e+00 -4.87185299e+01
97 -3.37202126e+01 1.35580058e+02 -2.74482048e+01
98 5.01823350e+01 9.30939829e+01 -2.78206291e+00
99 -3.68102208e+01 -1.58585990e+01 -1.10757051e+01
100 -3.46941137e+01 -1.76930400e+01 -1.49460886e+02
101 -3.64924261e+01 1.79716651e+01 2.95396060e+01
102 -9.81765037e+01 -4.90215036e+01 5.27728802e+01
103 -1.01138730e+01 1.75302955e+01 -4.58660935e+01
104 -1.13490760e+01 -1.01314393e+02 -1.58406674e+01
105 -7.92538467e+01 -9.08416931e+01 -7.85900098e+01
106 -1.05345876e+00 5.67317958e+01 5.49083610e+00
107 -8.63141035e+01 -3.91179945e+01 -1.12507552e+02
108 -9.22584495e+00 -3.15022616e+01 7.42774580e+01
109 4.96858607e+01 -3.00898735e+01 2.72267343e+01
110 5.33172587e+00 -1.32247472e+02 5.13504166e+01
111 -1.21710735e+02 3.72411928e+01 4.88145560e+01
112 6.12160221e+01 1.18526450e+02 -4.84678923e+01
113 -1.25590224e+01 -1.08946724e+02 -6.31019800e+01
114 -1.52545828e+02 -1.27666088e+01 -2.61407938e+01
115 -8.79786595e+01 2.53488972e+01 5.00822882e+01
116 -2.02989015e+01 9.24538458e+01 8.53968140e+01
117 4.54025438e+01 -3.88273337e+01 3.18427552e+00
118 -5.78769078e+01 -6.39116250e+01 -6.19374019e+01
119 -7.33034501e+01 2.09288493e+01 6.27908575e+01
120 -3.95243164e+01 2.05862888e+01 -1.98768368e+01
121 9.03348166e+01 9.02870665e+01 -6.86625763e+01
122 -9.46011301e+01 -1.11214965e+02 -4.50071773e+01
123 -4.32357333e+01 2.28253508e+01 3.08807060e+01
124 -8.94177565e+01 -4.54318211e+01 -3.63266391e+01
125 5.06299544e+01 5.20202386e+00 -5.99469518e+01
126 -9.25491705e+01 5.87450699e+01 -9.74565314e+01
127 3.50487197e+01 -9.42855737e+01 5.03128429e+01
128 1.85778479e+01 4.57646338e+01 -9.74132238e+01
129 -5.52745032e+01 2.16911847e+01 -1.56379214e+01
130 -7.06441841e+01 7.32108905e+01 8.28936354e+01
131 -2.47713356e+01 -3.34243470e+01 -4.71863550e+01
132 -3.35380363e+01 -1.32658005e+02 -5.64519754e+01
133 -7.37606766e+01 -6.64438629e+01 -4.81820079e+01
134 4.54622632e+01 -2.04208691e+01 -1.02794688e+02
135 -6.59471000e+00 4.59862024e+01 -8.22474941e+01
136 3.52139311e+01 -3.45826170e+01 1.50556487e+01
137 1.06304241e+01 6.17799025e+01 -4.81843758e+01
138 -6.09702664e+01 -7.17971363e+01 -7.75698934e+01
139 -9.29160935e+01 -1.08086615e+02 -4.57307802e+01
