ID X Y Z
0 -1.29185766e-01 -4.21888932e+01 -7.13503575e+01
1 1.19651025e+02 -1.52061548e+01 3.49602126e+01
2 -8.78777812e+01 -7.67633539e+01 -2.45543864e+01
3 -7.35588998e+01 1.97611998e+01 -2.21974906e+01
4 -2.07619548e+01 4.78742305e+00 8.65713435e+01
5 -1.14169697e+02 2.60666328e+01 -1.05325578e+02
6 -5.41125002e+01 4.39202164e+01 7.64003117e+01
7 -1.93331897e+01 -4.61227304e+01 6.30272636e+01
8 -6.02608264e+01 -8.38113107e+01 4.55693997e+01
9 -1.10969223e+02 -7.83381162e+01 3.00583911e+01
10 3.78609460e+01 6.48587336e+01 -6.45978172e+01
11 -6.48614545e+01 5.80176226e+01 -5.73793462e+00
12 -1.12239520e+01 -4.12935852e+01 6.24453772e+01
13 -3.86695457e+01 -4.24208473e+01 -1.30974088e+02
14 -8.89001581e+01 8.47982919e+01 3.44842723e+01
15 -4.73935217e+01 -3.14361060e+00 -1.20881739e+01
16 9.30027587e+01 4.28458974e+01 1.08593567e+02
17 2.70455697e+01 -1.06311132e+02 6.48638103e+01
18 1.20058144e+02 -4.18305826e+01 -7.22311406e+01
19 -3.88982773e+01 -2.13541239e+01 -3.18033161e+00
20 -7.58934572e+01 -3.29374021e+01 -4.85994829e+01
21 -5.03504500e+01 3.07861849e+01 2.11602073e+01
22 -9.52053801e+01 -9.06069580e+01 2.25324911e+01
23 -1.11176086e+01 -8.57128720e+00 1.02324168e+02
24 -1.23439710e+01 -4.88640693e+01 7.75776810e+00
25 -1.01484930e+01 -8.59801342e+00 -4.33157677e+01
26 -7.81060246e+01 8.15650509e+01 5.59954200e+01
27 1.09103142e+02 9.90506712e+00 3.47566880e+00
28 -4.60042637e+01 -3.30281866e+01 -8.36335267e+00
29 -4.66383879e+01 6.41022460e+01 -6.25185788e+01
30 9.32797086e+01 2.48756564e+01 -4.65075453e+01
31 8.16471073e+01 -2.16612004e+01 -3.56949692e+01
32 -4.49119499e+01 5.90493230e+01 -4.24715555e+00
33 -1.24021091e+01 -1.18621869e+01 -1.21906677e+01
34 6.51283463e+01 9.93306432e+01 -2.23045418e+01
35 9.41451471e+01 4.96786126e+01 -5.68967363e+01
36 -2.07808673e+01 -3.34126787e+01 6.99600225e+01
37 -1.06746698e+02 3.54480247e+01 3.62506588e+01
38 -3.43183924e+00 -1.18816859e+01 -1.08133150e+01
39 5.52544102e+01 -4.41374794e+01 -7.31717040e+01
40 -6.74817544e+00 -6.57806996e+00 -1.62219797e+01
41 -1.79018773e+01 6.60459479e+01 5.45423457e+01
42 -8.68984905e+00 4.79831471e+01 9.98385529e+01
43 4.73093858e+01 -6.88385304e+01 -9.31630076e+01
44 1.19432685e+01 -5.82821906e+01 1.62265241e+01
45 4.27427646e+01 -4.29643881e+01 8.32608882e+01
46 -3.82589786e+01 7.27288955e+00 -8.90207719e+00
47 -1.09977876e+02 9.94312174e+01 5.49200361e+00
48 -2.90175634e+01 -4.55286328e+01 1.17128897e+01
49 -8.52740344e+01 -5.91193512e+01 6.40544274e+01
50 -2.19362473e+01 1.02886314e+01 7.11538245e+01
51 6.72935167e+01 9.58175628e+01 6.17144403e+00
52 -5.31388779e+01 -8.93440128e+01 -1.09084287e+02
53 -2.90926552e+00 4.83275191e+01 -3.74117498e+01
54 -1.04146742e+01 6.49443815e+01 -3.01767865e+01
55 6.98599829e+00 -7.00255659e+01 -9.68542530e+01
56 -4.31829393e+01 9.21461409e+00 1.04206333e+02
57 -4.51035212e+01 -1.80210528e+01 -2.29454875e+01
58 -2.33488585e+01 -8.19144684e+01 -4.28220986e+00
59 -2.28503625e+01 -8.08864073e+01 -4.52971226e+01
60 -1.46738489e+01 8.30934510e+01 6.07580280e+01
61 5.71951526e+00 4.14644424e+01 1.03106090e+01
62 4.04052048e+01 1.20850928e+01 -5.18426780e+01
63 3.15022542e+00 1.04634120e+01 -2.99078077e+01
64 3.17618438e+01 -3.98044745e+01 1.71106195e+01
65 -3.85642400e+01 3.54020835e+01 -3.05433213e+01
66 7.96014633e+00 -3.35319954e+01 -6.88533662e+01
67 -3.72415559e+01 -2.28801495e+01 -8.36253921e+01
68 6.13092617e+01 1.94973693e+01 -3.92388379e+01
69 -3.49256651e+01 -4.88923804e+01 -2.50969964e+01
70 -7.73305327e+00 -2.26000579e+01 6.03873635e+01
71 -1.22073219e+01 -4.67322701e+01 -3.01620294e+01
72 -7.97277871e+00 6.76409849e+01 -4.19941025e+01
73 8.28329265e+01 -1.89314706e+00 -8.55536262e+01
74 -6.28229426e+01 -3.42859739e+01 -8.42636529e+01
75 -4.61592889e+01 1.55140033e+01 1.81431115e+01
76 1.02696662e+02 -3.64514833e+01 7.80617470e+01
77 -4.39143118e+01 6.51813578e+01 -3.71014008e+01
78 6.03126718e+01 7.40165102e+01 5.64591756e+01
79 2.08589810e+01 4.14251865e+01 2.50542715e+01
80 7.00796543e+01 -1.05573272e+02 3.94898319e+01
81 1.91682306e+01 -3.62530370e+01 2.43772100e+01
82 2.03269933e+01 6.36352871e+01 -2.81859692e+01
83 5.72437587e+01 -8.12707784e+01 3.65738295e+01
84 1.12539780e+02 3.93550625e+01 -6.51771509e+01
85 -3.87565593e+01 -4.39645496e+01 -9.34577693e+01
86 -7.99166134e+01 -2.58602956e+01 -4.70636957e+01
87 -1.59013067e+01 -7.29013856e+01 -1.03713020e+01
88 -6.90028107e+01 2.64471733e+01 2.31722289e+01
89 -1.30695824e+02 1.41191451e+01 2.14167530e+01
90 1.12431161e+02 -2.22184719e+01 1.76200340e-01
91 4.90607524e+01 -6.94071591e+01 -6.30011976e+01
92 -2.06741590e-01 -1.60930941e+02 1.68909753e+01
93 7.49594287e+01 -3.82566337e+01 6.77905804e+01
94 -2.43803531e+01 -6.51201691e+01 2.52889258e+01
95 -8.92609155e+01 2.27411325e+01 -9.21308179e+01
96 -7.06146162e+01 -2.13876591e+00 -1.04878131e+02
97 -7.57116923e+01 -8.66467482e+00 -1.10093022e+02
98 9.32084709e+01 2.48411009e+01 -4.65001348e+01
99 -6.51389894e+01 -1.08900287e+02 1.13115873e+01
100 -5.43079890e+01 -8.70240973e+01 -7.54188141e+01
101 -5.53735270e+01 -8.73949024e+01 -7.28027477e+01
102 4.57278810e+01 -1.40959295e+01 4.95110696e+00
103 -2.35870074e+01 2.61068167e+00 8.63179767e+01
104 -3.64960686e+00 1.63845730e+01 -1.59015764e+01
105 1.16593429e+02 -1.30910194e+02 -1.60168605e+02
106 1.23378827e+01 2.65955737e+01 -1.22397510e+01
107 1.16560502e+01 2.13991824e+01 3.14905134e+01
108 6.91407044e+01 6.65254878e+01 2.06690943e+01
109 -8.01107928e-02 4.38401224e+01 -4.41039198e+01
110 -3.66643456e+01 -1.00884344e+01 3.44760430e+01
111 4.35063028e+01 -8.16640800e+01 5.78462323e+01
112 7.33576191e+01 -9.37854845e+01 -9.12121202e+01
113 -4.70442316e+01 -6.81505784e+01 -6.00499683e+00
