ID X Y Z
0 -1.64001038e+01 -9.80028056e+01 8.07300058e+01
1 -3.27341600e+01 -7.56495140e+01 -4.50885946e+01
2 -3.64796794e+01 1.26958690e+01 7.53215230e+00
3 -4.43240861e+00 -4.75515700e+01 1.01475391e+01
4 -6.69866533e+00 -1.98432576e+00 -5.20253823e+00
5 8.27903108e+00 -2.37487663e+01 -2.70846947e+01
6 -4.77848069e+01 -3.06763832e+01 -1.51671020e+01
7 1.16049109e+01 -1.27206544e+02 1.27775288e+01
8 -4.43929420e+01 -1.93544556e+01 1.08335111e+01
9 -1.38484032e+01 -1.58649114e+01 -7.42910112e+01
10 -6.10537331e+01 -1.11087517e+02 -4.66501766e+01
11 -2.08646112e+00 -3.23561708e+01 1.29314566e+01
12 1.14504359e+01 -5.06539465e+01 1.21477490e+02
13 7.87871963e+01 -9.33698988e+00 1.19231847e+02
14 5.12871608e+01 4.08857124e+01 -4.16929282e+01
15 -4.13948508e+01 -3.48270934e+00 -2.69453450e+01
16 -6.47710766e+01 -2.82992900e+01 4.67432692e+01
17 -2.22544150e+01 -1.09483810e+02 -7.75896912e+00
18 -3.61098492e+01 -6.51616087e+00 5.20479475e+00
19 -4.93583510e+01 -6.08187507e+01 -3.72385654e+00
20 -4.51134980e+01 1.94123413e+01 -1.48539546e+01
21 -1.06539450e+02 -6.55886342e+01 6.57354065e+01
22 1.30920049e+02 1.78739036e+02 -4.35684976e+01
23 -6.33158586e+01 5.92625590e+01 8.85299093e+01
24 -7.52549991e+01 8.73167781e+01 1.73505044e+01
25 -1.11254971e+02 -4.58742443e+01 -5.68520112e+01
26 7.49451863e+00 7.39151226e+01 1.09561132e+02
27 -2.14494629e+01 1.52878517e+01 5.00948108e+01
28 -3.69314033e+01 1.10303589e+02 3.87743500e+01
29 -9.94089709e+00 -5.90706518e+01 1.03914949e+01
30 -4.43199104e+01 3.93786741e+01 -4.16225588e+01
31 -5.37976601e+01 -1.86233169e+01 -2.36520491e+01
32 -2.64607059e+01 3.68444394e+00 -1.04351002e+01
33 -4.34092190e+01 -1.44577932e+01 -2.94828558e+00
34 -8.46733557e+01 4.13727407e+01 1.23684754e+01
35 1.82212366e+01 3.02774953e+01 2.17227664e+01
36 -2.65660736e+01 1.47179477e+00 1.67890417e+01
37 9.57629027e+01 -4.80109299e+01 3.44096059e+01
38 -3.13202974e+01 -1.86588986e+01 -1.08901061e+01
39 4.95930712e+01 -8.68770389e+00 2.43877152e+01
40 -2.77042561e+01 2.53367022e+01 1.58519048e+01
41 5.41068144e+01 5.16233415e+01 1.59996781e+01
42 1.14947287e+02 -5.38863375e+01 -7.62775619e+01
43 4.08447974e+01 2.23847510e+01 -4.46215681e+01
44 -5.80785757e+01 2.29086774e+01 -9.40277641e+01
45 4.89865922e+01 3.79402577e+01 -1.31733788e+02
46 -7.09791870e+01 -5.99035729e+01 -3.24345539e+01
47 -4.31107037e+00 1.56531251e+01 1.23724849e+01
48 6.41352163e-01 4.73773518e-01 4.29637369e+00
49 1.16599489e+02 -2.85275588e+01 2.32057599e+00
50 -6.85503029e+01 6.08225201e+01 7.50421217e+01
51 2.78778606e+01 -4.80372053e+01 1.54640419e+01
52 -3.36502164e+01 2.12723214e+01 -3.50857716e+01
53 -1.60598466e+01 -9.82231802e+01 8.45957518e+01
54 -2.17227963e+01 2.29496043e+01 -1.07586199e+01
