ID X Y Z
0 -8.10734299e+00 -6.05041864e+00 8.70819660e+00
1 -4.14853565e+00 6.34637619e+00 1.26797934e+01
2 -9.27196284e+00 -1.02344363e+01 -1.48101632e+01
3 2.45482573e+01 -3.39433371e+01 -2.43140393e+01
4 1.50872246e+01 1.31723960e+00 2.09385990e+01
5 -1.37393136e+01 -1.18523064e+01 -1.23505669e+01
6 3.93647784e+01 6.97836484e+01 -6.90448985e+01
7 -1.48961335e+01 9.32169084e+01 7.15850776e+01
8 1.76383363e+01 4.29064253e-01 1.98319694e+01
9 2.99463513e+01 -2.84822037e+01 3.53811437e+00
10 -1.49735925e+01 -7.16622520e-01 9.98214762e+00
11 -2.39440184e+01 -6.25176040e+01 -4.07236601e+01
12 4.39650855e+00 -2.62238813e+00 1.02627807e+01
13 1.21044089e+00 1.02395674e+00 -1.46226759e+00
14 1.16866450e+01 -1.14304661e+01 4.11413117e+00
15 -1.44711669e+01 -3.02223635e-01 -2.42683131e+00
16 -2.95696103e+00 -9.08558140e+00 1.96525865e+01
17 -4.14170001e+00 -1.37231452e+01 8.88605723e-01
18 -1.62448930e+01 -1.94893859e+00 5.84605650e+00
19 1.07782125e+01 7.61570635e+00 1.94991056e+00
20 -1.60436252e+01 -3.74216900e+00 1.20088441e+00
21 -1.37078901e+01 -2.19704662e+01 2.30235158e+01
22 -9.86617416e+00 -1.37447268e+01 3.89970325e+00
23 -1.13089992e+01 2.15500522e+01 2.29426371e+01
24 -2.27239469e+01 -2.14136797e+01 5.43082112e+01
25 1.48269781e+01 1.34442283e+01 1.51019320e+01
26 4.01614967e+00 4.70141911e+00 5.97571658e+00
27 -4.77808461e+01 -4.55824029e+01 -8.81332455e+01
28 -1.79474777e+01 -4.15112340e+00 -5.71518370e+00
29 1.24766923e+01 -2.01187879e+01 7.91672738e+01
30 -9.75362706e+00 -6.38419670e+00 6.60131684e+00
31 -2.51314416e+00 -1.73245594e+00 -6.45228769e+00
32 2.59478075e+01 7.73332964e+01 4.50946008e+01
33 5.39206436e+01 -2.62010065e+01 1.17278254e+01
34 -8.42595293e+00 -8.60374599e+00 1.27062729e+01
35 9.74761155e+00 -5.64944126e+00 1.98417453e+01
36 3.74917471e+01 -5.52920305e+01 2.18286963e+01
37 -1.54935479e+01 3.46784889e+01 -9.89132798e+00
38 -4.13763960e+00 -2.41081101e+00 5.59723672e+00
39 -4.03767118e+00 1.44660939e+01 6.64566994e+00
40 6.31863541e+00 3.85976843e+00 1.24110047e+01
41 1.89141378e+01 -8.01461473e+00 -7.27626695e+00
42 -2.41919257e+00 -2.29768614e+01 2.02373142e+01
43 -2.50110192e+00 -6.08229279e+00 8.96730779e+00
44 -4.62139919e+01 2.05510351e+01 5.45164365e+00
45 7.43462213e+00 1.07788711e+01 1.91299017e+01
46 -8.50517181e-01 -2.00757181e+01 5.90901083e+00
47 -1.83969818e+01 -1.08639290e+01 2.23610337e+00
48 -7.24133438e+00 -1.39684966e+01 2.24869280e+01
49 -1.72729942e+01 5.02971484e+00 8.32789280e+00
50 -3.12910699e+00 -6.61827407e+00 1.43005094e+01
51 6.58471436e+00 1.35819686e+01 3.00814137e+00
52 8.95611724e+00 1.72469614e+01 6.38875118e+00
53 -1.30492543e+01 -8.35262928e+00 5.29489074e+00
54 -9.73775771e+00 -1.88201591e+01 1.20799515e+01
55 1.38969793e+01 -1.15508031e+01 1.02295884e+01
56 -4.96955465e+00 1.83475004e+00 4.62599383e+00
57 -1.22652229e+01 1.74915328e+01 1.17382059e+01
58 -1.08825662e+01 5.99025510e-01 1.19743814e+01
59 3.01631949e+01 -2.85676987e+01 3.46074506e+00
60 -4.07907588e+00 3.90046961e+01 -2.32916684e+01
61 -4.82634142e+01 -4.79679038e+01 7.91461446e+01
62 -1.28925555e+01 1.13972198e+01 6.84198386e+00
63 -5.63723914e+00 3.54502615e+00 -3.25489827e+00
64 -3.38076016e+00 8.61205059e+00 -7.89402681e+01
65 -1.18152200e+01 1.44509562e+01 1.33008232e+01
66 1.91429944e+00 -3.80169378e+01 1.62703245e+01
67 4.69467841e+01 5.65698400e+00 -6.76031916e+00
68 -4.63739559e+00 5.43533107e+00 1.14167389e+01
69 -2.54533220e+01 2.95139333e+01 -1.57959519e+01
70 -2.16178604e+00 -7.76015454e+00 -2.99741493e+00
71 -3.72160210e+01 4.28712970e+01 6.54077890e+01
72 -5.09601753e+00 6.20042785e+00 2.89014779e+00
73 -5.45236555e+00 1.46095172e+01 -1.31386958e+01
74 -4.24247096e+00 -7.72004227e+00 -1.11503615e+01
75 1.76818907e+01 -5.50990398e+01 2.66982155e+01
76 -6.04157383e+00 -6.36272769e-01 -1.37675920e+00
77 -1.58155691e+00 5.57472384e+00 -1.12261661e+01
78 -4.26396460e+01 -3.25521829e+01 5.93777045e+01
79 -5.72165140e+00 3.72073546e+00 2.49113163e+01
80 -1.19813511e+01 -2.49829687e+01 -1.32154027e+01
81 5.26391644e+00 -1.77317868e+00 -6.80399640e+00
82 -1.10532024e+01 -9.34838929e+00 -1.87960752e+01
83 3.00794733e+01 -8.58454893e+00 1.19555844e+01
84 -1.31856499e+01 5.08425548e+00 -9.54921902e-01
85 -1.73936834e+01 5.27362202e+00 8.19059160e+00
86 -1.20030297e+01 -3.10258274e+00 4.13286591e+00
87 -9.38295700e+00 -2.48368988e+00 1.96583698e+01
88 -3.29336930e+02 -3.58103061e+02 -1.41734580e+02
89 -8.71122358e+00 -1.53333709e+01 9.98633277e+00
90 -9.02421067e+00 -4.51138583e+01 -4.36466633e+01
91 -8.66884928e+00 -5.49433041e+00 -8.68746509e+00
92 -9.63646880e+00 1.59404613e+01 8.33206959e+00
93 -5.88282168e+00 -1.94541255e+01 8.30144548e+00
94 -9.41342454e+00 -1.29844530e+01 5.71568485e+00
95 -4.44216754e+00 -1.74323345e+01 5.05235420e+00
96 1.17903177e+01 6.64850008e+00 -1.22247043e+01
97 1.13382589e+01 -2.31695431e+00 1.89875331e+01
98 -4.57473109e+00 -2.19897855e+01 8.18741507e+00
99 -7.18887060e+00 2.39460216e+01 1.43562125e+01
100 1.14084402e+02 5.38868626e+01 9.51218964e+01
101 -8.36261721e+00 -7.17473230e+00 -1.17786503e+01
102 -8.74461639e+00 1.77437680e+00 -9.60893637e-01
103 -2.20643289e+01 6.98339123e+00 -9.35542520e+00
104 -1.09522286e+00 -1.69278488e+01 7.85977397e+00
105 -1.41768844e+01 -1.39066538e+01 1.02686990e+01
106 9.74681526e-01 -2.26139174e+01 1.09872587e+00
107 -1.65260909e+01 -5.60358374e+00 7.00024663e-01
108 1.29131645e+01 1.41588869e+01 -7.66577840e+00
109 -1.64790004e+01 -1.80755379e+00 1.58047328e+01
