id;hip;hd;hr;gl;bf;proper;ra;dec;dist;pmra;pmdec;rv;mag;absmag;spect;ci;x;y;z;vx;vy;vz;rarad;decrad;pmrarad;pmdecrad;bayer;flam;con;comp;comp_primary;base;lum;var;var_min;var_max;greek_letters;spect_desig;color;linecolor
25;25;224750;9077;;;;0.0053;-44.290561;81.367;58.36;-108.64;3;6.28;1.728;;0.763;58.243094;0.080879;-56.818381;-2.78E-05;2.30E-05;-3.28E-05;0.001387661;-0.773016124;2.83E-07;-5.27E-07;;;Phe;1;25;;17.73372625;;;;;G;#FFD423;#FFD423
34;34;224758;9078;;;;0.006638;26.918108;74.6269;42.2;-53.47;0;6.43;2.066;;0.514;66.54131;0.115654;33.784832;8.73E-06;1.53E-05;-1.73E-05;0.001737862;0.469809617;2.05E-07;-2.59E-07;;;Peg;1;34;;12.98972629;;;;;F;#d4bf94;#d4bf94
43;43;224784;9079;;;;0.008593;59.559679;136.2398;-80.6;-24.07;-33;6.18;0.508;;1.032;69.024292;0.155048;117.45989;-3.27E-06;-5.32E-05;-3.72E-05;0.002249608;1.039512505;-3.91E-07;-1.17E-07;;;Cas;1;43;;54.55065882;;;;;G;#FFD423;#FFD423
50;50;224782;;;;;0.009533;-53.097713;59.4177;52.98;-20.52;0;6.49;2.62;;0.616;35.677374;0.089097;-47.513999;-4.76E-06;1.53E-05;-3.55E-06;0.002495807;-0.926729909;2.57E-07;-9.95E-08;;;Phe;1;50;;7.798301105;;;;;G;#FFD423;#FFD423
63;63;224801;9080;;;;0.012119;45.253334;187.9699;17.38;0.22;-3;6.36;-0.01;;-0.047;132.325125;0.419892;133.501154;-2.35E-06;1.58E-05;-2.04E-06;0.003172863;0.789819667;8.43E-08;1.07E-09;;;And;1;63;;87.90225168;;6.382;6.322;;B;#93C2F1;#93C2F1
88;88;224834;9081;;;;0.017941;-48.809876;181.8182;-17.92;-6.75;8;5.71;-0.588;;0.911;119.736878;0.562356;-136.823418;9.90E-07;-1.58E-05;-1.01E-05;0.00469696;-0.851893035;-8.69E-08;-3.27E-08;Tau;;Phe;1;88;;149.6924857;;;;;G;#FFD423;#FFD423
106;106;224870;9083;;;;0.022013;49.981558;199.6008;13.29;-11.19;-20;6.22;-0.281;;0.97;128.347884;0.73972;152.861641;-4.93E-06;1.28E-05;-2.26E-05;0.005763022;0.872342747;6.44E-08;-5.43E-08;;;Cas;1;106;;112.8236122;;;;;G;#FFD423;#FFD423
107;107;224865;9082;;;;0.022255;-50.337373;166.3894;7.34;10.59;2;5.53;-0.576;;1.615;106.198875;0.618768;-128.089244;7.85E-06;5.97E-06;3.88E-06;0.005826258;-0.8785529;3.56E-08;5.13E-08;;;Phe;1;107;;148.0471325;;;;;M;#FF2620;#FF2620
122;122;224889;9084;;;;0.026616;-77.065724;66.5779;-56.52;-176.95;24;4.78;0.663;;1.254;14.902031;0.103716;-64.888859;-5.00E-05;-1.86E-05;-3.67E-05;0.006968083;-1.34505063;-2.74E-07;-8.58E-07;The;;Oct;1;122;;47.29334149;;;;;K;#F99220;#F99220
124;124;224893;9085;;;;0.026949;61.222801;943.3962;-2.8;-1.34;-23;5.58;-4.293;;0.407;454.144163;3.204116;826.885007;-5.86E-06;-1.29E-05;-2.36E-05;0.007055293;1.068539449;-1.36E-08;-6.50E-09;;;Cas;1;124;;4541.507126;;;;;F;#d4bf94;#d4bf94
128;128;224890;;;;;0.027597;73.611846;70.7714;75.54;-12.36;-8;6.5;2.251;;0.182;19.96712;0.144423;67.896054;1.57E-06;2.59E-05;-9.05E-06;0.007224759;1.28476909;3.66E-07;-5.99E-08;;;Cep;1;128;;10.95468767;;;;;A;#f3e8d3;#f3e8d3
137;137;224906;9086;;;;0.028847;42.367144;374.5318;5.11;-1.77;-11;6.25;-1.617;;-0.042;276.711822;2.089808;252.388978;-6.22E-06;9.23E-06;-9.96E-06;0.007552069;0.739446155;2.48E-08;-8.58E-09;;;And;1;137;;386.1890894;;;;;B;#93C2F1;#93C2F1
145;145;224926;9087;;;;0.030402;-3.027504;139.2758;18.9;-10.25;23;5.13;-0.589;;-0.128;139.077212;1.106982;-7.355907;2.30E-05;1.29E-05;-8.15E-06;0.007959312;-0.052839909;9.16E-08;-4.97E-08;;29;Psc;1;145;;149.8304211;;;;;B;#93C2F1;#93C2F1
154;154;224935;9089;;;;0.032672;-6.014072;132.4503;46.62;-41.32;-12;4.37;-1.24;;1.631;131.716394;1.126662;-13.877167;-1.52E-05;2.98E-05;-2.51E-05;0.008553479;-0.104965359;2.26E-07;-2.00E-07;;30;Psc;1;154;;272.8977783;;4.418;4.308;;M;#FF2620;#FF2620
171;171;224930;9088;;;;0.036139;27.082256;12.1699;778.59;-918.72;-37.6;5.8;5.374;;0.69;10.834733;0.102555;5.540428;-9.99E-06;4.58E-05;-6.58E-05;0.009461082;0.472674536;3.77E-06;-4.45E-06;;85;Peg;1;171;;0.617163168;;;;;G;#FFD423;#FFD423
183;183;224990;9091;;;;0.038867;-29.720414;154.0832;9.66;14;8.6;5.04;-0.899;;-0.15;133.807455;1.36158;-76.389577;1.28E-05;7.35E-06;4.72E-06;0.010175253;-0.518719079;4.68E-08;6.79E-08;Zet;;Scl;1;183;;199.3425456;;;;;B;#93C2F1;#93C2F1
186;186;224995;9092;;;;0.040046;8.956824;122.8501;-0.87;-4.11;11;6.33;0.883;;0.182;121.345487;1.272247;19.126563;1.15E-05;-4.00E-07;-6.70E-07;0.010484117;0.156326062;-4.22E-09;-1.99E-08;;31;Psc;1;186;;38.61890894;;;;;A;#f3e8d3;#f3e8d3
194;194;225003;9093;;;;0.041584;8.485463;36.9004;-93.55;-47.5;10;5.7;2.865;;0.315;36.494389;0.397318;5.44498;1.16E-05;-1.66E-05;-6.89E-06;0.010886699;0.148099269;-4.54E-07;-2.30E-07;;32;Psc;1;194;;6.223002852;;;;;F;#d4bf94;#d4bf94
208;207;225009;9094;;;;0.043357;66.098966;10000;3.32;1.14;-18;5.87;-14.13;;1.073;40513.19831;459.88359;91424.66428;-0.00053094;0.00160352;0.00020708;0.011350757;1.15364459;1.61E-08;5.53E-09;;;Cas;1;208;;39084089.58;;6.002;5.812;;G;#FFD423;#FFD423
238;238;225045;9095;;;;0.049301;-20.045882;61.1621;100.38;78.95;-4;6.25;2.318;;0.526;57.451984;0.741591;-20.964675;3.80E-06;2.98E-05;2.34E-05;0.012907025;-0.349866644;4.87E-07;3.83E-07;;;Cet;1;238;;10.29911719;;;;;F;#d4bf94;#d4bf94
253;253;225069;9096;;;;0.052181;-24.145145;203.666;59.32;-3.14;25;6.46;-0.085;;1.176;185.830563;2.53883;-83.309585;2.13E-05;5.89E-05;-1.33E-05;0.01366098;-0.421412286;2.88E-07;-1.52E-08;;;Cet;1;253;;94.18895965;;;;;K;#F99220;#F99220
274;274;225094;9097;;;;0.057143;63.64052;763.3588;-3.27;-1.83;-43;6.24;-3.174;;0.332;338.894446;5.070187;683.988975;-1.33E-05;-1.23E-05;-4.24E-05;0.01496002;1.110736607;-1.59E-08;-8.87E-09;;;Cas;1;274;;1620.317043;;6.288;6.208;;B;#93C2F1;#93C2F1
300;301;225132;9098;;;;0.06233;-17.335988;83.4725;28.57;-7.28;-5;4.55;-0.058;;-0.047;79.670013;1.300177;-24.872663;-5.95E-06;1.15E-05;-1.29E-06;0.016318028;-0.302570064;1.39E-07;-3.53E-08;;2;Cet;1;300;;91.87556017;;;;;B;#93C2F1;#93C2F1
302;302;225136;9099;;;;0.064342;66.712183;265.9574;7.86;-8.15;15;6.31;-0.814;;1.629;105.131447;1.771134;244.290098;1.55E-05;1.04E-05;9.94E-06;0.016844749;1.164347241;3.81E-08;-3.95E-08;;;Cep;1;302;;184.331688;;6.356;6.256;;M;#FF2620;#FF2620
330;330;225180;9100;;;;0.070462;62.287664;5000;-0.99;-0.37;-18;5.9;-14.1;;0.274;46495.3549;857.790357;88529.35184;0.00015906;-0.00047707;-9.97E-05;0.018446903;1.087124813;-4.80E-09;-1.79E-09;;9;Cas;1;330;;38018939.63;;;;;A;#f3e8d3;#f3e8d3
343;343;225197;9101;;;;0.072165;-16.529036;90.6618;53.77;-60.27;-27;5.78;0.993;;1.084;86.89952;1.641967;-25.793323;-3.45E-05;2.30E-05;-1.75E-05;0.018892656;-0.288486103;2.61E-07;-2.92E-07;;;Cet;1;343;;34.89795674;;;;;K;#F99220;#F99220
345;345;225200;9102;;;;0.07231;-29.268822;124.8439;29.15;3.44;28;6.38;0.898;;0.006;108.886464;2.061556;-61.037283;2.57E-05;1.81E-05;-1.22E-05;0.018930633;-0.510837306;1.41E-07;1.67E-08;;;Scl;1;345;;38.08903765;;;;;A;#f3e8d3;#f3e8d3
355;355;225212;9103;;;;0.075033;-10.509523;641.0256;-6.49;-11.88;-42;4.99;-4.044;;1.619;630.150175;12.379991;-116.922329;-4.86E-05;-2.11E-05;-2.85E-05;0.019643575;-0.183425784;-3.15E-08;-5.76E-08;;3;Cet;1;355;;3610.771451;;;;;K;#F99220;#F99220
366;365;225218;9105;;;;0.07683;42.09253;386.1004;-11.94;-12.73;-8;6.11;-1.824;;0.159;286.452905;5.762477;258.814588;1.04E-05;-2.21E-05;-2.32E-05;0.020114128;0.734653247;-5.79E-08;-6.17E-08;;;And;1;366;;467.3045396;;;;;B;#93C2F1;#93C2F1
377;377;225253;9108;;;;0.078131;-71.436891;175.4386;30;-13.62;-3;5.59;-0.631;;-0.1;55.839008;1.142475;-166.311133;-1.25E-05;2.53E-05;-7.80E-07;0.020454583;-1.246808962;1.45E-07;-6.60E-08;;;Tuc;1;377;;155.7399389;;;;;B;#93C2F1;#93C2F1
379;379;225216;9104;;;;0.078304;67.166445;92.6784;95.58;23.8;-27;5.68;0.845;;1.051;35.956698;0.73744;85.415532;-2.15E-05;4.25E-05;-2.13E-05;0.020499855;1.172275619;4.63E-07;1.15E-07;;;Cep;1;379;;39.99447498;;;;;K;#F99220;#F99220
394;394;225239;9107;;;;0.081573;34.659797;39.185;769.11;100.49;6.4;6.09;3.124;;0.632;32.224052;0.688502;22.28464;-8.59E-06;0.00014595;1.94E-05;0.021355799;0.604927572;3.73E-06;4.87E-07;;;And;1;394;;4.902301301;;;;;G;#FFD423;#FFD423
399;399;225276;9109;;;;0.08222;26.648764;200;112.32;-14.52;-5;6.25;-0.255;;1.368;178.713114;3.84753;89.703967;-6.00E-07;0.00010891;-1.49E-05;0.021525195;0.465108677;5.45E-07;-7.04E-08;;;Peg;1;399;;110.153931;;;;;K;#F99220;#F99220
410;410;225292;;;;;0.083662;27.674784;168.0672;83.36;-6.57;11.5;6.47;0.343;;0.946;148.804386;3.259799;78.059251;1.14E-05;6.82E-05;7.20E-07;0.021902641;0.483016096;4.04E-07;-3.19E-08;;;Peg;1;410;;63.50384185;;;;;G;#FFD423;#FFD423
417;417;6;2;;;;0.084395;-0.503035;138.8889;44.86;-53.47;14;6.32;0.607;;1.099;138.849775;3.068332;-1.219378;1.33E-05;3.05E-05;-3.61E-05;0.022094614;-0.008779625;2.17E-07;-2.59E-07;;;Psc;1;417;;49.79663542;;;;;G;#FFD423;#FFD423
418;418;225289;9110;;;;0.085039;61.31397;221.7295;14.29;2.24;14;5.8;-0.929;;-0.067;106.405975;2.369398;194.515247;4.42E-06;1.55E-05;1.37E-05;0.022263193;1.070130654;6.93E-08;1.09E-08;;;Cas;1;418;;204.9273858;;5.809;5.789;;B;#93C2F1;#93C2F1
441;443;28;3;;;;0.088928;-5.707618;39.4945;-8.29;88.19;-6;4.61;1.627;;1.029;39.287997;0.914841;-3.927804;-4.39E-06;-1.69E-06;1.74E-05;0.023281305;-0.09961673;-4.02E-08;4.28E-07;;33;Psc;1;441;;19.46256159;;4.62;4.6;;K;#F99220;#F99220
475;476;87;4;;;;0.094989;13.396266;114.2857;42.59;-6.51;-2;5.55;0.26;;0.901;111.141705;2.764456;26.478222;-1.74E-06;2.36E-05;-3.98E-06;0.024868075;0.233808956;2.06E-07;-3.16E-08;;86;Peg;1;475;;68.54882265;;;;;G;#FFD423;#FFD423
517;518;123;5;;;;0.104356;58.436733;21.4777;247.36;17.77;-11.6;5.98;4.32;;0.687;11.23803;0.307211;18.300258;-8.49E-06;2.55E-05;-9.14E-06;0.027320425;1.019913391;1.20E-06;8.62E-08;;;Cas;1;517;;1.629296033;;5.994;5.964;;G;#FFD423;#FFD423
521;522;142;6;;;;0.105277;-49.075191;25.7136;575.21;-39.94;2.6;5.7;3.649;;0.519;16.837769;0.46441;-19.42844;-3.99E-06;7.16E-05;-5.27E-06;0.027561565;-0.856523664;2.79E-06;-1.94E-07;;;Phe;1;521;;3.02273448;;;;;G;#FFD423;#FFD423
530;531;144;7;;;;0.10737;64.196168;265.9574;9.7;0.01;-0.4;5.57;-1.554;;-0.023;115.723206;3.253833;239.438695;-5.40E-07;1.25E-05;-3.60E-07;0.028109436;1.120434507;4.70E-08;4.85E-11;;10;Cas;1;530;;364.4181508;;;;;B;#93C2F1;#93C2F1
543;544;166;8;;;;0.110209;29.021502;13.6705;379.94;-178.34;-5.5;6.07;5.391;;0.752;11.948982;0.344882;6.632053;9.00E-08;2.52E-05;-1.31E-05;0.028852629;0.506520758;1.84E-06;-8.65E-07;;;And;1;543;;0.607575146;;6.091;6.051;;K;#F99220;#F99220
559;560;203;9;;;;0.113911;-23.10754;39.3856;97.3;-47.09;3;6.19;3.213;;0.386;36.209605;1.080174;-15.457211;-1.26E-06;1.86E-05;-9.47E-06;0.029821952;-0.403302652;4.72E-07;-2.28E-07;;;Cet;1;559;;4.516479049;;;;;F;#d4bf94;#d4bf94
