1,Andromeda,Андромеда,And,0.567,39.25,722
2,Antlia,Насос,Ant,10.117,-33.35,239
3,Apus,Райская Птица,Aps,16.133,-76.583,206
4,Aquarius,Водолей,Aqr,22.7,-10.467,980
5,Aquila,Орёл,Aql,19.683,3.367,652
6,Ara,Жертвенник,Ara,17.233,-51.117,237
7,Aries,Овен,Ari,2.683,22.567,441
8,Auriga,Возничий,Aur,5.95,42.817,857
9,Bootes,Волопас,Boo,14.683,32.333,907
10,Caelum,Резец,Cae,4.717,-38.167,125
11,Camelopardalis,Жираф,Cam,6.15,71.967,757
12,Cancer,Рак,Cnc,8.667,22,506
13,Canes Venatici,Гончие Псы,CVn,13.017,42.35,465
14,Canis Major,Большой Пёс,CMa,6.833,-22.317,380
15,Canis Minor,Малый Пёс,CMi,7.617,6.767,183
16,Capricornus,Козерог,Cap,21.05,-19.35,414
17,Carina,Киль,Car,8.833,-60.5,494
18,Cassiopeia,Кассиопея,Cas,0.867,60.3,598
19,Centaurus,Центавр,Cen,12.95,-44,1060
20,Cepheus,Цефей,Cep,22.417,72.567,588
21,Cetus,Кит,Cet,1.717,-6.367,1231
22,Chamaeleon,Хамелеон,Cha,12,-81.017,132
23,Circinus,Циркуль,Cir,14.533,-67.3,93
24,Columba,Голубь,Col,5.7,-37.917,270
25,Coma Berenices,Волосы Вероники,Com,12.75,22.65,386
26,Corona Australis,Южная Корона,CrA,18.65,-41.75,128
27,Corona Borealis,Северная Корона,CrB,15.883,32.633,179
28,Corvus,Ворон,Crv,12.383,-18.633,184
29,Crater,Чаша,Crt,11.35,-13.75,282
30,Crux,Южный Крест,Cru,12.483,-60.3,68
31,Cygnus,Лебедь,Cyg,20.583,44,804
32,Delphinus,Дельфин,Del,20.667,12.1,189
33,Dorado,Золотая Рыба,Dor,5.333,-63.017,179
34,Draco,Дракон,Dra,17.95,66.067,1083
35,Equuleus,Малый Конь,Equ,21.25,7.933,72
36,Eridanus,Эридан,Eri,3.883,-17.983,1138
37,Fornax,Печь,For,2.767,-31,398
38,Gemini,Близнецы,Gem,6.85,24.817,514
39,Grus,Журавль,Gru,22.45,-45.133,366
40,Hercules,Геркулес,Her,17.433,31.233,1225
41,Horologium,Часы,Hor,3.217,-52,249
42,Hydra,Гидра,Hya,9.133,-11.683,1303
43,Hydrus,Южная Гидра,Hyi,2.583,-72.917,243
44,Indus,Индеец,Ind,21.133,-52.317,294
45,Lacerta,Ящерица,Lac,22.517,46.667,201
46,Leo,Лев,Leo,10.667,17,947
47,Leo Minor,Малый Лев,LMi,10.317,33.233,232
48,Lepus,Заяц,Lep,5.433,-19.65,290
49,Libra,Весы,Lib,15.183,-15.55,538
50,Lupus,Волк,Lup,15.383,-42.717,334
51,Lynx,Рысь,Lyn,7.733,47.833,545
52,Lyra,Лира,Lyr,18.9,40.65,286
53,Mensa,Столовая Гора,Men,5.5,-79.017,153
54,Microscopium,Микроскоп,Mic,20.95,-36.8,210
55,Monoceros,Единорог,Mon,6.967,-3.267,482
56,Musca,Муха,Mus,12.467,-69.133,138
57,Norma,Наугольник,Nor,16.05,-52.717,165
58,Octans,Октант,Oct,22.167,-84.267,291
59,Ophiuchus,Змееносец,Oph,17.033,-2.35,948
60,Orion,Орион,Ori,5.567,3.583,594
61,Pavo,Павлин,Pav,19.167,-65.867,378
62,Pegasus,Пегас,Peg,22.617,19.65,1121
63,Perseus,Персей,Per,3.517,44.883,615
64,Phoenix,Феникс,Phe,0.733,-48.767,469
65,Pictor,Живописец,Pic,5.383,-51.367,247
66,Pisces,Рыбы,Psc,0.883,15.483,889
67,Piscis Austrinus,Южная Рыба,PsA,22.417,-31.567,245
68,Puppis,Корма,Pup,7.867,-32.617,673
69,Pyxis,Компас,Pyx,8.883,-29.783,221
70,Reticulum,Сетка,Ret,3.9,-60.517,114
71,Sagitta,Стрела,Sge,19.667,17,80
72,Sagittarius,Стрелец,Sgr,19.383,-29.883,867
73,Scorpius,Скорпион,Sco,16.867,-35.333,497
74,Sculptor,Скульптор,Scl,0.5,-31,475
75,Scutum,Щит,Sct,18.65,-10.883,109
76,Serpens,Змея,Ser,15.733,10.85,637
77,Sextans,Секстант,Sex,10.1,-1.133,314
78,Taurus,Телец,Tau,4.1,17.333,797
79,Telescopium,Телескоп,Tel,19.25,-51.467,252
80,Triangulum,Треугольник,Tri,2.05,32.333,132
81,Triangulum Australe,Южный Треугольник,TrA,16.117,-65.1,110
82,Tucana,Тукан,Tuc,23.833,-64.933,295
83,Ursa Major,Большая Медведица,UMa,11.333,57.5,1280
84,Ursa Minor,Малая Медведица,UMi,14.967,75.033,256
85,Vela,Паруса,Vel,9.333,-48.483,500
86,Virgo,Дева,Vir,13.35,-3.517,1294
87,Volans,Летучая Рыба,Vol,7.667,-69.617,141
88,Vulpecula,Лисичка,Vul,20.367,25.033,268
