index,name,name_ru,radius,diameter,end_time,begin_time,planet_name,number,state_index
1,Moon,Луна,1737.4,3474.8,2000-01-01-00-00-00,1998-12-31-19-12-01,Earth,1,3
2,Phobos,Фобос,11.1,22.2,2000-01-01-00-00-00,1998-02-13-00-00-01,Mars,1,4
3,Deimos,Деймос,6,12,2000-01-01-00-00-00,1998-02-13-00-00-01,Mars,2,4
4,Io,Ио,1821.6,3643.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,1,5
5,Europa,Европа,1560.8,3121.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,2,5
6,Ganymede,Ганимед,2631.2,5262.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,3,5
7,Callisto,Каллисто,2410.3,4820.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,4,5
8,Amalthea,Амальтея,83.45,166.9,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,5,5
9,Himalia,Гималия,85,170,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,6,5
10,Elara,Элара,43,86,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,7,5
11,Pasiphae,Пасифе,30,60,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,8,5
12,Sinope,Синопе,19,38,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,9,5
13,Lysithea,Лиситея,18,36,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,10,5
14,Carme,Карме,23,46,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,11,5
15,Ananke,Ананке,14,28,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,12,5
16,Leda,Леда,10,20,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,13,5
17,Thebe,Фебе,49.3,98.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,14,5
18,Adrastea,Адрастея,8.2,16.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,15,5
19,Metis,Метида,21.5,43,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,16,5
20,Callirrhoe,Каллирое,4.3,8.6,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,17,5
21,Themisto,Фемисто,4,8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,18,5
22,Megaclite,Мегаклите,2.7,5.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,19,5
23,Taygete,Тайгете,2.5,5,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,20,5
24,Chaldene,Чалдене,1.9,3.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,21,5
25,Harpalyke,Харпалике,2.2,4.4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,22,5
26,Kalyke,Калике,2.6,5.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,23,5
27,Iocaste,Иокасте,2.6,5.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,24,5
28,Erinome,Эриноме,1.6,3.2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,25,5
29,Isonoe,Изоное,1.9,3.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,26,5
30,Praxidike,Праксидике,3.4,6.8,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,27,5
31,Autonoe,Автоное,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,28,5
32,Thyone,Фионе,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,29,5
33,Hermippe,Гермипп,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,30,5
34,Aitne,Эйтне,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,31,5
35,Eurydome,Эвридома,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,32,5
36,Euanthe,Эуанте,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,33,5
37,Euporie,Эвпория,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,34,5
38,Orthosie,Ортоси,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,35,5
39,Sponde,Спонде,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,36,5
40,Kale,Кале,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,37,5
41,Pasithee,Пасити,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,38,5
42,Hegemone,Гегемон,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,39,5
43,Mneme,Мнеме,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,40,5
44,Aoede,Аоэдэ,2,4,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,41,5
45,Thelxinoe,Телксиное,1,2,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,42,5
46,Arche,Архэ,1.5,3,2000-01-01-00-00-00,1988-02-22-00-00-08,Jupiter,43,5
