Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
4;Abalos Colles;235.83;76.83;288.35;78.78;74.81;293.39;284.54;Planetocentric  +East  0 - 360;Roman;Collis;CO;mc01;
14147;Abalos Mensa;129.18;81.17;284.4;82.4;80.21;290.52;279.34;Planetocentric  +East  0 - 360;Roman;Mensa;MN;mc01;
14148;Abalos Scopuli;109.16;80.72;283.44;81.96;80.2;290.52;279.47;Planetocentric  +East  0 - 360;Roman;Scopulus;SC;mc01;
5;Abalos Undae;442.74;78.52;272.5;82.2;74.94;283.03;261.4;Planetocentric  +East  0 - 360;Roman;Unda;UN;mc01;
6;Aban;4.28;15.91;111.1;15.94;15.87;111.14;111.06;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc14;
25;Abus Vallis;60.99;-5.49;212.8;-5.02;-5.99;212.84;212.72;Planetocentric  +East  0 - 360;Great Britain;Vallis;VA;mc16;
31;Achar;5.36;45.43;123.16;45.48;45.39;123.23;123.1;Planetocentric  +East  0 - 360;Uruguay;Crater;AA;mc07;
34;Acheron Catena;421.77;37.47;259.2;40.7;33.51;261.71;256.71;Planetocentric  +East  0 - 360;Greek;Catena;CA;mc03;
35;Acheron Fossae;703.11;38.27;224.98;40.03;31.47;230.92;216.9;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc02;
36;Acidalia Colles;356.3;50.34;336.91;52.96;48.42;340.37;331.77;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc04;
37;Acidalia Mensa;226.86;46.69;334.66;48.69;45.03;337.03;331.81;Planetocentric  +East  0 - 360;Greek;Mensa;MN;mc04;
38;Acidalia Planitia;3362.97;49.76;339.26;68.67;14.76;15;305;Planetocentric  +East  0 - 360;Greek;Planitia;PL;mc04;
14182;Ada;2.09;-3.06;356.78;-3.04;-3.08;356.79;356.76;Planetocentric  +East  0 - 360;United States;Crater;AA;mc19;
45;Adamas Labyrinthus;853;35.7;105.12;41.07;30.34;111.46;96.27;Planetocentric  +East  0 - 360;Greek;Labyrinthus;LB;mc06;
46;Adams;90.22;30.91;163.1;31.68;30.15;163.99;162.22;Planetocentric  +East  0 - 360;American;Crater;AA;mc07;
65;Aeolis;0;-4.94;145;-4.94;-4.94;145;145;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc23;
15019;Aeolis Dorsa;459.17;-5.05;152.63;-1.03;-8.13;156.42;148.6;Planetocentric  +East  0 - 360;Greek;Dorsum;DO;mc23;
66;Aeolis Mensae;785.09;-3.25;140.63;2.07;-6.56;146.95;135.33;Planetocentric  +East  0 - 360;Greek;Mensa;MN;mc23;
15000;Aeolis Mons;88.99;-5.08;137.85;-4.46;-5.61;138.62;137.11;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc23;
15001;Aeolis Palus;111.63;-4.47;137.42;-4.18;-5.39;138.65;136.75;Planetocentric  +East  0 - 360;Greek;Palus;PA;mc23;
14165;Aeolis Planum;852.81;-1.14;144.76;4.4;-6.68;149.98;139.08;Planetocentric  +East  0 - 360;Greek;Planum;PM;mc23;
15031;Aeolis Serpens;538.55;-1.38;149.57;2.48;-4.9;152;147.68;Planetocentric  +East  0 - 360;Greek;Serpens;SE;mc23;
68;Aeria;0;9.88;50;9.88;9.88;50;50;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc13;
69;Aesacus Dorsum;276.69;36.82;153.15;38.69;34.7;154.72;152.28;Planetocentric  +East  0 - 360;Greek;Dorsum;DO;mc07;
71;Aetheria;0;39.67;130;39.67;39.67;130;130;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc07;
72;Aethiopis;0;9.88;130;9.88;9.88;130;130;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc14;
79;Aganippe Fossa;537.16;-8.49;234;-4.06;-12.85;235.23;233.14;Planetocentric  +East  0 - 360;Greek;Fossa;FO;mc17;
81;Agassiz;108.77;-69.88;271.11;-68.97;-70.8;273.8;268.46;Planetocentric  +East  0 - 360;American;Crater;AA;mc30;
114;Airy;43.05;-5.14;0.05;-4.77;-5.5;0.42;-0.31;Planetocentric  +East  0 - 360;Great Britain;Crater;AA;mc20;
115;Airy 0;0.79;-5.07;0;-5.07;-5.08;0.01;-0.01;Planetocentric  +East  0 - 360;Great Britain;Crater;AA;mc20;
124;Ajon;8.08;16.49;103.14;16.56;16.42;103.21;103.07;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc14;
131;Aki;7.87;-35.46;299.76;-35.4;-35.53;299.84;299.68;Planetocentric  +East  0 - 360;Japan;Crater;AA;mc25;
139;Aktaj;5.01;20.41;313.51;20.45;20.37;313.56;313.47;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc10;
14183;Alamos;6.44;23.48;322.88;23.54;23.43;322.93;322.82;Planetocentric  +East  0 - 360;Mexico;Crater;AA;mc11;
157;Alba Catena;144.86;35.04;245.42;36.26;33.83;245.44;245.35;Planetocentric  +East  0 - 360;Latin;Catena;CA;mc03;
158;Alba Fossae;2072.02;49.39;253.18;66.91;33.89;264.08;243.77;Planetocentric  +East  0 - 360;Latin;Fossa;FO;mc03;
14306;Alba Mons;548.02;41.08;249.29;45.63;36.53;255.21;243.71;Planetocentric  +East  0 - 360;Latin;Mons;MO;mc03;
160;Albany;2.15;22.96;310.98;22.98;22.94;311;310.96;Planetocentric  +East  0 - 360;United States;Crater;AA;mc10;
159;Alba Patera;65.98;39.53;250.82;39.94;39.14;251.55;250.12;Planetocentric  +East  0 - 360;Latin;Patera;PE;mc03;
164;Albi;9.07;-41.47;324.99;-41.4;-41.55;325.1;324.89;Planetocentric  +East  0 - 360;France;Crater;AA;mc26;
165;Albor Fossae;155;18.09;150.78;18.6;17.74;151.95;149.43;Planetocentric  +East  0 - 360;Latin;Fossa;FO;mc15;
166;Albor Tholus;158.38;18.87;150.47;19.99;17.63;151.88;149.06;Planetocentric  +East  0 - 360;Latin;Tholus;TH;mc15;
178;Alexey Tolstoy;93.04;-47.44;125.34;-46.65;-48.22;126.5;124.18;Planetocentric  +East  0 - 360;Soviet;Crater;AA;mc29;
182;Alga;18.72;-24.34;333.32;-24.18;-24.5;333.5;333.15;Planetocentric  +East  0 - 360;Kazakhstan;Crater;AA;mc19;
189;Alitus;50;-34.91;321.86;-34.51;-35.31;322.16;321.56;Planetocentric  +East  0 - 360;Lithuania;Crater;AA;mc26;
193;Allegheny Vallis;171.08;-9.01;306.1;-8.41;-9.73;307.21;305.06;Planetocentric  +East  0 - 360;United States;Vallis;VA;mc18;
15605;Alnif;23.99;-15.14;328.91;-14.93;-15.33;329.11;328.68;Planetocentric  +East  0 - 360;Morocco;Crater;AA;mc19;
205;Alpheus Colles;633.03;-39.38;61.53;-34.4;-44.51;66.5;56.68;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc28;
151;Al Qahira Vallis;600;-18.23;162.41;-14.41;-21.79;165.36;159.61;Planetocentric  +East  0 - 360;Indonesia;Vallis;VA;mc23;
218;Amazonis;0;0;220;0;0;220;220;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;;
219;Amazonis Mensa;414.04;-1.98;213.1;0.96;-4.09;216.33;210.26;Planetocentric  +East  0 - 360;Greek;Mensa;MN;mc16;
220;Amazonis Planitia;2809.04;25.75;197.09;49.75;2.14;219.42;180.34;Planetocentric  +East  0 - 360;Greek;Planitia;PL;mc08;
221;Amazonis Sulci;250.59;-2.15;216.29;-0.23;-4.15;216.62;212.75;Planetocentric  +East  0 - 360;Greek;Sulcus;SU;mc16;
226;Amenthes;0;4.94;110;4.94;4.94;110;110;Planetocentric  +East  0 - 360;Egypt;Albedo Feature;AL;mc14;
6960;Amenthes Cavi;1330.5;16.23;114.52;18.9;12.29;125.84;102.98;Planetocentric  +East  0 - 360;Egypt;Cavus;CB;mc14;
227;Amenthes Fossae;850;9.07;102.68;13.73;2.17;107.28;96.97;Planetocentric  +East  0 - 360;Egypt;Fossa;FO;mc14;
228;Amenthes Planum;0;3.4;105.92;9.2;-2.17;111.93;99.09;Planetocentric  +East  0 - 360;Egypt;Planum;PM;mc14;
229;Amenthes Rupes;335.25;1.51;110.68;3.58;0.09;112.98;108.83;Planetocentric  +East  0 - 360;Egypt;Rupes;RU;mc14;
242;Amphitrites Patera;129.8;-58.7;60.87;-57.64;-59.8;62.97;58.75;Planetocentric  +East  0 - 360;Greek;Patera;PE;mc28;
246;Amsterdam;1.66;23;313;23.02;22.99;313.01;312.98;Planetocentric  +East  0 - 360;Netherlands (Dutch);Crater;AA;mc10;
15534;Andapa;11;-5.33;355.27;-5.24;-5.42;355.36;355.18;Planetocentric  +East  0 - 360;Madagascar;Crater;AA;mc19;
273;Angu;2.08;20.01;105.64;20.03;20;105.66;105.62;Planetocentric  +East  0 - 360;Zaire;Crater;AA;mc14;
14177;Angustus Labyrinthus;67.52;-81.62;296.61;-81.16;-82.18;298.59;293.41;Planetocentric  +East  0 - 360;Greek;Labyrinthus;LB;mc30;
277;Aniak;50.97;-31.84;290.44;-31.47;-32.21;290.94;289.94;Planetocentric  +East  0 - 360;United States;Crater;AA;mc25;
279;Anio Valles;54;37.75;55.89;38.01;37.46;56.22;55.63;Planetocentric  +East  0 - 360;Italy;Vallis;VA;mc05;
281;Annapolis;1.11;23.16;312.27;23.17;23.16;312.28;312.26;Planetocentric  +East  0 - 360;United States;Crater;AA;mc10;
288;Anseris Mons;52.51;-29.81;86.65;-29.49;-30.16;87.18;86.14;Planetocentric  +East  0 - 360;Latin;Mons;MO;mc21;
297;Antoniadi;400.95;21.38;60.83;24.76;18;64.47;57.2;Planetocentric  +East  0 - 360;France;Crater;AA;mc13;
15090;Aonia Mons;27.07;-53.33;272.08;-53.16;-53.48;272.45;271.68;Planetocentric  +East  0 - 360;Latin;Mons;MO;mc25;
310;Aonia Planum;563.45;-57.9;281.33;-53.11;-62.15;288.89;271.76;Planetocentric  +East  0 - 360;Latin;Planum;PM;mc25;
311;Aonia Terra;3873.48;-60.2;262.95;-30.8;-80.54;299.75;197.12;Planetocentric  +East  0 - 360;Latin;Terra;TA;mc25;
15089;Aonia Tholus;53.69;-59.04;279.96;-58.74;-59.37;280.91;279.14;Planetocentric  +East  0 - 360;Latin;Tholus;TH;mc25;
312;Aonium Sinus;0;-44.66;255;-44.66;-44.66;255;255;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc25;
319;Apia;10.06;-37.28;89.02;-37.2;-37.37;89.12;88.91;Planetocentric  +East  0 - 360;Samoa;Crater;AA;mc28;
14307;Apollinaris Mons;275.4;-9.17;174.79;-6.88;-11.47;176.4;172.66;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc23;
323;Apollinaris Patera;89.6;-8.57;174.18;-7.92;-9.22;174.91;173.43;Planetocentric  +East  0 - 360;Greek;Patera;PE;mc23;
324;Apollinaris Sulci;188.64;-11.06;177.47;-9.47;-12.65;178.8;176.21;Planetocentric  +East  0 - 360;Greek;Sulcus;SU;mc23;
325;Apollinaris Tholus;32.39;-17.64;175.75;-17.38;-17.91;176.04;175.47;Planetocentric  +East  0 - 360;Greek;Tholus;TH;mc23;
15694;Apollo Patera;24;17.94;226.45;18.09;17.78;226.64;226.27;Planetocentric  +East  0 - 360;Greek;Patera;PE;mc09;
332;Apsus Vallis;121.56;34.91;134.99;35.78;33.99;135.52;134.66;Planetocentric  +East  0 - 360;Greek;Vallis;VA;mc07;
333;Apt;9.57;39.88;350.53;39.96;39.8;350.64;350.43;Planetocentric  +East  0 - 360;France;Crater;AA;mc04;
335;Arabia;0;19.78;30;19.78;19.78;30;30;Planetocentric  +East  0 - 360;Latin;Albedo Feature;AL;mc12;
336;Arabia Terra;4851.74;21.25;5.72;45.36;-18.07;49.44;-29.69;Planetocentric  +East  0 - 360;Latin;Terra;TA;mc12;
338;Arago;152.35;10.22;29.93;11.51;8.94;31.23;28.62;Planetocentric  +East  0 - 360;France;Crater;AA;mc12;
339;Aram Chaos;283.81;2.52;337.61;5.17;0.34;340.72;336.45;Planetocentric  +East  0 - 360;Greek;Chaos;CH;mc11;
15239;Aram Dorsum;83.31;7.8;348.76;8.3;7.76;349.24;348.19;Planetocentric  +East  0 - 360;Syria;Dorsum;DO;mc11;
342;Arandas;24.76;42.41;344.97;42.62;42.2;345.26;344.7;Planetocentric  +East  0 - 360;Mexico;Crater;AA;mc04;
346;Arcadia;0;44.66;260;44.66;44.66;260;260;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc03;
347;Arcadia Dorsa;1952.65;55.9;222.44;66.81;39.45;245.58;202.49;Planetocentric  +East  0 - 360;Greek;Dorsum;DO;mc02;
348;Arcadia Planitia;1871.97;47.19;184.31;64.2;33.88;210.39;165.78;Planetocentric  +East  0 - 360;Greek;Planitia;PL;mc02;
352;Arda Valles;173.67;-20.4;327.69;-19.47;-21.38;329.14;326.08;Planetocentric  +East  0 - 360;Bulgaria;Vallis;VA;mc19;
356;Arena Colles;580.12;24.63;82.93;29.5;19.75;87.02;79.66;Planetocentric  +East  0 - 360;Latin;Collis;CO;mc13;
357;Arena Dorsum;372.03;12.71;68.94;15.65;9.68;69.03;68.06;Planetocentric  +East  0 - 360;Latin;Dorsum;DO;mc13;
358;Ares Vallis;1757.67;10.29;334.39;20.82;0.33;342.76;324;Planetocentric  +East  0 - 360;Greek;Vallis;VA;mc11;
362;Argas;3.55;23.33;309.83;23.36;23.3;309.86;309.8;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc10;
364;Argentea Planum;1370.64;-72.49;298.33;-63.86;-81.79;337.89;273.93;Planetocentric  +East  0 - 360;Latin;Planum;PM;mc30;
369;Argyre;0;-44.66;335;-44.66;-44.66;335;335;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc26;
370;Argyre Cavi;72.33;-48.31;319.88;-47.74;-48.94;320.59;319.11;Planetocentric  +East  0 - 360;Greek;Cavus;CB;mc26;
15236;Argyre Mons;60.58;-50.37;311.91;-49.87;-50.89;312.58;311.27;Planetocentric  +East  0 - 360;Greek;Mons;MO;mc26;
371;Argyre Planitia;892.93;-49.84;316.69;-42.44;-57.29;326.62;306.12;Planetocentric  +East  0 - 360;Greek;Planitia;PL;mc26;
372;Argyre Rupes;335.42;-62.15;291.25;-59.88;-64.43;294.26;288.58;Planetocentric  +East  0 - 360;Greek;Rupes;RU;mc25;
375;Ariadnes Colles;188.01;-34.5;172.78;-33.2;-36.13;174.81;170.97;Planetocentric  +East  0 - 360;Greek;Collis;CO;mc29;
377;Arica;15.77;-23.8;110.24;-23.67;-23.93;110.39;110.09;Planetocentric  +East  0 - 360;Colombia;Crater;AA;mc22;
14927;Arima;53.59;-15.84;296.32;-15.39;-16.3;296.79;295.86;Planetocentric  +East  0 - 360;Trinidad and Tobago;Crater;AA;mc18;
378;Arimanes Rupes;192.67;-9.84;212.3;-8.31;-11.33;212.85;212.16;Planetocentric  +East  0 - 360;Persian;Rupes;RU;mc16;
384;Arkhangelsky;116.83;-41.09;335.21;-40.1;-42.07;336.53;333.91;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc26;
388;Arnon;0;47.66;25;47.66;47.66;25;25;Planetocentric  +East  0 - 360;Greek;Albedo Feature;AL;mc05;
389;Arnus Vallis;311.61;13.97;70.61;16.38;11.95;71.24;69.5;Planetocentric  +East  0 - 360;Italy;Vallis;VA;mc13;
390;Aromatum Chaos;72.8;-1.03;317.03;-0.71;-1.52;317.64;316.42;Planetocentric  +East  0 - 360;Latin;Chaos;CH;mc19;
392;Arrhenius;122.72;-40.04;122.71;-39.01;-41.08;124.06;121.35;Planetocentric  +East  0 - 360;Sweden;Crater;AA;mc29;
393;Arsia Chasmata;97.06;-7.47;240.65;-6.67;-8.27;241.37;239.9;Planetocentric  +East  0 - 360;Latin;Chasma;CM;mc17;
394;Arsia Mons;470;-8.26;239.91;-4.72;-11.57;243.82;236.27;Planetocentric  +East  0 - 360;Latin;Mons;MO;mc17;
395;Arsia Sulci;500;-6.29;230.19;-2.37;-10.76;233.97;229.49;Planetocentric  +East  0 - 360;Latin;Sulcus;SU;mc17;
396;Arsinoes Chaos;200.08;-7.66;332.08;-6.37;-9.29;333.92;330.95;Planetocentric  +East  0 - 360;Greek;Chaos;CH;mc19;
397;Arta;3.96;21.38;305.71;21.42;21.35;305.75;305.68;Planetocentric  +East  0 - 360;Russia;Crater;AA;mc10;
