Feature_ID;Feature_Name;Diameter;Center_Latitude;Center_Longitude;Northern_Latitude;Southern_Latitude;Eastern_Longitude;Western_Longitude;Coordinate_System;Continent;Ethnicity;Feature_Type;Feature_Type_Code;Quad;
9;Abbe;63.98;-57.58;174.77;-56.52;-58.63;176.74;172.81;Planetocentric  +East  0 - 360;Europe;Germany;"Crater; craters";AA;LAC-132;
7027;Abbe H;25.13;-58.44;177.58;-58.03;-58.86;178.38;176.79;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-132;
7028;Abbe K;26.1;-59.82;176.86;-59.39;-60.25;177.71;176;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-132;
7029;Abbe M;28.61;-61.75;175.24;-61.27;-62.22;176.24;174.24;Planetocentric  +East  0 - 360;Europe;Germany;Satellite Feature;SF;LAC-132;
10;Abbot;10.4;5.56;54.74;5.73;5.38;54.92;54.57;Planetocentric  +East  0 - 360;North America;American;"Crater; craters";AA;LAC-62;
12;Abel;137.35;-34.63;85.78;-32.54;-36.77;88.21;83.43;Planetocentric  +East  0 - 360;Europe;Norway;"Crater; craters";AA;LAC-116;
7030;Abel A;27.83;-36.31;85.8;-35.86;-36.77;86.37;85.23;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
7031;Abel B;41.55;-36.72;82.6;-36.04;-37.41;83.45;81.74;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
7032;Abel C;36.84;-36.13;81.41;-35.52;-36.73;82.16;80.66;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-115;
7033;Abel D;27.9;-37.67;86.45;-37.21;-38.13;87.04;85.87;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
7034;Abel E;14;-37.54;84.44;-37.3;-37.77;84.73;84.14;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
7035;Abel J;18.76;-36.2;79.87;-35.89;-36.51;80.25;79.49;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-115;
7036;Abel K;9.94;-34.69;77.46;-34.53;-34.86;77.66;77.26;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-115;
7037;Abel L;54.13;-34.55;82.39;-33.66;-35.45;83.48;81.32;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
7038;Abel M;91.01;-32.38;83.52;-30.88;-33.88;85.3;81.74;Planetocentric  +East  0 - 360;Europe;Norway;Satellite Feature;SF;LAC-116;
14;Abenezra;43.19;-20.99;11.89;-20.28;-21.71;12.65;11.13;Planetocentric  +East  0 - 360;Europe;Spain;"Crater; craters";AA;LAC-96;
7039;Abenezra A;22.19;-22.79;10.44;-22.43;-23.16;10.84;10.05;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7040;Abenezra B;13.77;-20.82;10.06;-20.59;-21.04;10.31;9.82;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7041;Abenezra C;43.69;-21.37;11.09;-20.65;-22.09;11.86;10.32;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7042;Abenezra D;7.25;-21.76;9.65;-21.64;-21.88;9.78;9.52;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-95;
7043;Abenezra E;14.11;-21.46;9.4;-21.23;-21.7;9.65;9.15;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-95;
7044;Abenezra F;6.3;-21.58;10.34;-21.48;-21.68;10.45;10.22;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7045;Abenezra G;4.92;-20.53;11;-20.45;-20.61;11.09;10.91;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7046;Abenezra H;4.72;-21.09;12.71;-21.01;-21.16;12.79;12.63;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7047;Abenezra J;4.26;-19.92;10.69;-19.85;-19.99;10.76;10.61;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-96;
7048;Abenezra P;39.27;-20.02;9.85;-19.37;-20.66;10.54;9.16;Planetocentric  +East  0 - 360;Europe;Spain;Satellite Feature;SF;LAC-95;
16;Abetti;1.6;20.11;27.82;20.14;20.09;27.84;27.79;Planetocentric  +East  0 - 360;Europe;Italy;"Crater; craters";AA;LAC-42;
23;Abulfeda;62.23;-13.87;13.91;-12.84;-14.89;14.97;12.85;Planetocentric  +East  0 - 360;Asia;Syria;"Crater; craters";AA;LAC-78;
7051;Abulfeda A;13.26;-16.43;10.75;-16.21;-16.65;10.98;10.53;Planetocentric  +East  0 - 360;Asia;Syria;Satellite Feature;SF;LAC-96;
7052;Abulfeda B;15.49;-14.51;16.37;-14.25;-14.76;16.63;16.11;Planetocentric  +East  0 - 360;Asia;Syria;Satellite Feature;SF;LAC-78;
