id,pdes,name,name_ru,diameter,q,per,class,horizons,begin_time,end_time
a0134340,134340,Pluto,Плутон,2361,29.57399177,90487.27693,TNO,DES=+2134340,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000001,1,Ceres,Церера,939.4,2.558683596,1683.145701,MBA,DES=+2000001,1998-11-06-05-07-33,2000-01-01-00-00-00
a0020000,20000,Varuna,Варуна,900,40.46568611,102206.6941,TNO,DES=+2020000,1990-01-01-00-00-00,2000-01-01-00-00-00
bK14UM4Z,500039,500039,500039,635,38.02422283,410992.1855,TNO,DES=+3760651,1990-01-01-00-00-00,2000-01-01-00-00-00
bK02X93V,500014,500014,500014,549.2,34.2237257,89352.62849,TNO,DES=+3145527,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000002,2,Pallas,Паллада,545,2.13386496,1686.155999,MBA,DES=+2000002,1998-11-05-11-03-51,2000-01-01-00-00-00
a0000004,4,Vesta,Веста,525.4,2.151909454,1325.432765,MBA,DES=+2000004,1999-02-03-15-24-12,2000-01-01-00-00-00
bK01K77A,500005,500005,500005,472,43.41272813,120793.3016,TNO,DES=+3078916,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000010,10,Hygiea,Гигея,407.12,2.788239616,2033.818283,MBA,DES=+2000010,1998-08-10-13-05-26,2000-01-01-00-00-00
bK03QB1X,500016,500016,500016,358.5,33.92857789,89926.76746,TNO,DES=+3160801,1990-01-01-00-00-00,2000-01-01-00-00-00
a0015789,15789,15789,15789,328,32.03299496,90398.73876,TNO,DES=+2015789,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000704,704,Interamnia,Интерамния,306.313,2.585009321,1953.184017,MBA,DES=+2000704,1998-08-30-16-53-46,2000-01-01-00-00-00
a0000052,52,Europa,Европа,303.918,2.751709179,1986.952821,MBA,DES=+2000052,1998-08-22-06-17-00,2000-01-01-00-00-00
bK01QT8C,500007,500007,500007,303,40.51512295,115075.2769,TNO,DES=+3092445,1990-01-01-00-00-00,2000-01-01-00-00-00
a0010199,10199,Chariklo,Харикло,302,13.13876621,23030.17594,CEN,DES=+2010199,1990-01-01-00-00-00,2000-01-01-00-00-00
bK03Q91R,500015,500015,500015,278.5,38.02790075,116984.2948,TNO,DES=+3160761,1990-01-01-00-00-00,2000-01-01-00-00-00
bK04PA8B,500022,500022,500022,275.55,40.27275217,110604.1791,TNO,DES=+3254536,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000511,511,Davida,Давида,270.327,2.569455794,2056.52682,MBA,DES=+2000511,1998-08-04-20-50-21,2000-01-01-00-00-00
a0000031,31,Euphrosyne,Евфросина,267.08,2.458509538,2047.295511,MBA,DES=+2000031,1998-08-07-04-13-37,2000-01-01-00-00-00
a0000107,107,Camilla,Камилла,254,3.26327257,2382.998058,OMB,DES=+2000107,1998-05-15-06-00-42,2000-01-01-00-00-00
a0000451,451,Patientia,Patientia,253.9,2.830385862,1955.104058,MBA,DES=+2000451,1998-08-30-05-22-33,2000-01-01-00-00-00
a0000087,87,Sylvia,Сильвия,253.051,3.15846733,2373.81844,OMB,DES=+2000087,1998-05-17-13-05-22,2000-01-01-00-00-00
a0000003,3,Juno,Юнона,246.596,1.98333206,1592.787284,MBA,DES=+2000003,1998-11-28-19-16-35,2000-01-01-00-00-00
a0000065,65,Cybele,Кибела,237.26,3.042441633,2316.170373,OMB,DES=+2000065,1998-05-31-22-58-40,2000-01-01-00-00-00
bK01K77D,500006,500006,500006,232.3,35.10745849,91975.94848,TNO,DES=+3078919,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000088,88,Thisbe,Фисба,232,2.321556745,1683.153887,MBA,DES=+2000088,1998-11-06-05-04-37,2000-01-01-00-00-00
a0000015,15,Eunomia,Эвномия,231.689,2.152074588,1570.418187,MBA,DES=+2000015,1998-12-04-09-29-28,2000-01-01-00-00-00
a0095626,95626,95626,95626,230.5,18.01109558,40966.74388,CEN,DES=+2095626,1990-01-01-00-00-00,2000-01-01-00-00-00
bK02G32H,500013,500013,500013,230,38.64030774,100319.2574,TNO,DES=+3126202,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000016,16,Psyche,Психея,226,2.533284397,1826.093334,MBA,DES=+2000016,1998-10-01-11-26-24,2000-01-01-00-00-00
a0000624,624,Hektor,Гектор,225,5.137134355,4405.802306,GRK,DES=+2000624,1996-12-25-13-11-12,2000-01-01-00-00-00
a0000013,13,Egeria,Эгерия,222.792,2.356709939,1510.123386,MBA,DES=+2000013,1998-12-19-11-15-35,2000-01-01-00-00-00
a0000324,324,Bamberga,Бамберга,220.691,1.767999716,1603.807559,MBA,DES=+2000324,1998-11-26-01-09-17,2000-01-01-00-00-00
bK03WI8U,500021,500021,500021,220,42.29672164,106293.906,TNO,DES=+3172335,1990-01-01-00-00-00,2000-01-01-00-00-00
bK01XP4R,500012,500012,500012,218.9,41.19662672,102225.7361,TNO,DES=+3102795,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000048,48,Doris,Дорида,216.473,2.884781246,2003.35292,MBA,DES=+2000048,1998-08-18-03-52-57,2000-01-01-00-00-00
a0000375,375,Ursula,Урсула,216,2.798280844,2020.585733,MBA,DES=+2000375,1998-08-13-20-29-09,2000-01-01-00-00-00
a0000121,121,Hermione,Гермиона,209,2.996619686,2342.470978,OMB,DES=+2000121,1998-05-25-09-10-27,2000-01-01-00-00-00
a0000117,117,Lomia,Ломия,208.974,2.90769995,1888.747696,MBA,DES=+2000117,1998-09-15-19-30-50,2000-01-01-00-00-00
a0000106,106,Dione,Диона,207.869,2.66955944,2077.403999,MBA,DES=+2000106,1998-07-30-15-34-34,2000-01-01-00-00-00
bK00QP1L,500004,500004,500004,206.2,37.33556579,120472.6335,TNO,DES=+3078880,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000041,41,Daphne,Дафна,205.495,2.00016549,1675.195855,MBA,DES=+2000041,1998-11-08-04-49-30,2000-01-01-00-00-00
a0000094,94,Aurora,Аврора,204.89,2.859998221,2048.401434,MBA,DES=+2000094,1998-08-06-21-35-30,2000-01-01-00-00-00
a0000045,45,Eugenia,Евгения,202.327,2.491135722,1639.317739,MBA,DES=+2000045,1998-11-17-04-05-37,2000-01-01-00-00-00
a0000019,19,Fortuna,Фортуна,200,2.056647962,1394.46134,MBA,DES=+2000019,1999-01-17-09-13-55,2000-01-01-00-00-00
a0000007,7,Iris,Ирис,199.83,1.833830829,1345.619196,MBA,DES=+2000007,1999-01-29-14-17-05,2000-01-01-00-00-00
a0000334,334,Chicago,Чикаго,198.77,3.798870098,2802.676341,OMB,DES=+2000334,1998-01-30-07-56-32,2000-01-01-00-00-00
a0000024,24,Themis,Фемида,198,2.744956598,2028.607813,MBA,DES=+2000024,1998-08-11-20-21-12,2000-01-01-00-00-00
bK01QW2S,500009,500009,500009,193,42.26322414,106621.8241,TNO,DES=+3092454,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000154,154,Bertha,Берта,192.611,2.950174444,2087.24787,MBA,DES=+2000154,1998-07-28-04-30-47,2000-01-01-00-00-00
a0042355,42355,Typhon,Тифон,192,17.57997754,85744.80867,TNO,DES=+2042355,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000702,702,Alauda,Алауда,190.98,3.137277971,2083.336507,MBA,DES=+2000702,1998-07-29-03-58-52,2000-01-01-00-00-00
a0000009,9,Metis,Метида,190,2.091930644,1345.87536,MBA,DES=+2000009,1999-01-29-12-44-52,2000-01-01-00-00-00
a0005145,5145,Pholus,Фолус,190,8.778462598,33636.6921,CEN,DES=+2005145,1990-01-01-00-00-00,2000-01-01-00-00-00
a0000029,29,Amphitrite,Амфитрита,189.559,2.368440903,1490.935077,MBA,DES=+2000029,1998-12-24-06-23-23,2000-01-01-00-00-00
