id;spkid;full_name;pdes;name;name_ru;neo;pha;diameter;prefix;q;per;class;horizons;begin_time;end_time;;index
c00010_0;1000094;10P/Tempel2;10P;Tempel;Темпель;;;10.6;P;1.422131656;1961.873096;JFc;90000213;1998-08-28-12-45-42;2000-01-01-00-00-00;;1
c00028_0;1000063;28P/Neujmin1;28P;Neujmin;Неймин;;;21.4;P;1.549641397;6638.038308;JFc;90000384;1995-06-16-11-46-15;2000-01-01-00-00-00;;2
c00029_0;1000079;29P/SchwassmannWachmann1;29P;Schwassmann-Wachmann;Швассмана-Вахмана;;;60.4;P;5.718848555;5353.641303;JFc;90000391;1996-05-02-14-09-09;2000-01-01-00-00-00;;3
c00065_0;1000035;65P/Gunn;65P;Gunn;Ганн;;;10.8;P;2.910551735;2796.874869;JFc;90000674;1998-01-31-18-45-03;2000-01-01-00-00-00;;4
c00099_0;1000055;99P/Kowal1;99P;Kowal;Коваль;;;10.2;P;4.743442562;5571.401438;JFc;90000905;1996-03-09-03-35-30;2000-01-01-00-00-00;;5
c00001_0;1000036;1P/Halley;1P;Halley;Галлея;Y;;11;P;0.585978112;27509.12907;HTC;90000033;1990-01-01-00-00-00;2000-01-01-00-00-00;;6
c00109_0;1000140;109P/SwiftTuttle;109P;Swift-Tuttle;Свифта-Таттла;Y;;26;P;0.959516155;48681.19346;HTC;90000942;1990-01-01-00-00-00;2000-01-01-00-00-00;;7
c00167_0;1001647;167P/CINEOS;167P;CINEOS;CINEOS;;;66.17;P;11.7835476;23685.8097;CTc;DES=+1001647;1990-01-01-00-00-00;2000-01-01-00-00-00;;8
dJ91L030;1000129;C/1991L3Levy;1991 L3;Levy;Леви;Y;;11.6;C;0.982559471;18731.8281;HTC;DES=+1000129;1990-01-01-00-00-00;2000-01-01-00-00-00;;9
dJ95O010;1000132;C/1995O1HaleBopp;1995 O1;Hale-Bopp;Хейла-Боппа;;;60;C;0.917414341;897204.6223;COM;90002027;1990-01-01-00-00-00;2000-01-01-00-00-00;;10
dK01OA8G;1000373;C/2001OG108LONEOS;2001 OG108;LONEOS;LONEOS;Y;;13.6;C;0.994047879;17716.32543;HTC;DES=+1000373;1990-01-01-00-00-00;2000-01-01-00-00-00;;11
dK11K36P;1003189;C/2011KP36Spacewatch;2011 KP36;Spacewatch;Спейсвотч;;;55.1;C;4.883285773;86928.04224;JFc;DES=+1003189;1990-01-01-00-00-00;2000-01-01-00-00-00;;12
