full_name;name_plain;horizons;radius;diameter;end_time;begin_time;class;number;name;name_ru;index;state_index
Earth_moon;luna;301;1737.4;3474.8;2000-01-01-00-00-00;1998-12-31-19-12-01;Earth;1;Moon;Луна;1;3
Phobos;phobos;401;11.1;22.2;2000-01-01-00-00-00;1998-02-13-00-00-01;Mars;1;Phobos;Фобос;2;4
Deimos;deimos;402;;;2000-01-01-00-00-00;1998-02-13-00-00-01;Mars;2;Deimos;Деймос;3;4
Jupiter I (Io);io;501;1821.6;3643.2;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;1;Io;Ио;4;5
Jupiter II (Europa);europa;502;1560.8;3121.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;2;Europa;Европа;5;5
Jupiter III (Ganymede);ganymede;ganymede;2631.2;5262.4;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;3;Ganymede;Ганимед;6;5
Jupiter IV (Callisto);callisto;callisto;2410.3;4820.6;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;4;Callisto;Каллисто;7;5
Jupiter V (Amalthea);amalthea;amalthea;83.45;166.9;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;5;Amalthea;Амальтея;8;5
Jupiter VI (Himalia);himalia;himalia;85;170;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;6;Himalia;Гималия;9;5
Jupiter VII (Elara);elara;elara;43;86;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;7;Elara;Элара;10;5
Jupiter VIII (Pasiphae);pasiphae;pasiphae;30;60;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;8;Pasiphae;Пасифе;11;5
Jupiter IX (Sinope);sinope;sinope;19;38;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;9;Sinope;Синопе;12;5
Jupiter X (Lysithea);lysithea;lysithea;18;36;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;10;Lysithea;Лиситея;13;5
Jupiter XI (Carme);carme;carme;23;46;2000-01-01-00-00-00;1988-02-22-00-00-08;Jupiter;11;Carme;Карме;14;5
