exoplanet_name,distance_ly,star_brightness,planet_type,discovery_year,mass_multiplier,mass_unit,radius_multiplier,radius_unit,orbit_radius_au,orbit_period_days,eccentricity,detection_method,mass_earth_multiplier,radius_earth_multiplier,mass_earth_kg,radius_earth_m,exoplanet_volume_m3,exoplanet_density_kg_m3
11 Comae Berenices b,304.0,4.72307,Gas giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial velocity,6165.32,12.10572,3.681929104e+28,77125542.12,1.9216898598096125e+24,19159.85082194678
11 Ursae Minoris b,409.0,5.013,Gas giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial velocity,4684.372,12.21781,2.7975069584000005e+28,77839667.51,1.9755659209877993e+24,14160.534602668302
14 Andromedae b,246.0,5.23133,Gas giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial velocity,1525.44,12.890349999999998,9.109927680000001e+27,82124419.85,2.3200938512437312e+24,3926.5341249520784
14 Herculis b,58.0,6.61935,Gas giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial velocity,2586.513818,12.55408,1.5446660521096001e+28,79982043.68,2.1432167760270598e+24,7207.231995323358
16 Cygni B b,69.0,6.215,Gas giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial velocity,565.6840000000001,13.4508,3.378264848000001e+27,85695046.8,2.636062907832115e+24,1281.5569909059072
17 Scorpii b,408.0,5.22606,Gas giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial velocity,1372.8960000000002,12.890349999999998,8.198934912000002e+27,82124419.85,2.3200938512437312e+24,3533.8807124568707
18 Delphini b,249.0,5.51048,Gas giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial velocity,3273.34,12.44199,1.9548386480000002e+28,79267918.29,2.0863202261003151e+24,9369.791959760289
1RXS J160929.1-210524 b,454.0,12.618,Gas giant,2008,8.0,Jupiter,1.664,Jupiter,330.0,6505.9,0.0,Direct imaging,2542.4,18.651775999999998,1.5183212800000001e+28,118830464.89599998,7.028651298976387e+24,2160.188655569127
24 Bootis b,313.0,5.59,Gas giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial velocity,289.19800000000004,13.89916,1.7270904560000004e+27,88551548.36,2.9085537069343164e+24,593.7969967281073
24 Sextantis b,235.0,6.4535,Gas giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial velocity,632.422,13.338709999999999,3.7768241840000005e+27,84980921.41,2.5707089894094093e+24,1469.1760909381198
24 Sextantis c,235.0,6.4535,Gas giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial velocity,273.308,13.89916,1.632195376e+27,88551548.36,2.9085537069343164e+24,561.1707881166726
2M0437 b,419.0,16.186,Gas giant,2021,4.0,Jupiter,1.16,Jupiter,118.0,3110.6,0.0,Direct imaging,1271.2,13.002439999999998,7.591606400000001e+27,82838545.24,2.3811458614487947e+24,3188.2156078338394
2MASS J01033563-5515561 AB b,154.0,15.788,Gas giant,2013,13.0,Jupiter,1.1,Jupiter,84.0,1767.2,0.0,Direct imaging,4131.400000000001,12.3299,2.4672720800000005e+28,78553792.9,2.030439658752631e+24,12151.417892988411
2MASS J01225093-2439505 b,110.0,14.244,Gas giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct imaging,7786.1,11.209,4.64985892e+28,71412539.0,1.5254993679584e+24,30480.89706010813
2MASS J02192210-3925225 b,131.0,,Gas giant,2015,13.9,Jupiter,1.44,Jupiter,156.0,5878.1,0.0,Direct imaging,4417.42,16.14096,2.638083224e+28,102834056.16,4.555116704733895e+24,5791.472304668678
2MASS J04414489+2301513 b,393.0,,Gas giant,2010,7.5,Jupiter,1.13,Jupiter,15.0,411.0,0.0,Direct imaging,2383.5,12.66617,1.4234262e+28,80696169.07,2.201138461529071e+24,6466.772649146227
2MASS J12073346-3932539 b,210.0,20.15,Gas giant,2004,5.0,Jupiter,1.15,Jupiter,55.0,2885.9,0.0,Direct imaging,1589.0,12.890349999999998,9.489508e+27,82124419.85,2.3200938512437312e+24,4090.139713491748
2MASS J19383260+4603591 b,1293.0,12.651,Gas giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse timing variations,603.82,13.4508,3.6060130400000007e+27,85695046.8,2.636062907832115e+24,1367.9540914164177
2MASS J22362452+4751425 b,227.0,12.368,Gas giant,2016,12.5,Jupiter,1.1,Jupiter,230.0,4505.7,0.0,Direct imaging,3972.5,12.3299,2.3723770000000002e+28,78553792.9,2.030439658752631e+24,11684.055666335009
30 Arietis B b,146.0,7.09209,Gas giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial velocity,4391.996,12.3299,2.6229000112000003e+28,78553792.9,2.030439658752631e+24,12917.891944699986
42 Draconis b,296.0,4.8262,Gas giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial velocity,1233.064,13.002439999999998,7.363858208000001e+27,82838545.24,2.3811458614487947e+24,3092.5691395988247
47 Ursae Majoris b,45.0,5.03352,Gas giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3.0,0.03,Radial velocity,804.034,13.226619999999999,4.8016910480000003e+27,84266796.02,2.5064442775354255e+24,1915.7381997422578
47 Ursae Majoris c,45.0,5.03352,Gas giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial velocity,171.61200000000002,14.23543,1.0248668640000002e+27,90693924.53,3.1248069718367317e+24,327.9776553358089
47 Ursae Majoris d,45.0,5.03352,Gas giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial velocity,521.192,13.4508,3.112558624e+27,85695046.8,2.636062907832115e+24,1180.7603736436447
4 Ursae Majoris b,240.0,4.5801,Gas giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial velocity,2256.38,12.66617,1.347510136e+28,80696169.07,2.201138461529071e+24,6121.878107858428
51 Eridani b,97.0,5.21149,Gas giant,2015,2.0,Jupiter,1.19,Jupiter,13.2,32.0,0.45,Direct imaging,635.6,13.338709999999999,3.7958032000000004e+27,84980921.41,2.5707089894094093e+24,1476.5588853649444
51 Pegasi b,50.0,5.45309,Gas giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial velocity,146.18800000000002,14.23543,8.730347360000001e+26,90693924.53,3.1248069718367317e+24,279.38837306383715
55 Cancri b,41.0,5.95084,Gas giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0.0,Radial velocity,263.96468,13.89916,1.57639706896e+27,88551548.36,2.9085537069343164e+24,541.9865774531493
55 Cancri c,41.0,5.95084,Gas giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial velocity,54.47092,8.518839999999999,3.2530033424e+26,54273529.63999999,6.696576105489063e+23,485.7711300754981
55 Cancri d,41.0,5.95084,Gas giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial velocity,1232.4284,13.002439999999998,7.3600624048e+27,82838545.24,2.3811458614487947e+24,3090.9750317949074
55 Cancri e,41.0,5.95084,Super earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial velocity,7.99,1.875,4.771628000000001e+25,11945625.0,7.140279969442223e+21,6682.690343264993
55 Cancri f,41.0,5.95084,Gas giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial velocity,44.809799999999996,7.588493000000001,2.676041256e+26,48346288.903000005,4.733452660761129e+23,565.3465763339225
