# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu;
# Wed Apr  1 11:51:09 2026;
#;
# User preference: * 6151;
#;
# COLUMN pl_name:        Planet Name;
# COLUMN hostname:       Host Name;
# COLUMN pl_letter:      Planet Letter;
# COLUMN hd_name:        HD ID;
# COLUMN sy_snum:        Number of Stars;
# COLUMN sy_pnum:        Number of Planets;
# COLUMN disc_year:      Discovery Year;
# COLUMN pl_orbper:      Orbital Period [days];
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au];
# COLUMN pl_rade:        Planet Radius [Earth Radius];
# COLUMN pl_radj:        Planet Radius [Jupiter Radius];
# COLUMN pl_orbeccen:    Eccentricity;
# COLUMN pl_insol:       Insolation Flux [Earth Flux];
# COLUMN pl_eqt:         Equilibrium Temperature [K];
# COLUMN pl_orbincl:     Inclination [deg];
# COLUMN st_spectype:    Spectral Type;
# COLUMN st_teff:        Stellar Effective Temperature [K];
# COLUMN st_rad:         Stellar Radius [Solar Radius];
# COLUMN st_mass:        Stellar Mass [Solar mass];
# COLUMN st_met:         Stellar Metallicity [dex];
# COLUMN st_age:         Stellar Age [Gyr];
# COLUMN rastr:          RA [sexagesimal];
# COLUMN ra:             RA [deg];
# COLUMN decstr:         Dec [sexagesimal];
# COLUMN dec:            Dec [deg];
# COLUMN glat:           Galactic Latitude [deg];
# COLUMN glon:           Galactic Longitude [deg];
# COLUMN elat:           Ecliptic Latitude [deg];
# COLUMN elon:           Ecliptic Longitude [deg];
# COLUMN sy_dist:        Distance [pc];
# COLUMN sy_plx:         Parallax [mas];
#;
pl_name,hostname,pl_letter,hd_name,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,st_spectype,st_teff,st_rad,st_mass,st_met,st_age,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_dist,sy_plx;
11 Com b,11 Com,b,HD 107383,2,1,2007,323.21000000000,1.1780000000,12.20000000,1.09000000,0.238000,,,,G8 III,4874.00,13.760000,2.090000,-0.2600,,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.41790,93.18460000,10.7104000;
11 UMi b,11 UMi,b,HD 136726,1,1,2009,516.21997000000,1.5300000000,12.30000000,1.09000000,0.080000,,,,K4 III,4213.00,29.790000,2.780000,-0.0200,1.5600,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,74.95821,141.64312,125.32100000,7.9538800;
14 And b,14 And,b,HD 221345,1,1,2008,186.76000000000,0.7750000000,13.10000000,1.16000000,0.000000,,,,K0 III,4888.00,11.550000,1.780000,-0.2100,4.5000,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,75.43920000,13.2289000;
14 Her b,14 Her,b,HD 145675,1,2,2002,1766.41000000000,2.8390000000,12.50000000,1.12000000,0.368300,,,146.70000,K0,5338.00,0.930000,0.970000,0.4300,4.6000,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.24717,17.93230000,55.7363000;
16 Cyg B b,16 Cyg B,b,HD 186427,3,1,1996,798.50000000000,1.6600000000,13.50000000,1.20000000,0.680000,,,,G3 V,5750.00,1.130000,1.080000,0.0600,7.4000,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21176,21.13970000,47.2754000;
17 Sco b,17 Sco,b,,1,1,2020,578.38000000000,1.4500000000,12.90000000,1.15000000,0.060000,,,,K3 III,4157.00,25.920000,1.220000,-0.0100,5.1300,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,9.21181,243.70062,124.95300000,7.9805000;
18 Del b,18 Del,b,HD 199665,2,1,2008,982.85000000000,2.4760000000,12.50000000,1.12000000,0.024000,,,,G6 III,4980.00,8.800000,2.100000,-0.0600,1.1000,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,26.78678,320.58706,76.22200000,13.0922000;
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,,1,1,2008,,330.0000000000,18.64700000,1.66400000,,,1700.00,,K7 V,4060.00,1.313160,0.850000,,0.0050,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,-0.06852,244.36180,139.13500000,7.1594900;
24 Boo b,24 Boo,b,HD 127243,1,1,2018,30.33000000000,0.1940000000,13.90000000,1.24000000,0.032000,,,,G3 IV,4816.00,12.190000,1.050000,-0.7800,6.9200,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,58.88795,185.91956,95.98630000,10.3900000;
24 Sex b,24 Sex,b,HD 90043,1,2,2010,452.80000000000,1.3330000000,13.40000000,1.19000000,0.090000,,,,K0 IV,5098.00,4.900000,1.540000,-0.0300,2.7000,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99004,72.06910000,13.8488000;
