Name,ESI,Mass (Me),Radius (Re),Flux (Se),Tsurf (K),Period (days),Distance (ly),Age (Gy),Type,Type_ru
GJ 1002 b,0.861515455,1.08,1.03,0.673236417,260.5958054,10.3465,15.81422813,NaN,M Warm Terran,M Тёплая Терра
GJ 1002 c,0.581715253,1.36,1.1,0.258159004,205.0677376,21.202,15.81422813,NaN,M Warm Terran,M Тёплая Терра
GJ 1061 c,0.857910579,1.74,1.18,1.448571318,310.4958039,6.689,11.97899234,7,M Warm Terran,M Тёплая Терра
GJ 1061 d,0.858635112,1.64,1.16,0.686780311,246.5756326,13.031,11.97899234,7,M Warm Terran,M Тёплая Терра
GJ 163 c,0.686806955,6.8,2.5,1.251825187,303.7456203,25.63058,49.34251046,6,M Warm Superterran,M Тёплая Супертерра
GJ 180 c,0.695402746,6.4,2.41,0.784488595,270.3400125,24.329,38.94530949,NaN,M Warm Superterran,M Тёплая Супертерра
GJ 229 A c,0.560159894,8.58137,2.87,0.437086681,227.7645574,121.93268,18.77432213,0.4,M Warm Superterran,M Тёплая Супертерра
GJ 273 b,0.85463759,2.89,1.51,1.064476589,291.6700195,18.6498,12.34846216,NaN,M Warm Terran,M Тёплая Терра
GJ 3293 d,0.629776603,7.6,2.67,0.588592698,251.3040314,48.1345,65.85187487,NaN,M Warm Superterran,M Тёплая Супертерра
GJ 357 d,0.57551752,6.1,2.34,0.38259533,226.261383,55.661,30.79502982,NaN,M Warm Superterran,M Тёплая Супертерра
GJ 367 d,0.713554719,6.03,2.33,1.145208999,296.5086154,34.369,30.6998575,NaN,M Warm Superterran,M Тёплая Супертерра
GJ 433 d,0.74246005,5.223,2.14,1.05980663,291.6300979,36.059,29.56460631,NaN,M Warm Superterran,M Тёплая Супертерра
GJ 514 b,0.520100838,5.2,2.13,0.270090776,198.9284556,140.43,24.84584654,0.8,M Warm Superterran,M Тёплая Супертерра
GJ 667 C c,0.798101401,3.8,1.77,0.877539856,278.4259153,28.14,23.62661018,2,M Warm Superterran,M Тёплая Супертерра
GJ 667 C e,0.599465844,2.7,1.45,0.302223109,213.2921445,62.24,23.62661018,2,M Warm Terran,M Тёплая Терра
GJ 667 C f,0.763729929,2.7,1.45,0.563567998,249.223383,39.026,23.62661018,2,M Warm Terran,M Тёплая Терра
GJ 682 b,0.567605826,4.4,1.93,0.313483173,215.0089378,17.478,16.32968507,NaN,M Warm Superterran,M Тёплая Супертерра
HD 216520 c,0.633632843,9.44,3.03,1.276091476,304.9412597,154.43,63.77002112,6,K Warm Superterran,K Тёплая Супертерра
HD 40307 g,0.659352804,7.1,2.56,0.66645905,255.7196683,197.8,42.19251863,4.5,K Warm Superterran,K Тёплая Супертерра
HIP 38594 b,0.652296375,8.1,2.77,1.342419006,307.9746662,60.722,58.01858622,NaN,M Warm Superterran,M Тёплая Супертерра
HN Lib b,0.647451493,5.46,2.2,0.505381991,242.2818674,36.116,20.3665505,4.4,M Warm Superterran,M Тёплая Супертерра
K2-18 b,0.700937684,8.92,2.37,1.264153833,302.7345052,32.939623,124.0260375,NaN,M Warm Superterran,M Тёплая Супертерра
K2-288 B b,0.646488142,4.27,1.9,0.436829846,233.885661,31.393463,214.0033455,1,M Warm Superterran,M Тёплая Супертерра
K2-3 d,0.814263823,2.2,1.458,1.454409661,315.442726,44.55603,143.7457554,6.9,M Warm Terran,M Тёплая Терра
K2-332 b,0.729321206,5.48,2.2,1.166542497,298.9858687,17.70632,401.8307151,NaN,M Warm Superterran,M Тёплая Супертерра
K2-72 e,0.870823573,2.21,1.29,1.303262133,306.6853932,24.158868,216.6722801,NaN,M Warm Terran,M Тёплая Терра
K2-9 b,0.698768404,5.69,2.25,1.448495717,315.6129575,18.4498,270.5891284,1,M Warm Superterran,M Тёплая Супертерра
Kepler-1229 b,0.620494388,2.54,1.4,0.324356083,217.1106027,86.828989,865.8854719,3.72,M Warm Terran,M Тёплая Терра
Kepler-1410 b,0.799974171,3.82,1.78,1.074749569,292.9222362,60.866168,1196.99252,4.07,K Warm Superterran,K Тёплая Супертерра
Kepler-1540 b,0.685240143,6.76,2.49,0.776206331,270.0348497,125.4131177,798.9517376,2.51,K Warm Superterran,K Тёплая Супертерра
