CENTRE                        12 26 15.0    44 15 00.0
*SAO 044166    +47.5  +73.3   12 22 40.293  45 04 33.40
*SAO 044175    +41.2  -62.1   12 23 32.960  43 23 42.59
*SAO 044177    +29.9  +65.2   12 23 56.037  44 59 16.14  
*SAO 044187     +5.5  +71.1   12 25 39.308  45 04 14.33
*SAO 044199     -4.8  -72.7   12 26 43.594  43 17 28.86
*SAO 044207    -33.0  +21.0   12 28 27.655  44 27 53.23
*SAO 044208    -31.2  -62.0   12 28 27.755  43 26 04.19
*SAO 044220    -51.2  -59.7   12 29 52.083  43 28 33.76
*SAO 044221    -55.7  +60.6   12 29 56.524  44 57 27.65
BRADFIELD      +29.2  -42.1
