; Planet, name 
; Temperature, average deg C
; Moons, number
; Diameter, km
; Mass, Earth=1
; OrbitTime, Earth years
; Distance, million km from sun
; Gravity, Earth=1
; 'Day', hours
; Density, tonnes/m3
; Speed, km/sec
Planet, Temperature, Moons, Diameter, Mass, OrbitTime, Distance, Gravity, Day, Density, Speed
Mercury, 350, 0, 4900, 0.05, 0.24, 58, 0.4, 1416, 5.4, 48
Venus, 470, 0, 12100, 0.8, 0.62, 108, 0.1, 5832, 5.25, 32
Earth, 20, 1, 12700, 1, 1, 150, 1.0, 23.9, 5.51, 30
Mars, -20, 2, 6800, 0.1, 1.88, 228, 0.4, 24.6, 3.95, 24
Jupiter, -120, 14, 143000, 318, 12, 780, 2.6, 9.8, 1.34, 13
Saturn, -190, 18, 120000, 95, 29, 1430, 1.2, 10.2, 0.7, 10
Uranus, -220, 15, 50000, 15, 84, 2800, 1.1, 10.8, 1.58, 7
Neptune, -230, 2, 49000, 17, 165, 4500, 1.4, 15.8, 2.3, 5
Pluto, -240, 1, 2400, 0.003, 248, 5900, -, 153.6, 2, 4

