Name;Name_ru;Label;Ra;Dec;Area
Andromeda;Андромеда;And;0.567;39.25;722
Antlia;Насос;Ant;10.117;-33.35;239
Apus;Райская Птица;Aps;16.133;-76.583;206
Aquarius;Водолей;Aqr;22.7;-10.467;980
Aquila;Орёл;Aql;19.683;3.367;652
Ara;Жертвенник;Ara;17.233;-51.117;237
Aries;Овен;Ari;2.683;22.567;441
Auriga;Возничий;Aur;5.95;42.817;857
Bootes;Волопас;Boo;14.683;32.333;907
Caelum;Резец;Cae;4.717;-38.167;125
Camelopardalis;Жираф;Cam;6.15;71.967;757
Cancer;Рак;Cnc;8.667;22;506
Canes Venatici;Гончие Псы;CVn;13.017;42.35;465
Canis Major;Большой Пёс;CMa;6.833;-22.317;380
Canis Minor;Малый Пёс;CMi;7.617;6.767;183
Capricornus;Козерог;Cap;21.05;-19.35;414
Carina;Киль;Car;8.833;-60.5;494
Cassiopeia;Кассиопея;Cas;0.867;60.3;598
Centaurus;Центавр;Cen;12.95;-44;1060
Cepheus;Цефей;Cep;22.417;72.567;588
Cetus;Кит;Cet;1.717;-6.367;1231
Chamaeleon;Хамелеон;Cha;12;-81.017;132
Circinus;Циркуль;Cir;14.533;-67.3;93
Columba;Голубь;Col;5.7;-37.917;270
Coma Berenices;Волосы Вероники;Com;12.75;22.65;386
Corona Australis;Южная Корона;CrA;18.65;-41.75;128
Corona Borealis;Северная Корона;CrB;15.883;32.633;179
Corvus;Ворон;Crv;12.383;-18.633;184
Crater;Чаша;Crt;11.35;-13.75;282
Crux;Южный Крест;Cru;12.483;-60.3;68
Cygnus;Лебедь;Cyg;20.583;44;804
Delphinus;Дельфин;Del;20.667;12.1;189
Dorado;Золотая Рыба;Dor;5.333;-63.017;179
Draco;Дракон;Dra;17.95;66.067;1083
Equuleus;Малый Конь;Equ;21.25;7.933;72
Eridanus;Эридан;Eri;3.883;-17.983;1138
Fornax;Печь;For;2.767;-31;398
Gemini;Близнецы;Gem;6.85;24.817;514
Grus;Журавль;Gru;22.45;-45.133;366
Hercules;Геркулес;Her;17.433;31.233;1225
Horologium;Часы;Hor;3.217;-52;249
Hydra;Гидра;Hya;9.133;-11.683;1303
Hydrus;Южная Гидра;Hyi;2.583;-72.917;243
Indus;Индеец;Ind;21.133;-52.317;294
Lacerta;Ящерица;Lac;22.517;46.667;201
Leo;Лев;Leo;10.667;17;947
Leo Minor;Малый Лев;LMi;10.317;33.233;232
Lepus;Заяц;Lep;5.433;-19.65;290
Libra;Весы;Lib;15.183;-15.55;538
Lupus;Волк;Lup;15.383;-42.717;334
Lynx;Рысь;Lyn;7.733;47.833;545
Lyra;Лира;Lyr;18.9;40.65;286
Mensa;Столовая Гора;Men;5.5;-79.017;153
Microscopium;Микроскоп;Mic;20.95;-36.8;210
Monoceros;Единорог;Mon;6.967;-3.267;482
Musca;Муха;Mus;12.467;-69.133;138
Norma;Наугольник;Nor;16.05;-52.717;165
Octans;Октант;Oct;22.167;-84.267;291
Ophiuchus;Змееносец;Oph;17.033;-2.35;948
Orion;Орион;Ori;5.567;3.583;594
Pavo;Павлин;Pav;19.167;-65.867;378
Pegasus;Пегас;Peg;22.617;19.65;1121
Perseus;Персей;Per;3.517;44.883;615
Phoenix;Феникс;Phe;0.733;-48.767;469
Pictor;Живописец;Pic;5.383;-51.367;247
Pisces;Рыбы;Psc;0.883;15.483;889
Piscis Austrinus;Южная Рыба;PsA;22.417;-31.567;245
Puppis;Корма;Pup;7.867;-32.617;673
Pyxis;Компас;Pyx;8.883;-29.783;221
Reticulum;Сетка;Ret;3.9;-60.517;114
Sagitta;Стрела;Sge;19.667;17;80
Sagittarius;Стрелец;Sgr;19.383;-29.883;867
Scorpius;Скорпион;Sco;16.867;-35.333;497
Sculptor;Скульптор;Scl;0.5;-31;475
Scutum;Щит;Sct;18.65;-10.883;109
Serpens;Змея;Ser;15.733;10.85;637
Sextans;Секстант;Sex;10.1;-1.133;314
Taurus;Телец;Tau;4.1;17.333;797
Telescopium;Телескоп;Tel;19.25;-51.467;252
Triangulum;Треугольник;Tri;2.05;32.333;132
Triangulum Australe;Южный Треугольник;TrA;16.117;-65.1;110
Tucana;Тукан;Tuc;23.833;-64.933;295
Ursa Major;Большая Медведица;UMa;11.333;57.5;1280
Ursa Minor;Малая Медведица;UMi;14.967;75.033;256
Vela;Паруса;Vel;9.333;-48.483;500
Virgo;Дева;Vir;13.35;-3.517;1294
Volans;Летучая Рыба;Vol;7.667;-69.617;141
Vulpecula;Лисичка;Vul;20.367;25.033;268
