Name;Type;Type_ru;Detection Method;Mass (Me);Radius (Re);Flux (Se);Tsurf (K);Period (days);Distance (ly);Age (Gy);ESI
Teegarden's Star b;M Warm Terran;M Тёплая Терра;Radial Velocity;1.16;1.05;1.077943486;293.0901371;4.90634;12.49431882;8;0.968362382
TOI-700 d;M Warm Terran;M Тёплая Терра;Transit;1.25;1.073;0.859826877;276.9392586;37.42396;101.5209473;1.5;0.94117592
Kepler-1649 c;M Warm Terran;M Тёплая Терра;Transit;1.2;1.06;1.226056845;302.7284049;19.53527;300.6874564;NaN;0.925297895
TOI-700 e;M Warm Terran;M Тёплая Терра;Transit;0.818;0.953;1.278049314;305.688111;27.80978;101.5209473;1.5;0.912031859
TRAPPIST-1 d;M Warm Subterran;M Тёплая Субтерра;Transit;0.388;0.788;1.115770254;295.6742548;4.049219;40.54082811;0.5;0.907662411
LP 890-9 c;M Warm Terran;M Тёплая Терра;Transit;25.3;1.367;0.908576167;280.8767919;8.457463;105.7717385;7.2;0.885251089
K2-72 e;M Warm Terran;M Тёплая Терра;Transit;2.21;1.29;1.303262133;306.6853932;24.158868;216.6722801;NaN;0.870823573
Proxima Cen b;M Warm Terran;M Тёплая Терра;Radial Velocity;1.07;1.03;0.678468236;261.0810337;11.1868;4.243909256;NaN;0.864142293
GJ 1002 b;M Warm Terran;M Тёплая Терра;Radial Velocity;1.08;1.03;0.673236417;260.5958054;10.3465;15.81422813;NaN;0.861515455
GJ 1061 d;M Warm Terran;M Тёплая Терра;Radial Velocity;1.64;1.16;0.686780311;246.5756326;13.031;11.97899234;7;0.858635112
GJ 1061 c;M Warm Terran;M Тёплая Терра;Radial Velocity;1.74;1.18;1.448571318;310.4958039;6.689;11.97899234;7;0.857910579
Ross 128 b;M Warm Terran;M Тёплая Терра;Radial Velocity;1.4;1.11;1.482444411;316.641714;9.8658;11.00626468;5;0.857720666
GJ 273 b;M Warm Terran;M Тёплая Терра;Radial Velocity;2.89;1.51;1.064476589;291.6700195;18.6498;12.34846216;NaN;0.85463759
Kepler-296 e;M Warm Terran;M Тёплая Терра;Transit;2.96;1.53;1.000606613;281.6348028;34.14211;544.68052;4.2;0.851870759
Wolf 1069 b;M Warm Terran;M Тёплая Терра;Radial Velocity;1.26;1.08;0.652020805;258.5180578;15.564;31.25686672;NaN;0.84859348
TRAPPIST-1 e;M Warm Terran;M Тёплая Терра;Transit;0.692;0.92;0.646776017;257.9953508;6.101013;40.54082811;0.5;0.845494512
Kepler-442 b;K Warm Terran;K Тёплая Терра;Transit;2.36;1.34;0.699682639;263.0391661;112.3053;1193.616805;2.9;0.838242023
Kepler-62 e;K Warm Superterran;K Тёплая Супертерра;Transit;36;1.61;1.151182688;297.9967884;122.3874;981.3186034;7;0.82742754
Kepler-452 b;G Warm Superterran;G Тёплая Супертерра;Transit;3.29;1.63;1.109012984;295.2294509;384.843;1799.490714;6;0.826718498
Kepler-1652 b;M Warm Terran;M Тёплая Терра;Transit;3.19;1.6;0.841257578;275.5229428;38.09722;821.91312;3.2;0.825805695
K2-3 d;M Warm Terran;M Тёплая Терра;Transit;2.2;1.458;1.454409661;315.442726;44.55603;143.7457554;6.9;0.814263823
TOI-715 b;M Warm Terran;M Тёплая Терра;Transit;3.02;1.55;0.712596714;264.3239251;19.288004;138.3057995;6.2;0.806760254
Wolf 1061 c;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;3.41;1.66;1.29677161;306.3028383;17.8719;14.04401644;NaN;0.802187523
Kepler-1410 b;K Warm Superterran;K Тёплая Супертерра;Transit;3.82;1.78;1.074749569;292.9222362;60.866168;1196.99252;4.07;0.799974171
GJ 667 C c;M Warm Superterran;M Тёплая Супертерра;Radial Velocity;3.8;1.77;0.877539856;278.4259153;28.14;23.62661018;2;0.798101401
