ID,Node1,Node2,Marker
0,4776,4730,0
1,4776,4611,0
2,4782,4611,0
3,4782,4730,0
4,4782,4776,0
5,4611,4730,0
6,4213,4396,0
7,4213,4308,0
8,4455,4308,0
9,4455,4396,0
10,4455,4213,0
11,4308,4396,0
12,2597,2737,0
13,2597,2540,0
14,2543,2540,0
15,2543,2737,0
16,2543,2597,0
17,2540,2737,0
18,4856,4852,0
19,4856,4707,0
20,4634,4707,0
21,4634,4852,0
22,4634,4856,0
23,4707,4852,0
24,6638,2876,0
25,6638,6647,0
26,2994,6647,0
27,2994,2876,0
28,2994,6638,0
29,6647,2876,0
30,5080,5079,0
31,5080,5049,0
32,5157,5049,0
33,5157,5079,0
34,5157,5080,0
35,5049,5079,0
36,3570,3723,0
37,3570,3534,0
38,3828,3534,0
39,3828,3723,0
40,3828,3570,0
41,3534,3723,0
42,4903,4895,0
43,4903,5013,0
44,4904,5013,0
45,4904,4895,0
46,4904,4903,0
47,5013,4895,0
48,3537,3598,0
49,3537,3475,0
50,3618,3475,0
51,3618,3598,0
52,3618,3537,0
53,3475,3598,0
54,3455,4096,0
55,3455,4101,0
56,3808,4101,0
57,3808,4096,0
58,3808,3455,0
59,4101,4096,0
60,4177,4281,0
61,4177,4219,0
62,4354,4219,1
63,4354,4281,0
64,4354,4177,0
65,4219,4281,0
66,4937,4790,0
67,4937,4701,0
68,4620,4701,0
69,4620,4790,0
70,4620,4937,0
71,4701,4790,0
72,5390,5244,0
73,5390,5033,0
74,4775,5033,0
75,4775,5244,0
76,4775,5390,0
77,5033,5244,0
78,6247,6525,0
79,6247,6376,0
80,6467,6376,0
81,6467,6525,0
82,6467,6247,0
83,6376,6525,0
84,758,787,0
85,758,772,0
86,569,772,0
87,569,787,0
88,569,758,0
89,772,787,0
90,3249,3046,0
91,3249,3106,0
92,3222,3106,0
93,3222,3046,0
94,3222,3249,0
95,3106,3046,0
96,3581,3578,0
97,3581,3373,0
98,3588,3373,0
99,3588,3578,0
100,3588,3581,0
101,3373,3578,0
102,4554,4648,0
103,4554,4736,0
104,4542,4736,0
105,4542,4648,0
106,4542,4554,0
107,4736,4648,0
108,3436,3288,0
109,3436,3148,0
110,3245,3148,0
111,3245,3288,0
112,3245,3436,0
113,3148,3288,0
114,4049,4128,0
115,4049,4051,0
116,4088,4051,0
117,4088,4128,0
118,4088,4049,0
119,4051,4128,0
120,2611,2517,0
121,2611,2716,0
122,2607,2716,0
123,2607,2517,0
124,2607,2611,0
125,2716,2517,0
126,3617,3801,0
127,3617,3638,0
128,3678,3638,0
129,3678,3801,0
130,3678,3617,0
131,3638,3801,0
132,1016,1060,0
133,1016,884,1
134,923,884,0
135,923,1060,0
136,923,1016,0
137,884,1060,0
138,2128,2119,0
139,2128,2415,0
140,2057,2415,0
141,2057,2119,0
142,2057,2128,0
143,2415,2119,0
144,2155,2054,0
145,2155,2126,0
146,2140,2126,0
147,2140,2054,0
148,2140,2155,0
149,2126,2054,0
150,3338,3478,0
151,3338,3628,0
152,3619,3628,0
153,3619,3478,0
154,3619,3338,0
155,3628,3478,0
156,1662,1658,0
157,1662,1335,0
158,1594,1335,0
159,1594,1658,0
160,1594,1662,0
161,1335,1658,0
162,2040,2423,0
163,2040,2365,0
164,2234,2365,0
165,2234,2423,0
166,2234,2040,0
167,2365,2423,0
168,1755,1750,0
169,1755,1954,0
170,1821,1954,0
171,1821,1750,0
172,1821,1755,0
173,1954,1750,0
174,4604,4557,0
175,4604,4540,0
176,4707,4540,0
177,4707,4557,0
178,4707,4604,0
179,4540,4557,0
180,2258,2188,0
181,2258,2194,0
182,2226,2194,0
183,2226,2188,0
184,2226,2258,0
185,2194,2188,0
186,3239,3570,0
187,3239,3342,0
188,3536,3342,0
189,3536,3570,0
190,3536,3239,0
191,3342,3570,0
192,2992,2995,0
193,2992,2878,0
194,2753,2878,0
195,2753,2995,0
196,2753,2992,0
197,2878,2995,0
198,3299,3253,0
199,3299,3327,0
200,3476,3327,0
201,3476,3253,0
202,3476,3299,0
203,3327,3253,0
204,2481,2614,0
205,2481,2475,0
206,2442,2475,0
207,2442,2614,0
208,2442,2481,0
209,2475,2614,0
210,933,1065,0
211,933,1132,0
212,1118,1132,0
213,1118,1065,0
214,1118,933,0
215,1132,1065,0
216,3144,2883,0
217,3144,2798,0
218,3152,2798,0
219,3152,2883,0
220,3152,3144,0
221,2798,2883,0
222,6030,6066,0
223,6030,6014,0
224,5907,6014,0
225,5907,6066,0
226,5907,6030,0
227,6014,6066,0
228,3674,3562,0
229,3674,3557,0
230,3795,3557,0
231,3795,3562,0
232,3795,3674,0
233,3557,3562,0
234,6211,6500,0
235,6211,6167,0
236,6320,6167,0
237,6320,6500,0
238,6320,6211,0
239,6167,6500,0
240,2112,2150,0
241,2112,2322,0
242,2315,2322,0
243,2315,2150,0
244,2315,2112,0
245,2322,2150,0
246,716,935,0
247,716,779,0
248,919,779,0
249,919,935,0
250,919,716,0
251,779,935,0
252,5958,5995,0
253,5958,6093,0
254,6101,6093,0
255,6101,5995,0
256,6101,5958,0
257,6093,5995,0
258,643,476,0
259,643,317,0
260,406,317,0
261,406,476,0
262,406,643,0
263,317,476,0
264,2370,2500,0
265,2370,2744,0
266,2472,2744,0
267,2472,2500,0
268,2472,2370,0
269,2744,2500,0
270,688,827,0
271,688,817,0
272,698,817,0
273,698,827,0
274,698,688,0
275,817,827,0
276,3778,3859,0
277,3778,3926,0
278,3881,3926,0
279,3881,3859,0
280,3881,3778,0
281,3926,3859,0
282,1762,6595,0
283,1762,1868,0
284,1743,1868,0
285,1743,6595,0
286,1743,1762,0
287,1868,6595,0
288,6550,5041,0
289,6550,5042,0
290,5264,5042,0
291,5264,5041,0
292,5264,6550,0
293,5042,5041,0
294,6103,6294,0
295,6103,6140,0
296,6115,6140,0
297,6115,6294,0
298,6115,6103,0
299,6140,6294,0
300,2338,2359,0
301,2338,2383,0
302,2147,2383,0
303,2147,2359,0
304,2147,2338,0
305,2383,2359,0
306,5281,5346,0
307,5281,5472,0
308,5251,5472,0
309,5251,5346,0
310,5251,5281,0
311,5472,5346,0
312,2464,2544,0
313,2464,2368,0
314,2297,2368,0
315,2297,2544,0
316,2297,2464,0
317,2368,2544,0
318,4776,4755,0
319,4776,4522,0
320,4730,4522,0
321,4730,4755,0
322,4522,4755,0
323,2125,2183,0
324,2125,2074,0
325,2149,2074,0
326,2149,2183,0
327,2149,2125,0
328,2074,2183,0
329,1397,1412,0
330,1397,1244,0
331,1274,1244,0
332,1274,1412,0
333,1274,1397,0
334,1244,1412,0
335,3393,3486,1
336,3393,3483,0
337,3430,3483,0
338,3430,3486,1
339,3430,3393,1
340,3483,3486,0
341,6224,6064,0
342,6224,5588,0
343,6201,5588,0
344,6201,6064,0
345,6201,6224,0
346,5588,6064,0
347,2439,2128,0
348,2439,2387,0
349,2373,2387,0
350,2373,2128,0
351,2373,2439,0
352,2387,2128,0
353,1748,1636,0
354,1748,1679,0
355,1655,1679,0
356,1655,1636,0
357,1655,1748,0
358,1679,1636,1
359,5201,5279,0
360,5201,5360,0
361,5284,5360,0
362,5284,5279,0
363,5284,5201,0
364,5360,5279,0
365,3181,3071,0
366,3181,3479,0
367,3441,3479,0
368,3441,3071,0
369,3441,3181,0
370,3479,3071,0
371,246,54,1
372,246,6525,0
373,6160,6525,0
374,6160,54,1
375,6160,246,1
376,6525,54,0
377,2713,3028,0
378,2713,3658,0
379,3791,3658,1
380,3791,3028,0
381,3791,2713,0
382,3658,3028,0
383,2776,2539,0
384,2776,2879,0
385,2544,2879,0
386,2544,2539,0
387,2544,2776,0
388,2879,2539,0
389,2409,2366,0
390,2409,2259,0
391,2134,2259,0
392,2134,2366,0
393,2134,2409,0
394,2259,2366,0
395,5147,5061,0
396,5147,5143,0
397,4882,5143,0
398,4882,5061,0
399,4882,5147,0
400,5143,5061,0
401,192,427,0
402,192,246,0
403,6376,246,1
404,6376,427,0
405,6376,192,0
406,246,427,0
407,450,240,0
408,450,124,0
409,6402,124,0
410,6402,240,0
411,6402,450,0
412,124,240,0
413,6518,6522,0
414,6518,11,0
415,6320,11,0
416,6320,6522,0
417,6320,6518,0
418,11,6522,0
419,3861,3974,0
420,3861,3783,0
421,3801,3783,0
422,3801,3974,0
423,3801,3861,0
424,3783,3974,0
425,3323,3442,0
426,3323,3359,0
427,3316,3359,0
428,3316,3442,0
429,3316,3323,0
430,3359,3442,0
431,6662,4052,0
432,6662,4303,0
433,4268,4303,0
434,4268,4052,0
435,4268,6662,0
436,4303,4052,0
437,3346,3219,0
438,3346,3448,0
439,3504,3448,0
440,3504,3219,0
441,3504,3346,0
442,3448,3219,0
443,2974,3057,0
444,2974,3102,0
445,3233,3102,0
446,3233,3057,0
447,3233,2974,0
