ID,Node1,Node2,X,Y,Z
0,0,75523,,,
1,0,13885,,,
2,0,9152,,,
3,0,75569,,,
4,1,7182,,,
5,1,50847,,,
6,1,46364,,,
7,1,50559,,,
8,2,18468,,,
9,2,19628,,,
10,2,19494,,,
11,2,9710,,,
12,3,26948,,,
13,3,27031,,,
14,3,27028,,,
15,3,26458,,,
16,4,103,,,
17,4,34894,,,
18,4,39363,,,
19,4,30060,,,
20,5,2656,,,
21,5,2712,,,
22,5,20583,,,
23,5,3440,,,
24,6,3677,,,
25,6,32866,,,
26,6,34405,,,
27,6,34506,,,
28,7,5273,,,
29,7,40345,,,
30,7,40441,,,
31,7,40067,,,
32,8,482,,,
33,8,40063,,,
34,8,39994,,,
35,8,43516,,,
36,9,36126,,,
37,9,36149,,,
38,9,2484,,,
39,9,36041,,,
40,10,65148,,,
41,10,7818,,,
42,10,65579,,,
43,10,65600,,,
44,11,2191,,,
45,11,28154,,,
46,11,28910,,,
47,11,22388,,,
48,12,40451,,,
49,12,40367,,,
50,12,41144,,,
51,12,39806,,,
52,13,12388,,,
53,13,11445,,,
54,13,12382,,,
55,13,11839,,,
56,14,28086,,,
57,14,34049,,,
58,14,34022,,,
59,14,27045,,,
60,15,26688,,,
61,15,23606,,,
62,15,16764,,,
63,15,17023,,,
64,16,7082,,,
65,16,51266,,,
66,16,702,,,
67,16,51997,,,
68,17,43992,,,
69,17,44077,,,
70,17,45978,,,
71,17,46096,,,
72,18,70234,,,
73,18,69732,,,
74,18,70107,,,
75,18,69641,,,
76,19,16854,,,
77,19,2117,,,
78,19,16620,,,
79,19,42106,,,
80,20,13376,,,
81,20,18489,,,
82,20,19266,,,
83,20,19309,,,
84,21,32126,,,
85,21,26738,,,
86,21,29063,,,
87,21,28287,,,
88,22,36232,,,
89,22,36028,,,
90,22,36273,,,
91,22,36130,,,
92,23,45091,,,
93,23,5631,,,
94,23,44953,,,
95,23,44954,,,
96,24,5791,,,
97,24,15392,,,
98,24,42269,,,
99,24,42295,,,
100,25,2046,,,
101,25,1500,,,
102,25,12916,,,
103,25,9312,,,
104,26,33455,,,
105,26,4416,,,
106,26,26880,,,
107,26,26514,,,
108,27,50331,,,
109,27,57817,,,
110,27,59935,,,
111,27,8719,,,
112,28,2107,,,
113,28,2159,,,
114,28,1463,,,
115,28,16783,,,
116,29,22700,,,
117,29,21514,,,
118,29,22676,,,
119,29,22974,,,
120,30,98,,,
121,30,836,,,
122,30,6498,,,
123,30,947,,,
124,31,61003,,,
125,31,683,,,
126,31,69567,,,
127,31,8696,,,
128,32,22342,,,
129,32,32109,,,
130,32,33365,,,
131,32,2176,,,
132,33,15562,,,
133,33,8849,,,
134,33,15804,,,
135,33,15731,,,
136,34,65705,,,
137,34,65841,,,
138,34,66466,,,
139,34,66318,,,
140,35,59497,,,
141,35,59028,,,
142,35,59023,,,
143,35,59358,,,
144,36,40584,,,
145,36,3695,,,
146,36,40085,,,
147,36,6104,,,
148,37,4455,,,
149,37,27644,,,
150,37,27743,,,
151,37,28131,,,
152,38,15820,,,
153,38,15608,,,
154,38,8925,,,
155,38,73739,,,
156,39,12632,,,
157,39,77344,,,
158,39,77455,,,
159,39,77449,,,
160,40,7630,,,
161,40,2021,,,
162,40,63259,,,
163,40,15728,,,
164,41,32639,,,
165,41,32602,,,
166,41,32348,,,
167,41,32448,,,
168,42,34726,,,
169,42,34687,,,
170,42,6483,,,
171,42,34706,,,
172,43,8244,,,
173,43,9540,,,
174,43,5647,,,
175,43,71412,,,
176,44,47029,,,
177,44,46622,,,
178,44,46912,,,
179,44,46213,,,
180,45,45675,,,
181,45,45683,,,
182,45,45461,,,
183,45,6051,,,
184,46,24498,,,
185,46,26348,,,
186,46,3604,,,
187,46,26722,,,
188,47,21647,,,
189,47,33358,,,
190,47,34012,,,
191,47,33992,,,
192,48,42635,,,
193,48,42304,,,
194,48,5334,,,
195,48,15205,,,
196,49,37931,,,
197,49,4651,,,
198,49,36876,,,
199,49,36848,,,
200,50,35008,,,
201,50,29403,,,
202,50,30094,,,
203,50,29983,,,
204,51,52819,,,
205,51,66369,,,
206,51,53295,,,
207,51,66454,,,
208,52,-1,0.362097,0.539499,0.760149
209,52,2487,,,
210,52,2344,,,
211,52,11251,,,
212,53,23823,,,
213,53,23782,,,
214,53,64007,,,
215,53,23812,,,
216,54,22776,,,
217,54,23400,,,
218,54,23408,,,
219,54,23436,,,
220,55,77978,,,
221,55,77526,,,
222,55,1280,,,
223,55,76955,,,
224,56,4345,,,
225,56,35143,,,
226,56,5348,,,
227,56,44804,,,
228,57,14790,,,
229,57,9012,,,
230,57,16784,,,
231,57,13186,,,
232,58,42807,,,
233,58,43174,,,
234,58,10554,,,
235,58,10459,,,
236,59,10844,,,
237,59,10258,,,
238,59,1510,,,
239,59,10846,,,
240,60,33661,,,
241,60,33617,,,
242,60,4055,,,
243,60,32468,,,
244,61,55427,,,
245,61,54969,,,
246,61,55321,,,
247,61,55099,,,
248,62,6402,,,
249,62,61757,,,
250,62,61587,,,
251,62,61612,,,
252,63,62796,,,
253,63,15862,,,
254,63,6765,,,
255,63,15897,,,
256,64,47255,,,
257,64,47339,,,
258,64,47341,,,
259,64,46777,,,
260,65,3368,,,
261,65,24138,,,
262,65,22913,,,
263,65,7812,,,
264,66,75655,,,
265,66,75631,,,
266,66,13812,,,
267,66,75679,,,
268,67,12572,,,
269,67,12483,,,
270,67,12707,,,
271,67,2336,,,
272,68,59024,,,
273,68,61230,,,
274,68,61620,,,
275,68,7313,,,
276,69,14743,,,
277,69,14767,,,
278,69,17859,,,
279,69,13535,,,
280,70,40784,,,
281,70,41073,,,
282,70,40776,,,
283,70,40790,,,
284,71,14533,,,
285,71,10847,,,
286,71,14539,,,
287,71,936,,,
288,72,64690,,,
289,72,23401,,,
290,72,23405,,,
291,72,23123,,,
292,73,69506,,,
293,73,69113,,,
294,73,77206,,,
295,73,61103,,,
296,74,20238,,,
297,74,11950,,,
298,74,12045,,,
299,74,12082,,,
300,75,589,,,
301,75,28687,,,
302,75,26351,,,
303,75,4118,,,
304,76,51105,,,
305,76,50809,,,
306,76,51106,,,
307,76,50554,,,
308,77,21397,,,
309,77,22742,,,
310,77,22840,,,
