ID,X,Y,Z
0,79.62896,0.01164,-101.53103
1,58.65441,0.03711,-72.08957
2,79.69934,0.10353,18.85807
3,105.85439,0.15582,-25.20501
4,109.99693,0.1904,-20.31221
5,70.15358,0.12179,35.61908
6,87.23461,0.17031,-26.16659
7,37.13055,0.12218,-116.47411
8,122.56525,0.42591,53.39053
9,79.62023,0.3891,-71.40847
10,59.73632,0.30467,-0.07915
11,124.61967,0.65694,-26.40726
12,91.39998,0.51009,-100.77989
13,40.28292,0.22649,-101.59456
14,104.03938,0.5933,-64.7589
15,100.24577,0.6568,-67.09165
16,150.84551,1.09419,14.18709
17,41.52541,0.32808,-103.326
18,98.89049,0.83639,-87.84464
19,98.65734,0.97771,-50.56444
20,83.66968,0.86183,15.93996
21,94.74188,0.99631,10.51564
22,37.27834,0.406,5.56202
23,83.73027,0.91446,91.13468
24,94.15947,1.05068,31.84273
25,112.65183,1.26961,-10.22629
26,92.24366,1.11129,9.75199
27,21.97689,0.2659,128.33999
28,133.56437,1.63202,-35.89243
29,92.4247,1.14561,49.66933
30,100.11676,1.25064,58.59371
31,58.12741,0.75004,-21.21136
32,109.58038,1.46461,15.93045
33,64.13669,0.86668,39.87879
34,76.79339,1.06496,-35.14315
35,111.59092,1.59814,-48.79347
36,85.52979,1.24717,-6.20013
37,50.90539,0.76349,-37.33122
38,56.1084,0.88545,-33.84299
39,41.26031,0.65962,-63.94446
40,115.59074,1.85046,7.89539
41,45.97371,0.74931,-92.62842
42,69.67855,1.19621,17.86571
43,62.8442,1.08718,-70.11347
44,48.11365,0.83328,-141.9926
45,116.61255,2.12209,36.63223
46,53.57017,0.97587,43.57378
47,125.35373,2.32119,-85.89331
48,48.24647,0.90433,-46.58026
49,26.9258,0.52978,-87.52552
50,84.28273,1.72414,22.53356
51,82.62459,1.75456,47.87949
52,48.07825,1.04035,49.23435
53,39.32304,0.85534,-111.02441
54,117.74127,2.59749,19.24341
55,129.95487,2.93035,76.05411
56,63.61982,1.45881,-73.5735
57,74.97897,1.79456,50.78992
58,49.75567,1.19829,-8.43343
59,36.18379,0.93392,11.92535
60,27.81484,0.7185,-71.77807
61,89.0069,2.38269,15.24361
62,135.378,3.67464,-4.46196
63,135.04307,3.73201,-28.75763
64,141.22992,3.95478,-46.01069
65,67.2874,1.9365,-73.68021
66,109.76684,3.24931,-8.35304
67,35.9266,1.07157,-15.33631
68,150.45531,4.51276,4.89082
69,109.6581,3.36627,46.218
70,121.86496,3.79045,-34.61613
71,19.24586,0.60663,-81.65292
72,43.30963,1.37186,-38.86481
73,43.78062,1.40903,-20.75843
74,74.39801,2.425,-110.40615
75,84.07809,2.76953,52.58424
76,55.30486,1.82942,-98.37145
77,85.90044,2.85841,-86.30664
78,61.06079,2.03192,82.64463
79,81.0362,2.71483,65.74048
80,110.74149,3.73092,84.06081
81,92.93977,3.24723,-12.31715
82,60.41859,2.13018,82.59193
83,120.03378,4.43318,-53.71459
84,64.40619,2.38223,45.01886
