ID,X,Y,Z
0,-51.944095,-48.0447066,-92.6524432
1,-63.2511275,-6.3918236,-41.5013268
2,-85.3547031,-50.7175766,-12.7575962
3,32.3317916,67.907021,93.5359123
4,64.1598073,93.2322199,46.3039718
5,-95.7919426,-15.6498601,18.7081826
6,-24.25992,11.8860298,-100.144112
7,23.6952537,-68.5944442,-33.8117216
8,-74.5949973,13.4917115,-141.363637
9,-35.6005014,-1.89550534,-108.773746
10,-44.1720509,76.6105032,-120.127791
11,-44.2364086,83.6963403,-88.6668381
12,51.3199507,-75.580877,52.930457
13,-51.8454493,16.4362077,-127.967907
14,-11.8030916,-82.8046732,-28.4626293
15,-46.9995975,-7.93972951,-93.7204621
16,23.574949,-15.3965123,59.5920081
17,-23.8667623,-79.4802913,-79.7546464
18,-43.648396,35.9048776,-22.2064287
19,76.9753933,-60.6652474,29.4650701
20,14.5280089,-50.1898176,-237.175252
21,-60.5735427,119.794754,27.9134364
22,15.4110219,99.7374981,24.5154193
23,-52.5578073,-98.8534209,-55.4219816
24,-54.8223346,-11.2526784,-108.33748
25,38.4533207,33.2764979,-103.389977
26,-56.3765356,41.5516451,7.82785046
27,-43.213217,-121.791404,-34.0154829
28,-55.6022383,14.6947603,-134.292588
29,-54.1263903,-83.0382956,-84.1480379
30,18.7486577,-74.7176832,137.877749
31,24.2456879,-84.2567911,-29.1759357
32,-23.4719349,-84.1071235,86.2187829
33,-105.573857,-111.412573,-76.0659047
34,-12.7043454,-50.9026747,-14.3276965
35,-69.864643,-82.6045424,-63.7756172
36,-24.5578486,82.6899188,-30.9935744
37,-50.1009319,-42.8269605,-85.2248935
38,-47.0931371,85.6579468,-165.559552
39,-43.5762571,-96.7398742,-79.3866226
40,-78.5143301,43.3238366,-120.133762
41,-49.1763168,-56.4030979,-100.051892
42,-63.2846534,64.0915795,-83.2537144
43,138.410719,44.4115864,122.080025
44,-28.3530795,2.19628044,-68.488228
45,-57.4071554,71.7270198,-6.14179621
46,26.7072229,47.6303338,-66.1051854
47,-64.3637962,-34.7330031,-80.7210252
48,-65.5149306,-114.084313,-58.4209681
49,-74.712672,-150.577642,-102.067334
50,-93.4395585,54.3423818,-53.9257009
51,-51.3708489,56.64354,1.22416507
52,-41.898692,-116.728794,-37.6503037
53,-76.1850671,69.0637392,9.3989332
54,-16.5128889,97.1267206,316.596053
55,-91.0747728,22.904985,-95.0674928
56,-90.9088723,-105.471769,-59.9926937
57,-71.808458,-16.8451397,-95.5878215
58,-45.1514141,-115.57713,-74.1628765
59,-77.5994454,-101.739951,-51.761273
60,-34.1184513,-62.1948909,-24.1300498
61,-105.158582,5.84836055,-88.2544107
62,-4.49921596,4.29977766,-88.5139555
63,-1.9210528,-156.955865,-83.1089293
64,-107.508162,3.33200646,31.3539131
65,-69.1233212,83.5950572,10.657355
66,-104.868748,32.2709193,-43.1711685
67,-74.5440845,-81.7830368,-66.0383616
68,-33.8743103,-112.421873,-86.832292
69,-73.5388555,-78.4844089,-64.8114252
70,-27.2783582,-144.958554,-62.8569713
71,-29.2990767,-105.643616,-56.0108618
72,-55.4471494,-85.6314998,-84.0140928
73,-39.4426303,-126.245029,-47.4263249
74,-85.8296682,-19.6477803,-44.0234962
75,-50.5253975,-110.115582,-77.382412
76,-69.348406,-20.7567411,-128.827998
77,-43.6312106,-94.068765,-97.244001
78,-65.4902414,-87.7810443,-56.2899881
79,-95.5838103,-119.282091,-92.3548978
80,-61.9266238,-114.636531,-63.6467665
81,-37.1078027,-111.619069,-87.5811022
82,-43.1235465,-98.0478883,-83.9998357
83,-57.0204126,-87.4925214,-76.871188
84,-50.8163154,55.2060204,-123.154729
85,-64.1494692,-89.8197664,-87.7360452
86,-90.9200904,-47.1451042,55.127786
87,-69.5944591,-109.61606,-76.7459641
88,20.006678,-75.3750823,136.704794
89,134.859591,-91.584445,72.2791121
90,-73.5477352,-37.1565246,-98.9958835
91,-43.9433402,-54.4019405,-19.3590803
92,-102.668956,25.5097217,-99.2695201
93,49.5210396,61.5308933,26.3141583
94,-82.3353316,58.8808908,-119.566963
95,-49.4714551,-100.406067,-55.277628
96,-52.7407181,93.492496,-53.3935321
97,-49.7817794,-12.9294221,-103.002864
98,59.5482938,0.896828779,5.74889813
99,-59.352336,13.5298683,-126.836748
100,-9.95704982,-58.7232861,-99.2449105
101,-12.3444639,-155.355215,-136.095034
102,-60.4258988,64.0214018,-103.554714
103,91.2448811,-38.8416271,262.679423
104,-17.287274,125.734369,-54.3668632
105,7.87568167,-169.419479,64.1534846
106,-14.6401633,-50.2861709,-81.1435547
107,-14.8558274,-106.799782,-72.7739053
108,-52.9532673,-5.06697637,-119.498146
109,108.835389,-64.2590715,13.0500449
110,-58.7065167,-22.0239779,-94.6194301
111,-72.366684,-13.3498972,-79.3954073
112,-47.4252808,-32.8534605,-108.077943
113,-76.7179114,-53.6763643,-60.5420812
114,-83.7007358,37.5505652,57.1574687
115,-47.4177034,-118.034765,-79.16265
116,45.0417846,114.362322,25.6799717
117,-45.3704153,-5.29289458,-94.0177885
118,136.324445,-35.3675118,-38.6826155
119,-68.5969984,-6.77508373,-93.9603988
120,133.869411,253.241744,89.2208685
121,-32.3335319,-77.4631985,-63.6001771
122,-18.9961511,19.3665773,-106.228208
123,-19.118885,-21.5854157,-91.8472973
124,32.6366731,129.373233,5.3005293
125,-81.0109634,-51.9018161,-99.3865698
126,-64.1714264,-127.875883,-53.0915206
127,-47.0675434,-2.71863676,-112.406796
128,-45.9392657,72.3653817,63.4228294
129,-70.71729,-77.6907171,-62.8659962
130,-58.6721671,-120.06923,-56.4189381
131,-72.7762316,15.0548467,-124.827186
132,-58.8053338,126.789888,111.398751
133,23.3067747,-85.1171925,36.9495274
134,-63.5862277,-46.4248833,-28.4235119
135,9.99580363,-23.5385428,-69.8769327
136,-36.6291962,-104.631977,-88.4860503
137,-79.2484553,-79.949592,-73.0115307
138,-76.5002011,-54.2328104,-69.7033757
139,-54.817007,53.0438398,-98.2252176
